source_id,source_name,source_url,local_raw_path,used_in_current_pipeline,current_or_future,represented_in_prior_markdown_url_map,citation_key,citation_key_present_in_bib,needs_bib_entry_or_canonical_citation,source_role,paper_location,notes
nss_2007_education,"NSS 2007-08 Participation and Expenditure in Education, 64th Round",https://microdata.gov.in/,data/raw/nss/nss_2007_education_64,True,current,False,national_sample_survey_2011,False,True,schooling survey source,§3 Data; Appendix A/B,"Core baseline education and participation microdata; public geography is district plus survey-design identifiers, not a demonstrated Census locality code."
nss_2007_consumption,"NSS 2007-08 Household Consumer Expenditure Survey, 64th Round",https://microdata.gov.in/,data/raw/nss/nss_2007_consumption_64,True,current,False,national_sample_survey_2011_consumption,False,True,welfare survey source,§3 Data; Appendix A/B,Core baseline consumption microdata.
nss_2017_education,"NSS 2017-18 Household Social Consumption: Education, 75th Round",https://microdata.gov.in/,data/raw/nss/nss_2017_education_75,True,current,False,national_sample_survey_2022,False,True,schooling survey source,§3 Data; Appendix A/B,Follow-up education and household-consumption source; district roster is an input to lineage.
census_2001_mother_tongue,Census of India 2001 C-16 Mother Tongue,https://censusindia.gov.in/,data/raw/census_2001/languages/C16,True,current,False,census_india_2001,False,True,official language Census source,§3 Data; §5 Inherited Linguistic Conditions; Appendix A/B,Thirty-five state/UT workbooks used to construct the linguistic-distance IV directly on 2001 districts.
glottolog_5_3,Glottolog 5.3,https://glottolog.org/download,data/raw/glottolog_5_3,True,current,True,,False,True,linguistic measurement source,§3 Data; §5; Appendix A/B/C,Direct languoid parent graph is canonical for genealogy; geography is disambiguation-only; Newick trees are retained for independent validation.
glottolog_cldf_5_3,Glottolog 5.3 as CLDF,https://zenodo.org/records/18840967,data/raw/glottolog_5_3/glottolog-cldf-v5.3.zip,True,current,True,,False,True,linguistic measurement source,§3 Data; §5; Appendix A/B/C,CLDF languages.csv and names.csv support reviewed Census-language identity matching; outer metadata identifies release 5.3.
district_boundaries_2020,India district boundaries 2020,https://github.com/abhatia08/india_shp_2020,data/raw/district_boundaries_2020,True,current,True,meyers_india_boundaries_2020,False,True,geographic harmonization/lineage source,§3 Data; Appendix A,Used by the current draft for maps and spatial weights; not authoritative 2001 geometry.
district_boundaries_2019,India Official Boundaries 2019 district and subdistrict files,https://github.com/justinelliotmeyers/India_Official_Boundaries_2019,data/raw/district_boundaries_2019,False,future,True,,False,False,geographic harmonization/lineage source,§3 Data; Appendix A,Candidate spatial validation only; not a dated national 2017-18 snapshot.
district_changes,District-change and tracker source collection,,data/raw/district_changes,True,both,False,,False,True,geographic harmonization/lineage source,§3 Data; Appendix A,Aggregate current-pipeline source ID retained for file_manifest compatibility; detailed products have separate catalog rows.
india_state_stories,India State Stories district-change workbooks,https://www.indiastatestory.in/datadownloads,data/raw/district_changes,True,both,True,,False,True,geographic harmonization/lineage source,§3 Data; Appendix A,"Alluvial, split/carve-out, name-change, and new-district files generate candidate events and aliases; known errors mean they are not adjudication authority."
isded,"India State and District Evolution Database, 1872-2025",https://doi.org/10.7910/DVN/D1AGUR,data/raw/district_changes/india_state_stories/isded,False,future,True,,False,False,geographic harmonization/lineage source,§3 Data; Appendix A,Census-anchor and current administrative evidence; does not alone identify exact effective dates or territorial shares.
iss_census_collection,"Indian Census Data Collection, 1901-2026",https://doi.org/10.7910/DVN/ON8CP8,data/raw/district_changes/india_state_stories/census_data_collection,False,future,True,,False,False,geographic harmonization/lineage source,§3 Data; Appendix A,Historical population validation and current subdistrict/Census-link evidence.
jaacks_tracker,Jaacks Research Group India district changes tracker,https://github.com/Jaacks-Research-Group/india-district-changes-tracker,data/raw/district_changes/IndiaDistrictTracker2001to2020.ods,True,both,True,,False,True,geographic harmonization/lineage source,§3 Data; Appendix A,Annual candidate names and lineage paths; legacy work identified omissions and errors.
kumar_somanathan_2016,"Kumar and Somanathan district concordance, 1961-2001",https://www.cdedse.org/pdf/work248.pdf,data/raw/district_changes/District Carve-Outs and Renamings 1961-2001.csv,True,both,False,kumarCreatingLongPanels2016,True,False,geographic harmonization/lineage source,§3 Data; Appendix A,"Independent 1991-2001 geography benchmark and exact-name transition sensitivity. The headerless CSV has no state code, so production code resolves a source or destination only when its canonical district name is unique nationwide in the Census-1991 Helms-Lim code/name registry or Census-2001 administrative registry. Both published transfer margins must close the component before deterministic amalgamation is eligible; ambiguous, renamed, or non-exact labels remain unresolved."
lgd_current,"Local Government Directory current states, districts, subdistricts, villages, ULBs, and coverage",https://www.data.gov.in/catalog/local-government-directory-lgd,data/raw/local_government_directory,False,future,True,,False,False,geographic harmonization/lineage source,§3 Data; Appendix A,JSON was preferred for state/district/subdistrict files to ensure UTF-8 local names. Current hierarchy is not historical geography.
lgd_modifications_2011_2018,"LGD modification rosters, 2011-01-01 through 2018-06-30",https://lgdirectory.gov.in/downloadDirectory.do,data/raw/local_government_directory/modifications_01-01-2011_30-06-2018,False,future,True,,False,False,geographic harmonization/lineage source,§3 Data; Appendix A,"SpreadsheetML XML files with .xls extension. They identify modified entities, not complete events, predecessors, dates, or shares."
lgd_changes_post_2018,ramSeraph LGD change archive from 2018-10-13 onward,https://ramseraph.github.io/opendata/lgd/,data/raw/local_government_directory/changes.csv,False,future,False,,False,False,geographic harmonization/lineage source,§3 Data; Appendix A,Postdates NSS 2017-18; use only to validate later code/history and event-processing logic.
shrug_pc_keys,"SHRUG Population Census keys, 1991/2001/2011",https://www.devdatalab.org/shrug_download/,data/raw/shrug/shrug-pc-keys-csv,True,current,False,,False,True,geographic harmonization/lineage source,§3 Data; Appendix A,Principal rural/urban SHRID bridge between Census locality and district identifiers; keys are not necessarily unique on shrid2.
shrug_census_1991,"SHRUG Census 1991 PCA, Village Directory, and Town Directory",https://www.devdatalab.org/shrug_download/,data/raw/shrug/census_1991,True,current,False,,False,True,SHRUG source,§3 Data; Appendix A/B/D,"PCA population anchors the 1991 geography audit; district PCA/VD/TD now provide predetermined demographic, workforce, rural-facility, and urban-facility balance diagnostics. Historical LD balance remains gated on the reviewed Atlas source and explicit accepted-speaker threshold."
census_1991_language_atlas,Language Atlas of India 1991,https://ruralindiaonline.org/en/library/resource/language-atlas-of-india-1991/,data/raw/census_1961-91/Language_Atlas_of_India_1991.pdf,True,current,False,,False,True,official language Census source,§3 Data; §5 Inherited Linguistic Conditions; Appendix A/B,"Annexure IV begins at printed p. 192 (PDF p. 205) and reports district total population plus scheduled and non-scheduled language speaker counts. scripts/build_language_atlas_1991.py remains a maintainer-side extractor; data/metadata/language_atlas_1991_accepted_source.csv is the tracked promotion boundary produced from the frozen language registry and cell-review ledger. Extended diagnostics construct bounded LD_1991 under the frozen 99% accepted-speaker / 0.50-degree uncertainty rule, then run persistence, first-stage, predetermined-control, and historical-balance checks without treating unresolved cells as zero."
vanneman_1961_91,"Vanneman-Barnes Indian District Database, 1961-1991",http://vanneman.umd.edu/districts/files/index.html,data/raw/census_1961-91/vanneman_1961-91,True,current,True,,False,True,historical/replication benchmark source,§3 Data; §5; Appendix A/B/C,"Current use is archived-data/parser QA plus a panel4 stable-geography inventory and conservative panel-to-dist91 crosswalk. The canonical raw inputs are the compressed data files and SAS readers recovered from the same 2013-07-22 Wayback files-page snapshot; their archive checksums are validated at runtime. The archived state-ID table supplies the author-documented P/81/91 state mapping, including no-1991-census Jammu & Kashmir and the Goa/Daman/Diu split. The combining-district page identifies panel units that aggregate multiple later districts. Preferred pretrend geography admits unique exact normalized one-to-one labels plus a narrow tracked set of externally verified one-to-one aliases; aggregates, small-state district 00 units, state splits, and unresolved labels remain review-only."
shrug_census_2001,"SHRUG Census 2001 PCA, Village Directory, and Town Directory",https://www.devdatalab.org/shrug_download/,data/raw/shrug/census_2001,False,future,False,,False,False,SHRUG source,§3 Data; Appendix A/B/D,"Population, households, area, and locality attributes for transition weights and validation."
shrug_census_2011,"SHRUG Census 2011 PCA, Village Directory, and Town Directory",https://www.devdatalab.org/shrug_download/,data/raw/shrug/census_2011,True,current,False,,False,True,SHRUG source,§3 Data; Appendix A/B/D,District PCA total population is active as the Census-2011 all-age denominator for migration rates; other village/town-directory attributes remain future-use inputs.
shrug_open_polygons,SHRUG PC11 and SHRID open polygons,https://docs.devdatalab.org/SHRUG-Metadata/Open%20Polygons%20and%20Spatial%20Statistics/Tables/open-poly-metadata,data/raw/shrug/open-polygons,False,future,True,,False,False,geographic harmonization/lineage source,§3 Data; Appendix A,PC11 state/district/subdistrict geometry plus local-only village and SHRID archives; planned starting point for dissolved 2001 district geometry.
