table	state_code	relative_path	url
B01S	02	data/raw/census_1991/workers/B01S/1991-B01T-0200.xlsx	https://censusindia.gov.in/nada/index.php/catalog/41315/download/44946/1991-B01T-0200.xlsx
B01S	03	data/raw/census_1991/workers/B01S/1991-B01T-0300.xlsx	https://censusindia.gov.in/nada/index.php/catalog/35022/download/38680/1991-B01T-0300.xlsx
B01S	04	data/raw/census_1991/workers/B01S/1991-B01T-0400.xlsx	https://censusindia.gov.in/nada/index.php/catalog/35023/download/38681/1991-B01T-0400.xlsx
B01S	05	data/raw/census_1991/workers/B01S/1991-B01T-0500.xlsx	https://censusindia.gov.in/nada/index.php/catalog/35024/download/38682/1991-B01T-0500.xlsx
B01S	06	data/raw/census_1991/workers/B01S/1991-B01T-0600.xlsx	https://censusindia.gov.in/nada/index.php/catalog/35025/download/38683/1991-B01T-0600.xlsx
B01S	07	data/raw/census_1991/workers/B01S/1991-B01T-0700.xlsx	https://censusindia.gov.in/nada/index.php/catalog/35026/download/38684/1991-B01T-0700.xlsx
B01S	08	data/raw/census_1991/workers/B01S/1991-B01T-0800.xlsx	https://censusindia.gov.in/nada/index.php/catalog/35027/download/38685/1991-B01T-0800.xlsx
B01S	09	data/raw/census_1991/workers/B01S/1991-B01T-0900.xlsx	https://censusindia.gov.in/nada/index.php/catalog/35028/download/38686/1991-B01T-0900.xlsx
B01S	11	data/raw/census_1991/workers/B01S/1991-B01T-1100.xlsx	https://censusindia.gov.in/nada/index.php/catalog/35029/download/38687/1991-B01T-1100.xlsx
B01S	12	data/raw/census_1991/workers/B01S/1991-B01T-1200.xlsx	https://censusindia.gov.in/nada/index.php/catalog/35030/download/38688/1991-B01T-1200.xlsx
B01S	13	data/raw/census_1991/workers/B01S/1991-B01T-1300.xlsx	https://censusindia.gov.in/nada/index.php/catalog/35031/download/38689/1991-B01T-1300.xlsx
B01S	14	data/raw/census_1991/workers/B01S/1991-B01T-1400.xlsx	https://censusindia.gov.in/nada/index.php/catalog/35032/download/38690/1991-B01T-1400.xlsx
B01S	15	data/raw/census_1991/workers/B01S/1991-B01T-1500.xlsx	https://censusindia.gov.in/nada/index.php/catalog/35033/download/38691/1991-B01T-1500.xlsx
B01S	16	data/raw/census_1991/workers/B01S/1991-B01T-1600.xlsx	https://censusindia.gov.in/nada/index.php/catalog/35034/download/38692/1991-B01T-1600.xlsx
B01S	17	data/raw/census_1991/workers/B01S/1991-B01T-1700.xlsx	https://censusindia.gov.in/nada/index.php/catalog/35035/download/38693/1991-B01T-1700.xlsx
B01S	18	data/raw/census_1991/workers/B01S/1991-B01T-1800.xlsx	https://censusindia.gov.in/nada/index.php/catalog/35036/download/38694/1991-B01T-1800.xlsx
B01S	19	data/raw/census_1991/workers/B01S/1991-B01T-1900.xlsx	https://censusindia.gov.in/nada/index.php/catalog/35037/download/38695/1991-B01T-1900.xlsx
B01S	20	data/raw/census_1991/workers/B01S/1991-B01T-2000.xlsx	https://censusindia.gov.in/nada/index.php/catalog/35038/download/38696/1991-B01T-2000.xlsx
B01S	21	data/raw/census_1991/workers/B01S/1991-B01T-2100.xlsx	https://censusindia.gov.in/nada/index.php/catalog/35039/download/38697/1991-B01T-2100.xlsx
