outcome_id,estimand,transform,quantile,quantile_interval,quantile_rule,epsilon,fgt_order,role,min_households,min_fsu,min_kish_effective_n,max_relative_se,notes
real_mean_mpce,survey_mean,identity,,,,,,primary,50,2,20,0.20,Primary real consumption level; support and precision thresholds are diagnostic eligibility flags and never delete estimates.
mean_log_real_mpce,survey_mean,log,,,,,,robustness,50,2,20,,Mean log real MPCE robustness outcome; sample-support thresholds apply but no relative-SE cutoff is imposed because relative SE of a log-level mean is not a consumption CV.
weighted_median_real_mpce,survey_quantile,identity,0.5,xlogit,math,,,robustness,50,2,20,0.20,Design-based person-weighted median real MPCE; survey quantile uncertainty is retained and support/precision flags never delete estimates.
bottom40_mean_real_mpce,survey_bottom_mean,identity,0.4,,,,,robustness,50,2,50,0.20,Design-based mean real MPCE among the bottom 40 percent of represented persons; lower-tail total and variance use convey linearization.
bottom20_mean_real_mpce,survey_bottom_mean,identity,0.2,,,,,robustness,100,2,100,0.25,Design-based mean real MPCE among the bottom 20 percent of represented persons; stricter support thresholds reflect the thinner lower-tail domain.
gini_real_mpce,survey_gini,identity,,,,,,robustness,100,2,75,0.30,Design-based Gini coefficient of real MPCE using convey::svygini(); retained as a distributional robustness outcome.
atkinson_0_5_real_mpce,survey_atkinson,identity,,,,0.5,,robustness,100,2,75,0.30,Design-based Atkinson index of real MPCE with epsilon=0.5 using convey::svyatk().
atkinson_1_real_mpce,survey_atkinson,identity,,,,1,,robustness,100,2,75,0.30,Design-based Atkinson index of real MPCE with epsilon=1 using convey::svyatk().
atkinson_2_real_mpce,survey_atkinson,identity,,,,2,,robustness,125,2,100,0.35,Design-based Atkinson index of real MPCE with epsilon=2 using convey::svyatk(); stricter support reflects greater lower-tail sensitivity.
tendulkar_poverty_headcount,survey_fgt,identity,,,,,0,robustness,100,2,75,,"Design-based Tendulkar poverty headcount ratio, FGT(0), using the canonical real-MPCE threshold implied by the 2011-12 price normalization."
tendulkar_poverty_gap,survey_fgt,identity,,,,,1,robustness,100,2,75,,"Design-based normalized Tendulkar poverty gap, FGT(1), using the canonical real-MPCE threshold implied by the 2011-12 price normalization."
tendulkar_poverty_severity,survey_fgt,identity,,,,,2,robustness,125,2,100,,"Design-based squared normalized Tendulkar poverty gap, FGT(2); stricter support reflects greater sensitivity to the poorest represented persons."
