state_code,state_name,centre,weight,all_india_member,link_factor_2001,source_weight_file,source_weight_page,source_link_file,source_link_page,note
ANP,Andhra Pradesh,Gudur,0.75,True,,data/raw/prices/cpi-compendia/base-1982.pdf,36,data/raw/prices/cpi-compendia/base-2001.pdf,40,No direct 2001-base linking factor because the centre was not retained in the 2001 series.
ANP,Andhra Pradesh,Guntur,1.11,True,4.57,data/raw/prices/cpi-compendia/base-1982.pdf,36,data/raw/prices/cpi-compendia/base-2001.pdf,40,
ANP,Andhra Pradesh,Hyderabad,1.63,True,4.79,data/raw/prices/cpi-compendia/base-1982.pdf,36,data/raw/prices/cpi-compendia/base-2001.pdf,40,
ANP,Andhra Pradesh,Visakhapatnam,1.63,True,4.64,data/raw/prices/cpi-compendia/base-1982.pdf,36,data/raw/prices/cpi-compendia/base-2001.pdf,40,
ANP,Andhra Pradesh,Warangal,1.54,True,4.75,data/raw/prices/cpi-compendia/base-1982.pdf,36,data/raw/prices/cpi-compendia/base-2001.pdf,40,
ASM,Assam,D.D.Tinsukia,0.57,True,4.04,data/raw/prices/cpi-compendia/base-1982.pdf,36,data/raw/prices/cpi-compendia/base-2001.pdf,40,
ASM,Assam,Guwahati,0.66,True,4.8,data/raw/prices/cpi-compendia/base-1982.pdf,36,data/raw/prices/cpi-compendia/base-2001.pdf,40,
ASM,Assam,Labac-Silchar,0.44,True,3.65,data/raw/prices/cpi-compendia/base-1982.pdf,36,data/raw/prices/cpi-compendia/base-2001.pdf,40,
ASM,Assam,Mariani-Jorhat,0.51,True,4.01,data/raw/prices/cpi-compendia/base-1982.pdf,36,data/raw/prices/cpi-compendia/base-2001.pdf,40,
ASM,Assam,Rangapara-Tezpur,0.63,True,4.17,data/raw/prices/cpi-compendia/base-1982.pdf,36,data/raw/prices/cpi-compendia/base-2001.pdf,40,
BIH,Bihar,Monghyr,1.1,True,4.3,data/raw/prices/cpi-compendia/base-1982.pdf,36,data/raw/prices/cpi-compendia/base-2001.pdf,40,
CHHT,Chhattisgarh,Bhillai,1.91,True,4.2,data/raw/prices/cpi-compendia/base-1982.pdf,36,data/raw/prices/cpi-compendia/base-2001.pdf,40,
GUJ,Gujarat,Ahmedabad,2.74,True,4.62,data/raw/prices/cpi-compendia/base-1982.pdf,36,data/raw/prices/cpi-compendia/base-2001.pdf,40,
GUJ,Gujarat,Bhavnagar,0.99,True,4.76,data/raw/prices/cpi-compendia/base-1982.pdf,36,data/raw/prices/cpi-compendia/base-2001.pdf,40,
GUJ,Gujarat,Rajkot,1.17,True,4.38,data/raw/prices/cpi-compendia/base-1982.pdf,36,data/raw/prices/cpi-compendia/base-2001.pdf,40,
GUJ,Gujarat,Surat,0.86,True,4.54,data/raw/prices/cpi-compendia/base-1982.pdf,36,data/raw/prices/cpi-compendia/base-2001.pdf,40,
GUJ,Gujarat,Vadodara,0.88,True,4.39,data/raw/prices/cpi-compendia/base-1982.pdf,36,data/raw/prices/cpi-compendia/base-2001.pdf,40,
HAR,Haryana,Faridabad,1.17,True,4.79,data/raw/prices/cpi-compendia/base-1982.pdf,36,data/raw/prices/cpi-compendia/base-2001.pdf,40,
HAR,Haryana,Yamunanagar,1.05,True,4.34,data/raw/prices/cpi-compendia/base-1982.pdf,36,data/raw/prices/cpi-compendia/base-2001.pdf,40,
JNK,Jammu and Kashmir,Srinagar,0.22,True,5.62,data/raw/prices/cpi-compendia/base-1982.pdf,36,data/raw/prices/cpi-compendia/base-2001.pdf,40,
JHK,Jharkhand,Jamshedpur,1.63,True,4.23,data/raw/prices/cpi-compendia/base-1982.pdf,36,data/raw/prices/cpi-compendia/base-2001.pdf,40,
JHK,Jharkhand,Jharia,2.39,True,3.72,data/raw/prices/cpi-compendia/base-1982.pdf,36,data/raw/prices/cpi-compendia/base-2001.pdf,40,
JHK,Jharkhand,Kodarma,0.59,True,3.89,data/raw/prices/cpi-compendia/base-1982.pdf,36,data/raw/prices/cpi-compendia/base-2001.pdf,40,
JHK,Jharkhand,Noamundi,1.22,True,,data/raw/prices/cpi-compendia/base-1982.pdf,36,data/raw/prices/cpi-compendia/base-2001.pdf,40,No direct 2001-base linking factor because the centre was not retained in the 2001 series.
JHK,Jharkhand,Ranchi-Hatia,1.36,True,4.2,data/raw/prices/cpi-compendia/base-1982.pdf,36,data/raw/prices/cpi-compendia/base-2001.pdf,40,
KAR,Karnataka,Bangalore,3.27,True,4.51,data/raw/prices/cpi-compendia/base-1982.pdf,36,data/raw/prices/cpi-compendia/base-2001.pdf,40,
KAR,Karnataka,Belgaum,1.33,True,5.02,data/raw/prices/cpi-compendia/base-1982.pdf,36,data/raw/prices/cpi-compendia/base-2001.pdf,40,
KAR,Karnataka,Hubli-Dharwar,1.29,True,4.71,data/raw/prices/cpi-compendia/base-1982.pdf,36,data/raw/prices/cpi-compendia/base-2001.pdf,40,
KAR,Karnataka,Mercara,1.16,True,4.47,data/raw/prices/cpi-compendia/base-1982.pdf,36,data/raw/prices/cpi-compendia/base-2001.pdf,40,
KER,Kerala,Alwaye,1.58,True,4.52,data/raw/prices/cpi-compendia/base-1982.pdf,36,data/raw/prices/cpi-compendia/base-2001.pdf,40,
KER,Kerala,Mundakayam,1.01,True,4.37,data/raw/prices/cpi-compendia/base-1982.pdf,36,data/raw/prices/cpi-compendia/base-2001.pdf,40,
KER,Kerala,Quilon,0.58,True,4.61,data/raw/prices/cpi-compendia/base-1982.pdf,36,data/raw/prices/cpi-compendia/base-2001.pdf,40,
KER,Kerala,Thiruvananthapuram,1.02,True,,data/raw/prices/cpi-compendia/base-1982.pdf,36,data/raw/prices/cpi-compendia/base-2001.pdf,40,No direct 2001-base linking factor because the centre was not retained in the 2001 series.
MP,Madhya Pradesh,Balaghat,1.37,True,,data/raw/prices/cpi-compendia/base-1982.pdf,36,data/raw/prices/cpi-compendia/base-2001.pdf,40,No direct 2001-base linking factor because the centre was not retained in the 2001 series.
MP,Madhya Pradesh,Bhopal,1.51,True,4.83,data/raw/prices/cpi-compendia/base-1982.pdf,36,data/raw/prices/cpi-compendia/base-2001.pdf,40,
MP,Madhya Pradesh,Indore,1.28,True,4.73,data/raw/prices/cpi-compendia/base-1982.pdf,36,data/raw/prices/cpi-compendia/base-2001.pdf,40,
MP,Madhya Pradesh,Jabalpur,1.32,True,4.53,data/raw/prices/cpi-compendia/base-1982.pdf,36,data/raw/prices/cpi-compendia/base-2001.pdf,40,
MAH,Maharashtra,Mumbai,7.87,True,5.18,data/raw/prices/cpi-compendia/base-1982.pdf,36,data/raw/prices/cpi-compendia/base-2001.pdf,40,
MAH,Maharashtra,Nagpur,1.56,True,4.68,data/raw/prices/cpi-compendia/base-1982.pdf,36,data/raw/prices/cpi-compendia/base-2001.pdf,40,
MAH,Maharashtra,Nasik,2.04,True,4.94,data/raw/prices/cpi-compendia/base-1982.pdf,36,data/raw/prices/cpi-compendia/base-2001.pdf,40,
MAH,Maharashtra,Pune,1.94,True,4.96,data/raw/prices/cpi-compendia/base-1982.pdf,36,data/raw/prices/cpi-compendia/base-2001.pdf,40,
MAH,Maharashtra,Solapur,1.24,True,4.73,data/raw/prices/cpi-compendia/base-1982.pdf,36,data/raw/prices/cpi-compendia/base-2001.pdf,40,
OD,Odisha,Barbil,0.8,True,,data/raw/prices/cpi-compendia/base-1982.pdf,36,data/raw/prices/cpi-compendia/base-2001.pdf,40,No direct 2001-base linking factor because the centre was not retained in the 2001 series.
OD,Odisha,Rourkela,1.67,True,4.03,data/raw/prices/cpi-compendia/base-1982.pdf,36,data/raw/prices/cpi-compendia/base-2001.pdf,40,
PUN,Punjab,Amritsar,1.86,True,4.09,data/raw/prices/cpi-compendia/base-1982.pdf,36,data/raw/prices/cpi-compendia/base-2001.pdf,40,
