academic_year,state_report,district_report,medium_slot,language_label,source_pdf,source_page
2005-06,ANDAMAN & NICOBAR ISLANDS,ANDAMANS,1,Hindi,District report card 2005-06 vol-1.pdf,25
2005-06,ANDAMAN & NICOBAR ISLANDS,ANDAMANS,2,Bengali,District report card 2005-06 vol-1.pdf,25
2005-06,ANDAMAN & NICOBAR ISLANDS,ANDAMANS,3,English,District report card 2005-06 vol-1.pdf,25
2005-06,ANDAMAN & NICOBAR ISLANDS,ANDAMANS,4,Tamil,District report card 2005-06 vol-1.pdf,25
2005-06,ANDAMAN & NICOBAR ISLANDS,ANDAMANS,5,Telugu,District report card 2005-06 vol-1.pdf,25
2005-06,ANDAMAN & NICOBAR ISLANDS,NICOBARS,1,Hindi,District report card 2005-06 vol-1.pdf,26
2005-06,ANDAMAN & NICOBAR ISLANDS,NICOBARS,2,English,District report card 2005-06 vol-1.pdf,26
2005-06,ANDAMAN & NICOBAR ISLANDS,NICOBARS,3,Others,District report card 2005-06 vol-1.pdf,26
2005-06,ANDAMAN & NICOBAR ISLANDS,NICOBARS,4,Tamil,District report card 2005-06 vol-1.pdf,26
2005-06,ANDHRA PRADESH,ADILABAD,1,Telugu,District report card 2005-06 vol-1.pdf,27
2005-06,ANDHRA PRADESH,ADILABAD,2,English,District report card 2005-06 vol-1.pdf,27
2005-06,ANDHRA PRADESH,ADILABAD,3,Urdu,District report card 2005-06 vol-1.pdf,27
2005-06,ANDHRA PRADESH,ADILABAD,4,Hindi,District report card 2005-06 vol-1.pdf,27
2005-06,ANDHRA PRADESH,ADILABAD,5,Marathi,District report card 2005-06 vol-1.pdf,27
2005-06,ANDHRA PRADESH,ANANTAPUR,1,Telugu,District report card 2005-06 vol-1.pdf,28
2005-06,ANDHRA PRADESH,ANANTAPUR,2,English,District report card 2005-06 vol-1.pdf,28
2005-06,ANDHRA PRADESH,ANANTAPUR,3,Urdu,District report card 2005-06 vol-1.pdf,28
2005-06,ANDHRA PRADESH,ANANTAPUR,4,Kannada,District report card 2005-06 vol-1.pdf,28
2005-06,ANDHRA PRADESH,CHITTOOR,1,Telugu,District report card 2005-06 vol-1.pdf,29
2005-06,ANDHRA PRADESH,CHITTOOR,2,English,District report card 2005-06 vol-1.pdf,29
2005-06,ANDHRA PRADESH,CHITTOOR,3,Urdu,District report card 2005-06 vol-1.pdf,29
2005-06,ANDHRA PRADESH,CHITTOOR,4,Tamil,District report card 2005-06 vol-1.pdf,29
2005-06,ANDHRA PRADESH,CUDDAPAH,1,Telugu,District report card 2005-06 vol-1.pdf,30
2005-06,ANDHRA PRADESH,CUDDAPAH,2,English,District report card 2005-06 vol-1.pdf,30
2005-06,ANDHRA PRADESH,CUDDAPAH,3,Urdu,District report card 2005-06 vol-1.pdf,30
2005-06,ANDHRA PRADESH,EAST GODAVARI,1,Telugu,District report card 2005-06 vol-1.pdf,31
2005-06,ANDHRA PRADESH,EAST GODAVARI,2,English,District report card 2005-06 vol-1.pdf,31
2005-06,ANDHRA PRADESH,EAST GODAVARI,3,Urdu,District report card 2005-06 vol-1.pdf,31
2005-06,ANDHRA PRADESH,GUNTUR,1,Telugu,District report card 2005-06 vol-1.pdf,32
2005-06,ANDHRA PRADESH,GUNTUR,2,English,District report card 2005-06 vol-1.pdf,32
2005-06,ANDHRA PRADESH,GUNTUR,3,Urdu,District report card 2005-06 vol-1.pdf,32
2005-06,ANDHRA PRADESH,HYDERABAD,1,English,District report card 2005-06 vol-1.pdf,33
2005-06,ANDHRA PRADESH,HYDERABAD,2,Telugu,District report card 2005-06 vol-1.pdf,33
2005-06,ANDHRA PRADESH,HYDERABAD,3,Urdu,District report card 2005-06 vol-1.pdf,33
2005-06,ANDHRA PRADESH,HYDERABAD,4,Hindi,District report card 2005-06 vol-1.pdf,33
2005-06,ANDHRA PRADESH,HYDERABAD,5,Marathi,District report card 2005-06 vol-1.pdf,33
2005-06,ANDHRA PRADESH,KARIMNAGAR,1,Telugu,District report card 2005-06 vol-1.pdf,34
2005-06,ANDHRA PRADESH,KARIMNAGAR,2,English,District report card 2005-06 vol-1.pdf,34
2005-06,ANDHRA PRADESH,KARIMNAGAR,3,Urdu,District report card 2005-06 vol-1.pdf,34
2005-06,ANDHRA PRADESH,KARIMNAGAR,4,Hindi,District report card 2005-06 vol-1.pdf,34
2005-06,ANDHRA PRADESH,KHAMMAM,1,Telugu,District report card 2005-06 vol-1.pdf,35
2005-06,ANDHRA PRADESH,KHAMMAM,2,English,District report card 2005-06 vol-1.pdf,35
2005-06,ANDHRA PRADESH,KHAMMAM,3,Urdu,District report card 2005-06 vol-1.pdf,35
2005-06,ANDHRA PRADESH,KRISHNA,1,Telugu,District report card 2005-06 vol-1.pdf,36
2005-06,ANDHRA PRADESH,KRISHNA,2,English,District report card 2005-06 vol-1.pdf,36
2005-06,ANDHRA PRADESH,KRISHNA,3,Urdu,District report card 2005-06 vol-1.pdf,36
2005-06,ANDHRA PRADESH,KRISHNA,4,Hindi,District report card 2005-06 vol-1.pdf,36
2005-06,ANDHRA PRADESH,KRISHNA,5,Tamil,District report card 2005-06 vol-1.pdf,36
2005-06,ANDHRA PRADESH,KURNOOL,1,Telugu,District report card 2005-06 vol-1.pdf,37
2005-06,ANDHRA PRADESH,KURNOOL,2,English,District report card 2005-06 vol-1.pdf,37
2005-06,ANDHRA PRADESH,KURNOOL,3,Urdu,District report card 2005-06 vol-1.pdf,37
2005-06,ANDHRA PRADESH,KURNOOL,4,Kannada,District report card 2005-06 vol-1.pdf,37
2005-06,ANDHRA PRADESH,MAHBUBNAGAR,1,Telugu,District report card 2005-06 vol-1.pdf,38
2005-06,ANDHRA PRADESH,MAHBUBNAGAR,2,English,District report card 2005-06 vol-1.pdf,38
2005-06,ANDHRA PRADESH,MAHBUBNAGAR,3,Urdu,District report card 2005-06 vol-1.pdf,38
2005-06,ANDHRA PRADESH,MAHBUBNAGAR,4,Kannada,District report card 2005-06 vol-1.pdf,38
2005-06,ANDHRA PRADESH,MAHBUBNAGAR,5,Hindi,District report card 2005-06 vol-1.pdf,38
2005-06,ANDHRA PRADESH,MEDAK,1,Telugu,District report card 2005-06 vol-1.pdf,39
2005-06,ANDHRA PRADESH,MEDAK,2,English,District report card 2005-06 vol-1.pdf,39
2005-06,ANDHRA PRADESH,MEDAK,3,Urdu,District report card 2005-06 vol-1.pdf,39
2005-06,ANDHRA PRADESH,MEDAK,4,Kannada,District report card 2005-06 vol-1.pdf,39
2005-06,ANDHRA PRADESH,MEDAK,5,Hindi,District report card 2005-06 vol-1.pdf,39
