state_code_source,district_code_source,state_name_source,district_name_source,nss_region
35,01,A & N Islands,Nicobars,351
35,02,A & N Islands,North & Middle Andaman,351
35,03,A & N Islands,South Andaman,351
28,01,Andhra Pradesh,Srikakulam,281
28,02,Andhra Pradesh,Vizianagaram,281
28,03,Andhra Pradesh,Visakhapatnam,281
28,04,Andhra Pradesh,East Godavari,281
28,05,Andhra Pradesh,West Godavari,281
28,06,Andhra Pradesh,Krishna,282
28,07,Andhra Pradesh,Guntur,282
28,08,Andhra Pradesh,Prakasam,282
28,09,Andhra Pradesh,Sri Potti Sriramulu Nellore,282
28,10,Andhra Pradesh,Y.S.R. (Cuddapah),283
28,11,Andhra Pradesh,Kurnool,283
28,12,Andhra Pradesh,Anantapur,283
28,13,Andhra Pradesh,Chittoor,283
12,01,Arunachal Pradesh,Tawang,121
12,02,Arunachal Pradesh,West Kameng,121
12,03,Arunachal Pradesh,East Kameng,121
12,04,Arunachal Pradesh,Papum Pare,121
12,05,Arunachal Pradesh,Upper Subansiri,121
12,06,Arunachal Pradesh,West Siang,121
12,07,Arunachal Pradesh,East Siang,121
12,08,Arunachal Pradesh,Upper Siang,121
12,09,Arunachal Pradesh,Changlang,121
12,10,Arunachal Pradesh,Tirap,121
12,11,Arunachal Pradesh,Lower Subansiri,121
12,12,Arunachal Pradesh,Kurung Kumey,121
12,13,Arunachal Pradesh,Dibang Valley,121
12,14,Arunachal Pradesh,Lower Dibang Valley,121
12,15,Arunachal Pradesh,Lohit,121
12,16,Arunachal Pradesh,Anjaw,121
18,08,Assam,Lakhimpur,181
18,09,Assam,Dhemaji,181
18,10,Assam,Tinsukia,181
18,11,Assam,Dibrugarh,181
18,12,Assam,Sivasagar,181
18,13,Assam,Jorhat,181
18,14,Assam,Golaghat,181
18,30,Assam,Charaideo,181
18,33,Assam,Majuli,181
18,01,Assam,Kokrajhar,182
18,02,Assam,Dhubri,182
18,03,Assam,Goalpara,182
18,04,Assam,Barpeta,182
18,20,Assam,Bongaigaon,182
18,21,Assam,Chirang,182
18,22,Assam,Kamrup,182
18,23,Assam,Kamrup Metropolitan,182
18,24,Assam,Nalbari,182
18,25,Assam,Baksa,182
18,31,Assam,South Salmara Mankachar,182
18,15,Assam,Karbi Anglong,183
18,16,Assam,Dima Hasao,183
18,17,Assam,Cachar,183
18,18,Assam,Karimganj,183
18,19,Assam,Hailakandi,183
18,29,Assam,West karbi Anglong,183
18,05,Assam,Morigaon,184
18,06,Assam,Nagaon,184
18,07,Assam,Sonitpur,184
18,26,Assam,Darrang,184
18,27,Assam,Udalguri,184
18,28,Assam,Hojai,184
18,32,Assam,Biswanath,184
10,01,Bihar,Pashchim Champaran,101
10,02,Bihar,Purba Champaran,101
10,03,Bihar,Sheohar,101
10,04,Bihar,Sitamarhi,101
10,05,Bihar,Madhubani,101
10,06,Bihar,Supaul,101
10,07,Bihar,Araria,101
10,08,Bihar,Kishanganj,101
10,09,Bihar,Purnia,101
10,10,Bihar,Katihar,101
10,11,Bihar,Madhepura,101
10,12,Bihar,Saharsa,101
10,13,Bihar,Darbhanga,101
10,14,Bihar,Muzaffarpur,101
10,15,Bihar,Gopalganj,101
10,16,Bihar,Siwan,101
10,17,Bihar,Saran,101
10,18,Bihar,Vaishali,101
10,19,Bihar,Samastipur,101
10,20,Bihar,Begusarai,101
10,21,Bihar,Khagaria,101
10,22,Bihar,Bhagalpur,102
10,23,Bihar,Banka,102
10,24,Bihar,Munger,102
10,25,Bihar,Lakhisarai,102
10,26,Bihar,Sheikhpura,102
10,27,Bihar,Nalanda,102
10,28,Bihar,Patna,102
10,29,Bihar,Bhojpur,102
10,30,Bihar,Buxar,102
10,31,Bihar,Kaimur (Bhabua),102
10,32,Bihar,Rohtas,102
10,33,Bihar,Aurangabad,102
10,34,Bihar,Gaya,102
10,35,Bihar,Nawada,102
10,36,Bihar,Jamui,102
10,37,Bihar,Jehanabad,102
10,38,Bihar,Arwal,102
04,01,Chandigarh,Chandigarh,041
22,01,Chhattisgarh,Koriya,221
22,02,Chhattisgarh,Surguja,221
22,26,Chhattisgarh,Surajpur,221
22,27,Chhattisgarh,Balrampur,221
22,03,Chhattisgarh,Jashpur,222
22,04,Chhattisgarh,Raigarh,222
22,05,Chhattisgarh,Korba,222
22,06,Chhattisgarh,Janjgir-Champa,222
22,07,Chhattisgarh,Bilaspur,222
22,08,Chhattisgarh,Kabeerdham,222
22,09,Chhattisgarh,Rajnandgaon,222
22,10,Chhattisgarh,Durg,222
22,11,Chhattisgarh,Raipur,222
22,12,Chhattisgarh,Mahasamund,222
22,13,Chhattisgarh,Dhamtari,222
22,19,Chhattisgarh,Balodabazar,222
22,20,Chhattisgarh,Gariyaband,222
22,23,Chhattisgarh,Bemetara,222
22,24,Chhattisgarh,Balod,222
22,25,Chhattisgarh,Mungeli,222
22,14,Chhattisgarh,Uttar Bastar Kanker,223
22,15,Chhattisgarh,Bastar,223
22,16,Chhattisgarh,Narayanpur,223
22,17,Chhattisgarh,Dakshin Bastar Dantewada,223
22,18,Chhattisgarh,Bijapur,223
22,21,Chhattisgarh,Kondagaon,223
22,22,Chhattisgarh,Sukama,223
25,01,Dadra & Nagar Haveli and Daman & Diu,Diu,251
25,02,Dadra & Nagar Haveli and Daman & Diu,Daman,251
25,03,Dadra & Nagar Haveli and Daman & Diu,Dadra & Nagar Haveli,251
07,01,Delhi,North West,071
07,02,Delhi,North,071
07,03,Delhi,North East,071
07,04,Delhi,East,071
07,05,Delhi,New Delhi,071
07,06,Delhi,Central,071
07,07,Delhi,West,071
07,08,Delhi,South West,071
07,09,Delhi,South,071
30,01,Goa,North Goa,301
30,02,Goa,South Goa,301
24,17,Gujarat,Panch Mahals,241
24,18,Gujarat,Dohad,241
24,19,Gujarat,Vadodara,241
24,20,Gujarat,Narmada,241
24,21,Gujarat,Bharuch,241
24,22,Gujarat,The Dangs,241
24,23,Gujarat,Navsari,241
24,24,Gujarat,Valsad,241
24,25,Gujarat,Surat,241
24,26,Gujarat,Tapi,241
24,29,Gujarat,Chhota Udepur,241
24,32,Gujarat,Mahisagar,241
24,04,Gujarat,Mahesana,242
24,05,Gujarat,Sabar Kantha,242
24,06,Gujarat,Gandhinagar,242
24,07,Gujarat,Ahmadabad,242
24,15,Gujarat,Anand,242
24,16,Gujarat,Kheda,242
24,27,Gujarat,Arvalli,242
24,02,Gujarat,Banas Kantha,243
24,03,Gujarat,Patan,243
24,01,Gujarat,Kachchh,244
24,08,Gujarat,Surendranagar,245
24,09,Gujarat,Rajkot,245
24,10,Gujarat,Jamnagar,245
24,11,Gujarat,Porbandar,245
24,12,Gujarat,Junagadh,245
24,13,Gujarat,Amreli,245
24,14,Gujarat,Bhavnagar,245
24,28,Gujarat,Botad,245
24,30,Gujarat,Dev Bhumi-Dwarka,245
24,31,Gujarat,Gir Somnath,245
24,33,Gujarat,Morbi,245
06,01,Haryana,Panchkula,061
06,02,Haryana,Ambala,061
06,03,Haryana,Yamunanagar,061
06,04,Haryana,Kurukshetra,061
06,05,Haryana,Kaithal,061
06,06,Haryana,Karnal,061
06,07,Haryana,Panipat,061
06,08,Haryana,Sonipat,061
06,14,Haryana,Rohtak,061
06,15,Haryana,Jhajjar,061
06,18,Haryana,Gurgaon,061
06,19,Haryana,Mewat,061
06,20,Haryana,Faridabad,061
06,21,Haryana,Palwal,061
06,09,Haryana,Jind,062
06,10,Haryana,Fatehabad,062
06,11,Haryana,Sirsa,062
06,12,Haryana,Hisar,062
06,13,Haryana,Bhiwani,062
06,16,Haryana,Mahendragarh,062
06,17,Haryana,Rewari,062
02,02,Himachal Pradesh,Kangra,021
02,04,Himachal Pradesh,Kullu,021
02,05,Himachal Pradesh,Mandi,021
02,06,Himachal Pradesh,Hamirpur,021
02,07,Himachal Pradesh,Una,021
02,01,Himachal Pradesh,Chamba,022
02,03,Himachal Pradesh,Lahul & Spiti,022
02,08,Himachal Pradesh,Bilaspur,022
02,09,Himachal Pradesh,Solan,022
02,10,Himachal Pradesh,Sirmaur,022
02,11,Himachal Pradesh,Shimla,022
02,12,Himachal Pradesh,Kinnaur,022
01,07,Jammu & Kashmir,Kathua,011
01,21,Jammu & Kashmir,Jammu,011
01,22,Jammu & Kashmir,Samba,011
01,05,Jammu & Kashmir,Punch,012
01,06,Jammu & Kashmir,Rajouri,012
01,16,Jammu & Kashmir,Doda,012
01,17,Jammu & Kashmir,Ramban,012
01,18,Jammu & Kashmir,Kishtwar,012
01,19,Jammu & Kashmir,Udhampur,012
01,20,Jammu & Kashmir,Reasi,012
01,01,Jammu & Kashmir,Kupwara,013
01,02,Jammu & Kashmir,Badgam,013
01,08,Jammu & Kashmir,Baramula,013
01,09,Jammu & Kashmir,Bandipore,013
01,10,Jammu & Kashmir,Srinagar,013
01,11,Jammu & Kashmir,Ganderbal,013
01,12,Jammu & Kashmir,Pulwama,013
01,13,Jammu & Kashmir,Shupiyan,013
01,14,Jammu & Kashmir,Anantnag,013
01,15,Jammu & Kashmir,Kulgam,013
20,01,Jharkhand,Garhwa,201
20,11,Jharkhand,Lohardaga,201
20,12,Jharkhand,Purbi Singhbhum,201
