language_code,anchor_code,anchor,shastry_degree,similarity_pct,source_page
AWD,HND,Hindi,0,92,236
AWD,PNJ,Punjabi,1,91,236
AWD,RAJ,Rajasthani,1,90,236
AWD,GUJ,Gujarati,1,84,236
AWD,MAR,Marathi,2,70,236
AWD,BNG,Bengali,3,74,236
AWD,ASS,Assamese,3,76,236
AWD,ORY,Oriya,3,78,236
AWD,SND,Sindhi,4,78,236
AWD,KCH,Kutchi,4,79,236
AWD,SNG,Sinhalese,4,56,236
GRH,HND,Hindi,0,85,236
GRH,PNJ,Punjabi,1,82,236
GRH,RAJ,Rajasthani,1,79,236
GRH,GUJ,Gujarati,1,76,236
GRH,MAR,Marathi,2,57,236
GRH,BNG,Bengali,3,69,236
GRH,ASS,Assamese,3,71,236
GRH,ORY,Oriya,3,72,236
GRH,SND,Sindhi,4,69,236
GRH,KCH,Kutchi,4,68,236
GRH,SNG,Sinhalese,4,50,236
KUM,HND,Hindi,0,90,236
KUM,PNJ,Punjabi,1,89,236
KUM,RAJ,Rajasthani,1,84,236
KUM,GUJ,Gujarati,1,78,236
KUM,MAR,Marathi,2,64,236
KUM,BNG,Bengali,3,71,236
KUM,ASS,Assamese,3,73,236
KUM,ORY,Oriya,3,75,236
KUM,SND,Sindhi,4,75,236
KUM,KCH,Kutchi,4,76,236
KUM,SNG,Sinhalese,4,56,236
MND,HND,Hindi,0,91,236
MND,PNJ,Punjabi,1,91,236
MND,RAJ,Rajasthani,1,86,236
MND,GUJ,Gujarati,1,85,236
MND,MAR,Marathi,2,69,236
MND,BNG,Bengali,3,72,236
MND,ASS,Assamese,3,73,236
MND,ORY,Oriya,3,75,236
MND,SND,Sindhi,4,78,236
MND,KCH,Kutchi,4,77,236
MND,SNG,Sinhalese,4,55,236
WGD,HND,Hindi,0,78,236
WGD,PNJ,Punjabi,1,75,236
WGD,RAJ,Rajasthani,1,76,236
WGD,GUJ,Gujarati,1,77,236
WGD,MAR,Marathi,2,64,236
WGD,BNG,Bengali,3,60,236
WGD,ASS,Assamese,3,60,236
WGD,ORY,Oriya,3,68,236
WGD,SND,Sindhi,4,67,236
WGD,KCH,Kutchi,4,70,236
WGD,SNG,Sinhalese,4,47,236
NEP,HND,Hindi,0,78,236
NEP,PNJ,Punjabi,1,76,236
NEP,RAJ,Rajasthani,1,76,236
NEP,GUJ,Gujarati,1,75,236
NEP,MAR,Marathi,2,64,236
NEP,BNG,Bengali,3,66,236
NEP,ASS,Assamese,3,71,236
NEP,ORY,Oriya,3,74,236
NEP,SND,Sindhi,4,67,236
NEP,KCH,Kutchi,4,71,236
NEP,SNG,Sinhalese,4,53,236
DGR,HND,Hindi,0,87,236
DGR,PNJ,Punjabi,1,93,236
DGR,RAJ,Rajasthani,1,84,236
DGR,GUJ,Gujarati,1,79,236
DGR,MAR,Marathi,2,67,236
DGR,BNG,Bengali,3,68,236
DGR,ASS,Assamese,3,67,236
DGR,ORY,Oriya,3,69,236
DGR,SND,Sindhi,4,82,236
DGR,KCH,Kutchi,4,79,236
DGR,SNG,Sinhalese,4,55,236
LHD,HND,Hindi,0,85,236
LHD,PNJ,Punjabi,1,90,236
LHD,RAJ,Rajasthani,1,80,236
LHD,GUJ,Gujarati,1,74,236
LHD,MAR,Marathi,2,63,236
LHD,BNG,Bengali,3,67,236
LHD,ASS,Assamese,3,67,236
LHD,ORY,Oriya,3,67,236
LHD,SND,Sindhi,4,84,236
LHD,KCH,Kutchi,4,86,236
LHD,SNG,Sinhalese,4,50,236
GJR,HND,Hindi,0,91,236
GJR,PNJ,Punjabi,1,93,236
GJR,RAJ,Rajasthani,1,84,236
GJR,GUJ,Gujarati,1,81,236
GJR,MAR,Marathi,2,69,236
GJR,BNG,Bengali,3,69,236
GJR,ASS,Assamese,3,67,236
GJR,ORY,Oriya,3,70,236
GJR,SND,Sindhi,4,81,236
GJR,KCH,Kutchi,4,75,236
GJR,SNG,Sinhalese,4,52,236
BNJ,HND,Hindi,0,79,236
BNJ,PNJ,Punjabi,1,80,236
BNJ,RAJ,Rajasthani,1,82,236
BNJ,GUJ,Gujarati,1,82,236
BNJ,MAR,Marathi,2,67,236
BNJ,BNG,Bengali,3,58,236
BNJ,ASS,Assamese,3,63,236
BNJ,ORY,Oriya,3,63,236
BNJ,SND,Sindhi,4,73,236
BNJ,KCH,Kutchi,4,75,236
BNJ,SNG,Sinhalese,4,46,236
