state_code_1991,district_code_1991,state_name_1991,atlas_population_candidate,pca91_population,atlas_column,language_1991,canonical_language,accepted_speaker_count,accepted_count_basis,cell_review_decision,cell_review_basis,page,raw_value,speaker_count_candidate,parse_status,alignment_status,n_atlas_language_columns,n_accepted_values,n_review_required,accepted_speaker_lower_bound,accepted_speaker_lower_bound_share_atlas,coverage_status
02,01,ANDHRA PRADESH,2321126,2318147,4,Assamese,Assamese,0,machine_candidate,,,205,0,0,parsed,population_validated_row,11,8,3,2008,0.0008650973708450123,incomplete_alignment
02,01,ANDHRA PRADESH,2321126,2318147,5,Bengali,Bengali,113,machine_candidate,,,205,113,113,parsed,population_validated_row,11,8,3,2008,0.0008650973708450123,incomplete_alignment
02,01,ANDHRA PRADESH,2321126,2318147,6,Gujarati,Gujarati,,unresolved,,,205,&I,,unparsed,population_validated_row,11,8,3,2008,0.0008650973708450123,incomplete_alignment
02,01,ANDHRA PRADESH,2321126,2318147,7,Hindi,Hindi,1340,machine_candidate,,,205,"1,340",1340,parsed,population_validated_row,11,8,3,2008,0.0008650973708450123,incomplete_alignment
02,01,ANDHRA PRADESH,2321126,2318147,8,Kannada,Kannada,,unresolved,,,205,.%,,unparsed,population_validated_row,11,8,3,2008,0.0008650973708450123,incomplete_alignment
02,01,ANDHRA PRADESH,2321126,2318147,9,Kashmiri,Kashmiri,0,machine_candidate,,,205,0,0,parsed,population_validated_row,11,8,3,2008,0.0008650973708450123,incomplete_alignment
02,01,ANDHRA PRADESH,2321126,2318147,10,Konkani,Konkani,7,machine_candidate,,,205,7,7,parsed,population_validated_row,11,8,3,2008,0.0008650973708450123,incomplete_alignment
02,01,ANDHRA PRADESH,2321126,2318147,11,Malayalam,Malayalam,248,machine_candidate,,,205,248,248,parsed,population_validated_row,11,8,3,2008,0.0008650973708450123,incomplete_alignment
02,01,ANDHRA PRADESH,2321126,2318147,12,Manipuri,Manipuri,0,machine_candidate,,,205,0,0,parsed,population_validated_row,11,8,3,2008,0.0008650973708450123,incomplete_alignment
02,01,ANDHRA PRADESH,2321126,2318147,13,Marathi,Marathi,300,machine_candidate,,,205,300,300,parsed,population_validated_row,11,8,3,2008,0.0008650973708450123,incomplete_alignment
02,01,ANDHRA PRADESH,2321126,2318147,14,Nepali,Nepali,,unresolved,,,205,:f) 89,,unparsed,population_validated_row,11,8,3,2008,0.0008650973708450123,incomplete_alignment
02,02,ANDHRA PRADESH,2110943,2107412,4,Assamese,Assamese,2,machine_candidate,,,205,2,2,parsed,population_validated_row,26,25,1,10929,0.005177307013974323,incomplete_alignment
02,02,ANDHRA PRADESH,2110943,2107412,5,Bengali,Bengali,183,machine_candidate,,,205,183,183,parsed,population_validated_row,26,25,1,10929,0.005177307013974323,incomplete_alignment
02,02,ANDHRA PRADESH,2110943,2107412,6,Gujarati,Gujarati,295,machine_candidate,,,205,295,295,parsed,population_validated_row,26,25,1,10929,0.005177307013974323,incomplete_alignment
