state_code_1991,district_code_1991,atlas_column,review_decision,reviewed_speaker_count,expected_page,expected_raw_value,expected_candidate_count,expected_parse_status,expected_alignment_status,review_basis
02,23,6,accept_extracted,,205,166,166,parsed,population_validated_row,Direct visual review of Language Atlas of India 1991 Annexure IV PDF page 205; printed district-language value matches extraction.
02,23,7,accept_extracted,,205,"237,184",237184,parsed,population_validated_row,Direct visual review of Language Atlas of India 1991 Annexure IV PDF page 205; printed district-language value matches extraction.
02,23,8,accept_extracted,,205,412,412,parsed,population_validated_row,Direct visual review of Language Atlas of India 1991 Annexure IV PDF page 205; printed district-language value matches extraction.
02,23,12,accept_extracted,,205,965,965,parsed,population_validated_row,Direct visual review of Language Atlas of India 1991 Annexure IV PDF page 205; printed district-language value matches extraction.
02,23,13,accept_extracted,,205,"1,820",1820,parsed,population_validated_row,Direct visual review of Language Atlas of India 1991 Annexure IV PDF page 205; printed district-language value matches extraction.
02,23,14,accept_extracted,,205,217,217,parsed,population_validated_row,Direct visual review of Language Atlas of India 1991 Annexure IV PDF page 205; printed district-language value matches extraction.
02,23,15,accept_extracted,,206,342,342,parsed,exact_label,Direct visual review of Language Atlas of India 1991 Annexure IV PDF page 206; printed district-language value matches extraction.
02,23,16,accept_extracted,,206,340,340,parsed,exact_label,Direct visual review of Language Atlas of India 1991 Annexure IV PDF page 206; printed district-language value matches extraction.
02,23,19,accept_extracted,,206,"5,087",5087,parsed,exact_label,Direct visual review of Language Atlas of India 1991 Annexure IV PDF page 206; printed district-language value matches extraction.
02,23,20,accept_extracted,,206,"2,466.148",2466148,parsed,exact_label,Direct visual review of Language Atlas of India 1991 Annexure IV PDF page 206; printed district-language value matches extraction.
02,23,21,accept_extracted,,206,"139,290",139290,parsed,exact_label,Direct visual review of Language Atlas of India 1991 Annexure IV PDF page 206; printed district-language value matches extraction.
02,23,39,accept_extracted,,207,108,108,parsed,exact_label,Direct visual review of Language Atlas of India 1991 Annexure IV PDF page 207; printed district-language value matches extraction.
04,05,4,accept_extracted,,205,"868,199",868199,parsed,population_validated_row,Direct visual review of Language Atlas of India 1991 Annexure IV PDF page 205; printed district-language value matches extraction.
