atlas_column,language_1991,canonical_language,scheduled_1991,language_family_1991,shastry_family_class,source_basis,review_status
4,Assamese,Assamese,true,Indo-Aryan,indo_european,Language Atlas of India 1991 Annexure II/IV; official 114-language inventory,accepted
5,Bengali,Bengali,true,Indo-Aryan,indo_european,Language Atlas of India 1991 Annexure II/IV; official 114-language inventory,accepted
6,Gujarati,Gujarati,true,Indo-Aryan,indo_european,Language Atlas of India 1991 Annexure II/IV; official 114-language inventory,accepted
7,Hindi,Hindi,true,Indo-Aryan,indo_european,Language Atlas of India 1991 Annexure II/IV; official 114-language inventory,accepted
8,Kannada,Kannada,true,Dravidian,non_indo_european,Language Atlas of India 1991 Annexure II/IV; official 114-language inventory,accepted
9,Kashmiri,Kashmiri,true,Indo-Aryan,indo_european,Language Atlas of India 1991 Annexure II/IV; official 114-language inventory,accepted
10,Konkani,Konkani,true,Indo-Aryan,indo_european,Language Atlas of India 1991 Annexure II/IV; official 114-language inventory,accepted
11,Malayalam,Malayalam,true,Dravidian,non_indo_european,Language Atlas of India 1991 Annexure II/IV; official 114-language inventory,accepted
12,Manipuri,Manipuri,true,Tibeto-Burmese,non_indo_european,Language Atlas of India 1991 Annexure II/IV; official 114-language inventory,accepted
13,Marathi,Marathi,true,Indo-Aryan,indo_european,Language Atlas of India 1991 Annexure II/IV; official 114-language inventory,accepted
14,Nepali,Nepali,true,Indo-Aryan,indo_european,Language Atlas of India 1991 Annexure II/IV; official 114-language inventory,accepted
15,Oriya,Oriya,true,Indo-Aryan,indo_european,Language Atlas of India 1991 Annexure II/IV; official 114-language inventory,accepted
16,Punjabi,Punjabi,true,Indo-Aryan,indo_european,Language Atlas of India 1991 Annexure II/IV; official 114-language inventory,accepted
17,Sanskrit,Sanskrit,true,Indo-Aryan,indo_european,Language Atlas of India 1991 Annexure II/IV; official 114-language inventory,accepted
18,Sindhi,Sindhi,true,Indo-Aryan,indo_european,Language Atlas of India 1991 Annexure II/IV; official 114-language inventory,accepted
19,Tamil,Tamil,true,Dravidian,non_indo_european,Language Atlas of India 1991 Annexure II/IV; official 114-language inventory,accepted
20,Telugu,Telugu,true,Dravidian,non_indo_european,Language Atlas of India 1991 Annexure II/IV; official 114-language inventory,accepted
21,Urdu,Urdu,true,Indo-Aryan,indo_european,Language Atlas of India 1991 Annexure II/IV; official 114-language inventory,accepted
22,Adi,Adi,false,Tibeto-Burmese,non_indo_european,Language Atlas of India 1991 Annexure II/IV; official 114-language inventory,accepted
23,Anal,Anal,false,Tibeto-Burmese,non_indo_european,Language Atlas of India 1991 Annexure II/IV; official 114-language inventory,accepted
24,Angami,Angami,false,Tibeto-Burmese,non_indo_european,Language Atlas of India 1991 Annexure II/IV; official 114-language inventory,accepted
25,Ao,Ao,false,Tibeto-Burmese,non_indo_european,Language Atlas of India 1991 Annexure II/IV; official 114-language inventory,accepted
26,Arabic/Arbi,Arabic/Arbi,false,Semito-Hamitic,non_indo_european,Language Atlas of India 1991 Annexure II/IV; official 114-language inventory,accepted
27,Bhili/Bhilodi,Bhili/Bhilodi,false,Indo-Aryan,indo_european,Language Atlas of India 1991 Annexure II/IV; official 114-language inventory,accepted
28,Bhotia,Bhotia,false,Tibeto-Burmese,non_indo_european,Language Atlas of India 1991 Annexure II/IV; official 114-language inventory,accepted
29,Bhumij,Bhumij,false,Austro-Asiatic,non_indo_european,Language Atlas of India 1991 Annexure II/IV; official 114-language inventory,accepted
30,Bishnupuriya,Bishnupuriya,false,Indo-Aryan,indo_european,Language Atlas of India 1991 Annexure II/IV; official 114-language inventory,accepted
31,Bodo/Boro,Bodo,false,Tibeto-Burmese,non_indo_european,Language Atlas of India 1991 Annexure II/IV; official 114-language inventory,accepted
32,Chakhesang,Chakhesang,false,Tibeto-Burmese,non_indo_european,Language Atlas of India 1991 Annexure II/IV; official 114-language inventory,accepted
33,Chakru/Chokri,Chakru/Chokri,false,Tibeto-Burmese,non_indo_european,Language Atlas of India 1991 Annexure II/IV; official 114-language inventory,accepted
34,Chang,Chang,false,Tibeto-Burmese,non_indo_european,Language Atlas of India 1991 Annexure II/IV; official 114-language inventory,accepted
35,Coorgi/Kodagu,Coorgi/Kodagu,false,Dravidian,non_indo_european,Language Atlas of India 1991 Annexure II/IV; official 114-language inventory,accepted
36,Deori,Deori,false,Tibeto-Burmese,non_indo_european,Language Atlas of India 1991 Annexure II/IV; official 114-language inventory,accepted
37,Dimasa,Dimasa,false,Tibeto-Burmese,non_indo_european,Language Atlas of India 1991 Annexure II/IV; official 114-language inventory,accepted
38,Dogri,Dogri,false,Indo-Aryan,indo_european,Language Atlas of India 1991 Annexure II/IV; official 114-language inventory,accepted
39,English,English,false,Germanic,special_english,Language Atlas of India 1991 Annexure II/IV; official 114-language inventory,accepted
40,Gadaba,Gadaba,false,Austro-Asiatic,non_indo_european,Language Atlas of India 1991 Annexure II/IV; official 114-language inventory,accepted
41,Gangte,Gangte,false,Tibeto-Burmese,non_indo_european,Language Atlas of India 1991 Annexure II/IV; official 114-language inventory,accepted
42,Garo,Garo,false,Tibeto-Burmese,non_indo_european,Language Atlas of India 1991 Annexure II/IV; official 114-language inventory,accepted
43,Gondi,Gondi,false,Dravidian,non_indo_european,Language Atlas of India 1991 Annexure II/IV; official 114-language inventory,accepted
44,Halabi,Halabi,false,Indo-Aryan,indo_european,Language Atlas of India 1991 Annexure II/IV; official 114-language inventory,accepted
45,Halam,Halam,false,Tibeto-Burmese,non_indo_european,Language Atlas of India 1991 Annexure II/IV; official 114-language inventory,accepted
46,Hmar,Hmar,false,Tibeto-Burmese,non_indo_european,Language Atlas of India 1991 Annexure II/IV; official 114-language inventory,accepted
47,Ho,Ho,false,Austro-Asiatic,non_indo_european,Language Atlas of India 1991 Annexure II/IV; official 114-language inventory,accepted
48,Jatapu,Jatapu,false,Dravidian,non_indo_european,Language Atlas of India 1991 Annexure II/IV; official 114-language inventory,accepted
