atlas_label_raw,state_code_1991,state_name_1991,source_basis
ANDHRA PRADESH,02,ANDHRA PRADESH,ORGI 1991 state code list; Atlas scan label reviewed against Annexure IV
ARUNACHAL PRADESH,03,ARUNACHAL PRADESH,ORGI 1991 state code list; Atlas scan label reviewed against Annexure IV
ASSAM,04,ASSAM,ORGI 1991 state code list; Atlas scan label reviewed against Annexure IV
BIHAR,05,BIHAR,ORGI 1991 state code list; Atlas scan label reviewed against Annexure IV
GOA,06,GOA,ORGI 1991 state code list; Atlas scan label reviewed against Annexure IV
GUJARAT,07,GUJARAT,ORGI 1991 state code list; Atlas scan label reviewed against Annexure IV
HARYANA,08,HARYANA,ORGI 1991 state code list; Atlas scan label reviewed against Annexure IV
HIMACHAL PRADESH,09,HIMACHAL PRADESH,ORGI 1991 state code list; Atlas scan label reviewed against Annexure IV
KARNATAKA,11,KARNATAKA,ORGI 1991 state code list; Atlas scan label reviewed against Annexure IV
KERAIA,12,KERALA,ORGI 1991 state code list; Atlas scan label reviewed against Annexure IV
MADHYA PRADESH,13,MADHYA PRADESH,ORGI 1991 state code list; Atlas scan label reviewed against Annexure IV
MAHARASHTRA,14,MAHARASHTRA,ORGI 1991 state code list; Atlas scan label reviewed against Annexure IV
MANJPUR,15,MANIPUR,ORGI 1991 state code list; Atlas scan label reviewed against Annexure IV
MEGHALAYA,16,MEGHALAYA,ORGI 1991 state code list; Atlas scan label reviewed against Annexure IV
MIZORAM,17,MIZORAM,ORGI 1991 state code list; Atlas scan label reviewed against Annexure IV
NAGALAND,18,NAGALAND,ORGI 1991 state code list; Atlas scan label reviewed against Annexure IV
ORISSA,19,ORISSA,ORGI 1991 state code list; Atlas scan label reviewed against Annexure IV
PUNJAB,20,PUNJAB,ORGI 1991 state code list; Atlas scan label reviewed against Annexure IV
RAJASTHAN,21,RAJASTHAN,ORGI 1991 state code list; Atlas scan label reviewed against Annexure IV
SIKKIM,22,SIKKIM,ORGI 1991 state code list; Atlas scan label reviewed against Annexure IV
TAMILNADU,23,TAMIL NADU,ORGI 1991 state code list; Atlas scan label reviewed against Annexure IV
TRIPURA,24,TRIPURA,ORGI 1991 state code list; Atlas scan label reviewed against Annexure IV
UTTAR PRADESH,25,UTTAR PRADESH,ORGI 1991 state code list; Atlas scan label reviewed against Annexure IV
WEST BENGAL,26,WEST BENGAL,ORGI 1991 state code list; Atlas scan label reviewed against Annexure IV
ANDAMAN & NICOBAR IS.,27,ANDAMAN AND NICOBAR ISLANDS,ORGI 1991 state code list; Atlas scan label reviewed against Annexure IV
CHANDIGARH,28,CHANDIGARH U.T.,ORGI 1991 state code list; Atlas scan label reviewed against Annexure IV
DADRA & NAGAR HAVEU,29,DADRA AND NAGAR HAVELI,ORGI 1991 state code list; Atlas scan label reviewed against Annexure IV
DAMAN&DIU,30,DAMAN AND DIU,ORGI 1991 state code list; Atlas scan label reviewed against Annexure IV
DEI.Jil,31,DELHI U.T.,ORGI 1991 state code list; Atlas scan label reviewed against Annexure IV
lAKHSADWEEP,32,LAKSHADWEEP U.T.,ORGI 1991 state code list; Atlas scan label reviewed against Annexure IV
POND! CHERRY,33,PONDICHERRY U.T.,ORGI 1991 state code list; Atlas scan label reviewed against Annexure IV
