panel_unit_id,dist91_state_id,dist91_district_id,decision,source_id,evidence
0203,02,03,accepted_one_to_one,maggieliuDataCodeClimate2023,published_direct_alias_and_raw_1991_code
0208,02,08,accepted_one_to_one,maggieliuDataCodeClimate2023,published_direct_alias_and_raw_1991_code
0218,02,18,accepted_one_to_one,maggieliuDataCodeClimate2023,published_direct_alias_and_raw_1991_code
1006,07,06,accepted_one_to_one,maggieliuDataCodeClimate2023,published_direct_alias_and_raw_1991_code
1013,07,13,accepted_one_to_one,maggieliuDataCodeClimate2023,published_direct_alias_and_raw_1991_code
1015,07,15,accepted_one_to_one,maggieliuDataCodeClimate2023,published_direct_alias_and_raw_1991_code
1016,07,16,accepted_one_to_one,maggieliuDataCodeClimate2023,published_direct_alias_and_raw_1991_code
1406,12,07,accepted_one_to_one,maggieliuDataCodeClimate2023,published_direct_alias_and_raw_1991_code
1703,14,03,accepted_one_to_one,maggieliuDataCodeClimate2023,published_direct_alias_and_raw_1991_code
1709,14,10,accepted_one_to_one,maggieliuDataCodeClimate2023,published_direct_alias_and_raw_1991_code
1712,14,13,accepted_one_to_one,maggieliuDataCodeClimate2023,published_direct_alias_and_raw_1991_code
1716,14,18,accepted_one_to_one,maggieliuDataCodeClimate2023,published_direct_alias_and_raw_1991_code
2006,11,07,accepted_one_to_one,maggieliuDataCodeClimate2023,published_direct_alias_and_raw_1991_code
2008,11,09,accepted_one_to_one,maggieliuDataCodeClimate2023,published_direct_alias_and_raw_1991_code
2012,11,13,accepted_one_to_one,maggieliuDataCodeClimate2023,published_direct_alias_and_raw_1991_code
2205,19,05,accepted_one_to_one,maggieliuDataCodeClimate2023,published_direct_alias_and_raw_1991_code
2402,20,02,accepted_one_to_one,maggieliuDataCodeClimate2023,published_direct_alias_and_raw_1991_code
2405,20,05,accepted_one_to_one,maggieliuDataCodeClimate2023,published_direct_alias_and_raw_1991_code
2408,20,08,accepted_one_to_one,maggieliuDataCodeClimate2023,published_direct_alias_and_raw_1991_code
2801,25,01,accepted_one_to_one,maggieliuDataCodeClimate2023,published_direct_alias_and_raw_1991_code
2844,25,48,accepted_one_to_one,maggieliuDataCodeClimate2023,published_direct_alias_and_raw_1991_code
2915,26,16,accepted_one_to_one,maggieliuDataCodeClimate2023,published_direct_alias_and_raw_1991_code
