panel_state_id,dist81_state_id,dist91_state_id,state_name,panel_to_1991_state_status,source_basis
01,01,27,Andaman & Nicobar Islands,mapped_one_to_one,"Vanneman archived stateid.html (2003-02-25) P/81/91 table"
02,02,02,Andhra Pradesh,mapped_one_to_one,"Vanneman archived stateid.html (2003-02-25) P/81/91 table"
03,03,03,Arunachal Pradesh,mapped_one_to_one,"Vanneman archived stateid.html (2003-02-25) P/81/91 table"
04,04,04,Assam,mapped_one_to_one,"Vanneman archived stateid.html (2003-02-25) P/81/91 table"
05,05,05,Bihar,mapped_one_to_one,"Vanneman archived stateid.html (2003-02-25) P/81/91 table"
06,06,28,Chandigarh,mapped_one_to_one,"Vanneman archived stateid.html (2003-02-25) P/81/91 table"
07,07,29,Dadra & Nagar Haveli,mapped_one_to_one,"Vanneman archived stateid.html (2003-02-25) P/81/91 table"
08,08,31,Delhi,mapped_one_to_one,"Vanneman archived stateid.html (2003-02-25) P/81/91 table"
09,09,,"Goa, Daman & Diu",split_across_1991_states,"Vanneman archived stateid.html notes: Goa=06 and Daman & Diu=30 in 1991"
10,10,07,Gujarat,mapped_one_to_one,"Vanneman archived stateid.html (2003-02-25) P/81/91 table"
11,11,08,Haryana,mapped_one_to_one,"Vanneman archived stateid.html (2003-02-25) P/81/91 table"
12,12,09,Himachal Pradesh,mapped_one_to_one,"Vanneman archived stateid.html (2003-02-25) P/81/91 table"
13,13,,Jammu & Kashmir,no_1991_census,"Vanneman archived stateid.html: no 1991 census; all 1991 census fields are -1"
14,14,12,Kerala,mapped_one_to_one,"Vanneman archived stateid.html (2003-02-25) P/81/91 table"
15,15,32,Lakshadweep,mapped_one_to_one,"Vanneman archived stateid.html (2003-02-25) P/81/91 table"
16,16,13,Madhya Pradesh,mapped_one_to_one,"Vanneman archived stateid.html (2003-02-25) P/81/91 table"
17,17,14,Maharashtra,mapped_one_to_one,"Vanneman archived stateid.html (2003-02-25) P/81/91 table"
18,18,15,Manipur,mapped_one_to_one,"Vanneman archived stateid.html (2003-02-25) P/81/91 table"
19,19,16,Meghalaya,mapped_one_to_one,"Vanneman archived stateid.html (2003-02-25) P/81/91 table"
20,20,11,Karnataka (Mysore),mapped_one_to_one,"Vanneman archived stateid.html (2003-02-25) P/81/91 table"
21,21,18,Nagaland,mapped_one_to_one,"Vanneman archived stateid.html (2003-02-25) P/81/91 table"
22,22,19,Orissa,mapped_one_to_one,"Vanneman archived stateid.html (2003-02-25) P/81/91 table"
23,23,33,Pondicherry,mapped_one_to_one,"Vanneman archived stateid.html (2003-02-25) P/81/91 table"
24,24,20,Punjab,mapped_one_to_one,"Vanneman archived stateid.html (2003-02-25) P/81/91 table"
25,25,21,Rajasthan,mapped_one_to_one,"Vanneman archived stateid.html (2003-02-25) P/81/91 table"
26,26,23,Tamil Nadu,mapped_one_to_one,"Vanneman archived stateid.html (2003-02-25) P/81/91 table"
27,27,24,Tripura,mapped_one_to_one,"Vanneman archived stateid.html (2003-02-25) P/81/91 table"
28,28,25,Uttar Pradesh,mapped_one_to_one,"Vanneman archived stateid.html (2003-02-25) P/81/91 table"
29,29,26,West Bengal,mapped_one_to_one,"Vanneman archived stateid.html (2003-02-25) P/81/91 table"
30,30,22,Sikkim,mapped_one_to_one,"Vanneman archived stateid.html (2003-02-25) P/81/91 table"
31,31,17,Mizoram,mapped_one_to_one,"Vanneman archived stateid.html (2003-02-25) P/81/91 table"
