"district_2001","round_id","outcome_id","estimate","std_error","relative_se","cv","n_households","n_fsu","n_sample_person_equiv","sum_person_weight","kish_effective_n","status","reason","uncertainty_requested","sample_support_ok","analysis_eligible","precision_ok","preferred_eligible","support_reason"
"pc2001__01__01","nss_2000_01","real_mean_mpce",882.123251628759,58.0979868647403,0.0658615298457078,0.0658615298457078,236,42,1316,426841.285,67.6190416009751,"estimated",NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA
"pc2001__01__02","nss_2000_01","real_mean_mpce",921.020710906693,74.503141887377,0.0808919289274536,0.0808919289274536,112,19,648,265929.2,32.2790950196711,"estimated",NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA
"pc2001__01__03","nss_2000_01","real_mean_mpce",1508.49664665085,249.474862891101,0.165379792818885,0.165379792818885,208,37,1207,975359.965,30.9544588201282,"estimated",NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA
"pc2001__01__04","nss_2000_01","real_mean_mpce",672.334301038213,41.6198007652477,0.0619034321184844,0.0619034321184844,92,16,602,401253.865,12.382628483337,"estimated",NA,TRUE,FALSE,FALSE,TRUE,FALSE,"low_kish_effective_n"
"pc2001__01__05","nss_2000_01","real_mean_mpce",832.663019666904,88.5229904726762,0.106313104319306,0.106313104319306,292,50,1768,1235928.195,30.0273268451341,"estimated",NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA
"pc2001__01__06","nss_2000_01","real_mean_mpce",736.221222836576,131.242848306605,0.178265505306871,0.178265505306871,44,8,261,174216.395,13.2335576190152,"estimated",NA,TRUE,FALSE,FALSE,TRUE,FALSE,"thin_household_sample;low_kish_effective_n"
"pc2001__01__09","nss_2000_01","real_mean_mpce",1791.14801785871,2.08277839419679e-13,1.16281757477906e-16,1.16281757477906e-16,8,1,46,12024.59,1.78102728979006,"estimated",NA,TRUE,FALSE,FALSE,TRUE,FALSE,"thin_household_sample;too_few_psus;low_kish_effective_n"
"pc2001__01__10","nss_2000_01","real_mean_mpce",985.838975976209,121.96042836014,0.123712321517184,0.123712321517184,156,27,657,919484.555,17.0499771163615,"estimated",NA,TRUE,FALSE,FALSE,TRUE,FALSE,"low_kish_effective_n"
"pc2001__01__11","nss_2000_01","real_mean_mpce",1236.26863082091,294.540771282968,0.238249813948111,0.238249813948111,132,24,623,840549.895,15.7997682359689,"estimated",NA,TRUE,FALSE,FALSE,FALSE,FALSE,"low_kish_effective_n;high_relative_se"
"pc2001__01__12","nss_2000_01","real_mean_mpce",1387.83366188899,160.091519256665,0.115353535263558,0.115353535263558,646,117,3047,1178608.15,55.4973351479669,"estimated",NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA
"pc2001__02__01","nss_2000_01","real_mean_mpce",660.928102852636,144.113479764402,0.218047135751064,0.218047135751064,56,11,235,457021.95,3.80938003677711,"estimated",NA,TRUE,FALSE,FALSE,FALSE,FALSE,"low_kish_effective_n;high_relative_se"
"pc2001__02__02","nss_2000_01","real_mean_mpce",808.100403539593,70.273687750385,0.0869615798266854,0.0869615798266854,284,49,1363,962113.61,72.517719350285,"estimated",NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA
"pc2001__02__03","nss_2000_01","real_mean_mpce",1104.2363205794,102.787985840359,0.0930851339742434,0.0930851339742434,124,21,546,308085.015,34.6267704386026,"estimated",NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA
"pc2001__02__04","nss_2000_01","real_mean_mpce",972.490506855706,78.803637453333,0.0810328089557645,0.0810328089557645,188,31,852,195898.395,42.5454308093795,"estimated",NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA
"pc2001__02__05","nss_2000_01","real_mean_mpce",828.477699495937,59.5766458904629,0.0719109831522449,0.0719109831522449,88,17,385,254185.33,28.0770020951974,"estimated",NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA
"pc2001__02__06","nss_2000_01","real_mean_mpce",748.466832118748,41.2071927737946,0.0550554694015578,0.0550554694015578,196,34,813,625971.38,49.6306154642549,"estimated",NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA
"pc2001__02__07","nss_2000_01","real_mean_mpce",821.741998001792,88.6768617858707,0.10791326474916,0.10791326474916,116,18,553,330358.35,20.1962735948637,"estimated",NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA
