"model","status","cluster_column","term","estimate","std._error","t_value","pr(>|t|)"
"model_sdm2sls_cons","estimated","region","(Intercept)",-634.221965770438,3951.86650196048,-0.160486687861497,0.872567854136427
"model_sdm2sls_cons","estimated","region","W_consY",3.72673893810744,16.7682955600867,0.222249120356522,0.824218170618804
"model_sdm2sls_cons","estimated","region","EMIE",15.078663506861,50.0181175611057,0.301464034275978,0.763196312249927
"model_sdm2sls_cons","estimated","region","W_EMIE",-14.6325910928174,43.5238921776859,-0.336196749892679,0.736875142538413
"model_sdm2sls_cons","estimated","region","npeople_0708",9.14953115100607e-05,0.000336749213953374,0.271701633497291,0.785972814187492
"model_sdm2sls_cons","estimated","region","nhouses_0708",-0.000284993072826945,0.00107990571329034,-0.2639055144533,0.791970399938784
"model_sdm2sls_cons","estimated","region","consumption_0708",-0.0932097160590613,0.315342628950121,-0.295582352342869,0.767681851772988
"model_sdm2sls_cons","estimated","region","gini_cons_0708",-173.638052017712,305.982530601519,-0.567477011437102,0.570665782199274
"model_sdm2sls_cons","estimated","region","pct_urban",-3.24655404722103,17.189785395025,-0.188865304168407,0.850281323801598
"model_sdm2sls_cons","estimated","region","pct_head_secondary_plus",-1.59617954229043,4.9247169394444,-0.32411599730857,0.745996899605334
"model_sdm2sls_cons","estimated","region","pct_muslim",0.211063486311259,0.472782802429352,0.446428011397049,0.655497273138885
"model_sdm2sls_cons","estimated","region","pct_st",-0.330754395450653,1.49505346130702,-0.221232487005179,0.825009158698873
"model_sdm2sls_cons","estimated","region","pct_obc",1.70266878796477,9.78650780933307,0.173981242455147,0.861956411314227
"model_sdm2sls_cons","estimated","region","pct_fem_head",2.88653071054601,13.1739874910866,0.219108353677959,0.826662407828803
"model_sdm2sls_cons","estimated","region","pct_medium_land",1.82215366207131,8.89362601520333,0.204883099306897,0.837753692994367
"model_sdm2sls_cons","estimated","region","pct_large_land",-5.39601831585204,27.8550426786331,-0.19371782617986,0.84648197364819
"model_sdm2sls_cons","estimated","region","W_npeople_0708",-0.000107676286641905,0.000240424170742838,-0.447859656993793,0.654464416407572
"model_sdm2sls_cons","estimated","region","W_nhouses_0708",0.000266409207151132,0.00036938322980025,0.721227131224114,0.471134591247555
"model_sdm2sls_cons","estimated","region","W_consumption_0708",0.199531670511313,0.145597238038386,1.37043582144537,0.171216390930839
"model_sdm2sls_cons","estimated","region","W_gini_cons_0708",-216.733284492665,998.06216247039,-0.217154093845427,0.828184122857744
"model_sdm2sls_gini","estimated","region","(Intercept)",0.146391659198986,0.231889006635648,0.631300557637048,0.528156228526443
"model_sdm2sls_gini","estimated","region","W_giniY",-1.41151683464594,5.15250773077236,-0.273947543293518,0.784247371165859
"model_sdm2sls_gini","estimated","region","EMIE",-0.00398619914630075,0.00853815057332087,-0.466869155336334,0.640813582451905
"model_sdm2sls_gini","estimated","region","W_EMIE",0.00328268002353439,0.00742127537072799,0.442333677103856,0.658454764385492
"model_sdm2sls_gini","estimated","region","npeople_0708",-1.15302847389708e-08,7.72757376963838e-08,-0.149209636590895,0.881453325617401
"model_sdm2sls_gini","estimated","region","nhouses_0708",2.21733775238139e-08,2.22228579963941e-07,0.0997773442435343,0.920564375408473
"model_sdm2sls_gini","estimated","region","consumption_0708",-4.88321942475106e-05,0.00023790907147715,-0.205255705233588,0.837462752838014
"model_sdm2sls_gini","estimated","region","gini_cons_0708",-0.564112848943964,0.79953066132146,-0.705554991489133,0.480820511219299
"model_sdm2sls_gini","estimated","region","pct_urban",0.00229924286649706,0.00393802349321129,0.58385707207199,0.559601418743926
"model_sdm2sls_gini","estimated","region","pct_head_secondary_plus",0.00111262947163706,0.00149300745919535,0.745227001234613,0.456513447071299
"model_sdm2sls_gini","estimated","region","pct_muslim",-0.000131870373713161,0.000773916599220259,-0.170393520239808,0.864775260365982
"model_sdm2sls_gini","estimated","region","pct_st",0.00140629886540404,0.00275052094885807,0.511284549927855,0.609396078152005
"model_sdm2sls_gini","estimated","region","pct_obc",-0.000468345746930586,0.000801266375111364,-0.584506927381662,0.559164618172491
"model_sdm2sls_gini","estimated","region","pct_fem_head",0.000976412016309771,0.00282359607367045,0.345804424866094,0.729647107932441
"model_sdm2sls_gini","estimated","region","pct_medium_land",-0.000327315290917102,0.0001418616296853,-2.30728556864323,0.0214801558712507
"model_sdm2sls_gini","estimated","region","pct_large_land",-0.00168156089545389,0.00304876617257959,-0.551554563474807,0.581520236905562
"model_sdm2sls_gini","estimated","region","W_npeople_0708",1.80556499929086e-08,7.92137918023796e-08,0.227935686224356,0.819797081681048
"model_sdm2sls_gini","estimated","region","W_nhouses_0708",-1.16844010200002e-07,3.5778951526674e-07,-0.326571923475433,0.744139572491682
"model_sdm2sls_gini","estimated","region","W_consumption_0708",4.2372724517183e-07,0.000206576556537028,0.00205118747390815,0.998364275704408
"model_sdm2sls_gini","estimated","region","W_gini_cons_0708",-0.452277480354118,2.58243706490521,-0.175135915798482,0.861049565528074
