"analysis_id","specification_id","outcome","sex","sample","hindi_belt_only","distance_basis","distance_variable","distance_form","preferred","label"
"c17_mechanism__english_linear","english_linear","english_share_multilingual","Persons","all_states",FALSE,"shastry","shastry_degree","linear",TRUE,"English acquisition among multilingual speakers"
"c17_mechanism__english_bins","english_bins","english_share_multilingual","Persons","all_states",FALSE,"shastry","shastry_degree","bins",FALSE,"English acquisition: flexible distance bins"
"c17_mechanism__english_distant","english_distant","english_share_multilingual","Persons","all_states",FALSE,"shastry","shastry_degree","distant",FALSE,"English acquisition: distant-language indicator"
"c17_mechanism__english_glottolog","english_glottolog","english_share_multilingual","Persons","all_states",FALSE,"glottolog","glottolog_edge_distance","linear",FALSE,"English acquisition: Glottolog distance"
"c17_mechanism__english_dyen","english_dyen","english_share_multilingual","Persons","all_states",FALSE,"dyen","dyen_noncognate_pct","linear",FALSE,"English acquisition: Dyen noncognate distance"
"c17_mechanism__hindi_linear","hindi_linear","hindi_share_multilingual","Persons","all_states",FALSE,"shastry","shastry_degree","linear",FALSE,"Hindi acquisition among multilingual speakers"
"c17_mechanism__multilingual_linear","multilingual_linear","multilingual_share_native","Persons","all_states",FALSE,"shastry","shastry_degree","linear",FALSE,"Multilingualism among native speakers"
"c17_mechanism__english_linear_males","english_linear_males","english_share_multilingual","Males","all_states",FALSE,"shastry","shastry_degree","linear",FALSE,"English acquisition among multilingual male speakers"
"c17_mechanism__english_linear_females","english_linear_females","english_share_multilingual","Females","all_states",FALSE,"shastry","shastry_degree","linear",FALSE,"English acquisition among multilingual female speakers"
"c17_mechanism__english_linear_hindi_belt","english_linear_hindi_belt","english_share_multilingual","Persons","hindi_belt",TRUE,"shastry","shastry_degree","linear",FALSE,"English acquisition among multilingual speakers (Hindi-belt states)"
"c17_mechanism__english_distant_hindi_belt","english_distant_hindi_belt","english_share_multilingual","Persons","hindi_belt",TRUE,"shastry","shastry_degree","distant",FALSE,"English acquisition: distant-language indicator (Hindi-belt states)"
"c17_mechanism__hindi_linear_hindi_belt","hindi_linear_hindi_belt","hindi_share_multilingual","Persons","hindi_belt",TRUE,"shastry","shastry_degree","linear",FALSE,"Hindi acquisition among multilingual speakers (Hindi-belt states)"
