"variable","n_harmonized_parents","n_finite_baseline","n_finite_followup","n_finite_change"
"no_literate_share_households",359,359,359,359
"two_plus_literate_share_households",359,359,359,359
"four_plus_literate_share_households",359,359,359,359
"matriculate_access_share_households_age15_plus",359,359,359,359
"female_matriculate_access_share_households_age15_plus",359,359,359,359
"graduate_access_share_households_age15_plus",359,359,359,359
"female_graduate_access_share_households_age15_plus",359,359,359,359
"workerless_share_households",359,359,359,359
"two_plus_worker_share_households",359,359,359,359
"four_plus_worker_share_households",359,359,359,359
