"state_code","district_code","district_name","households_total","households_no_literate","households_1_literate","households_2_literates","households_3_literates","households_4_plus_literates","households_age15_plus","households_with_matriculate","households_with_female_matriculate","households_with_graduate","households_with_female_graduate","households_no_workers","households_1_worker","households_2_workers","households_3_workers","households_4_plus_workers","target_unit_2001","census_year","no_literate_share_households","two_plus_literate_share_households","four_plus_literate_share_households","matriculate_access_share_households_age15_plus","female_matriculate_access_share_households_age15_plus","graduate_access_share_households_age15_plus","female_graduate_access_share_households_age15_plus","workerless_share_households","two_plus_worker_share_households","four_plus_worker_share_households"
"01","01","Kupwara",86505,20308,14934,14131,11790,25342,86282,29685,10346,6575,1488,2920,32371,24414,10933,15867,"pc2001__01__01",2001,0.234760996474192,0.592601583723484,0.292954164499162,0.344046266892283,0.119909135161447,0.0762036114137364,0.0172457754804015,0.0337552742616034,0.592035142477313,0.183422923530432
"01","02","Baramula",158337,32177,26040,25493,22679,51948,157971,58122,23563,15763,4939,3603,63338,42305,21400,27691,"pc2001__01__02",2001,0.203218451783222,0.632322198854342,0.328085033820269,0.367928290635623,0.149160288913788,0.099784137594875,0.0312652322261681,0.0227552625097103,0.577224527431996,0.17488647631318
"01","03","Srinagar",166718,22601,16784,22744,24540,80049,166461,97801,57458,39637,18179,2578,75505,45411,22616,20608,"pc2001__01__03",2001,0.135564246212167,0.76376276106959,0.480146114996581,0.587531013270376,0.345173944647695,0.238115834940316,0.1092087636143,0.0154632373229045,0.53164625295409,0.123609928142132
"01","04","Badgam",86271,19019,14264,14153,12631,26204,86106,31243,11396,8189,2135,1000,27906,24372,12746,20247,"pc2001__01__04",2001,0.220456468569971,0.614204077847712,0.303740538535545,0.362843471999628,0.132348500685202,0.0951037093814601,0.0247950200915151,0.0115913806493491,0.664939550949914,0.234690684007372
"01","05","Pulwama",92477,14424,12909,14983,15253,34908,92333,43878,17986,11710,3024,1817,35758,26737,12303,15862,"pc2001__01__05",2001,0.15597391783903,0.704434616174833,0.377477643089633,0.475214711966469,0.194794927057498,0.126823562539937,0.0327510207618078,0.0196481287238989,0.593682753549531,0.171523730224813
"01","06","Anantnag",159981,31133,23386,25274,23927,56261,159659,63254,25670,16522,4812,2269,53526,48916,23257,32013,"pc2001__01__06",2001,0.194604359267663,0.659215781874098,0.351673011170076,0.396181862594655,0.160780162721801,0.103483048246576,0.0301392342429804,0.014182934223439,0.651239834730374,0.200105012470231
"01","07","Leh (Ladakh)",23859,3662,5190,4730,3615,6662,23785,9899,6163,2255,829,2113,7827,6853,2955,4111,"pc2001__01__07",2001,0.153485058049373,0.62898696508655,0.279223772999707,0.416186672272441,0.259112886272861,0.0948076518814379,0.034853899516502,0.088561968230018,0.583385724464563,0.17230395238694
"01","08","Kargil",16989,1722,2945,2857,2588,6877,16926,7661,2808,1128,229,750,2562,5042,2988,5647,"pc2001__01__08",2001,0.101359703337454,0.725292836541291,0.404791335570075,0.45261727519792,0.165898617511521,0.0666430343849699,0.0135294812714168,0.0441462122549885,0.805050326681971,0.332391547471894
"01","09","Doda",109231,22754,21570,19097,15334,30476,109073,33470,13155,6011,1963,2094,24705,34545,16678,31209,"pc2001__01__09",2001,0.208310827512336,0.594217758694876,0.27900504435554,0.306858709304778,0.120607299698367,0.0551098805387218,0.0179971211940627,0.0191703820344042,0.754657560582618,0.285715593558605
"01","10","Udhampur",121821,22855,21310,20758,17438,39460,121646,36170,19087,8419,4102,4092,29121,34870,18036,35702,"pc2001__01__10",2001,0.187611331379647,0.6374598796595,0.323917879511743,0.297338177991878,0.156906104598589,0.0692090163260609,0.0337207964092531,0.0335902676878371,0.72736227743985,0.293069339440655
"01","11","Punch",59658,10564,10980,11434,8996,17684,59582,18620,9137,4693,1568,959,7692,18461,9405,23141,"pc2001__01__11",2001,0.177075999865902,0.638874920379496,0.296422944114788,0.312510489745225,0.153351683394314,0.0787653989459904,0.0263166728206505,0.0160749606088035,0.85499011029535,0.387894331020148
"01","12","Rajauri",80808,12512,12946,14983,12472,27895,80731,25316,12712,5529,2011,1685,18982,29913,11702,18526,"pc2001__01__12",2001,0.154836154836155,0.684956934956935,0.34520097020097,0.313584620529908,0.157461198300529,0.0684867027535891,0.0249098859174295,0.0208518958518959,0.744245619245619,0.229259479259479
"01","13","Jammu",302841,20521,34626,54018,51268,142408,302588,163529,111012,56036,33667,26686,154868,72258,27228,21801,"pc2001__01__13",2001,0.0677616306906925,0.817901142843935,0.470240159027344,0.540434518222798,0.366875090882652,0.185189102013299,0.111263500204899,0.0881188478442483,0.400497290657474,0.0719882710729393
"01","14","Kathua",96171,10013,13126,16652,15878,40502,96068,41053,22457,9179,3959,6011,38363,24805,11893,15099,"pc2001__01__14",2001,0.104116625593994,0.759397323517484,0.421145667612898,0.427332722654786,0.233761502269226,0.0955469042761377,0.0412103926385477,0.0625032494203034,0.538592715059633,0.157001590916181
"02","01","Chamba",86777,8614,15782,17165,16715,28501,86679,32374,14518,6129,2560,2947,20103,27867,13852,22008,"pc2001__02__01",2001,0.0992659345218203,0.718865598027127,0.328439563478802,0.373493002918815,0.167491549279526,0.0707091683106635,0.0295342585862781,0.0339606116828192,0.734376620533091,0.253615589384284
"02","02","Kangra",271968,13746,27057,46956,54909,129300,271749,163167,103108,30704,14668,24204,84492,79055,36625,47592,"pc2001__02__02",2001,0.0505427109071655,0.849971320155312,0.475423579244617,0.600432752282437,0.379423659332693,0.112986616326095,0.0539762795815256,0.0889957642075538,0.600335333568655,0.174991175432404
"02","03","Lahul & Spiti",7917,608,2428,1527,1221,2133,7909,3831,1369,969,181,174,2560,2411,1052,1720,"pc2001__02__03",2001,0.0767967664519389,0.616521409624858,0.269420234937476,0.484384877987103,0.173093943608547,0.122518649639651,0.0228853205209255,0.021978021978022,0.654667171908551,0.217254010357459
"02","04","Kullu",76752,5862,11415,14645,14318,30512,76694,34117,16182,8241,2896,2051,15023,25873,11602,22203,"pc2001__02__04",2001,0.0763758599124453,0.77489837398374,0.397540129247446,0.444845750645422,0.210994341147939,0.107452995019167,0.0377604506219522,0.0267224306858453,0.777543256201793,0.289282363977486
"02","05","Mandi",182171,12217,20925,34071,37787,77171,182028,100597,57905,18754,7902,7981,41474,66017,26158,40541,"pc2001__02__05",2001,0.0670633635430447,0.818072031223411,0.423618468362143,0.552645746808183,0.31811040059771,0.103028105566177,0.0434109038169952,0.0438104857523975,0.72852429859857,0.222543654039337
"02","06","Hamirpur",86659,5069,8226,14417,17702,41245,86598,56146,36079,11299,4914,6155,21834,26801,13536,18333,"pc2001__02__06",2001,0.0584936359754901,0.846582582305358,0.475945949064725,0.648352155938936,0.416626250028869,0.13047645442158,0.0567449594678861,0.0710255137954511,0.677021428818703,0.211553329717629
"02","07","Una",88011,5165,8740,14163,15790,44153,87957,51968,31901,9437,4856,5956,25860,26637,12599,16959,"pc2001__02__07",2001,0.0586858460874209,0.842008385315472,0.501675926872777,0.590834157599736,0.362688586468388,0.107291062678354,0.0552087952067488,0.0676733590119417,0.638499732987922,0.192691822613082
"02","08","Bilaspur",65667,4043,5995,11011,12598,32020,65573,39536,22395,8285,3385,3111,15307,21932,9968,15349,"pc2001__02__08",2001,0.0615682153897696,0.847137831787656,0.487611738011482,0.602931084440242,0.341527762951215,0.126347734585881,0.0516218565568145,0.0473753940335328,0.719524266374282,0.233739930254161
"02","09","Solan",99082,5986,13319,19352,17887,42538,98976,56582,29388,14674,7137,3373,28634,27680,13655,25740,"pc2001__02__09",2001,0.0604146060838497,0.805161381482005,0.429321168325226,0.571673941157452,0.29692046556741,0.148258163595215,0.0721083899127061,0.0340425102440403,0.676964534426031,0.25978482469066
"02","10","Sirmaur",81248,6421,10841,13955,13656,36375,81124,34468,17651,8481,3956,2627,22174,21363,11718,23366,"pc2001__02__10",2001,0.0790296376526191,0.787539385584876,0.447703328081922,0.424880429959075,0.217580494058478,0.10454366155515,0.0487648538040531,0.0323331035840882,0.694749409216227,0.287588617565971
"02","11","Shimla",154275,8161,24353,29448,27471,64842,154163,95755,53712,30848,13722,5767,49595,47020,20080,31813,"pc2001__02__11",2001,0.0528990439150867,0.789246475449684,0.420301409820126,0.621128286294377,0.348410448680942,0.200099894267756,0.0890096845546597,0.0373812996272889,0.641147301895965,0.206209690487765
"02","12","Kinnaur",18535,1762,4128,3874,3052,5719,18525,7867,3192,1651,373,408,5686,5723,2636,4082,"pc2001__02__12",2001,0.095063393579714,0.682222821688697,0.308551389263555,0.424669365721997,0.172307692307692,0.0891228070175439,0.0201349527665317,0.0220124089560291,0.671216617210682,0.220231993525762
"03","01","Gurdaspur",364192,25859,34123,56340,60757,187113,363665,220018,145701,43268,24838,17943,166836,96188,45419,37806,"pc2001__03__01",2001,0.071003756260434,0.835301159827783,0.513775700729286,0.605001856103832,0.40064619911182,0.118977630511597,0.0682991214441863,0.0492679685440647,0.492633006765662,0.103807881556981
"03","02","Amritsar",540161,64584,60198,83943,86585,244851,539378,292910,190470,66334,42530,18293,224133,151729,74735,71271,"pc2001__03__02",2001,0.119564352109834,0.768991097098828,0.453292629419747,0.543051440733586,0.353128974485426,0.122982398243903,0.0788500828732355,0.0338658288917563,0.551196772814031,0.131943994475721
"03","03","Kapurthala",136250,9414,13303,21666,24516,67351,136064,83154,57847,19884,12423,6976,59141,37619,17585,14929,"pc2001__03__03",2001,0.0690935779816514,0.833269724770642,0.494319266055046,0.611138875823142,0.425145519755409,0.146137111947319,0.0913026222953904,0.0512,0.514737614678899,0.109570642201835
"03","04","Jalandhar",362745,21269,30935,55402,62083,193056,362283,234544,170325,70624,45847,20636,162102,98844,46228,34935,"pc2001__03__04",2001,0.0586334753063447,0.856086231374657,0.532208576272588,0.647405481350215,0.470143506595672,0.194941523615516,0.126550238349578,0.0568884478076886,0.496235647631256,0.0963073233263036
"03","05","Hoshiarpur",279655,14095,23773,40361,48322,153104,279386,180088,123509,36411,20110,26428,112837,76362,34753,29275,"pc2001__03__05",2001,0.05040138742379,0.864590298760973,0.547474566877045,0.644584911198127,0.442072974307947,0.130325069974873,0.0719792688252096,0.0945021544402925,0.502011406912088,0.104682555291341
"03","06","Nawanshahr",107682,6298,9932,16240,19159,56053,107572,63493,39989,10882,5438,5477,28303,33067,17151,23684,"pc2001__03__06",2001,0.0584870266154046,0.849278430935532,0.520541966159618,0.590237236455583,0.371741717175473,0.101160153199717,0.0505521883017886,0.0508627254322914,0.686298545717947,0.219943908916996
"03","07","Rupnagar",205668,12259,18021,31410,34814,109164,205422,132388,87329,39600,24573,9343,79474,59166,25908,31777,"pc2001__03__07",2001,0.0596057724099033,0.85277242935216,0.530777758328957,0.644468460048096,0.425119996884462,0.192773899582323,0.119622046324152,0.0454275823171325,0.568153528988467,0.154506291693409
