"target_unit_2001","census_2011_source_district_count","census_2011_source_districts","census_2011_parent_reconstruction_complete","households_total","households_no_literate","households_1_literate","households_2_literates","households_3_literates","households_4_plus_literates","households_age15_plus","households_with_matriculate","households_with_female_matriculate","households_with_graduate","households_with_female_graduate","households_no_workers","households_1_worker","households_2_workers","households_3_workers","households_4_plus_workers","workers_total","main_workers","marginal_workers_3_6_months","marginal_workers_lt3_months","census_year","no_literate_share_households","two_plus_literate_share_households","four_plus_literate_share_households","matriculate_access_share_households_age15_plus","female_matriculate_access_share_households_age15_plus","graduate_access_share_households_age15_plus","female_graduate_access_share_households_age15_plus","workerless_share_households","two_plus_worker_share_households","four_plus_worker_share_households","workers_per_household","marginal_worker_share_workers","short_marginal_share_marginal_workers"
"pc2001__01__01",1,"Kupwara",TRUE,112761,10598,16407,18182,17025,50549,111642,56615,27885,13509,4513,9307,58374,26355,9516,9209,191862,87227,74665,29970,2011,0.0939863960057112,0.760511169641986,0.44828442457942,0.507112018774296,0.249771591336594,0.121002848390391,0.0404238548216621,0.0825374021159798,0.399783613128653,0.0816683073048306,1.70149253731343,0.545365940102782,0.286424236632102
"pc2001__01__06",2,"Anantnag;Kulgam",TRUE,226767,23553,29547,39352,37083,97232,226175,117722,65985,37782,16077,5562,63650,83546,32129,41880,533882,239450,183831,110601,2011,0.103864318882377,0.765838944820013,0.428774909929575,0.520490770421134,0.291743119266055,0.167047640101691,0.0710821266718249,0.0245273783222427,0.694788042351841,0.184682956514837,2.35431963204523,0.551492651934323,0.3756419139224
"pc2001__01__07",1,"Leh(Ladakh)",TRUE,21435,1890,3027,3844,4149,8525,21381,12305,9229,3807,2202,1697,6085,6602,2915,4136,57104,40543,14863,1698,2011,0.0881735479356193,0.770608817354794,0.397714019127595,0.575510967681586,0.431644918385482,0.178055282727655,0.102988634769188,0.0791695824585958,0.636948915325402,0.192955446699324,2.6640541170982,0.290014710002802,0.102530040456494
"pc2001__01__08",1,"Kargil",TRUE,18017,1037,1734,2472,2621,10153,17875,10893,6297,2031,609,1255,6370,4757,2313,3322,41135,19085,14677,7373,2011,0.0575567519564855,0.846200810345785,0.563523339068657,0.609398601398601,0.35227972027972,0.113622377622378,0.0340699300699301,0.0696564355886108,0.576788588555253,0.184381417550092,2.28312149636454,0.53603986872493,0.33437641723356
"pc2001__01__11",1,"Punch",TRUE,89907,9689,15849,20099,15153,29117,89654,39676,21190,9202,3771,7661,43710,24983,7124,6429,145788,57777,61296,26715,2011,0.107766914700746,0.715950927069082,0.323856874325692,0.442545787137216,0.236353090771187,0.102639034510451,0.04206170388382,0.0852102728374876,0.428620685819792,0.0715072241316027,1.62154226033568,0.603691661865174,0.303541602754201
"pc2001__02__01",1,"Chamba",TRUE,102231,6120,11852,20558,21999,41702,102056,56191,32681,11130,5664,3770,19911,29748,15818,32984,291196,116920,113433,60843,2011,0.0598644246852716,0.824202052215082,0.407919319971437,0.550589872227013,0.320226150348828,0.109057772203496,0.0554989417574665,0.0368772681476265,0.768357934481713,0.322641860101143,2.84841192984515,0.598483495652413,0.349118639399573
"pc2001__02__02",1,"Kangra",TRUE,338143,13015,26985,61100,74840,162203,337643,255388,185978,61850,38894,34948,110227,100333,44378,48257,668922,308004,238533,122385,2011,0.0384896330842277,0.881706851834875,0.479687587795696,0.756384702185444,0.550812544610728,0.183181644518026,0.115192673918903,0.10335272355187,0.570669805378198,0.142711811275111,1.9782222314228,0.539551696610367,0.339093644539757
"pc2001__02__04",1,"Kullu",TRUE,94609,5602,10142,17902,19064,41899,94502,56073,34579,15569,7800,2602,18214,29871,14058,29864,267500,192370,43709,31421,2011,0.0592121256962868,0.833588770624359,0.442864843725227,0.593352521639754,0.365907599839157,0.164747836024634,0.0825379357050644,0.0275026688792821,0.779978648965743,0.315657072794343,2.82742656618292,0.280859813084112,0.418221748968455
"pc2001__02__06",1,"Hamirpur",TRUE,105438,5005,8535,18002,23392,50504,105342,82626,61818,23841,15269,9467,24649,33319,16519,21484,241727,125998,78695,37034,2011,0.0474686545647679,0.87158330013847,0.478992393634174,0.784359514723472,0.586831463234038,0.226319986330239,0.144946934745875,0.0897873631897418,0.676435440732943,0.203759555378516,2.29259849390163,0.478759096004997,0.320006221431102
"pc2001__02__09",1,"Solan",TRUE,122134,4371,11817,23538,24009,58399,121931,87769,56823,25377,15082,4856,36534,36473,17383,26888,295258,215877,57932,21449,2011,0.035788560106113,0.867457055365418,0.478155141074557,0.719825147009374,0.466025867088763,0.208125907275426,0.123692908284194,0.0397596082990813,0.661109928439255,0.220151636726874,2.41749226259682,0.26885300313624,0.270203197238634
