"target_unit_2001","census_2011_source_district_count","census_2011_parent_reconstruction_complete","households_total_2011","no_literate_share_households_2011","two_plus_literate_share_households_2011","four_plus_literate_share_households_2011","matriculate_access_share_households_age15_plus_2011","female_matriculate_access_share_households_age15_plus_2011","graduate_access_share_households_age15_plus_2011","female_graduate_access_share_households_age15_plus_2011","workerless_share_households_2011","two_plus_worker_share_households_2011","four_plus_worker_share_households_2011","households_total_2001","no_literate_share_households_2001","two_plus_literate_share_households_2001","four_plus_literate_share_households_2001","matriculate_access_share_households_age15_plus_2001","female_matriculate_access_share_households_age15_plus_2001","graduate_access_share_households_age15_plus_2001","female_graduate_access_share_households_age15_plus_2001","workerless_share_households_2001","two_plus_worker_share_households_2001","four_plus_worker_share_households_2001","no_literate_share_households_change_2011_2001","two_plus_literate_share_households_change_2011_2001","four_plus_literate_share_households_change_2011_2001","matriculate_access_share_households_age15_plus_change_2011_2001","female_matriculate_access_share_households_age15_plus_change_2011_2001","graduate_access_share_households_age15_plus_change_2011_2001","female_graduate_access_share_households_age15_plus_change_2011_2001","workerless_share_households_change_2011_2001","two_plus_worker_share_households_change_2011_2001","four_plus_worker_share_households_change_2011_2001"
"pc2001__01__01",1,TRUE,112761,0.0939863960057112,0.760511169641986,0.44828442457942,0.507112018774296,0.249771591336594,0.121002848390391,0.0404238548216621,0.0825374021159798,0.399783613128653,0.0816683073048306,86505,0.234760996474192,0.592601583723484,0.292954164499162,0.344046266892283,0.119909135161447,0.0762036114137364,0.0172457754804015,0.0337552742616034,0.592035142477313,0.183422923530432,-0.140774600468481,0.167909585918502,0.155330260080258,0.163065751882013,0.129862456175147,0.0447992369766546,0.0231780793412606,0.0487821278543764,-0.19225152934866,-0.101754616225601
"pc2001__01__06",2,TRUE,226767,0.103864318882377,0.765838944820013,0.428774909929575,0.520490770421134,0.291743119266055,0.167047640101691,0.0710821266718249,0.0245273783222427,0.694788042351841,0.184682956514837,159981,0.194604359267663,0.659215781874098,0.351673011170076,0.396181862594655,0.160780162721801,0.103483048246576,0.0301392342429804,0.014182934223439,0.651239834730374,0.200105012470231,-0.090740040385286,0.106623162945915,0.077101898759499,0.124308907826479,0.130962956544254,0.063564591855115,0.0409428924288445,0.0103444440988037,0.043548207621467,-0.015422055955394
"pc2001__01__07",1,TRUE,21435,0.0881735479356193,0.770608817354794,0.397714019127595,0.575510967681586,0.431644918385482,0.178055282727655,0.102988634769188,0.0791695824585958,0.636948915325402,0.192955446699324,23859,0.153485058049373,0.62898696508655,0.279223772999707,0.416186672272441,0.259112886272861,0.0948076518814379,0.034853899516502,0.088561968230018,0.583385724464563,0.17230395238694,-0.0653115101137537,0.141621852268244,0.118490246127888,0.159324295409145,0.172532032112621,0.0832476308462171,0.068134735252686,-0.00939238577142219,0.0535631908608389,0.020651494312384
"pc2001__01__08",1,TRUE,18017,0.0575567519564855,0.846200810345785,0.563523339068657,0.609398601398601,0.35227972027972,0.113622377622378,0.0340699300699301,0.0696564355886108,0.576788588555253,0.184381417550092,16989,0.101359703337454,0.725292836541291,0.404791335570075,0.45261727519792,0.165898617511521,0.0666430343849699,0.0135294812714168,0.0441462122549885,0.805050326681971,0.332391547471894,-0.0438029513809685,0.120907973804494,0.158732003498582,0.156781326200681,0.186381102768199,0.0469793432374081,0.0205404487985133,0.0255102233336223,-0.228261738126718,-0.148010129921802
"pc2001__01__11",1,TRUE,89907,0.107766914700746,0.715950927069082,0.323856874325692,0.442545787137216,0.236353090771187,0.102639034510451,0.04206170388382,0.0852102728374876,0.428620685819792,0.0715072241316027,59658,0.177075999865902,0.638874920379496,0.296422944114788,0.312510489745225,0.153351683394314,0.0787653989459904,0.0263166728206505,0.0160749606088035,0.85499011029535,0.387894331020148,-0.069309085165156,0.077076006689586,0.027433930210904,0.130035297391991,0.083001407376873,0.0238736355644606,0.0157450310631695,0.0691353122286841,-0.426369424475558,-0.316387106888545
"pc2001__02__01",1,TRUE,102231,0.0598644246852716,0.824202052215082,0.407919319971437,0.550589872227013,0.320226150348828,0.109057772203496,0.0554989417574665,0.0368772681476265,0.768357934481713,0.322641860101143,86777,0.0992659345218203,0.718865598027127,0.328439563478802,0.373493002918815,0.167491549279526,0.0707091683106635,0.0295342585862781,0.0339606116828192,0.734376620533091,0.253615589384284,-0.0394015098365487,0.105336454187955,0.079479756492635,0.177096869308198,0.152734601069302,0.0383486038928325,0.0259646831711884,0.0029166564648073,0.0339813139486219,0.069026270716859
"pc2001__02__02",1,TRUE,338143,0.0384896330842277,0.881706851834875,0.479687587795696,0.756384702185444,0.550812544610728,0.183181644518026,0.115192673918903,0.10335272355187,0.570669805378198,0.142711811275111,271968,0.0505427109071655,0.849971320155312,0.475423579244617,0.600432752282437,0.379423659332693,0.112986616326095,0.0539762795815256,0.0889957642075538,0.600335333568655,0.174991175432404,-0.0120530778229378,0.031735531679563,0.004264008551079,0.155951949903007,0.171388885278035,0.070195028191931,0.0612163943373774,0.0143569593443162,-0.029665528190457,-0.032279364157293
"pc2001__02__04",1,TRUE,94609,0.0592121256962868,0.833588770624359,0.442864843725227,0.593352521639754,0.365907599839157,0.164747836024634,0.0825379357050644,0.0275026688792821,0.779978648965743,0.315657072794343,76752,0.0763758599124453,0.77489837398374,0.397540129247446,0.444845750645422,0.210994341147939,0.107452995019167,0.0377604506219522,0.0267224306858453,0.777543256201793,0.289282363977486,-0.0171637342161585,0.058690396640619,0.045324714477781,0.148506770994332,0.154913258691218,0.057294841005467,0.0447774850831122,0.0007802381934368,0.00243539276395,0.026374708816857
"pc2001__02__06",1,TRUE,105438,0.0474686545647679,0.87158330013847,0.478992393634174,0.784359514723472,0.586831463234038,0.226319986330239,0.144946934745875,0.0897873631897418,0.676435440732943,0.203759555378516,86659,0.0584936359754901,0.846582582305358,0.475945949064725,0.648352155938936,0.416626250028869,0.13047645442158,0.0567449594678861,0.0710255137954511,0.677021428818703,0.211553329717629,-0.0110249814107222,0.025000717833112,0.00304644456944902,0.136007358784536,0.170205213205169,0.095843531908659,0.0882019752779889,0.0187618493942907,-0.000585988085759936,-0.00779377433911299
"pc2001__02__09",1,TRUE,122134,0.035788560106113,0.867457055365418,0.478155141074557,0.719825147009374,0.466025867088763,0.208125907275426,0.123692908284194,0.0397596082990813,0.661109928439255,0.220151636726874,99082,0.0604146060838497,0.805161381482005,0.429321168325226,0.571673941157452,0.29692046556741,0.148258163595215,0.0721083899127061,0.0340425102440403,0.676964534426031,0.25978482469066,-0.0246260459777367,0.062295673883413,0.048833972749331,0.148151205851922,0.169105401521353,0.059867743680211,0.0515845183714879,0.005717098055041,-0.015854605986776,-0.039633187963786
"pc2001__02__10",1,TRUE,97925,0.0440336992596375,0.870758233341843,0.51937707429155,0.609828688315009,0.396502173357198,0.168325236512401,0.0970186653029916,0.0335869287720194,0.704191983660965,0.308011233086546,81248,0.0790296376526191,0.787539385584876,0.447703328081922,0.424880429959075,0.217580494058478,0.10454366155515,0.0487648538040531,0.0323331035840882,0.694749409216227,0.287588617565971,-0.0349959383929816,0.083218847756967,0.071673746209628,0.184948258355934,0.17892167929872,0.063781574957251,0.0482538114989385,0.0012538251879312,0.00944257444473806,0.020422615520575
"pc2001__02__12",1,TRUE,19750,0.0833417721518987,0.723594936708861,0.327594936708861,0.587188972786702,0.33684690619774,0.169310292403588,0.0766735924593321,0.0252151898734177,0.699746835443038,0.234126582278481,18535,0.095063393579714,0.682222821688697,0.308551389263555,0.424669365721997,0.172307692307692,0.0891228070175439,0.0201349527665317,0.0220124089560291,0.671216617210682,0.220231993525762,-0.0117216214278153,0.041372115020164,0.019043547445306,0.162519607064705,0.164539213890048,0.0801874853860441,0.0565386396928004,0.0032027809173886,0.0285302182323559,0.013894588752719
"pc2001__03__03",1,TRUE,167418,0.0545998638139268,0.852548710413456,0.479799065811323,0.67348025953504,0.50525534512893,0.183697656044245,0.131108291234707,0.0835095389981961,0.453786331218865,0.0698491201662904,136250,0.0690935779816514,0.833269724770642,0.494319266055046,0.611138875823142,0.425145519755409,0.146137111947319,0.0913026222953904,0.0512,0.514737614678899,0.109570642201835,-0.0144937141677246,0.019278985642814,-0.014520200243723,0.062341383711898,0.080109825373521,0.037560544096926,0.0398056689393166,0.0323095389981961,-0.060951283460034,-0.0397215220355446
"pc2001__03__04",1,TRUE,460150,0.04649570792133,0.868527654025861,0.498917744213843,0.702459598224978,0.545296584520383,0.234892065966703,0.172546389642513,0.0826339237205259,0.45163316309899,0.0666521786374008,362745,0.0586334753063447,0.856086231374657,0.532208576272588,0.647405481350215,0.470143506595672,0.194941523615516,0.126550238349578,0.0568884478076886,0.496235647631256,0.0963073233263036,-0.0121377673850147,0.012441422651204,-0.033290832058745,0.055054116874763,0.075153077924711,0.039950542351187,0.045996151292935,0.0257454759128373,-0.044602484532266,-0.0296551446889028
