"variable","n_harmonized_parents","n_finite_baseline","n_finite_followup","n_finite_change"
"no_exclusive_room_share_households",359,356,359,356
"one_room_share_households",359,356,359,356
"overcrowding_gt2_ppr_lower_bound_share_households",359,356,359,356
"tap_water_share_households",359,359,359,359
"well_water_share_households",359,359,359,359
"handpump_tubewell_water_share_households",359,359,359,359
"surface_water_share_households",359,359,359,359
"water_within_premises_share_households",359,359,359,359
"water_away_share_households",359,359,359,359
"bathroom_share_households",359,359,359,359
"flush_or_water_closet_latrine_share_households",359,359,359,359
"pit_latrine_share_households",359,359,359,359
"closed_drainage_share_households",359,359,359,359
"no_drainage_share_households",359,359,359,359
"separate_kitchen_within_house_share_households",359,359,359,359
"solid_cooking_fuel_share_households",359,359,359,359
"clean_cooking_fuel_share_households",359,359,359,359
"electricity_share_households",359,359,359,359
"kerosene_lighting_share_households",359,359,359,359
"solar_lighting_share_households",359,359,359,359
"no_lighting_share_households",359,359,359,359
"latrine_share_households",359,359,359,359
"banking_share_households",359,359,359,359
"radio_share_households",359,359,359,359
"television_share_households",359,359,359,359
"telephone_share_households",359,359,359,359
"bicycle_share_households",359,359,359,359
"motorcycle_share_households",359,359,359,359
"car_share_households",359,359,359,359
"permanent_structure_share_households",359,359,359,359
"semi_permanent_structure_share_households",359,359,359,359
"temporary_structure_share_households",359,359,359,359
"nonserviceable_temporary_structure_share_households",359,359,359,359
