"target_unit_2001","census_2011_source_district_count","census_2011_source_districts","census_2011_parent_reconstruction_complete","households_total","rooms_no_exclusive","rooms_one","rooms_two","overcrowding_gt2_ppr_lower_bound","water_tap","water_well","water_handpump_tubewell","water_surface","water_within_premises","water_away","bathroom_available","latrine_flush_or_water_closet","latrine_pit","drainage_closed","drainage_none","separate_kitchen_within_house","cooking_solid_fuel","cooking_clean_fuel","lighting_electricity","lighting_kerosene","lighting_solar","lighting_other_oil","lighting_other","lighting_none","latrine_available","banking","radio","television","telephone","bicycle","motorcycle","car","computer","computer_internet","households_owned","households_rented","structure_permanent","structure_semi_permanent","structure_temporary","structure_temporary_serviceable","structure_temporary_nonserviceable","structure_unclassifiable","census_year","no_exclusive_room_share_households","one_room_share_households","overcrowding_gt2_ppr_lower_bound_share_households","tap_water_share_households","well_water_share_households","handpump_tubewell_water_share_households","surface_water_share_households","water_within_premises_share_households","water_away_share_households","bathroom_share_households","flush_or_water_closet_latrine_share_households","pit_latrine_share_households","closed_drainage_share_households","no_drainage_share_households","separate_kitchen_within_house_share_households","solid_cooking_fuel_share_households","clean_cooking_fuel_share_households","electricity_share_households","kerosene_lighting_share_households","solar_lighting_share_households","no_lighting_share_households","latrine_share_households","banking_share_households","radio_share_households","television_share_households","telephone_share_households","bicycle_share_households","motorcycle_share_households","car_share_households","permanent_structure_share_households","semi_permanent_structure_share_households","temporary_structure_share_households","nonserviceable_temporary_structure_share_households","owned_share_households","rented_share_households","computer_share_households","internet_computer_share_households"
"pc2001__01__01",1,"Kupwara",TRUE,106777,2861,22038,28790,53303,50339,16526,5030,26383,22747,46181,62694,22642,9791,4020,73833,100395,88742,16884,83071,11092,2968,1224,5109,3313,54335,53634,59480,26828,56495,3019,1808,2988,5256,762,104807,618,58798,38466,5958,5576,382,3555,2011,0.0267941597909662,0.206392762486303,0.49919926575948,0.471440478754788,0.154771158582841,0.0471075231557358,0.247085046405125,0.213032769229328,0.43249950832108,0.587148917838111,0.212049411390093,0.0916957771804789,0.0376485572735702,0.691469136611817,0.940230574000019,0.831096584470438,0.158123940548995,0.777985895838992,0.103880049074239,0.0277962482557105,0.0310272811560542,0.508864268522247,0.502299184281259,0.557048802644764,0.25125261058093,0.529093344072225,0.0282738792061961,0.0169324854603519,0.0279835545108029,0.550661659346114,0.360246120419191,0.0557985333920226,0.00357754947226463,0.9815503338734,0.00578776328235481,0.0492240838382798,0.00713636831902001
"pc2001__01__06",2,"Anantnag;Kulgam",TRUE,212190,8818,42483,52664,86009,151914,3011,16167,32220,94762,50450,130552,58714,22530,17585,102199,197588,175492,35128,162812,38299,1450,439,6057,3133,111965,122483,123692,92991,152288,8148,8859,10267,12154,3550,209466,1554,146044,50412,12031,10445,1586,3703,2011,0.0415570950563175,0.200212074084547,0.405339554173147,0.715933832885621,0.0141901126349027,0.0761911494415383,0.151845044535558,0.44659031999623,0.237758612564211,0.615259908572506,0.276704840001885,0.106178424996465,0.0828738394834818,0.481639097035676,0.931184315943258,0.827051227673312,0.16554974315472,0.767293463405438,0.180493896979122,0.00683349827984354,0.0147650690418964,0.52766388613978,0.577232668834535,0.582930392572694,0.438244026579952,0.717696404166078,0.0383995475752863,0.0417503181111268,0.0483858805787266,0.688269946745841,0.237579527781705,0.0566991846929639,0.00747443329091852,0.987162448748763,0.00732362505301852,0.057278853857392,0.0167302888920307
"pc2001__01__07",1,"Leh(Ladakh)",TRUE,20777,1520,4016,4376,5678,6254,177,5991,6170,3031,6784,9384,1683,14980,1821,16839,18088,6701,13785,17250,734,2645,16,52,80,18780,18137,15210,13597,13836,609,1289,4271,2150,574,19387,893,243,6277,14019,13906,113,238,2011,0.073157818741878,0.193290657939067,0.273282957116042,0.301005920007701,0.00851903547191606,0.2883476921596,0.296962987919334,0.145882466188574,0.32651489627954,0.451653270443279,0.0810030321990663,0.720989555758772,0.0876449920585263,0.810463493285845,0.870578043028349,0.322520094335082,0.663474033787361,0.830244982432497,0.0353275256293016,0.12730423063965,0.00385041151273042,0.903884102613467,0.872936420079896,0.732059488857872,0.654425566732445,0.665928671126727,0.0293112576406603,0.0620397554988689,0.205563844635895,0.0116956249699187,0.302112913317611,0.674736487462097,0.00543870626173172,0.933099099966309,0.0429802185108533,0.10347980940463,0.0276267026038408
"pc2001__01__08",1,"Kargil",TRUE,18212,440,3204,5204,8561,10769,86,3289,2838,1963,7031,11557,11213,1704,2520,12185,15928,14347,3324,15824,525,1811,10,8,34,17649,14078,10895,8008,10562,488,652,1847,1005,235,16646,1419,862,10119,7201,7170,31,30,2011,0.0241598945750055,0.175927959587085,0.470074676037777,0.591313419723259,0.00472216121238744,0.180595211948166,0.155831320008785,0.107786075115309,0.386064133538326,0.634581594553042,0.615692949703492,0.0935646826268395,0.138370305293213,0.669064353173732,0.874588183615199,0.7877772896991,0.182517021743905,0.868877663079288,0.0288271469360861,0.0994399297166703,0.00186690094443224,0.969086316714254,0.773006808697562,0.59823193498792,0.4397100812651,0.579947287502745,0.0267955194377334,0.0358005710520536,0.101416648363716,0.047331429826488,0.555622666373819,0.395398638260488,0.00170217439051175,0.914012738853503,0.0779156600043927,0.0551833955633648,0.0129035800571052
"pc2001__01__11",1,"Punch",TRUE,88878,970,20564,37340,41208,43697,21687,4036,1659,17078,38654,16368,15083,532,2770,75695,47413,74736,13651,62900,19258,236,215,1690,4579,16586,61284,37412,16022,36358,846,2407,1731,3342,346,87711,762,25870,60331,2378,2275,103,299,2011,0.0109138369450258,0.231373343234546,0.4636467967326,0.49165147730597,0.24400864105853,0.0454105627939423,0.0186660365894822,0.192151038502217,0.43491077657013,0.184162559913589,0.169704538806004,0.00598573325232341,0.0311663178739396,0.851673079952294,0.533461599045883,0.840883008168501,0.153592565089223,0.707711694682599,0.21667904318279,0.00265532527734647,0.0515200612074979,0.186615360381647,0.689529467359752,0.420936564729179,0.18026958302392,0.409077612007471,0.00951866603658948,0.0270820675532753,0.0194761358266388,0.291073156461667,0.678806903845721,0.0267557775827539,0.00115889196426562,0.986869641531088,0.00857355025990684,0.0376021062580166,0.00389297688966898
"pc2001__02__01",1,"Chamba",TRUE,101972,1309,22564,33033,38116,96451,382,1031,525,36220,10664,40374,42768,9420,14804,54233,79031,78517,21566,96082,5539,110,131,34,76,52553,91309,25935,62233,73995,1657,8880,5074,5117,1615,94367,6546,71360,28705,1817,1680,137,90,2011,0.0128368571764798,0.221276428823599,0.373788883222845,0.945857686423724,0.00374612638763582,0.0101106186011846,0.0051484721296042,0.355195543874789,0.104577727219237,0.395932216686934,0.419409249597929,0.0923782999254697,0.145177107441258,0.531842074294904,0.775026477856667,0.769985878476445,0.211489428470561,0.942239046012631,0.0543188326207194,0.00107872749382183,0.000745302632095085,0.515366963480171,0.895432079394344,0.254334523202448,0.610294982936492,0.725640371866787,0.0162495587023889,0.0870827285921626,0.0497587573059271,0.699799945082964,0.281498842819598,0.0178186168752206,0.00134350606048719,0.92542070372259,0.0641940924959793,0.0501804416898756,0.0158376809320206
"pc2001__02__02",1,"Kangra",TRUE,336407,2760,66195,100813,101448,301016,11334,18358,881,200604,30114,200642,189380,30433,52253,112138,271954,183133,148702,330081,5528,221,173,78,326,220258,315900,74758,272579,274180,38456,69192,22727,22753,8053,314828,16832,197678,134876,3552,2378,1174,301,2011,0.00820434770976823,0.196770578495691,0.301563284949481,0.894797076160722,0.0336913322255482,0.0545708026289584,0.00261885156967602,0.596313394192154,0.0895165677289712,0.596426352602651,0.562949046839097,0.0904648238591944,0.155326732202362,0.333340269376083,0.808407672848662,0.544379278671371,0.442030040992013,0.981195397242031,0.0164324761375358,0.000656942334731441,0.000969064258472624,0.654736673137004,0.939041101998472,0.222224864524222,0.81026554144236,0.815024657631976,0.114313911422771,0.20567942997619,0.0675580472463415,0.5876155965839,0.400931015109674,0.0105586387917017,0.00348982036640141,0.935854485786562,0.0500346306705865,0.0676353345798393,0.0239382652560737
"pc2001__02__04",1,"Kullu",TRUE,95545,1216,25050,30392,33268,87848,1171,1753,1061,46354,10792,56886,48182,7476,24662,37900,80473,51197,40243,91322,3943,45,88,53,94,55831,85503,21750,66910,79454,2450,6979,8479,7010,2623,80610,12616,87507,6929,832,565,267,277,2011,0.012726987283479,0.262180124548642,0.348191951436496,0.91944110105186,0.0122560050238108,0.0183473755821864,0.0111047150557329,0.485153592548014,0.112952012140876,0.595384373855251,0.504285938562981,0.0782458527395468,0.258119210843058,0.396671725365011,0.842252341828458,0.535841749960752,0.42119420168507,0.955800931498247,0.0412685122193731,0.000470982259668219,0.000983829609084725,0.584342456434141,0.894897692186928,0.227641425506306,0.700298288764457,0.831587210215082,0.0256423674708253,0.0730441153383223,0.0887435239939296,0.915872102150819,0.0725208017164687,0.00870793866764352,0.0027944947406981,0.843686221152337,0.132042493066095,0.0733685697838715,0.0274530326024386
"pc2001__02__06",1,"Hamirpur",TRUE,105068,696,14335,29015,22380,94807,3964,5691,162,69696,5748,82065,80901,12913,17025,30851,86055,69095,35066,104120,795,44,28,21,60,93858,96839,23628,86324,90286,7094,16955,6665,7525,2521,99538,4452,64855,38956,1143,667,476,114,2011,0.00662428141774851,0.13643545132676,0.213004911105189,0.902339437316785,0.037727947614878,0.0541649217649522,0.00154185860585526,0.663341835763506,0.0547074275707161,0.781065595614269,0.769987056001827,0.122901359119808,0.162037918300529,0.293628887958275,0.819041002017741,0.657621730688697,0.333745764647657,0.990977271862032,0.00756652834354894,0.00041877641146686,0.000571058742909354,0.893307191533102,0.921679293409982,0.224882932957704,0.821601248715118,0.859310161038566,0.067518178703316,0.161371683100468,0.0634351086915141,0.617266912856436,0.370769406479613,0.0108786690524232,0.00453039936041421,0.947367419195188,0.0423725587238741,0.0716202840065481,0.023993984847908
"pc2001__02__09",1,"Solan",TRUE,123353,1301,28655,24699,28683,103964,4610,6105,1620,74848,12813,100210,85081,5298,51247,28345,95933,60458,54256,119866,3089,62,73,104,159,90587,104254,38632,94692,108699,12426,25275,15117,14478,5250,86649,31305,103228,16854,2873,1444,1429,398,2011,0.0105469668350182,0.232300795278591,0.232527786109783,0.84281695621509,0.0373724189926471,0.0494921080152084,0.0131330409475246,0.606778919037235,0.10387262571644,0.812383971204592,0.689735961022432,0.0429499079876452,0.415449968788761,0.229787682504682,0.777711121740047,0.490121845435458,0.439843376326478,0.971731534701223,0.0250419527696935,0.000502622554781805,0.00128898364855334,0.734372086613216,0.845167932681005,0.313182492521463,0.767650563829011,0.8812027271327,0.100735288156753,0.204899759227583,0.122550728397364,0.836850340080906,0.136632266746654,0.0232908806433569,0.0115846392061806,0.702447447569171,0.253783856087813,0.117370473356951,0.0425607808484593
