"target_unit_2001","census_2011_source_district_count","census_2011_parent_reconstruction_complete","households_total_2011","electricity_share_households_2011","kerosene_lighting_share_households_2011","solar_lighting_share_households_2011","no_lighting_share_households_2011","latrine_share_households_2011","banking_share_households_2011","radio_share_households_2011","television_share_households_2011","telephone_share_households_2011","bicycle_share_households_2011","motorcycle_share_households_2011","car_share_households_2011","computer_share_households","internet_computer_share_households","electricity_share_households_2001","kerosene_lighting_share_households_2001","solar_lighting_share_households_2001","no_lighting_share_households_2001","latrine_share_households_2001","banking_share_households_2001","radio_share_households_2001","television_share_households_2001","telephone_share_households_2001","bicycle_share_households_2001","motorcycle_share_households_2001","car_share_households_2001","electricity_share_households_change_2011_2001","kerosene_lighting_share_households_change_2011_2001","solar_lighting_share_households_change_2011_2001","no_lighting_share_households_change_2011_2001","latrine_share_households_change_2011_2001","banking_share_households_change_2011_2001","radio_share_households_change_2011_2001","television_share_households_change_2011_2001","telephone_share_households_change_2011_2001","bicycle_share_households_change_2011_2001","motorcycle_share_households_change_2011_2001","car_share_households_change_2011_2001"
"pc2001__01__01",1,TRUE,106777,0.777985895838992,0.103880049074239,0.0277962482557105,0.0310272811560542,0.508864268522247,0.502299184281259,0.557048802644764,0.25125261058093,0.529093344072225,0.0282738792061961,0.0169324854603519,0.0279835545108029,0.0492240838382798,0.00713636831902001,0.55868674629277,0.31251514626969,0.00308118400553921,0.00518146673590676,0.503040793953032,0.0994864693324101,0.539438001269402,0.128521147077491,0.0156828803877445,0.033731463850903,0.0135018175523628,0.0136979978073971,0.219299149546222,-0.208635097195451,0.0247150642501713,0.0258458144201474,0.00582347456921495,0.402812714948849,0.017610801375362,0.122731463503439,0.51341046368448,-0.0054575846447069,0.0034306679079891,0.0142855567034058
"pc2001__01__06",2,TRUE,212190,0.767293463405438,0.180493896979122,0.00683349827984354,0.0147650690418964,0.52766388613978,0.577232668834535,0.582930392572694,0.438244026579952,0.717696404166078,0.0383995475752863,0.0417503181111268,0.0483858805787266,0.057278853857392,0.0167302888920307,0.793550379000296,0.159136017945018,0.00378055158247588,0.00345920469796543,0.520670165777187,0.222063299035329,0.747036992697235,0.327962849779783,0.0275476191976409,0.0684909928358547,0.0283793405457856,0.0215554449394167,-0.026256915594858,0.021357879034104,0.00305294669736766,0.011305864343931,0.00699372036259294,0.355169369799206,-0.164106600124541,0.110281176800169,0.690148784968437,-0.0300914452605684,0.0133709775653412,0.0268304356393099
"pc2001__01__07",1,TRUE,20777,0.830244982432497,0.0353275256293016,0.12730423063965,0.00385041151273042,0.903884102613467,0.872936420079896,0.732059488857872,0.654425566732445,0.665928671126727,0.0293112576406603,0.0620397554988689,0.205563844635895,0.10347980940463,0.0276267026038408,0.615743515110008,0.20130981936478,0.170190908312644,0.0045372827668864,0.851082955226436,0.554447393202637,0.795008988956425,0.372271209656707,0.0902320006848729,0.0454156322232686,0.0672031504152042,0.0445167365807722,0.214501467322489,-0.165982293735478,-0.042886677672994,-0.00068687125415598,0.052801147387031,0.318489026877259,-0.062949500098553,0.282154357075738,0.575696670441854,-0.0161043745826083,-0.00516339491633529,0.161047108055123
"pc2001__01__08",1,TRUE,18212,0.868877663079288,0.0288271469360861,0.0994399297166703,0.00186690094443224,0.969086316714254,0.773006808697562,0.59823193498792,0.4397100812651,0.579947287502745,0.0267955194377334,0.0358005710520536,0.101416648363716,0.0551833955633648,0.0129035800571052,0.771100203519694,0.13342511672453,0.0926014605530947,0.000658446067281216,0.955943972225548,0.491799353525679,0.678798036633545,0.187537411708368,0.0536932838501137,0.0544115886507842,0.0400454926373758,0.031186400095774,0.097777459559594,-0.104597969788444,0.0068384691635756,0.00120845487715102,0.013142344488706,0.281207455171883,-0.0805661016456249,0.252172669556732,0.526254003652631,-0.0276160692130508,-0.0042449215853222,0.070230248267942
"pc2001__01__11",1,TRUE,88878,0.707711694682599,0.21667904318279,0.00265532527734647,0.0515200612074979,0.186615360381647,0.689529467359752,0.420936564729179,0.18026958302392,0.409077612007471,0.00951866603658948,0.0270820675532753,0.0194761358266388,0.0376021062580166,0.00389297688966898,0.557491113942727,0.426044530883241,0.0060525786332238,0.00155925155925156,0.300248138957816,0.358326068003487,0.627875394004426,0.148397156461673,0.0221480785996915,0.0148045067399906,0.0217792233921266,0.0110656562269466,0.150220580739872,-0.209365487700451,-0.00339725335587733,0.0499608096482463,-0.113632778576169,0.331203399356265,-0.206938829275247,0.031872426562247,0.38692953340778,-0.00528584070340112,0.0053028441611487,0.0084104795996922
"pc2001__02__01",1,TRUE,101972,0.942239046012631,0.0543188326207194,0.00107872749382183,0.000745302632095085,0.515366963480171,0.895432079394344,0.254334523202448,0.610294982936492,0.725640371866787,0.0162495587023889,0.0870827285921626,0.0497587573059271,0.0501804416898756,0.0158376809320206,0.890956567349685,0.102714968243652,0.00129990079704444,0.00234894354553644,0.234700509697944,0.45027879451305,0.50694990820876,0.327050479480952,0.0838664066865073,0.0149146512502993,0.0370471727157664,0.0161803441316321,0.051282478662946,-0.0483961356229326,-0.00022117330322261,-0.00160364091344135,0.280666453782227,0.445153284881294,-0.252615385006312,0.28324450345554,0.64177396518028,0.0013349074520896,0.0500355558763962,0.033578413174295
"pc2001__02__02",1,TRUE,336407,0.981195397242031,0.0164324761375358,0.000656942334731441,0.000969064258472624,0.654736673137004,0.939041101998472,0.222224864524222,0.81026554144236,0.815024657631976,0.114313911422771,0.20567942997619,0.0675580472463415,0.0676353345798393,0.0239382652560737,0.976061342809052,0.0200588932038123,0.000729747668657888,0.00122846969346931,0.30020132234678,0.690697000700411,0.415769150375692,0.640663446975948,0.129961092347917,0.108527046502162,0.0923295819169261,0.0236306229991529,0.00513405443297899,-0.0036264170662765,-7.28053339264469e-05,-0.000259405434996686,0.354535350790224,0.248344101298061,-0.19354428585147,0.169602094466412,0.685063565284059,0.00578686492060901,0.113349848059264,0.0439274242471886
"pc2001__02__04",1,TRUE,95545,0.955800931498247,0.0412685122193731,0.000470982259668219,0.000983829609084725,0.584342456434141,0.894897692186928,0.227641425506306,0.700298288764457,0.831587210215082,0.0256423674708253,0.0730441153383223,0.0887435239939296,0.0733685697838715,0.0274530326024386,0.914001684489931,0.0791710267731809,0.00112299328756285,0.00276919935683112,0.281577805569026,0.558714683137235,0.471618896914321,0.400372629590873,0.163446568489829,0.0246037620275133,0.0466935504453689,0.0326050892013986,0.0417992470083159,-0.0379025145538078,-0.000652011027894631,-0.0017853697477464,0.302764650865115,0.336183009049693,-0.243977471408015,0.299925659173584,0.668140641725253,0.001038605443312,0.0263505648929534,0.056138434792531
"pc2001__02__06",1,TRUE,105068,0.990977271862032,0.00756652834354894,0.00041877641146686,0.000571058742909354,0.893307191533102,0.921679293409982,0.224882932957704,0.821601248715118,0.859310161038566,0.067518178703316,0.161371683100468,0.0634351086915141,0.0716202840065481,0.023993984847908,0.983412484588337,0.0138020000913284,0.000856203479610941,0.000639298598109503,0.383910224211151,0.760377186172885,0.46313758619115,0.679505913512032,0.197634595186995,0.0541577240969907,0.0652541211927485,0.0193844467783917,0.00756478727369503,-0.00623547174777946,-0.000437427068144081,-6.8239855200149e-05,0.509396967321951,0.161302107237097,-0.238254653233446,0.142095335203086,0.661675565851571,0.0133604546063253,0.0961175619077195,0.0440506619131224
"pc2001__02__09",1,TRUE,123353,0.971731534701223,0.0250419527696935,0.000502622554781805,0.00128898364855334,0.734372086613216,0.845167932681005,0.313182492521463,0.767650563829011,0.8812027271327,0.100735288156753,0.204899759227583,0.122550728397364,0.117370473356951,0.0425607808484593,0.96009906718501,0.0349171225854911,0.00166465351861062,0.00130939209695592,0.428973091484891,0.588262162628528,0.530679361341467,0.598422639287853,0.237040570854353,0.120606177488606,0.107461504887382,0.0360336584821202,0.0116324675162129,-0.0098751698157976,-0.00116203096382882,-2.040844840258e-05,0.305398995128325,0.256905770052477,-0.217496868820004,0.169227924541158,0.644162156278347,-0.019870889331853,0.097438254340201,0.0865170699152438
