"target_unit_2001","migrant_stock_share_population_2011","recent_0_9_migrant_share_population_2011","interdistrict_migrant_share_population_2011","interstate_migrant_share_population_2011","migrant_stock_share_population_2001","recent_0_9_migrant_share_population_2001","interdistrict_migrant_share_population_2001","interstate_migrant_share_population_2001","migrant_stock_share_population_change_2011_2001","recent_0_9_migrant_share_population_change_2011_2001","interdistrict_migrant_share_population_change_2011_2001","interstate_migrant_share_population_change_2011_2001"
"pc2001__01__01",0.133533022195566,0.0358428869172773,0.0134301674950652,0.00145458054998311,0.103437460120266,0.0142298579474256,0.00872395613113917,0.00104244664379844,0.0300955620753,0.0216130289698517,0.00470621136392603,0.00041213390618467
"pc2001__01__06",0.168657674588787,0.0572182214313037,0.0328577843564455,0.00201639862291483,0.157740222477342,0.0232610108543423,0.0205478517340848,0.00315497503484205,0.010917452111445,0.0339572105769614,0.0123099326223607,-0.00113857641192722
"pc2001__01__07",0.254137106984201,0.0780825099073318,0.0349622060575187,0.015791799950557,0.201207861334789,0.0748942268322642,0.0925259314862836,0.0666968063327419,0.052929245649412,0.0031882830750676,-0.0575637254287649,-0.0509050063821849
"pc2001__01__08",0.147739378702007,0.0437848894191844,0.00860073010326558,0.00128549310379114,0.139019504304022,0.0645896720225972,0.0304089449906544,0.0139472118148977,0.00871987439798502,-0.0208047826034128,-0.0218082148873888,-0.0126617187111066
"pc2001__01__11",0.137429089727054,0.0373860979164701,0.0111527048140342,0.00231946061006428,0.0687415629621081,0.0284504298025029,0.00728101273975948,0.00160219852769495,0.0686875267649459,0.0089356681139672,0.00387169207427472,0.00071726208236933
"pc2001__02__01",0.308305078215304,0.101180935501271,0.0451317715959004,0.0235859597749865,0.279328772562472,0.108792393797178,0.0545426536222545,0.0288357015927982,0.028976305652832,-0.00761145829590701,-0.0094108820263541,-0.0052497418178117
"pc2001__02__02",0.390666026521861,0.120349651507375,0.0874353922818403,0.0559813254308561,0.376341082724061,0.123745547149802,0.0843685354323652,0.0475149921958433,0.0143249437978,-0.003395895642427,0.00306685684947511,0.0084663332350128
"pc2001__02__04",0.34597616367095,0.126911667652425,0.102696259217224,0.0290772157304243,0.271676830786407,0.117928249264226,0.094100442643702,0.0237989784338957,0.074299332884543,0.00898341838819901,0.008595816573522,0.0052782372965286
"pc2001__02__06",0.430674541744362,0.127651901628962,0.122222759736833,0.0339865601801358,0.394492367337049,0.128521928761812,0.0977828931427187,0.0349987884661982,0.036182174407313,-0.000870027132850004,0.0244398665941143,-0.0010122282860624
"pc2001__02__09",0.445702371105597,0.200659980700303,0.215503515301902,0.145926385442514,0.456215775625953,0.220688153397116,0.219553417492913,0.142631108944636,-0.010513404520356,-0.020028172696813,-0.00404990219101098,0.003295276497878
"pc2001__02__10",0.334414132168235,0.12118598484491,0.104090741806721,0.0782799067669457,0.31999398159152,0.119997470523972,0.093025842086556,0.0690677790546301,0.014420150576715,0.001188514320938,0.011064899720165,0.0092121277123156
"pc2001__02__12",0.402491648934273,0.233425660655484,0.154456081121242,0.0807051746888411,0.379094646003013,0.228764010519059,0.133683968647075,0.049186815431358,0.02339700293126,0.004661650136425,0.020772112474167,0.0315183592574831
"pc2001__03__03",0.504287459762895,0.127689016251865,0.296760913087854,0.0788745387453875,0.410114496481874,0.103052135063173,0.239139798627209,0.0623229837207977,0.094172963281021,0.024636881188692,0.057621114460645,0.0165515550245898
"pc2001__03__04",0.491944255763383,0.142101304254669,0.241815927315497,0.0929549277668115,0.385629489988281,0.0977311866306618,0.17342232638712,0.0655958628420034,0.106314765775102,0.0443701176240072,0.068393600928377,0.0273590649248081
"pc2001__03__08",0.588188542112726,0.162360891957685,0.369369654577173,0.106930950425135,0.416871576701404,0.124293501796332,0.278090331405971,0.0743121806702463,0.171316965411322,0.038067390161353,0.091279323171202,0.0326187697548887
"pc2001__03__10",0.559735113171431,0.118693923952494,0.25014310878477,0.0324620937467989,0.357658344266216,0.0806679078374796,0.171961012634463,0.0230808601179634,0.202076768905215,0.0380260161150144,0.078182096150307,0.0093812336288355
"pc2001__03__12",0.433396977035046,0.111214596804953,0.246293364201637,0.0714727640437478,0.352185807460646,0.090390524416297,0.195154168590585,0.0551979246115399,0.0812111695744,0.020824072388656,0.051139195611052,0.0162748394322079
"pc2001__03__13",0.493706964120303,0.11973771999715,0.296263368247861,0.0488236589647422,0.351905636676517,0.0966959040973548,0.226527159588449,0.0435929365465463,0.141801327443786,0.0230418158997952,0.069736208659412,0.0052307224181959
"pc2001__03__14",0.537720962892278,0.1545798599233,0.3007601591617,0.109699861363677,0.383368475316806,0.109427488496106,0.213783545100757,0.0712037150499241,0.154352487575472,0.045152371427194,0.086976614060943,0.0384961463137529
"pc2001__03__15",0.521502407921523,0.129318441937718,0.267760613497092,0.0868150869566912,0.351341109649543,0.104668112747874,0.196190824643779,0.0676101039842731,0.17016129827198,0.024650329189844,0.071569788853313,0.0192049829724181
"pc2001__04__01",0.642558150551897,0.247085129565588,0.600659434364489,0.600659434364489,0.642998551022334,0.274776130174821,0.615647848462474,0.615647848462474,-0.00044040047043703,-0.027691000609233,-0.014988414097985,-0.014988414097985
"pc2001__05__08",0.359848863785023,0.107038145734096,0.0771687354269752,0.00984617042070351,0.336119328795568,0.103999807585925,0.0599209498841507,0.00887910784007183,0.023729534989455,0.00303833814817099,0.0172477855428245,0.000967062580631679
"pc2001__05__09",0.380224447635846,0.115377201183603,0.083883528833457,0.0202343431227972,0.365139628302781,0.113136272592762,0.0646751257201852,0.0213189082206966,0.015084819333065,0.002240928590841,0.0192084031132718,-0.0010845650978994
