"target_unit_2001","census_2011_source_district_count","census_2011_source_districts","census_2011_parent_reconstruction_complete","migrants_total","migrants_illiterate","migrants_literate","migrants_literate_below_matric","migrants_matric_below_graduate","migrants_technical_diploma_below_degree","migrants_graduate_nontechnical","migrants_technical_degree","migrants_literate_education_not_classified","census_year","literate_share_among_migrants","graduate_or_technical_degree_share_among_migrants","technical_credential_share_among_migrants"
"pc2001__01__01",1,"Kupwara",TRUE,116221,66984,49237,28286,14316,140,2645,854,2996,2011,0.423649770695485,0.0301064351537158,0.00855267120399928
"pc2001__01__06",2,"Anantnag;Kulgam",TRUE,253522,166181,87341,47679,26564,498,6978,2272,3350,2011,0.344510535574822,0.0364859854371613,0.010926073476858
"pc2001__01__07",1,"Leh(Ladakh)",TRUE,33924,11713,22211,9763,7751,92,1782,473,2350,2011,0.654728216012263,0.0664721141374838,0.0166548756042919
"pc2001__01__08",1,"Kargil",TRUE,20802,10394,10408,5241,3752,78,444,183,710,2011,0.500336506105182,0.0301413325641765,0.0125468704932218
"pc2001__01__11",1,"Punch",TRUE,65531,31178,34353,18844,10642,109,2462,738,1558,2011,0.524225175870962,0.0488318505745372,0.0129251804489478
"pc2001__02__01",1,"Chamba",TRUE,160035,76072,83963,45257,25660,1021,6093,1650,4282,2011,0.52465398194145,0.0483831661823976,0.0166900990408348
"pc2001__02__02",1,"Kangra",TRUE,589935,152148,437787,206330,162408,4916,37828,7838,18467,2011,0.742093620483613,0.0774085280581759,0.0216193309432395
"pc2001__02__04",1,"Kullu",TRUE,151504,49477,102027,53049,31382,907,10106,1700,4883,2011,0.673427764283451,0.0779253353046784,0.0172074664695322
"pc2001__02__06",1,"Hamirpur",TRUE,195857,43241,152616,70704,56920,1630,14827,3464,5071,2011,0.779221574924562,0.0933895648355688,0.0260087717058875
"pc2001__02__09",1,"Solan",TRUE,258650,71706,186944,86229,64880,2846,21600,3885,7504,2011,0.722768219601779,0.0985308331722405,0.026023583993814
"pc2001__02__10",1,"Sirmaur",TRUE,177191,64068,113123,62398,33577,1090,11168,2072,2818,2011,0.638424073457456,0.0747216280736606,0.0178451501487096
