"outcome_id","outcome_variable","mechanism_family","tier","denominator","specification_id","adjustment_id","construction_id","fixed_effect","term","estimate","std.error","statistic","p.value","p_holm_within_spec","n","status","reason"
"interstate_migrant_composition","interstate_share_among_migrants","geographic_sorting","core","all_migrants","region_main__nonzero_mean","region_main","nonzero_mean","region","ling_distance_nonzero_mean",-0.00159896862885194,0.0142797222407947,-0.111974771069703,0.910909878077316,1,355,"estimated",
"interstate_migrant_composition","interstate_share_among_migrants","geographic_sorting","core","all_migrants","region_main__glottolog_mean","region_main","glottolog_mean","region","ling_distance_glottolog_nonhindi_mean",-0.00403092767948709,0.00351421969352162,-1.14703348994316,0.252179072933566,1,355,"estimated",
"interstate_migrant_composition","interstate_share_among_migrants","geographic_sorting","core","all_migrants","region_main__dyen_noncognate","region_main","dyen_noncognate","region","ling_distance_dyen_noncognate_pct",-0.000955661518976834,0.000663242881501058,-1.44089223666294,0.150540848860842,1,355,"estimated",
"interstate_migrant_composition","interstate_share_among_migrants","geographic_sorting","core","all_migrants","state_main__nonzero_mean","state_main","nonzero_mean","state","ling_distance_nonzero_mean",-0.00226968115923499,0.0166020999673082,-0.136710486245975,0.891348381793808,1,355,"estimated",
"interstate_migrant_composition","interstate_share_among_migrants","geographic_sorting","core","all_migrants","state_main__glottolog_mean","state_main","glottolog_mean","state","ling_distance_glottolog_nonhindi_mean",0.00147935730635326,0.00307117004921922,0.481691760027863,0.630364798219387,1,355,"estimated",
"interstate_migrant_composition","interstate_share_among_migrants","geographic_sorting","core","all_migrants","state_main__dyen_noncognate","state_main","dyen_noncognate","state","ling_distance_dyen_noncognate_pct",-0.000352595907308856,0.000749414860439641,-0.470494950022751,0.638332296817499,1,355,"estimated",
"work_migration_reason","work_employment_share_among_migrants","migration_reason","core","all_migrants","region_main__nonzero_mean","region_main","nonzero_mean","region","ling_distance_nonzero_mean",0.00518870296842855,0.0070118219678761,0.739993541222243,0.459817584442668,1,355,"estimated",
"work_migration_reason","work_employment_share_among_migrants","migration_reason","core","all_migrants","region_main__glottolog_mean","region_main","glottolog_mean","region","ling_distance_glottolog_nonhindi_mean",-0.00268378321932169,0.00180553570504304,-1.48641935566581,0.138100402303006,0.966702816121042,355,"estimated",
"work_migration_reason","work_employment_share_among_migrants","migration_reason","core","all_migrants","region_main__dyen_noncognate","region_main","dyen_noncognate","region","ling_distance_dyen_noncognate_pct",-0.000498557050628939,0.000382379720274261,-1.3038271231313,0.1931798143927,1,355,"estimated",
"work_migration_reason","work_employment_share_among_migrants","migration_reason","core","all_migrants","state_main__nonzero_mean","state_main","nonzero_mean","state","ling_distance_nonzero_mean",0.00602210888342529,0.00497964619127128,1.20934473095324,0.22745191936466,1,355,"estimated",
"work_migration_reason","work_employment_share_among_migrants","migration_reason","core","all_migrants","state_main__glottolog_mean","state_main","glottolog_mean","state","ling_distance_glottolog_nonhindi_mean",0.00091402277815533,0.00139368667043895,0.655830896242589,0.512419374442306,1,355,"estimated",
"work_migration_reason","work_employment_share_among_migrants","migration_reason","core","all_migrants","state_main__dyen_noncognate","state_main","dyen_noncognate","state","ling_distance_dyen_noncognate_pct",0.000172492683712772,0.000268935199504862,0.641391249752168,0.521742437173888,1,355,"estimated",
