"target_unit_2001","state_code_2001","district_code_2001","in_iv_panel","in_iv_design_support","all_mechanism_outcomes_complete","in_common_analysis","exclusion_reason"
"pc2001__01__01","01","01",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__01__06","01","06",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__01__07","01","07",FALSE,FALSE,FALSE,FALSE,"not_in_iv_panel"
"pc2001__01__08","01","08",FALSE,FALSE,FALSE,FALSE,"not_in_iv_panel"
"pc2001__01__11","01","11",FALSE,FALSE,FALSE,FALSE,"not_in_iv_panel"
"pc2001__02__01","02","01",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__02__02","02","02",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__02__04","02","04",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__02__06","02","06",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__02__09","02","09",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__02__10","02","10",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__02__12","02","12",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__03__03","03","03",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__03__04","03","04",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__03__08","03","08",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__03__10","03","10",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__03__12","03","12",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__03__13","03","13",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__03__14","03","14",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__03__15","03","15",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__04__01","04","01",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__05__08","05","08",TRUE,TRUE,TRUE,TRUE,"included"
"pc2001__05__09","05","09",TRUE,TRUE,TRUE,TRUE,"included"
