"target_unit_2001","census_2011_source_district_count","census_2011_source_districts","census_2011_parent_reconstruction_complete","population_total_2011","census_year"
"pc2001__01__01",1,"01/001",TRUE,870354,2011
"pc2001__01__06",2,"01/014;01/015",TRUE,1503175,2011
"pc2001__01__07",1,"01/003",TRUE,133487,2011
"pc2001__01__08",1,"01/004",TRUE,140802,2011
"pc2001__01__11",1,"01/005",TRUE,476835,2011
"pc2001__02__01",1,"02/023",TRUE,519080,2011
"pc2001__02__02",1,"02/024",TRUE,1510075,2011
"pc2001__02__04",1,"02/026",TRUE,437903,2011
"pc2001__02__06",1,"02/028",TRUE,454768,2011
"pc2001__02__09",1,"02/031",TRUE,580320,2011
"pc2001__02__10",1,"02/032",TRUE,529855,2011
"pc2001__02__12",1,"02/034",TRUE,84121,2011
"pc2001__03__03",1,"03/036",TRUE,815168,2011
"pc2001__03__04",1,"03/037",TRUE,2193590,2011
"pc2001__03__08",1,"03/040",TRUE,600163,2011
"pc2001__03__10",1,"03/042",TRUE,995746,2011
"pc2001__03__12",1,"03/044",TRUE,901896,2011
"pc2001__03__13",1,"03/045",TRUE,617508,2011
"pc2001__03__14",1,"03/046",TRUE,1388525,2011
"pc2001__03__15",1,"03/047",TRUE,769751,2011
"pc2001__04__01",1,"04/055",TRUE,1055450,2011
"pc2001__05__08",1,"05/063",TRUE,259898,2011
"pc2001__05__09",1,"05/064",TRUE,622506,2011
"pc2001__05__13",1,"05/068",TRUE,1890422,2011
"pc2001__06__01",1,"06/069",TRUE,561293,2011
"pc2001__06__02",1,"06/070",TRUE,1128350,2011
"pc2001__06__03",1,"06/071",TRUE,1214205,2011
"pc2001__06__04",1,"06/072",TRUE,964655,2011
"pc2001__06__05",1,"06/073",TRUE,1074304,2011
"pc2001__06__06",1,"06/074",TRUE,1505324,2011
"pc2001__06__07",1,"06/075",TRUE,1205437,2011
"pc2001__06__08",1,"06/076",TRUE,1450001,2011
"pc2001__06__09",1,"06/077",TRUE,1334152,2011
"pc2001__06__10",1,"06/078",TRUE,942011,2011
"pc2001__06__11",1,"06/079",TRUE,1295189,2011
"pc2001__06__14",1,"06/082",TRUE,1061204,2011
"pc2001__06__15",1,"06/083",TRUE,958405,2011
"pc2001__06__16",1,"06/084",TRUE,922088,2011
"pc2001__06__17",1,"06/085",TRUE,900332,2011
"pc2001__08__02",1,"08/100",TRUE,1774692,2011
"pc2001__08__05",1,"08/103",TRUE,2137045,2011
"pc2001__08__17",1,"08/115",TRUE,2603751,2011
"pc2001__08__18",1,"08/116",TRUE,1828730,2011
"pc2001__08__19",1,"08/117",TRUE,1036346,2011
"pc2001__08__20",1,"08/118",TRUE,2037573,2011
"pc2001__08__23",1,"08/121",TRUE,1110906,2011
"pc2001__08__27",1,"08/124",TRUE,1388552,2011
"pc2001__08__32",1,"08/129",TRUE,1411129,2011
"pc2001__09__01",1,"09/132",TRUE,3466382,2011
"pc2001__09__03",1,"09/134",TRUE,3682713,2011
"pc2001__09__05",1,"09/136",TRUE,2335819,2011
"pc2001__09__08",1,"09/139",TRUE,1303048,2011
"pc2001__09__10",1,"09/141",TRUE,1648115,2011
"pc2001__09__11",1,"09/142",TRUE,3499171,2011
"pc2001__09__12",1,"09/143",TRUE,3673889,2011
"pc2001__09__14",1,"09/145",TRUE,2547184,2011
"pc2001__09__15",1,"09/146",TRUE,4418797,2011
"pc2001__09__16",1,"09/147",TRUE,2498156,2011
"pc2001__09__18",1,"09/148",TRUE,1868529,2011
"pc2001__09__20",1,"09/150",TRUE,4448359,2011
"pc2001__09__21",1,"09/151",TRUE,2031007,2011
"pc2001__09__22",1,"09/152",TRUE,3006538,2011
"pc2001__09__24",1,"09/154",TRUE,4483992,2011
"pc2001__09__25",1,"09/155",TRUE,4092845,2011
"pc2001__09__26",1,"09/156",TRUE,3108367,2011
"pc2001__09__27",1,"09/157",TRUE,4589838,2011
"pc2001__09__28",1,"09/158",TRUE,3405559,2011
"pc2001__09__29",1,"09/159",TRUE,1885204,2011
"pc2001__09__30",1,"09/160",TRUE,1656616,2011
"pc2001__09__31",1,"09/161",TRUE,1581810,2011
"pc2001__09__32",1,"09/162",TRUE,1379545,2011
"pc2001__09__33",1,"09/163",TRUE,1796184,2011
"pc2001__09__34",1,"09/164",TRUE,4581268,2011
"pc2001__09__35",1,"09/165",TRUE,1689974,2011
"pc2001__09__36",1,"09/166",TRUE,1998603,2011
"pc2001__09__37",1,"09/167",TRUE,1221592,2011
"pc2001__09__38",1,"09/168",TRUE,1104285,2011
"pc2001__09__39",1,"09/169",TRUE,875958,2011
"pc2001__09__40",1,"09/170",TRUE,1799410,2011
"pc2001__09__41",1,"09/171",TRUE,991730,2011
"pc2001__09__42",1,"09/172",TRUE,2632733,2011
"pc2001__09__43",1,"09/173",TRUE,3209141,2011
"pc2001__09__48",1,"09/178",TRUE,2397888,2011
"pc2001__09__50",1,"09/180",TRUE,3487731,2011
"pc2001__09__52",1,"09/182",TRUE,2148665,2011
"pc2001__09__53",1,"09/183",TRUE,3433919,2011
"pc2001__09__55",1,"09/185",TRUE,2464464,2011
"pc2001__09__60",1,"09/190",TRUE,3100946,2011
"pc2001__09__61",1,"09/191",TRUE,4613913,2011
"pc2001__09__62",1,"09/192",TRUE,2205968,2011
"pc2001__09__63",1,"09/193",TRUE,3239774,2011
"pc2001__09__64",1,"09/194",TRUE,4494204,2011
"pc2001__09__65",1,"09/195",TRUE,3620268,2011
"pc2001__09__66",1,"09/196",TRUE,1952756,2011
"pc2001__09__67",1,"09/197",TRUE,3676841,2011
"pc2001__09__69",1,"09/199",TRUE,2496970,2011
"pc2001__09__70",1,"09/200",TRUE,1862559,2011
"pc2001__10__01",1,"10/203",TRUE,3935042,2011
"pc2001__10__02",1,"10/204",TRUE,5099371,2011
"pc2001__10__03",1,"10/205",TRUE,656246,2011
"pc2001__10__04",1,"10/206",TRUE,3423574,2011
"pc2001__10__05",1,"10/207",TRUE,4487379,2011
"pc2001__10__06",1,"10/208",TRUE,2229076,2011
"pc2001__10__08",1,"10/210",TRUE,1690400,2011
"pc2001__10__09",1,"10/211",TRUE,3264619,2011
"pc2001__10__11",1,"10/213",TRUE,2001762,2011
"pc2001__10__12",1,"10/214",TRUE,1900661,2011
"pc2001__10__14",1,"10/216",TRUE,4801062,2011
"pc2001__10__15",1,"10/217",TRUE,2562012,2011
"pc2001__10__16",1,"10/218",TRUE,3330464,2011
"pc2001__10__17",1,"10/219",TRUE,3951862,2011
"pc2001__10__19",1,"10/221",TRUE,4261566,2011
"pc2001__10__20",1,"10/222",TRUE,2970541,2011
"pc2001__10__21",1,"10/223",TRUE,1666886,2011
"pc2001__10__23",1,"10/225",TRUE,2034763,2011
"pc2001__10__24",1,"10/226",TRUE,1367765,2011
"pc2001__10__25",1,"10/227",TRUE,1000912,2011
"pc2001__10__26",1,"10/228",TRUE,636342,2011
"pc2001__10__27",1,"10/229",TRUE,2877653,2011
"pc2001__10__28",1,"10/230",TRUE,5838465,2011
"pc2001__10__30",1,"10/232",TRUE,1706352,2011
"pc2001__10__31",1,"10/233",TRUE,1626384,2011
"pc2001__10__32",1,"10/234",TRUE,2959918,2011
"pc2001__10__35",1,"10/236",TRUE,4391418,2011
"pc2001__10__36",1,"10/237",TRUE,2219146,2011
"pc2001__10__37",1,"10/238",TRUE,1760405,2011
"pc2001__11__03",1,"11/243",TRUE,146850,2011
"pc2001__11__04",1,"11/244",TRUE,283583,2011
"pc2001__12__01",1,"12/245",TRUE,49977,2011
"pc2001__12__09",1,"12/252",TRUE,35320,2011
"pc2001__12__10",2,"12/257;12/258",TRUE,62084,2011
"pc2001__12__12",1,"12/253",TRUE,148226,2011
"pc2001__12__13",1,"12/254",TRUE,111975,2011
"pc2001__13__01",1,"13/261",TRUE,250260,2011
"pc2001__13__03",1,"13/262",TRUE,194622,2011
"pc2001__13__04",1,"13/263",TRUE,140757,2011
"pc2001__13__05",1,"13/264",TRUE,166343,2011
"pc2001__14__04",1,"14/275",TRUE,237399,2011
"pc2001__14__05",1,"14/276",TRUE,422168,2011
"pc2001__14__06",1,"14/277",TRUE,517992,2011
"pc2001__14__08",1,"14/279",TRUE,183998,2011
"pc2001__15__01",1,"15/281",TRUE,86364,2011
"pc2001__15__02",1,"15/282",TRUE,83955,2011
"pc2001__15__07",1,"15/287",TRUE,117894,2011
