"table","state_code","district_code","district_name","residence","age_group","main_workers_total","main_agriculture","main_mining","main_manufacturing","main_utilities","main_construction","main_trade","main_accommodation_food","main_transport_communication","main_finance_realestate_business","main_public_social_other_services","agriculture_share_among_main_workers","mining_share_among_main_workers","manufacturing_share_among_main_workers","utilities_share_among_main_workers","construction_share_among_main_workers","trade_share_among_main_workers","accommodation_food_share_among_main_workers","transport_communication_share_among_main_workers","finance_realestate_business_share_among_main_workers","public_social_other_services_share_among_main_workers","census_year"
"B0104","01","01","Kupwara","Total","Total",130841,65037,27,6680,435,1938,5585,369,1397,4857,44516,0.497068961564036,0.000206357334474668,0.0510543331218808,0.00332464594431409,0.0148118708967373,0.042685396779297,0.00282021690448713,0.0106770813430041,0.0371213916127208,0.340229744499048,2001
"B0104","01","02","Baramula","Total","Total",269708,120777,343,43845,1484,6141,19286,1261,4664,11690,60217,0.447806516677295,0.00127174573983716,0.16256469960105,0.0055022468743975,0.0227690687706705,0.0715069630860041,0.00467542675782698,0.0172927758909636,0.0433431711332256,0.223267385468729,2001
"B0104","01","03","Srinagar","Total","Total",323196,34692,914,62392,993,14988,52476,2252,15648,14375,124466,0.107340437381651,0.00282800529709526,0.193046943650293,0.00307243901533435,0.0463743363160435,0.162365870864738,0.0069679080186636,0.0484164407975346,0.0444776544264162,0.385109964232231,2001
"B0104","01","04","Badgam","Total","Total",153402,69839,44,34050,427,4820,8125,297,2328,4585,28887,0.455267858306932,0.000286828072645728,0.221965815308796,0.00278353606863014,0.031420711594373,0.0529654111419669,0.00193608949035867,0.0151758125708922,0.0298887889336515,0.188309148511753,2001
"B0104","01","05","Pulwama","Total","Total",149014,83627,345,12820,134,2947,9116,439,2604,5856,31126,0.561202303139302,0.00231521870428282,0.086032184895379,0.000899244366301153,0.0197766652797724,0.0611754600238904,0.00294603191646422,0.0174748681331955,0.039298320963131,0.208879702578281,2001
"B0104","01","06","Anantnag","Total","Total",264845,143282,181,25373,593,4323,17229,864,4956,8733,59311,0.541003228303347,0.000683418603334026,0.0958032056485869,0.00223904547943137,0.0163227548188563,0.0650531442919444,0.00326228548773811,0.0187128320338311,0.0329740036625196,0.223946081670411,2001
"B0104","01","07","Leh (Ladakh)","Total","Total",39237,13842,14,1473,92,1236,1559,185,1406,806,18624,0.352779264469761,0.00035680607589775,0.0375410964140989,0.00234472564161378,0.0315008792721156,0.0397329051660423,0.00471493743150598,0.0358335244794454,0.020541835512399,0.474654025537121,2001
"B0104","01","08","Kargil","Total","Total",40624,15931,19,553,51,2922,1188,151,779,415,18615,0.392157345411579,0.000467703820401733,0.0136126427727452,0.00125541551792044,0.071927924379677,0.029243796770382,0.0037170145726664,0.019175856636471,0.0102156360771957,0.458226664040961,2001
"B0104","01","09","Doda","Total","Total",198239,134904,36,5494,1685,6299,5555,748,2036,1728,39754,0.680511907344165,0.000181598979010185,0.0277140219633876,0.00849984110089337,0.0317747769106987,0.0280217313444882,0.00377322323054495,0.0102704311462427,0.00871675099248886,0.20053571698808,2001
"B0104","01","10","Udhampur","Total","Total",253747,151540,83,5472,1928,6523,9880,1930,5170,4362,66859,0.597209031042731,0.00032709746322124,0.0215647869728509,0.00759811938663314,0.025706707862556,0.038936420923203,0.00760600125321679,0.0203746251187206,0.0171903510189283,0.263486858957938,2001
