"target_unit_2001","census_2011_source_district_count","census_2011_source_districts","census_2011_parent_reconstruction_complete","workers_total","main_workers_total","marginal_workers_total","industry_agriculture","industry_mining","industry_manufacturing","industry_utilities","industry_construction","industry_trade","industry_transport","industry_accommodation_food","industry_information_communication","industry_finance_realestate_professional","industry_administrative_public","industry_education_health","industry_other_services","census_year","main_worker_share_among_workers","marginal_worker_share_among_workers","agriculture_share_among_workers","mining_share_among_workers","manufacturing_share_among_workers","utilities_share_among_workers","construction_share_among_workers","trade_share_among_workers","transport_share_among_workers","accommodation_food_share_among_workers","information_communication_share_among_workers","finance_realestate_professional_share_among_workers","administrative_public_share_among_workers","education_health_share_among_workers","other_services_share_among_workers"
"pc2001__01__01",1,"Kupwara",TRUE,227698,122975,104723,97803,56,6986,1999,9886,7223,487,3879,162,697,59036,12851,26633,2011,0.54007940342032,0.45992059657968,0.429529464466091,0.00024593979745101,0.0306809897320135,0.00877917241258158,0.0434171578142979,0.0317218420890829,0.00213879788140432,0.0170357227555798,0.000711468699768992,0.0030610721218456,0.259273247898532,0.0564387917329094,0.116966332598442
"pc2001__01__06",2,"Anantnag;Kulgam",TRUE,548052,252943,295109,334602,880,33164,5503,15141,29010,1386,12900,780,2281,40070,25398,46937,2011,0.461531022603695,0.538468977396306,0.610529657769701,0.00160568705159364,0.0605125061125587,0.0100410180055907,0.0276269405092947,0.0529329333712859,0.00252895710625999,0.0235379124608614,0.00142322261391255,0.0041620138235058,0.0731135001788152,0.0463423178822448,0.085643333114376
"pc2001__01__07",1,"Leh(Ladakh)",TRUE,79102,61120,17982,23794,54,1072,264,1738,1802,372,2576,164,288,37884,4722,4372,2011,0.772673257313342,0.227326742686658,0.300801496801598,0.000682662890950924,0.0135521225759146,0.00333746302242674,0.0219716315643094,0.0227807135091401,0.00470278880432859,0.0325655482794367,0.00207327248362873,0.00364086875173826,0.478925943718237,0.0596950772420419,0.0552704103562489
"pc2001__01__08",1,"Kargil",TRUE,50743,27770,22973,13180,4,877,488,6658,1128,204,1942,89,152,17310,4257,4454,2011,0.547267603413279,0.452732396586721,0.25974025974026,7.88286069014445e-05,0.0172831720631417,0.00961709004197623,0.131210216187454,0.0222296671462074,0.00402025895197367,0.0382712886506513,0.00175393650355714,0.00299548706225489,0.341130796366001,0.0838933448948623,0.0877756537847585
"pc2001__01__11",1,"Punch",TRUE,162975,74163,88812,92237,24,2962,1684,8384,3368,252,2750,104,538,24904,9990,15778,2011,0.455057524160147,0.544942475839853,0.565957969013652,0.00014726184997699,0.0181745666513269,0.0103328731400522,0.0514434729252953,0.0206657462801043,0.0015462494247584,0.0168737536431968,0.000638134683233625,0.00330111980365087,0.15280871299279,0.0612977450529222,0.0968123945390397
"pc2001__02__01",1,"Chamba",TRUE,295660,120999,174661,213454,118,6898,5930,22212,5764,1708,4110,306,1074,11744,13388,8954,2011,0.409250490428195,0.590749509571805,0.721957654062098,0.000399107082459582,0.0233308530068322,0.0200568220252993,0.0751268348779003,0.0194953662991274,0.00577690590543191,0.0139011026178719,0.00103497260366637,0.00363255090306433,0.0397213014949604,0.0452817425421092,0.0302847865791788
"pc2001__02__02",1,"Kangra",TRUE,675194,314756,360438,370942,1188,34832,10622,75272,33938,6890,23760,2698,6424,36330,42724,29574,2011,0.466171204127999,0.533828795872001,0.549385806153491,0.0017594943083025,0.051588136150499,0.0157317748676677,0.111482033311907,0.0502640722518269,0.0102044745658285,0.03518988616605,0.00399588858905737,0.00951430255600613,0.053806757761473,0.063276628643027,0.0438007446748638
"pc2001__02__04",1,"Kullu",TRUE,268637,193453,75184,212515,98,5018,3084,9096,7544,2740,3642,346,1452,7032,10000,6070,2011,0.720127904942357,0.279872095057643,0.791086112486366,0.000364804550378392,0.0186794819775385,0.0114801758506833,0.033859818267774,0.0280825053883121,0.0101996374289469,0.0135573282905929,0.00128798341256044,0.00540506333825944,0.0261765877373556,0.037224954120244,0.0225955471509881
"pc2001__02__06",1,"Hamirpur",TRUE,241779,126190,115589,159578,72,8456,2565,18859,9416,1737,7542,921,1951,7218,13715,9749,2011,0.521922913073509,0.478077086926491,0.660015964992824,0.000297792612261611,0.0349740879067247,0.0106088618118199,0.0780009843700239,0.0389446560702129,0.00718424677081136,0.0311937761344037,0.00380926383184644,0.00806935259058893,0.0298537093792265,0.0567253566273332,0.0403219469019228
"pc2001__02__09",1,"Solan",TRUE,300028,220214,79814,155334,286,41994,3530,13054,11794,3112,11478,1174,2854,19992,16922,18504,2011,0.73397816203821,0.26602183796179,0.517731678376685,0.000953244363859373,0.139966936419268,0.0117655685469356,0.043509272467903,0.0393096644313197,0.0103723652459104,0.0382564293999227,0.00391296812297519,0.00951244550508619,0.0666337808471209,0.0564014025357633,0.0616742437372512
