"state_code","district_code","district_name","main_workers_excl_cultivators_aglab_total","marginal_workers_excl_cultivators_aglab_total","main_occupation_division_1","marginal_occupation_division_1","main_occupation_division_2","marginal_occupation_division_2","main_occupation_division_3","marginal_occupation_division_3","main_occupation_division_4","marginal_occupation_division_4","main_occupation_division_5","marginal_occupation_division_5","main_occupation_division_6","marginal_occupation_division_6","main_occupation_division_7","marginal_occupation_division_7","main_occupation_division_8","marginal_occupation_division_8","main_occupation_division_9","marginal_occupation_division_9","main_occupation_division_x","marginal_occupation_division_x","workers_excl_cultivators_aglab_total","occupation_division_1","occupation_division_2","occupation_division_3","occupation_division_4","occupation_division_5","occupation_division_6","occupation_division_7","occupation_division_8","occupation_division_9","occupation_division_x","census_year","manager_professional_technical_share","clerical_service_sales_share","skilled_agriculture_fishery_share","craft_machine_operator_share","elementary_occupation_share","occupation_not_classified_share"
"01","01","Kupwara",69300,22214,732,87,2652,283,3475,191,2785,48,35200,1346,3848,1915,5647,3054,1530,309,4695,4203,8736,10778,91514,819,2935,3666,2833,36546,5763,8701,1839,8898,19514,2001,0.0810804904167668,0.430305745568984,0.0629739711956641,0.115173634635138,0.0972310247612387,0.213235133422209
"01","02","Baramula",158212,43564,2008,150,6549,354,8840,157,7394,74,39471,1969,9266,3566,41161,12269,4998,585,16601,9361,21924,15079,201776,2158,6903,8997,7468,41440,12832,53430,5583,25962,37003,2001,0.0894952818967568,0.242387598128618,0.0635952739671715,0.292467885179605,0.128667433193244,0.183386527634605
"01","03","Srinagar",293539,39640,5333,259,13243,731,14650,343,25449,247,102868,2357,4916,975,59602,17200,15806,1466,27866,6407,23806,9655,333179,5592,13974,14993,25696,105225,5891,76802,17272,34273,33461,2001,0.10372502468643,0.392944933504212,0.0176811863892982,0.282352729313672,0.102866627248416,0.100429498857971
"01","04","Badgam",86395,41681,988,19,2731,234,4515,183,4586,33,16759,1121,2905,1975,33890,25395,2813,393,8638,4397,8570,7931,128076,1007,2965,4698,4619,17880,4880,59285,3206,13035,16501,2001,0.067694181579687,0.175669133951716,0.0381023767138262,0.487921234267154,0.101775508291952,0.128837565195665
"01","05","Pulwama",67607,26889,732,34,3176,340,5415,284,6084,71,18118,1294,2299,979,12838,9507,3117,384,5896,3325,9932,10671,94496,766,3516,5699,6155,19412,3278,22345,3501,9221,20603,2001,0.105623518455808,0.27056171689807,0.0346892990179479,0.273514222824247,0.0975808499830681,0.21803039282086
"01","06","Anantnag",136849,56792,1660,129,5387,322,9790,389,8120,59,37828,2564,12959,4841,25037,18134,5330,888,11362,9243,19376,20223,193641,1789,5709,10179,8179,40392,17800,43171,6218,20605,39599,2001,0.0912874856048048,0.250830144442551,0.0919226816634907,0.255054456442592,0.106408250318889,0.204496981527672
"01","07","Leh (Ladakh)",28990,5598,768,55,1428,61,3055,59,1214,4,11266,350,3037,694,1828,816,1678,194,2814,1477,1902,1888,34588,823,1489,3114,1218,11616,3731,2644,1872,4291,3790,2001,0.15687521683821,0.371053544581936,0.107869781427085,0.130565514051116,0.124060367757604,0.10957557534405
"01","08","Kargil",26814,4077,694,27,883,24,2456,42,1123,18,11045,161,2312,1110,1320,454,846,44,5099,1306,1036,891,30891,721,907,2498,1141,11206,3422,1774,890,6405,1927,2001,0.133566410928749,0.399695704250429,0.110776601599171,0.086238710303972,0.207341944255608,0.0623806286620699
"01","09","Doda",85352,22512,1219,97,2923,151,7010,170,2970,51,24552,730,21756,6859,6995,3409,2136,373,11525,6107,4266,4565,107864,1316,3074,7180,3021,25282,28615,10404,2509,17632,8831,2001,0.107264703700957,0.262395238448417,0.265287769784173,0.119715567751984,0.163465104205296,0.0818716161091745
"01","10","Udhampur",115952,25809,1622,54,4458,180,7064,278,4436,54,51149,1094,14203,13935,8215,2091,5416,492,13882,3179,5507,4452,141761,1676,4638,7342,4490,52243,28138,10306,5908,17061,9959,2001,0.0963311489055523,0.4002017480125,0.198489006144144,0.114375604009565,0.12035044899514,0.0702520439330987
