"specification_id","analysis_id","welfare_specification_id","welfare_outcome_id","outcome_round","baseline_round","estimand","analysis_transform","tier","first_stage_estimate","first_stage_std.error","first_stage_p.value","partial_f","partial_p","effective_f","effective_f_critical_value","effective_f_p_value","effective_f_df","effective_f_status","effective_f_reason","first_stage_n","first_stage_status","first_stage_reason","reduced_form_term","reduced_form_estimate","reduced_form_std.error","reduced_form_statistic","reduced_form_p.value","reduced_form_n","reduced_form_status","reduced_form_reason","second_stage_estimate","second_stage_std.error","second_stage_statistic","second_stage_p.value","second_stage_n","second_stage_status","second_stage_reason","anderson_rubin_f_beta0","anderson_rubin_p_beta0","ar_95_lower","ar_95_upper","ar_95_empty","ar_95_n_components","ar_95_disconnected","ar_95_contains_zero","ar_95_grid_accepted_min","ar_95_grid_accepted_max","ar_95_left_truncated","ar_95_right_truncated","ar_95_components","ar_95_information","ar_95_sign_identified","n","status","reason","reduced_form_p_holm_within_welfare","anderson_rubin_p_beta0_holm_within_welfare","reduced_form_p_holm_family","anderson_rubin_p_beta0_holm_family","multiplicity_family"
"consumption_parameterization__early_2009__ancova__region_main","consumption_iv__consumption_parameterization__early_2009__ancova__region_main","early_2009__ancova","real_mean_mpce","nss_2009_10_type2","nss_2004_05","ancova","log","C",5.49401710547888,2.53303342871098,0.0305544446075415,4.70433425592099,0.0305544446075415,4.86332766019671,23.1085112116065,0.830711943448757,1,"estimated",,521,"estimated",,"ling_distance_nonzero_mean",-0.0271017687407343,0.0236248290987905,-1.14717311297383,0.251855440637325,521,"estimated",,-0.004932960385891,0.0053543837700051,-0.921293765591686,0.357338728708438,521,"estimated",,1.31600615113005,0.251855440637328,-0.079573993103663,0.00267475607071135,FALSE,1,FALSE,TRUE,-0.079573993103663,0.00267475607071135,FALSE,FALSE,"[-0.079574, 0.00267476]","zero_included",FALSE,521,"estimated",,1,1,1,1,"consumption_control_parameterization"
"consumption_parameterization__early_2009__ancova__region_main_literacy","consumption_iv__consumption_parameterization__early_2009__ancova__region_main_literacy","early_2009__ancova","real_mean_mpce","nss_2009_10_type2","nss_2004_05","ancova","log","C",6.9574131805384,2.33833065172533,0.00306703813380676,8.85286305223636,0.00306703813380675,9.15206518322671,23.1085112116065,0.554500262236894,1,"estimated",,521,"estimated",,"ling_distance_nonzero_mean",-0.0198385176124004,0.022872954929628,-0.867335142024128,0.386171980593233,521,"estimated",,-0.00285142151222156,0.00367828719536689,-0.775203609933766,0.438583633635299,521,"estimated",,0.752270248590016,0.386171980593233,-0.0173859144596239,0.00334344508838921,FALSE,1,FALSE,TRUE,-0.0173859144596239,0.00334344508838921,FALSE,FALSE,"[-0.0173859, 0.00334345]","zero_included",FALSE,521,"estimated",,1,1,1,1,"consumption_control_parameterization"
"consumption_parameterization__early_2009__ancova__region_main_decomposed_economic","consumption_iv__consumption_parameterization__early_2009__ancova__region_main_decomposed_economic","early_2009__ancova","real_mean_mpce","nss_2009_10_type2","nss_2004_05","ancova","log","C",6.14882427784079,2.48709591568301,0.0137560535271287,6.11222165419659,0.0137560535271287,6.34402247541368,23.1085112116065,0.740064212158339,1,"estimated",,521,"estimated",,"ling_distance_nonzero_mean",-0.0215850832761447,0.0238940809306798,-0.903365286941406,0.366766196902132,521,"estimated",,-0.00351044074457191,0.00453799734571063,-0.773566063869565,0.439552290769812,521,"estimated",,0.816068841650729,0.366766196902132,-0.0327657618662142,0.00334344508838921,FALSE,1,FALSE,TRUE,-0.0327657618662142,0.00334344508838921,FALSE,FALSE,"[-0.0327658, 0.00334345]","zero_included",FALSE,521,"estimated",,1,1,1,1,"consumption_control_parameterization"
"consumption_parameterization__early_2009__ancova__region_main_literacy_decomposed_economic","consumption_iv__consumption_parameterization__early_2009__ancova__region_main_literacy_decomposed_economic","early_2009__ancova","real_mean_mpce","nss_2009_10_type2","nss_2004_05","ancova","log","C",7.68303507415795,2.24008276046519,0.000653879389503351,11.763525658565,0.000653879389503351,12.2096473901277,23.1085112116065,0.369962402431883,1,"estimated",,521,"estimated",,"ling_distance_nonzero_mean",-0.0160039279273848,0.0234416531336223,-0.6827132811905,0.495103587267039,521,"estimated",,-0.00208302158885301,0.00331522163558465,-0.628320461743626,0.53008035018698,521,"estimated",,0.466097424313901,0.495103587267038,-0.012705091335879,0.00334344508838921,FALSE,1,FALSE,TRUE,-0.012705091335879,0.00334344508838921,FALSE,FALSE,"[-0.0127051, 0.00334345]","zero_included",FALSE,521,"estimated",,1,1,1,1,"consumption_control_parameterization"
"consumption_parameterization__early_2009__ancova__state_main","consumption_iv__consumption_parameterization__early_2009__ancova__state_main","early_2009__ancova","real_mean_mpce","nss_2009_10_type2","nss_2004_05","ancova","log","C",0.744386693844084,0.788760877632264,0.345782331240378,0.890648784683882,0.345782331240378,0.977083054927519,23.1085112116065,0.985156585480153,1,"estimated",,521,"estimated",,"ling_distance_nonzero_mean",-0.0314314839043843,0.0236734254736192,-1.32771169678889,0.184912410521796,521,"estimated",,-0.0422246718866921,0.063784084633287,-0.661993852062844,0.508296866245714,521,"estimated",,1.76281834979,0.184912410521801,,,FALSE,2,TRUE,TRUE,-0.133737803535568,0.133737803535568,TRUE,TRUE,"[grid<= -0.133738, 0.0167172] U [0.0374466, 0.133738 <=grid]","zero_included",FALSE,521,"estimated",,1,1,1,1,"consumption_control_parameterization"
"consumption_parameterization__early_2009__ancova__state_main_literacy","consumption_iv__consumption_parameterization__early_2009__ancova__state_main_literacy","early_2009__ancova","real_mean_mpce","nss_2009_10_type2","nss_2004_05","ancova","log","C",1.23401613814916,0.753360766100135,0.102082202389955,2.68309271783105,0.102082202389955,2.94347724319015,23.1085112116065,0.92599900709509,1,"estimated",,521,"estimated",,"ling_distance_nonzero_mean",-0.024236600232242,0.025404937312542,-0.954011416524012,0.340564118807544,521,"estimated",,-0.0196404240455039,0.0276943484855538,-0.70918527134693,0.478558183198883,521,"estimated",,0.910137782858126,0.340564118807551,,,FALSE,1,FALSE,TRUE,-0.133737803535568,0.0173859144596238,TRUE,FALSE,"[grid<= -0.133738, 0.0173859]","zero_included",FALSE,521,"estimated",,1,1,1,1,"consumption_control_parameterization"
"consumption_parameterization__early_2009__ancova__state_main_decomposed_economic","consumption_iv__consumption_parameterization__early_2009__ancova__state_main_decomposed_economic","early_2009__ancova","real_mean_mpce","nss_2009_10_type2","nss_2004_05","ancova","log","C",0.795190957829996,0.800196681654244,0.320856493212858,0.987527899093891,0.320856493212858,1.08795446510343,23.1085112116065,0.982977395754456,1,"estimated",,521,"estimated",,"ling_distance_nonzero_mean",-0.0278987467264986,0.0231098705555236,-1.20722211141206,0.227951238776109,521,"estimated",,-0.0350843359721256,0.0522600171309495,-0.671341838335294,0.502331201474749,521,"estimated",,1.45738522628216,0.227951238776113,,,FALSE,1,FALSE,TRUE,-0.133737803535568,0.133737803535568,TRUE,TRUE,"[grid<= -0.133738, 0.133738 <=grid]","zero_included",FALSE,521,"estimated",,1,1,1,1,"consumption_control_parameterization"
"consumption_parameterization__early_2009__ancova__state_main_literacy_decomposed_economic","consumption_iv__consumption_parameterization__early_2009__ancova__state_main_literacy_decomposed_economic","early_2009__ancova","real_mean_mpce","nss_2009_10_type2","nss_2004_05","ancova","log","C",1.35451744796667,0.772321969714737,0.0801095325449944,3.07590153762386,0.0801095325449944,3.38870508382299,23.1085112116065,0.906821947723931,1,"estimated",,521,"estimated",,"ling_distance_nonzero_mean",-0.0202389882546953,0.0251003065253483,-0.806324346447976,0.420461923568036,521,"estimated",,-0.0149418438906653,0.023119741534686,-0.646280749646287,0.518411657144347,521,"estimated",,0.650158951674742,0.420461923568041,,,FALSE,1,FALSE,TRUE,-0.133737803535568,0.0193919815126574,TRUE,FALSE,"[grid<= -0.133738, 0.019392]","zero_included",FALSE,521,"estimated",,1,1,1,1,"consumption_control_parameterization"
"consumption_parameterization__early_2009__change__region_main","consumption_iv__consumption_parameterization__early_2009__change__region_main","early_2009__change","real_mean_mpce","nss_2009_10_type2","nss_2004_05","change","log","C",5.54516390934669,2.50926011650115,0.0275621760138017,4.88356990166894,0.0275621760138017,5.03860386680107,23.1085112116065,0.820584352517099,1,"estimated",,521,"estimated",,"ling_distance_nonzero_mean",-0.0555930725096402,0.0459698544806735,-1.2093375786737,0.227100153938928,521,"estimated",,-0.0100255057232727,0.00924149208525967,-1.08483626137207,0.278512822381542,521,"estimated",,1.46249737919233,0.227100153938936,-0.0959170477597525,0.00779813396420753,FALSE,1,FALSE,TRUE,-0.0959170477597525,0.00779813396420753,FALSE,FALSE,"[-0.095917, 0.00779813]","zero_included",FALSE,521,"estimated",,1,1,1,1,"consumption_control_parameterization"
"consumption_parameterization__early_2009__change__region_main_literacy","consumption_iv__consumption_parameterization__early_2009__change__region_main_literacy","early_2009__change","real_mean_mpce","nss_2009_10_type2","nss_2004_05","change","log","C",7.08782325154802,2.32257513667657,0.00239543246653046,9.31292730503023,0.00239543246653046,9.60857579090433,23.1085112116065,0.524920607597856,1,"estimated",,521,"estimated",,"ling_distance_nonzero_mean",-0.0551897162075474,0.0480554628568815,-1.14845873760311,0.251324015027297,521,"estimated",,-0.00778655367788615,0.0070793386090468,-1.09989846621203,0.271901440763614,521,"estimated",,1.31895747197685,0.251324015027312,-0.0304127224604093,0.00623850717136601,FALSE,1,FALSE,TRUE,-0.0304127224604093,0.00623850717136601,FALSE,FALSE,"[-0.0304127, 0.00623851]","zero_included",FALSE,521,"estimated",,1,1,1,1,"consumption_control_parameterization"
