"specification_id","analysis_id","welfare_specification_id","welfare_outcome_id","outcome_round","baseline_round","estimand","analysis_transform","tier","first_stage_estimate","first_stage_std.error","first_stage_p.value","partial_f","partial_p","effective_f","effective_f_critical_value","effective_f_p_value","effective_f_df","effective_f_status","effective_f_reason","first_stage_n","first_stage_status","first_stage_reason","reduced_form_term","reduced_form_estimate","reduced_form_std.error","reduced_form_statistic","reduced_form_p.value","reduced_form_n","reduced_form_status","reduced_form_reason","second_stage_estimate","second_stage_std.error","second_stage_statistic","second_stage_p.value","second_stage_n","second_stage_status","second_stage_reason","anderson_rubin_f_beta0","anderson_rubin_p_beta0","ar_95_lower","ar_95_upper","ar_95_empty","ar_95_n_components","ar_95_disconnected","ar_95_contains_zero","ar_95_grid_accepted_min","ar_95_grid_accepted_max","ar_95_left_truncated","ar_95_right_truncated","ar_95_components","ar_95_information","ar_95_sign_identified","n","status","reason","reduced_form_p_holm_within_welfare","anderson_rubin_p_beta0_holm_within_welfare","reduced_form_p_holm_family","anderson_rubin_p_beta0_holm_family","multiplicity_family"
"consumption_control__early_2009__ancova__region_fe_only","consumption_iv__consumption_control__early_2009__ancova__region_fe_only","early_2009__ancova","real_mean_mpce","nss_2009_10_type2","nss_2004_05","ancova","log","C",8.53555251874417,3.69899798537525,0.0214223839228089,5.32469931415595,0.0214223839228089,5.39735602994364,23.1085112116065,0.799281250114927,1,"estimated",,521,"estimated",,"ling_distance_nonzero_mean",-0.0226724022951478,0.0203091834823503,-1.11636207899994,0.264789792797831,521,"estimated",,-0.00265623136233515,0.00302855525297241,-0.87706220968832,0.380863383639392,521,"estimated",,1.24626429142902,0.26478979279784,-0.0320970728485363,0.00133737803535569,FALSE,1,FALSE,TRUE,-0.0320970728485363,0.00133737803535569,FALSE,FALSE,"[-0.0320971, 0.00133738]","zero_included",FALSE,521,"estimated",,1,1,1,1,"consumption_control_strategy"
"consumption_control__early_2009__ancova__region_compact_2001","consumption_iv__consumption_control__early_2009__ancova__region_compact_2001","early_2009__ancova","real_mean_mpce","nss_2009_10_type2","nss_2004_05","ancova","log","C",5.49401710547888,2.53303342871098,0.0305544446075415,4.70433425592099,0.0305544446075415,4.86332766019671,23.1085112116065,0.830711943448757,1,"estimated",,521,"estimated",,"ling_distance_nonzero_mean",-0.0271017687407343,0.0236248290987905,-1.14717311297383,0.251855440637325,521,"estimated",,-0.004932960385891,0.0053543837700051,-0.921293765591686,0.357338728708438,521,"estimated",,1.31600615113005,0.251855440637328,-0.079573993103663,0.00267475607071135,FALSE,1,FALSE,TRUE,-0.079573993103663,0.00267475607071135,FALSE,FALSE,"[-0.079574, 0.00267476]","zero_included",FALSE,521,"estimated",,1,1,1,1,"consumption_control_strategy"
"consumption_control__early_2009__ancova__region_compact_2001_no_human_capital","consumption_iv__consumption_control__early_2009__ancova__region_compact_2001_no_human_capital","early_2009__ancova","real_mean_mpce","nss_2009_10_type2","nss_2004_05","ancova","log","C",6.70946814223141,2.38389944200521,0.0050765032639905,7.92137049287035,0.0050765032639905,8.17284257200882,23.1085112116065,0.619230060569884,1,"estimated",,521,"estimated",,"ling_distance_nonzero_mean",-0.017092498357759,0.0231701530373498,-0.737694668231422,0.461043323750976,521,"estimated",,-0.00254751911707789,0.00378239864447204,-0.673519466490153,0.50092560649895,521,"estimated",,0.54419342353708,0.461043323750971,-0.0180546034773017,0.00401213410606704,FALSE,1,FALSE,TRUE,-0.0180546034773017,0.00401213410606704,FALSE,FALSE,"[-0.0180546, 0.00401213]","zero_included",FALSE,521,"estimated",,1,1,1,1,"consumption_control_strategy"
"consumption_control__early_2009__ancova__state_fe_only","consumption_iv__consumption_control__early_2009__ancova__state_fe_only","early_2009__ancova","real_mean_mpce","nss_2009_10_type2","nss_2004_05","ancova","log","C",1.7486081939525,0.703931336472566,0.013326593944479,6.17055774141428,0.013326593944479,6.62952484614765,23.1085112116065,0.721563105951787,1,"estimated",,521,"estimated",,"ling_distance_nonzero_mean",-0.0130737563960906,0.0265390908634085,-0.492622617081297,0.622502658697769,521,"estimated",,-0.00747666426435799,0.0167176797038203,-0.447230979227902,0.654908368453718,521,"estimated",,0.242677042860016,0.622502658697776,-0.114345822022911,0.0193919815126574,FALSE,1,FALSE,TRUE,-0.114345822022911,0.0193919815126574,FALSE,FALSE,"[-0.114346, 0.019392]","zero_included",FALSE,521,"estimated",,1,1,1,1,"consumption_control_strategy"
"consumption_control__early_2009__ancova__state_compact_2001","consumption_iv__consumption_control__early_2009__ancova__state_compact_2001","early_2009__ancova","real_mean_mpce","nss_2009_10_type2","nss_2004_05","ancova","log","C",0.744386693844084,0.788760877632264,0.345782331240378,0.890648784683882,0.345782331240378,0.977083054927519,23.1085112116065,0.985156585480153,1,"estimated",,521,"estimated",,"ling_distance_nonzero_mean",-0.0314314839043843,0.0236734254736192,-1.32771169678889,0.184912410521796,521,"estimated",,-0.0422246718866921,0.063784084633287,-0.661993852062844,0.508296866245714,521,"estimated",,1.76281834979,0.184912410521801,,,FALSE,2,TRUE,TRUE,-0.133737803535568,0.133737803535568,TRUE,TRUE,"[grid<= -0.133738, 0.0167172] U [0.0374466, 0.133738 <=grid]","zero_included",FALSE,521,"estimated",,1,1,1,1,"consumption_control_strategy"
"consumption_control__early_2009__ancova__state_compact_2001_no_human_capital","consumption_iv__consumption_control__early_2009__ancova__state_compact_2001_no_human_capital","early_2009__ancova","real_mean_mpce","nss_2009_10_type2","nss_2004_05","ancova","log","C",1.23741334616787,0.750205276087369,0.0997200727968479,2.72062925233706,0.0997200727968479,2.97837307624259,23.1085112116065,0.924567792297659,1,"estimated",,521,"estimated",,"ling_distance_nonzero_mean",-0.0234283271755887,0.0254514555946602,-0.92051030592152,0.357773399590475,521,"estimated",,-0.018933307328669,0.0270267643778318,-0.700539179014664,0.483933639627288,521,"estimated",,0.84733922330771,0.357773399590481,,,FALSE,1,FALSE,TRUE,-0.133737803535568,0.0193919815126574,TRUE,FALSE,"[grid<= -0.133738, 0.019392]","zero_included",FALSE,521,"estimated",,1,1,1,1,"consumption_control_strategy"
"consumption_control__early_2009__change__region_fe_only","consumption_iv__consumption_control__early_2009__change__region_fe_only","early_2009__change","real_mean_mpce","nss_2009_10_type2","nss_2004_05","change","log","C",9.21276439001334,3.81518822817406,0.0160937057904417,5.8310664451492,0.0160937057904417,5.89913336863339,23.1085112116065,0.768362425099396,1,"estimated",,521,"estimated",,"ling_distance_nonzero_mean",-0.0534550311310306,0.0421390650622802,-1.26853861261577,0.205179879883818,521,"estimated",,-0.00580227919309171,0.0050874638774895,-1.140505236561,0.254607005707857,521,"estimated",,1.60919021169712,0.205179879883821,-0.0358714162353546,0.00311925358568302,FALSE,1,FALSE,TRUE,-0.0358714162353546,0.00311925358568302,FALSE,FALSE,"[-0.0358714, 0.00311925]","zero_included",FALSE,521,"estimated",,1,1,1,1,"consumption_control_strategy"
"consumption_control__early_2009__change__region_compact_2001","consumption_iv__consumption_control__early_2009__change__region_compact_2001","early_2009__change","real_mean_mpce","nss_2009_10_type2","nss_2004_05","change","log","C",5.54516390934669,2.50926011650115,0.0275621760138017,4.88356990166894,0.0275621760138017,5.03860386680107,23.1085112116065,0.820584352517099,1,"estimated",,521,"estimated",,"ling_distance_nonzero_mean",-0.0555930725096402,0.0459698544806735,-1.2093375786737,0.227100153938928,521,"estimated",,-0.0100255057232727,0.00924149208525967,-1.08483626137207,0.278512822381542,521,"estimated",,1.46249737919233,0.227100153938936,-0.0959170477597525,0.00779813396420753,FALSE,1,FALSE,TRUE,-0.0959170477597525,0.00779813396420753,FALSE,FALSE,"[-0.095917, 0.00779813]","zero_included",FALSE,521,"estimated",,1,1,1,1,"consumption_control_strategy"
"consumption_control__early_2009__change__region_compact_2001_no_human_capital","consumption_iv__consumption_control__early_2009__change__region_compact_2001_no_human_capital","early_2009__change","real_mean_mpce","nss_2009_10_type2","nss_2004_05","change","log","C",6.82952581516935,2.35278621509924,0.00386086881020921,8.42589742788031,0.00386086881020921,8.67617160890737,23.1085112116065,0.585795869746363,1,"estimated",,521,"estimated",,"ling_distance_nonzero_mean",-0.0542272306255518,0.0478589096393794,-1.13306448128798,0.25772482316316,521,"estimated",,-0.0079401165019548,0.00733127919118997,-1.08304653183805,0.279304610448207,521,"estimated",,1.28383511875641,0.25772482316316,-0.0335319760460923,0.00623850717136601,FALSE,1,FALSE,TRUE,-0.0335319760460923,0.00623850717136601,FALSE,FALSE,"[-0.033532, 0.00623851]","zero_included",FALSE,521,"estimated",,1,1,1,1,"consumption_control_strategy"
"consumption_control__early_2009__change__state_fe_only","consumption_iv__consumption_control__early_2009__change__state_fe_only","early_2009__change","real_mean_mpce","nss_2009_10_type2","nss_2004_05","change","log","C",0.492646526827065,0.692249310859563,0.477017153938859,0.506460741559005,0.477017153938859,0.543009454867484,23.1085112116065,0.992402200823422,1,"estimated",,521,"estimated",,"ling_distance_nonzero_mean",0.0190965082131905,0.0359139644984341,0.531729328128704,0.595156936399622,521,"estimated",,0.0387631033068821,0.0959397196366606,0.404036028598836,0.686364321093814,521,"estimated",,0.282736078392201,0.595156936399623,,,FALSE,1,FALSE,TRUE,-0.15596267928415,0.15596267928415,TRUE,TRUE,"[grid<= -0.155963, 0.155963 <=grid]","zero_included",FALSE,521,"estimated",,1,1,1,1,"consumption_control_strategy"
