"specification_id","analysis_id","welfare_specification_id","welfare_outcome_id","outcome_round","baseline_round","estimand","analysis_transform","tier","first_stage_estimate","first_stage_std.error","first_stage_p.value","partial_f","partial_p","effective_f","effective_f_critical_value","effective_f_p_value","effective_f_df","effective_f_status","effective_f_reason","first_stage_n","first_stage_status","first_stage_reason","reduced_form_term","reduced_form_estimate","reduced_form_std.error","reduced_form_statistic","reduced_form_p.value","reduced_form_n","reduced_form_status","reduced_form_reason","second_stage_estimate","second_stage_std.error","second_stage_statistic","second_stage_p.value","second_stage_n","second_stage_status","second_stage_reason","anderson_rubin_f_beta0","anderson_rubin_p_beta0","ar_95_lower","ar_95_upper","ar_95_empty","ar_95_n_components","ar_95_disconnected","ar_95_contains_zero","ar_95_grid_accepted_min","ar_95_grid_accepted_max","ar_95_left_truncated","ar_95_right_truncated","ar_95_components","ar_95_information","ar_95_sign_identified","n","status","reason","reduced_form_p_holm_within_welfare","anderson_rubin_p_beta0_holm_within_welfare","reduced_form_p_holm_family","anderson_rubin_p_beta0_holm_family","multiplicity_family"
"consumption_historical_adjustment__early_2009__ancova__region_compact_2001","consumption_iv__consumption_historical_adjustment__early_2009__ancova__region_compact_2001","early_2009__ancova","real_mean_mpce","nss_2009_10_type2","nss_2004_05","ancova","log","C",3.23705157008504,2.29860367425501,0.159728483306823,1.98322068474753,0.159728483306823,2.0566733027011,23.1085112116065,0.958023007853823,1,"estimated",,477,"estimated",,"ling_distance_nonzero_mean",-0.0269197941576897,0.0235899086565362,-1.14115720198988,0.254399532427962,477,"estimated",,-0.00831614621356887,0.0100778379691287,-0.825191498319737,0.409691532296807,477,"estimated",,1.30223975965327,0.254399532427981,,,FALSE,2,TRUE,TRUE,-0.148182672937718,0.148182672937718,TRUE,TRUE,"[grid<= -0.148183, 0.00963187] U [0.0140774, 0.148183 <=grid]","zero_included",FALSE,477,"estimated",,0.763198597283886,0.763198597283943,1,1,"consumption_historical_adjustment"
"consumption_historical_adjustment__early_2009__ancova__region_predetermined_1991","consumption_iv__consumption_historical_adjustment__early_2009__ancova__region_predetermined_1991","early_2009__ancova","real_mean_mpce","nss_2009_10_type2","nss_2004_05","ancova","log","C",3.60467268337116,2.12971948929057,0.0912183296970501,2.86475087312541,0.0912183296970502,2.9708527573152,23.1085112116065,0.924877284881212,1,"estimated",,477,"estimated",,"ling_distance_nonzero_mean",-0.00995286256500288,0.0235246921553874,-0.423081522141134,0.672433935196077,477,"estimated",,-0.0027611002271908,0.00781696531942059,-0.353218942948497,0.724086469793925,477,"estimated",,0.178997974377261,0.672433935196075,,,FALSE,2,TRUE,TRUE,-0.148182672937718,0.148182672937718,TRUE,TRUE,"[grid<= -0.148183, 0.00592731] U [0.0740913, 0.148183 <=grid]","zero_included",FALSE,477,"estimated",,1,1,1,1,"consumption_historical_adjustment"
"consumption_historical_adjustment__early_2009__ancova__state_compact_2001","consumption_iv__consumption_historical_adjustment__early_2009__ancova__state_compact_2001","early_2009__ancova","real_mean_mpce","nss_2009_10_type2","nss_2004_05","ancova","log","C",0.495800492927994,0.702140558807105,0.480488838220837,0.498615514230324,0.480488838220837,0.548131604558044,23.1085112116065,0.99232817008015,1,"estimated",,477,"estimated",,"ling_distance_nonzero_mean",-0.0313429634934861,0.0224210505785097,-1.39792572982855,0.162851061148363,477,"estimated",,-0.0632168865109134,0.113706564565864,-0.555965143721279,0.578521846046519,477,"estimated",,1.95419634611661,0.162851061148371,,,FALSE,1,FALSE,TRUE,-0.148182672937718,0.148182672937718,TRUE,TRUE,"[grid<= -0.148183, 0.148183 <=grid]","zero_included",FALSE,477,"estimated",,0.651404244593452,0.651404244593484,1,1,"consumption_historical_adjustment"
"consumption_historical_adjustment__early_2009__ancova__state_predetermined_1991","consumption_iv__consumption_historical_adjustment__early_2009__ancova__state_predetermined_1991","early_2009__ancova","real_mean_mpce","nss_2009_10_type2","nss_2004_05","ancova","log","C",1.30977160562314,0.674905071495718,0.052946359642608,3.76622064031178,0.052946359642608,4.14023331359909,23.1085112116065,0.870239038056919,1,"estimated",,477,"estimated",,"ling_distance_nonzero_mean",-0.0101330674218375,0.0270680154944775,-0.374355756664352,0.708322913067638,477,"estimated",,-0.00773651480787254,0.0222667270644798,-0.347447327371876,0.728424103902227,477,"estimated",,0.140142232547735,0.708322913067643,,,FALSE,1,FALSE,TRUE,-0.148182672937718,0.0385274949638066,TRUE,FALSE,"[grid<= -0.148183, 0.0385275]","zero_included",FALSE,477,"estimated",,1,1,1,1,"consumption_historical_adjustment"
"consumption_historical_adjustment__early_2009__change__region_compact_2001","consumption_iv__consumption_historical_adjustment__early_2009__change__region_compact_2001","early_2009__change","real_mean_mpce","nss_2009_10_type2","nss_2004_05","change","log","C",3.36476483345711,2.31152429179182,0.146172171882196,2.11890999303,0.146172171882196,2.19261121017878,23.1085112116065,0.953671788936685,1,"estimated",,477,"estimated",,"ling_distance_nonzero_mean",-0.066879046505256,0.050909750740242,-1.31367852980649,0.18960920977178,477,"estimated",,-0.0198762914543843,0.0179115566215162,-1.10969090372123,0.267712014762121,477,"estimated",,1.72575127967457,0.189609209771777,,,FALSE,1,FALSE,TRUE,-0.174036098840624,0.174036098840624,TRUE,TRUE,"[grid<= -0.174036, 0.174036 <=grid]","zero_included",FALSE,477,"estimated",,0.75843683908712,0.758436839087108,1,1,"consumption_historical_adjustment"
"consumption_historical_adjustment__early_2009__change__region_predetermined_1991","consumption_iv__consumption_historical_adjustment__early_2009__change__region_predetermined_1991","early_2009__change","real_mean_mpce","nss_2009_10_type2","nss_2004_05","change","log","C",3.6301340404484,2.13544901655751,0.0898182958793681,2.88979415553969,0.0898182958793681,2.99030873486286,23.1085112116065,0.924075402827118,1,"estimated",,477,"estimated",,"ling_distance_nonzero_mean",-0.0157605994748857,0.0451648135020469,-0.348957479347754,0.727280903039971,477,"estimated",,-0.00434160262383716,0.0134438763130553,-0.322942767602007,0.746885329044199,477,"estimated",,0.121771322392733,0.727280903039976,,,FALSE,1,FALSE,TRUE,-0.174036098840624,0.174036098840624,TRUE,TRUE,"[grid<= -0.174036, 0.174036 <=grid]","zero_included",FALSE,477,"estimated",,1,1,1,1,"consumption_historical_adjustment"
"consumption_historical_adjustment__early_2009__change__state_compact_2001","consumption_iv__consumption_historical_adjustment__early_2009__change__state_compact_2001","early_2009__change","real_mean_mpce","nss_2009_10_type2","nss_2004_05","change","log","C",0.336727687994584,0.639986127578884,0.599053847834533,0.276832156821761,0.599053847834533,0.303622365546454,23.1085112116065,0.995591801419015,1,"estimated",,477,"estimated",,"ling_distance_nonzero_mean",0.0102347305112398,0.0340555833923161,0.300530177191122,0.763916689555859,477,"estimated",,0.0303946805568435,0.109129999566255,0.278518103891225,0.780747321342999,477,"estimated",,0.0903183874025272,0.763916689555859,,,FALSE,1,FALSE,TRUE,-0.174036098840624,0.174036098840624,TRUE,TRUE,"[grid<= -0.174036, 0.174036 <=grid]","zero_included",FALSE,477,"estimated",,1,1,1,1,"consumption_historical_adjustment"
"consumption_historical_adjustment__early_2009__change__state_predetermined_1991","consumption_iv__consumption_historical_adjustment__early_2009__change__state_predetermined_1991","early_2009__change","real_mean_mpce","nss_2009_10_type2","nss_2004_05","change","log","C",0.945055841320257,0.624079085328893,0.13067244172593,2.29316700759403,0.13067244172593,2.51508639542569,23.1085112116065,0.942531354031055,1,"estimated",,477,"estimated",,"ling_distance_nonzero_mean",0.0223551211684105,0.0378716506312674,0.590286422582113,0.555305862598115,477,"estimated",,0.0236548150818024,0.0421689475348986,0.560953413936308,0.575118789814687,477,"estimated",,0.348438060684787,0.555305862598116,,,FALSE,1,FALSE,TRUE,-0.174036098840624,0.174036098840624,TRUE,TRUE,"[grid<= -0.174036, 0.174036 <=grid]","zero_included",FALSE,477,"estimated",,1,1,1,1,"consumption_historical_adjustment"
"consumption_historical_adjustment__medium_2011__ancova__region_compact_2001","consumption_iv__consumption_historical_adjustment__medium_2011__ancova__region_compact_2001","medium_2011__ancova","real_mean_mpce","nss_2011_12_type2","nss_2004_05","ancova","log","C",3.53530331706591,2.14633224010924,0.10020836785531,2.71306040434446,0.10020836785531,2.81267601314331,23.1085112116065,0.931251809067512,1,"estimated",,481,"estimated",,"ling_distance_nonzero_mean",-0.0128945830386925,0.0197171590590499,-0.653977735842936,0.513450828859295,481,"estimated",,-0.00364737672619096,0.00661038607685593,-0.551764554109938,0.581375880502978,481,"estimated",,0.427686878978234,0.513450828859304,,,FALSE,2,TRUE,TRUE,-0.14752872009933,0.14752872009933,TRUE,TRUE,"[grid<= -0.147529, 0.00885172] U [0.0272928, 0.147529 <=grid]","zero_included",FALSE,481,"estimated",,1,1,1,1,"consumption_historical_adjustment"
"consumption_historical_adjustment__medium_2011__ancova__region_predetermined_1991","consumption_iv__consumption_historical_adjustment__medium_2011__ancova__region_predetermined_1991","medium_2011__ancova","real_mean_mpce","nss_2011_12_type2","nss_2004_05","ancova","log","C",3.23259274830545,1.8793070113437,0.0860827886754548,2.95873807547081,0.0860827886754549,3.06737424670858,23.1085112116065,0.920861268388836,1,"estimated",,481,"estimated",,"ling_distance_nonzero_mean",-0.0128131359094129,0.0241891865732158,-0.529705117227904,0.596570300351314,481,"estimated",,-0.00396373341990865,0.00940109984880262,-0.42162443582742,0.673494847436825,481,"estimated",,0.280587511217444,0.596570300351304,,,FALSE,2,TRUE,TRUE,-0.14752872009933,0.14752872009933,TRUE,TRUE,"[grid<= -0.147529, 0.00590115] U [0.106958, 0.147529 <=grid]","zero_included",FALSE,481,"estimated",,1,1,1,1,"consumption_historical_adjustment"
