"specification_id","analysis_id","welfare_specification_id","welfare_outcome_id","outcome_round","baseline_round","estimand","analysis_transform","tier","first_stage_estimate","first_stage_std.error","first_stage_p.value","partial_f","partial_p","effective_f","effective_f_critical_value","effective_f_p_value","effective_f_df","effective_f_status","effective_f_reason","first_stage_n","first_stage_status","first_stage_reason","reduced_form_term","reduced_form_estimate","reduced_form_std.error","reduced_form_statistic","reduced_form_p.value","reduced_form_n","reduced_form_status","reduced_form_reason","second_stage_estimate","second_stage_std.error","second_stage_statistic","second_stage_p.value","second_stage_n","second_stage_status","second_stage_reason","anderson_rubin_f_beta0","anderson_rubin_p_beta0","ar_95_lower","ar_95_upper","ar_95_empty","ar_95_n_components","ar_95_disconnected","ar_95_contains_zero","ar_95_grid_accepted_min","ar_95_grid_accepted_max","ar_95_left_truncated","ar_95_right_truncated","ar_95_components","ar_95_information","ar_95_sign_identified","n","status","reason","reduced_form_p_holm_within_welfare","anderson_rubin_p_beta0_holm_within_welfare","reduced_form_p_holm_family","anderson_rubin_p_beta0_holm_family","multiplicity_family"
"consumption_historical_concept_matched__early_2009__ancova__region_compact_2001","consumption_iv__consumption_historical_concept_matched__early_2009__ancova__region_compact_2001","early_2009__ancova","real_mean_mpce","nss_2009_10_type2","nss_2004_05","ancova","log","C",0.329581398011267,0.883115221084255,0.709186425011137,0.13928060443079,0.709186425011137,0.144945126620554,23.1085112116065,0.997492898041627,1,"estimated",,436,"estimated",,"ling_distance_nonzero_mean",-0.0339212755413973,0.027112677097003,-1.25112232259598,0.211589634313473,436,"estimated",,-0.102922300063299,0.313171879313349,-0.32864476941213,0.742588785217714,436,"estimated",,1.56530706609796,0.211589634313473,,,FALSE,1,FALSE,TRUE,-0.250135934045409,0.250135934045409,TRUE,TRUE,"[grid<= -0.250136, 0.250136 <=grid]","zero_included",FALSE,436,"estimated",,1,1,1,1,"consumption_historical_concept_matched"
"consumption_historical_concept_matched__early_2009__ancova__region_pca_1991","consumption_iv__consumption_historical_concept_matched__early_2009__ancova__region_pca_1991","early_2009__ancova","real_mean_mpce","nss_2009_10_type2","nss_2004_05","ancova","log","C",0.859655110860071,0.929439857265273,0.35554251130172,0.855472225924274,0.35554251130172,0.890264158557566,23.1085112116065,0.986767920306326,1,"estimated",,436,"estimated",,"ling_distance_nonzero_mean",-0.0155796459206544,0.022737298862459,-0.685202143618633,0.493596164826696,436,"estimated",,-0.0181231353409407,0.0422769303250927,-0.428676708587428,0.668379335474406,436,"estimated",,0.469501977619587,0.493596164826689,,,FALSE,2,TRUE,TRUE,-0.250135934045409,0.250135934045409,TRUE,TRUE,"[grid<= -0.250136, 0.0212616] U [0.0325177, 0.250136 <=grid]","zero_included",FALSE,436,"estimated",,1,1,1,1,"consumption_historical_concept_matched"
"consumption_historical_concept_matched__early_2009__ancova__region_vanneman_1991","consumption_iv__consumption_historical_concept_matched__early_2009__ancova__region_vanneman_1991","early_2009__ancova","real_mean_mpce","nss_2009_10_type2","nss_2004_05","ancova","log","C",0.445823624289927,0.83641137358865,0.594302625607817,0.284109853841595,0.594302625607817,0.294958917472779,23.1085112116065,0.995698420458473,1,"estimated",,436,"estimated",,"ling_distance_nonzero_mean",-0.02033284634617,0.0215381971339113,-0.944036597852311,0.345694975347055,436,"estimated",,-0.0456073775331072,0.115441642507272,-0.395068681825402,0.692993242972367,436,"estimated",,0.891205098084503,0.345694975347072,,,FALSE,1,FALSE,TRUE,-0.250135934045409,0.250135934045409,TRUE,TRUE,"[grid<= -0.250136, 0.250136 <=grid]","zero_included",FALSE,436,"estimated",,1,1,1,1,"consumption_historical_concept_matched"
"consumption_historical_concept_matched__early_2009__ancova__state_compact_2001","consumption_iv__consumption_historical_concept_matched__early_2009__ancova__state_compact_2001","early_2009__ancova","real_mean_mpce","nss_2009_10_type2","nss_2004_05","ancova","log","C",0.130280953094364,0.58585574202181,0.824132366343614,0.0494516142057956,0.824132366343614,0.053114696739561,23.1085112116065,0.998661024827322,1,"estimated",,436,"estimated",,"ling_distance_nonzero_mean",-0.0279558099822868,0.0242439270575739,-1.15310567945111,0.249547102710063,436,"estimated",,-0.21458094462995,1.04433892881336,-0.205470598394498,0.837307702163351,436,"estimated",,1.32965270798235,0.249547102710071,,,FALSE,1,FALSE,TRUE,-0.250135934045409,0.250135934045409,TRUE,TRUE,"[grid<= -0.250136, 0.250136 <=grid]","zero_included",FALSE,436,"estimated",,1,1,1,1,"consumption_historical_concept_matched"
"consumption_historical_concept_matched__early_2009__ancova__state_pca_1991","consumption_iv__consumption_historical_concept_matched__early_2009__ancova__state_pca_1991","early_2009__ancova","real_mean_mpce","nss_2009_10_type2","nss_2004_05","ancova","log","C",0.822653392781461,0.533166558100341,0.123622034362635,2.38071815478828,0.123622034362635,2.55706764773558,23.1085112116065,0.940997509224298,1,"estimated",,436,"estimated",,"ling_distance_nonzero_mean",-0.00408410996413724,0.0275928595943296,-0.14801329127107,0.882405940906098,436,"estimated",,-0.00496455737004917,0.0351785551186599,-0.141124538893179,0.887841725105634,436,"estimated",,0.0219079343928932,0.882405940906102,,,FALSE,1,FALSE,TRUE,-0.250135934045409,0.250135934045409,TRUE,TRUE,"[grid<= -0.250136, 0.250136 <=grid]","zero_included",FALSE,436,"estimated",,1,1,1,1,"consumption_historical_concept_matched"
"consumption_historical_concept_matched__early_2009__ancova__state_vanneman_1991","consumption_iv__consumption_historical_concept_matched__early_2009__ancova__state_vanneman_1991","early_2009__ancova","real_mean_mpce","nss_2009_10_type2","nss_2004_05","ancova","log","C",0.179110095894533,0.536041077685982,0.738450200723068,0.111646211192842,0.738450200723068,0.119620940563764,23.1085112116065,0.997797481385448,1,"estimated",,436,"estimated",,"ling_distance_nonzero_mean",-0.0187952457568036,0.0220117884193408,-0.853871816262283,0.39367952602909,436,"estimated",,-0.104936830405457,0.375813991769763,-0.279225448502581,0.780213996032615,436,"estimated",,0.729097078607017,0.393679526029101,,,FALSE,1,FALSE,TRUE,-0.250135934045409,0.250135934045409,TRUE,TRUE,"[grid<= -0.250136, 0.250136 <=grid]","zero_included",FALSE,436,"estimated",,1,1,1,1,"consumption_historical_concept_matched"
"consumption_historical_concept_matched__early_2009__change__region_compact_2001","consumption_iv__consumption_historical_concept_matched__early_2009__change__region_compact_2001","early_2009__change","real_mean_mpce","nss_2009_10_type2","nss_2004_05","change","log","C",0.388127581848117,0.962729916114735,0.687041211241723,0.162532448592133,0.687041211241723,0.16873893827584,23.1085112116065,0.997210261376599,1,"estimated",,436,"estimated",,"ling_distance_nonzero_mean",-0.0972244580989703,0.0601622111518595,-1.61603864348602,0.106838607863918,436,"estimated",,-0.250496132318203,0.584134569298955,-0.428832918789303,0.668265206758846,436,"estimated",,2.61158089724005,0.106838607863923,,,FALSE,1,FALSE,TRUE,-0.297430698964544,0.297430698964544,TRUE,TRUE,"[grid<= -0.297431, 0.297431 <=grid]","zero_included",FALSE,436,"estimated",,0.574121404467897,0.574121404467929,1,1,"consumption_historical_concept_matched"
"consumption_historical_concept_matched__early_2009__change__region_pca_1991","consumption_iv__consumption_historical_concept_matched__early_2009__change__region_pca_1991","early_2009__change","real_mean_mpce","nss_2009_10_type2","nss_2004_05","change","log","C",0.936323634431056,0.993595838524697,0.346552061240616,0.888039827872732,0.346552061240616,0.921950656622071,23.1085112116065,0.986189444611189,1,"estimated",,436,"estimated",,"ling_distance_nonzero_mean",-0.0319217619391514,0.0456332918317299,-0.69952792485059,0.484610326594389,436,"estimated",,-0.0340926585267089,0.0592202687322331,-0.575692398169624,0.565132166862831,436,"estimated",,0.489339317645705,0.484610326594419,,,FALSE,1,FALSE,TRUE,-0.297430698964544,0.297430698964544,TRUE,TRUE,"[grid<= -0.297431, 0.297431 <=grid]","zero_included",FALSE,436,"estimated",,1,1,1,1,"consumption_historical_concept_matched"
"consumption_historical_concept_matched__early_2009__change__region_vanneman_1991","consumption_iv__consumption_historical_concept_matched__early_2009__change__region_vanneman_1991","early_2009__change","real_mean_mpce","nss_2009_10_type2","nss_2004_05","change","log","C",0.544469774195529,0.931295810702541,0.559105891824851,0.341800152223161,0.559105891824851,0.354007300516866,23.1085112116065,0.994961085892353,1,"estimated",,436,"estimated",,"ling_distance_nonzero_mean",-0.0874325884493328,0.0523584039249531,-1.66988643455695,0.0956869007446495,436,"estimated",,-0.160582997611791,0.261724520353167,-0.613557328885742,0.53984002923552,436,"estimated",,2.78852070431725,0.0956869007446549,,,FALSE,1,FALSE,TRUE,-0.297430698964544,0.297430698964544,TRUE,TRUE,"[grid<= -0.297431, 0.297431 <=grid]","zero_included",FALSE,436,"estimated",,0.574121404467897,0.574121404467929,1,1,"consumption_historical_concept_matched"
"consumption_historical_concept_matched__early_2009__change__state_compact_2001","consumption_iv__consumption_historical_concept_matched__early_2009__change__state_compact_2001","early_2009__change","real_mean_mpce","nss_2009_10_type2","nss_2004_05","change","log","C",-0.00849209188764526,0.532737002948203,0.987289693501235,0.000254099402139499,0.987289693501235,0.000272249359435126,23.1085112116065,0.999911258162878,1,"estimated",,436,"estimated",,"ling_distance_nonzero_mean",0.0145156600103247,0.0370545441039158,0.391737649493595,0.69545759912428,436,"estimated",,-1.70931499592763,107.986117712386,-0.0158290253612069,0.987378567947577,436,"estimated",,0.153458386030765,0.695457599124281,,,FALSE,1,FALSE,TRUE,-0.297430698964544,0.297430698964544,TRUE,TRUE,"[grid<= -0.297431, 0.297431 <=grid]","zero_included",FALSE,436,"estimated",,1,1,1,1,"consumption_historical_concept_matched"
