"analysis_id","family","analysis_role","multiplicity_family","specification_id","welfare_specification_id","welfare_outcome_id","outcome_round","estimand","treatment","adjustment_id","construction_id","excluded_instruments","effective_f","effective_f_critical_value","first_stage_strong","reduced_form_p_holm_family","reduced_form_family_signal","anderson_rubin_p_beta0_holm_family","ar_family_signal","ar_95_bounded","ar_95_disconnected","ar_95_left_truncated","ar_95_right_truncated","n"
"consumption_iv__consumption_scalar__early_2009__ancova__region_main__nonzero_mean","scalar_iv","scalar_iv_robustness","consumption_scalar_iv_robustness","consumption_scalar__early_2009__ancova__region_main__nonzero_mean","early_2009__ancova","real_mean_mpce","nss_2009_10_type2","ancova","emi_exposure_all_children_0708","region_main","nonzero_mean","ling_distance_nonzero_mean",4.86332766019671,23.1085112116065,FALSE,1,FALSE,1,FALSE,TRUE,FALSE,FALSE,FALSE,521
"consumption_iv__consumption_scalar__early_2009__ancova__region_main__glottolog_mean","scalar_iv","scalar_iv_robustness","consumption_scalar_iv_robustness","consumption_scalar__early_2009__ancova__region_main__glottolog_mean","early_2009__ancova","real_mean_mpce","nss_2009_10_type2","ancova","emi_exposure_all_children_0708","region_main","glottolog_mean","ling_distance_glottolog_nonhindi_mean",0.28267587641431,23.1085112116065,FALSE,1,FALSE,1,FALSE,FALSE,FALSE,TRUE,TRUE,521
"consumption_iv__consumption_scalar__early_2009__ancova__region_main__dyen_noncognate","scalar_iv","scalar_iv_robustness","consumption_scalar_iv_robustness","consumption_scalar__early_2009__ancova__region_main__dyen_noncognate","early_2009__ancova","real_mean_mpce","nss_2009_10_type2","ancova","emi_exposure_all_children_0708","region_main","dyen_noncognate","ling_distance_dyen_noncognate_pct",0.0235569941586284,23.1085112116065,FALSE,1,FALSE,1,FALSE,FALSE,FALSE,TRUE,TRUE,521
"consumption_iv__consumption_scalar__early_2009__ancova__state_main__nonzero_mean","scalar_iv","scalar_iv_robustness","consumption_scalar_iv_robustness","consumption_scalar__early_2009__ancova__state_main__nonzero_mean","early_2009__ancova","real_mean_mpce","nss_2009_10_type2","ancova","emi_exposure_all_children_0708","state_main","nonzero_mean","ling_distance_nonzero_mean",0.977083054927519,23.1085112116065,FALSE,1,FALSE,1,FALSE,FALSE,TRUE,TRUE,TRUE,521
"consumption_iv__consumption_scalar__early_2009__ancova__state_main__glottolog_mean","scalar_iv","scalar_iv_robustness","consumption_scalar_iv_robustness","consumption_scalar__early_2009__ancova__state_main__glottolog_mean","early_2009__ancova","real_mean_mpce","nss_2009_10_type2","ancova","emi_exposure_all_children_0708","state_main","glottolog_mean","ling_distance_glottolog_nonhindi_mean",1.21804980894463,23.1085112116065,FALSE,1,FALSE,1,FALSE,FALSE,FALSE,TRUE,TRUE,521
"consumption_iv__consumption_scalar__early_2009__ancova__state_main__dyen_noncognate","scalar_iv","scalar_iv_robustness","consumption_scalar_iv_robustness","consumption_scalar__early_2009__ancova__state_main__dyen_noncognate","early_2009__ancova","real_mean_mpce","nss_2009_10_type2","ancova","emi_exposure_all_children_0708","state_main","dyen_noncognate","ling_distance_dyen_noncognate_pct",0.0569723864851548,23.1085112116065,FALSE,1,FALSE,1,FALSE,FALSE,FALSE,TRUE,TRUE,521
"consumption_iv__consumption_scalar__early_2009__change__region_main__nonzero_mean","scalar_iv","scalar_iv_robustness","consumption_scalar_iv_robustness","consumption_scalar__early_2009__change__region_main__nonzero_mean","early_2009__change","real_mean_mpce","nss_2009_10_type2","change","emi_exposure_all_children_0708","region_main","nonzero_mean","ling_distance_nonzero_mean",5.03860386680107,23.1085112116065,FALSE,1,FALSE,1,FALSE,TRUE,FALSE,FALSE,FALSE,521
"consumption_iv__consumption_scalar__early_2009__change__region_main__glottolog_mean","scalar_iv","scalar_iv_robustness","consumption_scalar_iv_robustness","consumption_scalar__early_2009__change__region_main__glottolog_mean","early_2009__change","real_mean_mpce","nss_2009_10_type2","change","emi_exposure_all_children_0708","region_main","glottolog_mean","ling_distance_glottolog_nonhindi_mean",0.283900738351995,23.1085112116065,FALSE,1,FALSE,1,FALSE,FALSE,FALSE,TRUE,TRUE,521
"consumption_iv__consumption_scalar__early_2009__change__region_main__dyen_noncognate","scalar_iv","scalar_iv_robustness","consumption_scalar_iv_robustness","consumption_scalar__early_2009__change__region_main__dyen_noncognate","early_2009__change","real_mean_mpce","nss_2009_10_type2","change","emi_exposure_all_children_0708","region_main","dyen_noncognate","ling_distance_dyen_noncognate_pct",0.0358467528951045,23.1085112116065,FALSE,1,FALSE,1,FALSE,FALSE,FALSE,TRUE,TRUE,521
"consumption_iv__consumption_scalar__early_2009__change__state_main__nonzero_mean","scalar_iv","scalar_iv_robustness","consumption_scalar_iv_robustness","consumption_scalar__early_2009__change__state_main__nonzero_mean","early_2009__change","real_mean_mpce","nss_2009_10_type2","change","emi_exposure_all_children_0708","state_main","nonzero_mean","ling_distance_nonzero_mean",0.731781220659933,23.1085112116065,FALSE,1,FALSE,1,FALSE,FALSE,FALSE,TRUE,TRUE,521
