"specification_id","analysis_id","welfare_specification_id","welfare_outcome_id","outcome_round","baseline_round","estimand","analysis_transform","tier","first_stage_estimate","first_stage_std.error","first_stage_p.value","partial_f","partial_p","effective_f","effective_f_critical_value","effective_f_p_value","effective_f_df","effective_f_status","effective_f_reason","first_stage_n","first_stage_status","first_stage_reason","reduced_form_term","reduced_form_estimate","reduced_form_std.error","reduced_form_statistic","reduced_form_p.value","reduced_form_n","reduced_form_status","reduced_form_reason","second_stage_estimate","second_stage_std.error","second_stage_statistic","second_stage_p.value","second_stage_n","second_stage_status","second_stage_reason","anderson_rubin_f_beta0","anderson_rubin_p_beta0","ar_95_lower","ar_95_upper","ar_95_empty","ar_95_n_components","ar_95_disconnected","ar_95_contains_zero","ar_95_grid_accepted_min","ar_95_grid_accepted_max","ar_95_left_truncated","ar_95_right_truncated","ar_95_components","ar_95_information","ar_95_sign_identified","n","status","reason","reduced_form_p_holm_within_welfare","anderson_rubin_p_beta0_holm_within_welfare","reduced_form_p_holm_family","anderson_rubin_p_beta0_holm_family","multiplicity_family"
"consumption_scalar__early_2009__ancova__region_main__nonzero_mean","consumption_iv__consumption_scalar__early_2009__ancova__region_main__nonzero_mean","early_2009__ancova","real_mean_mpce","nss_2009_10_type2","nss_2004_05","ancova","log","B",5.49401710547888,2.53303342871098,0.0305544446075415,4.70433425592099,0.0305544446075415,4.86332766019671,23.1085112116065,0.830711943448757,1,"estimated",,521,"estimated",,"ling_distance_nonzero_mean",-0.0271017687407343,0.0236248290987905,-1.14717311297383,0.251855440637325,521,"estimated",,-0.004932960385891,0.0053543837700051,-0.921293765591686,0.357338728708438,521,"estimated",,1.31600615113005,0.251855440637328,-0.079573993103663,0.00267475607071135,FALSE,1,FALSE,TRUE,-0.079573993103663,0.00267475607071135,FALSE,FALSE,"[-0.079574, 0.00267476]","zero_included",FALSE,521,"estimated",,1,1,1,1,"consumption_scalar_iv_robustness"
"consumption_scalar__early_2009__ancova__region_main__glottolog_mean","consumption_iv__consumption_scalar__early_2009__ancova__region_main__glottolog_mean","early_2009__ancova","real_mean_mpce","nss_2009_10_type2","nss_2004_05","ancova","log","B",-0.229517807921294,0.438924368549119,0.601267349078049,0.273434549685418,0.601267349078049,0.28267587641431,23.1085112116065,0.995848745967068,1,"estimated",,521,"estimated",,"ling_distance_glottolog_nonhindi_mean",0.0021778817437716,0.00500170941005608,0.435427483930375,0.663438944730019,521,"estimated",,-0.00948894451152906,0.0329422367441418,-0.288047972735686,0.773428665504597,521,"estimated",,0.189597093761942,0.663438944730016,,,FALSE,1,FALSE,TRUE,-0.133737803535568,0.133737803535568,TRUE,TRUE,"[grid<= -0.133738, 0.133738 <=grid]","zero_included",FALSE,521,"estimated",,1,1,1,1,"consumption_scalar_iv_robustness"
"consumption_scalar__early_2009__ancova__region_main__dyen_noncognate","consumption_iv__consumption_scalar__early_2009__ancova__region_main__dyen_noncognate","early_2009__ancova","real_mean_mpce","nss_2009_10_type2","nss_2004_05","ancova","log","B",-0.0149683247215861,0.0991587260068594,0.880073169417549,0.0227868616572876,0.880073169417549,0.0235569941586284,23.1085112116065,0.999145539434679,1,"estimated",,521,"estimated",,"ling_distance_dyen_noncognate_pct",-0.000119754173188085,0.000922976820977237,-0.129747757978679,0.896817864216475,521,"estimated",,0.00800050609637675,0.0789298383337043,0.101362251149581,0.919303292594563,521,"estimated",,0.0168344807004944,0.896817864216474,,,FALSE,1,FALSE,TRUE,-0.133737803535568,0.133737803535568,TRUE,TRUE,"[grid<= -0.133738, 0.133738 <=grid]","zero_included",FALSE,521,"estimated",,1,1,1,1,"consumption_scalar_iv_robustness"
"consumption_scalar__early_2009__ancova__state_main__nonzero_mean","consumption_iv__consumption_scalar__early_2009__ancova__state_main__nonzero_mean","early_2009__ancova","real_mean_mpce","nss_2009_10_type2","nss_2004_05","ancova","log","B",0.744386693844084,0.788760877632264,0.345782331240378,0.890648784683882,0.345782331240378,0.977083054927519,23.1085112116065,0.985156585480153,1,"estimated",,521,"estimated",,"ling_distance_nonzero_mean",-0.0314314839043843,0.0236734254736192,-1.32771169678889,0.184912410521796,521,"estimated",,-0.0422246718866921,0.063784084633287,-0.661993852062844,0.508296866245714,521,"estimated",,1.76281834979,0.184912410521801,,,FALSE,2,TRUE,TRUE,-0.133737803535568,0.133737803535568,TRUE,TRUE,"[grid<= -0.133738, 0.0167172] U [0.0374466, 0.133738 <=grid]","zero_included",FALSE,521,"estimated",,1,1,1,1,"consumption_scalar_iv_robustness"
"consumption_scalar__early_2009__ancova__state_main__glottolog_mean","consumption_iv__consumption_scalar__early_2009__ancova__state_main__glottolog_mean","early_2009__ancova","real_mean_mpce","nss_2009_10_type2","nss_2004_05","ancova","log","B",-0.204554333266674,0.194128214884842,0.292553730232954,1.11029924892255,0.292553730232954,1.21804980894463,23.1085112116065,0.980244852210747,1,"estimated",,521,"estimated",,"ling_distance_glottolog_nonhindi_mean",0.0025408751411677,0.00453171318257709,0.560687545482028,0.575275485475639,521,"estimated",,-0.0124215170639173,0.0270893019696011,-0.458539576909601,0.646775001767216,521,"estimated",,0.314370523658657,0.575275485475641,,,FALSE,1,FALSE,TRUE,-0.133737803535568,0.133737803535568,TRUE,TRUE,"[grid<= -0.133738, 0.133738 <=grid]","zero_included",FALSE,521,"estimated",,1,1,1,1,"consumption_scalar_iv_robustness"
"consumption_scalar__early_2009__ancova__state_main__dyen_noncognate","consumption_iv__consumption_scalar__early_2009__ancova__state_main__dyen_noncognate","early_2009__ancova","real_mean_mpce","nss_2009_10_type2","nss_2004_05","ancova","log","B",0.00842786384561759,0.0369826311417264,0.81983229484745,0.0519325215268565,0.81983229484745,0.0569723864851548,23.1085112116065,0.998605632484364,1,"estimated",,521,"estimated",,"ling_distance_dyen_noncognate_pct",0.000493486590638932,0.000900409529309168,0.548069044779608,0.583902502029608,521,"estimated",,0.0585541721695017,0.209408100644285,0.279617512356725,0.779892941907864,521,"estimated",,0.300379677845625,0.583902502029613,,,FALSE,1,FALSE,TRUE,-0.133737803535568,0.133737803535568,TRUE,TRUE,"[grid<= -0.133738, 0.133738 <=grid]","zero_included",FALSE,521,"estimated",,1,1,1,1,"consumption_scalar_iv_robustness"
"consumption_scalar__early_2009__change__region_main__nonzero_mean","consumption_iv__consumption_scalar__early_2009__change__region_main__nonzero_mean","early_2009__change","real_mean_mpce","nss_2009_10_type2","nss_2004_05","change","log","B",5.54516390934669,2.50926011650115,0.0275621760138017,4.88356990166894,0.0275621760138017,5.03860386680107,23.1085112116065,0.820584352517099,1,"estimated",,521,"estimated",,"ling_distance_nonzero_mean",-0.0555930725096402,0.0459698544806735,-1.2093375786737,0.227100153938928,521,"estimated",,-0.0100255057232727,0.00924149208525967,-1.08483626137207,0.278512822381542,521,"estimated",,1.46249737919233,0.227100153938936,-0.0959170477597525,0.00779813396420753,FALSE,1,FALSE,TRUE,-0.0959170477597525,0.00779813396420753,FALSE,FALSE,"[-0.095917, 0.00779813]","zero_included",FALSE,521,"estimated",,1,1,1,1,"consumption_scalar_iv_robustness"
"consumption_scalar__early_2009__change__region_main__glottolog_mean","consumption_iv__consumption_scalar__early_2009__change__region_main__glottolog_mean","early_2009__change","real_mean_mpce","nss_2009_10_type2","nss_2004_05","change","log","B",-0.229815536606189,0.438109356467418,0.600118317743277,0.275165331018109,0.600118317743277,0.283900738351995,23.1085112116065,0.995833798336165,1,"estimated",,521,"estimated",,"ling_distance_glottolog_nonhindi_mean",0.00228282300559324,0.0114829829282397,0.198800522465219,0.842498956470145,521,"estimated",,-0.00993328405601147,0.0558432544505985,-0.177877957754037,0.858890291146303,521,"estimated",,0.0395216477324451,0.842498956470143,,,FALSE,1,FALSE,TRUE,-0.15596267928415,0.15596267928415,TRUE,TRUE,"[grid<= -0.155963, 0.155963 <=grid]","zero_included",FALSE,521,"estimated",,1,1,1,1,"consumption_scalar_iv_robustness"
"consumption_scalar__early_2009__change__region_main__dyen_noncognate","consumption_iv__consumption_scalar__early_2009__change__region_main__dyen_noncognate","early_2009__change","real_mean_mpce","nss_2009_10_type2","nss_2004_05","change","log","B",-0.0185676506901166,0.0996135573676381,0.852208583868815,0.0347437758829457,0.852208583868815,0.0358467528951045,23.1085112116065,0.998926930311051,1,"estimated",,521,"estimated",,"ling_distance_dyen_noncognate_pct",0.00117454924451762,0.00218508459315448,0.537530330952539,0.591138588508906,521,"estimated",,-0.0632578275044285,0.35539003983475,-0.177995499068692,0.858798028362641,521,"estimated",,0.288938856693933,0.591138588508914,,,FALSE,1,FALSE,TRUE,-0.15596267928415,0.15596267928415,TRUE,TRUE,"[grid<= -0.155963, 0.155963 <=grid]","zero_included",FALSE,521,"estimated",,1,1,1,1,"consumption_scalar_iv_robustness"
"consumption_scalar__early_2009__change__state_main__nonzero_mean","consumption_iv__consumption_scalar__early_2009__change__state_main__nonzero_mean","early_2009__change","real_mean_mpce","nss_2009_10_type2","nss_2004_05","change","log","B",0.584970191874787,0.715480782596613,0.414001041969302,0.668453999641236,0.414001041969302,0.731781220659933,23.1085112116065,0.989497386942107,1,"estimated",,521,"estimated",,"ling_distance_nonzero_mean",0.00716609554775643,0.0365303223192571,0.196168418256162,0.844562242204761,521,"estimated",,0.0122503601846468,0.0633810943098407,0.193280982571245,0.84682153714109,521,"estimated",,0.0384820483211238,0.844562242204762,,,FALSE,1,FALSE,TRUE,-0.15596267928415,0.15596267928415,TRUE,TRUE,"[grid<= -0.155963, 0.155963 <=grid]","zero_included",FALSE,521,"estimated",,1,1,1,1,"consumption_scalar_iv_robustness"
