"specification_id","analysis_id","welfare_specification_id","welfare_outcome_id","outcome_round","baseline_round","estimand","analysis_transform","tier","first_stage_estimate","first_stage_std.error","first_stage_p.value","partial_f","partial_p","effective_f","effective_f_critical_value","effective_f_p_value","effective_f_df","effective_f_status","effective_f_reason","first_stage_n","first_stage_status","first_stage_reason","reduced_form_term","reduced_form_estimate","reduced_form_std.error","reduced_form_statistic","reduced_form_p.value","reduced_form_n","reduced_form_status","reduced_form_reason","second_stage_estimate","second_stage_std.error","second_stage_statistic","second_stage_p.value","second_stage_n","second_stage_status","second_stage_reason","anderson_rubin_f_beta0","anderson_rubin_p_beta0","ar_95_lower","ar_95_upper","ar_95_empty","ar_95_n_components","ar_95_disconnected","ar_95_contains_zero","ar_95_grid_accepted_min","ar_95_grid_accepted_max","ar_95_left_truncated","ar_95_right_truncated","ar_95_components","ar_95_information","ar_95_sign_identified","n","status","reason","reduced_form_p_holm_within_welfare","anderson_rubin_p_beta0_holm_within_welfare","reduced_form_p_holm_family","anderson_rubin_p_beta0_holm_family","multiplicity_family"
"consumption_treatment__early_2009__ancova__region_main__nonzero_mean","consumption_iv__consumption_treatment__early_2009__ancova__region_main__nonzero_mean","early_2009__ancova","real_mean_mpce","nss_2009_10_type2","nss_2004_05","ancova","log","C",6.37348188341769,3.1510914717503,0.043640252530857,4.09101894537102,0.043640252530857,4.22928399919062,23.1085112116065,0.865583877901753,1,"estimated",,521,"estimated",,"ling_distance_nonzero_mean",-0.0271017687407343,0.0236248290987905,-1.14717311297383,0.251855440637325,521,"estimated",,-0.0042522704600836,0.00464327348665895,-0.915791514822726,0.360215083553833,521,"estimated",,1.31600615113005,0.251855440637328,,,FALSE,1,FALSE,TRUE,-0.107463513932162,0.00268658784830404,TRUE,FALSE,"[grid<= -0.107464, 0.00268659]","zero_included",FALSE,521,"estimated",,1,1,1,1,"consumption_treatment_robustness"
"consumption_treatment__early_2009__ancova__region_main__glottolog_mean","consumption_iv__consumption_treatment__early_2009__ancova__region_main__glottolog_mean","early_2009__ancova","real_mean_mpce","nss_2009_10_type2","nss_2004_05","ancova","log","C",-0.34257961269785,0.565806257344399,0.545138779389102,0.3665958429404,0.545138779389102,0.378985762085547,23.1085112116065,0.994641104115346,1,"estimated",,521,"estimated",,"ling_distance_glottolog_nonhindi_mean",0.0021778817437716,0.00500170941005608,0.435427483930375,0.663438944730019,521,"estimated",,-0.00635730108578617,0.0207696068213547,-0.306086732429128,0.759665254960299,521,"estimated",,0.189597093761942,0.663438944730016,,,FALSE,1,FALSE,TRUE,-0.107463513932162,0.107463513932162,TRUE,TRUE,"[grid<= -0.107464, 0.107464 <=grid]","zero_included",FALSE,521,"estimated",,1,1,1,1,"consumption_treatment_robustness"
"consumption_treatment__early_2009__ancova__region_main__dyen_noncognate","consumption_iv__consumption_treatment__early_2009__ancova__region_main__dyen_noncognate","early_2009__ancova","real_mean_mpce","nss_2009_10_type2","nss_2004_05","ancova","log","C",-0.0285810990551006,0.134966641770163,0.832376797833209,0.0448440642699049,0.832376797833209,0.0463596688277334,23.1085112116065,0.998761070127992,1,"estimated",,521,"estimated",,"ling_distance_dyen_noncognate_pct",-0.000119754173188085,0.000922976820977237,-0.129747757978679,0.896817864216475,521,"estimated",,0.0041899778926291,0.0362765606160687,0.115500968710169,0.908094146979187,521,"estimated",,0.0168344807004944,0.896817864216474,,,FALSE,1,FALSE,TRUE,-0.107463513932162,0.107463513932162,TRUE,TRUE,"[grid<= -0.107464, 0.107464 <=grid]","zero_included",FALSE,521,"estimated",,1,1,1,1,"consumption_treatment_robustness"
"consumption_treatment__early_2009__ancova__state_main__nonzero_mean","consumption_iv__consumption_treatment__early_2009__ancova__state_main__nonzero_mean","early_2009__ancova","real_mean_mpce","nss_2009_10_type2","nss_2004_05","ancova","log","C",0.22667373147892,0.740410480350467,0.759627879770967,0.0937253936274886,0.759627879770967,0.102821106933127,23.1085112116065,0.998003729100662,1,"estimated",,521,"estimated",,"ling_distance_nonzero_mean",-0.0314314839043843,0.0236734254736192,-1.32771169678889,0.184912410521796,521,"estimated",,-0.138663989423649,0.489234762069014,-0.283430369578049,0.776970699264998,521,"estimated",,1.76281834979,0.184912410521801,,,FALSE,1,FALSE,TRUE,-0.107463513932162,0.107463513932162,TRUE,TRUE,"[grid<= -0.107464, 0.107464 <=grid]","zero_included",FALSE,521,"estimated",,1,1,1,1,"consumption_treatment_robustness"
"consumption_treatment__early_2009__ancova__state_main__glottolog_mean","consumption_iv__consumption_treatment__early_2009__ancova__state_main__glottolog_mean","early_2009__ancova","real_mean_mpce","nss_2009_10_type2","nss_2004_05","ancova","log","C",-0.164792816874953,0.177763513745717,0.354380671153392,0.859391992027675,0.354380671153392,0.942792902646445,23.1085112116065,0.985802925976772,1,"estimated",,521,"estimated",,"ling_distance_glottolog_nonhindi_mean",0.0025408751411677,0.00453171318257709,0.560687545482028,0.575275485475639,521,"estimated",,-0.0154186037313548,0.0329983325848815,-0.4672540253873,0.6405328644882,521,"estimated",,0.314370523658657,0.575275485475641,,,FALSE,1,FALSE,TRUE,-0.107463513932162,0.107463513932162,TRUE,TRUE,"[grid<= -0.107464, 0.107464 <=grid]","zero_included",FALSE,521,"estimated",,1,1,1,1,"consumption_treatment_robustness"
"consumption_treatment__early_2009__ancova__state_main__dyen_noncognate","consumption_iv__consumption_treatment__early_2009__ancova__state_main__dyen_noncognate","early_2009__ancova","real_mean_mpce","nss_2009_10_type2","nss_2004_05","ancova","log","C",-0.00900294284075208,0.0411852478164404,0.827058619462796,0.0477843429415554,0.827058619462796,0.0524216420455895,23.1085112116065,0.99867110095301,1,"estimated",,521,"estimated",,"ling_distance_dyen_noncognate_pct",0.000493486590638932,0.000900409529309168,0.548069044779608,0.583902502029608,521,"estimated",,-0.0548139202224551,0.307675964647183,-0.178154703391638,0.858677595121711,521,"estimated",,0.300379677845625,0.583902502029613,,,FALSE,1,FALSE,TRUE,-0.107463513932162,0.107463513932162,TRUE,TRUE,"[grid<= -0.107464, 0.107464 <=grid]","zero_included",FALSE,521,"estimated",,1,1,1,1,"consumption_treatment_robustness"
"consumption_treatment__early_2009__change__region_main__nonzero_mean","consumption_iv__consumption_treatment__early_2009__change__region_main__nonzero_mean","early_2009__change","real_mean_mpce","nss_2009_10_type2","nss_2004_05","change","log","C",6.4614366076907,3.12702529466873,0.0393085325917985,4.26968059017194,0.0393085325917985,4.40522600573275,23.1085112116065,0.856203091796419,1,"estimated",,521,"estimated",,"ling_distance_nonzero_mean",-0.0555930725096402,0.0459698544806735,-1.2093375786737,0.227100153938928,521,"estimated",,-0.00860382541608027,0.00792811840745139,-1.08522917720222,0.278338974636771,521,"estimated",,1.46249737919233,0.227100153938936,,,FALSE,1,FALSE,TRUE,-0.1253220638822,0.007519323832932,TRUE,FALSE,"[grid<= -0.125322, 0.00751932]","zero_included",FALSE,521,"estimated",,1,1,1,1,"consumption_treatment_robustness"
"consumption_treatment__early_2009__change__region_main__glottolog_mean","consumption_iv__consumption_treatment__early_2009__change__region_main__glottolog_mean","early_2009__change","real_mean_mpce","nss_2009_10_type2","nss_2004_05","change","log","C",-0.34302978232599,0.565737057394367,0.544561090588445,0.367649856728514,0.544561090588445,0.379321280751663,23.1085112116065,0.994636771114361,1,"estimated",,521,"estimated",,"ling_distance_glottolog_nonhindi_mean",0.00228282300559324,0.0114829829282397,0.198800522465219,0.842498956470145,521,"estimated",,-0.00665488282129484,0.0363654737026091,-0.183000031175652,0.854871585025087,521,"estimated",,0.0395216477324451,0.842498956470143,,,FALSE,1,FALSE,TRUE,-0.1253220638822,0.1253220638822,TRUE,TRUE,"[grid<= -0.125322, 0.125322 <=grid]","zero_included",FALSE,521,"estimated",,1,1,1,1,"consumption_treatment_robustness"
"consumption_treatment__early_2009__change__region_main__dyen_noncognate","consumption_iv__consumption_treatment__early_2009__change__region_main__dyen_noncognate","early_2009__change","real_mean_mpce","nss_2009_10_type2","nss_2004_05","change","log","C",-0.0339937292827327,0.135161108676606,0.801526013292798,0.0632548939585524,0.801526013292798,0.06526298583025,23.1085112116065,0.998490046411499,1,"estimated",,521,"estimated",,"ling_distance_dyen_noncognate_pct",0.00117454924451762,0.00218508459315448,0.537530330952539,0.591138588508906,521,"estimated",,-0.0345519385280973,0.151782016791542,-0.227641846237629,0.82001700165019,521,"estimated",,0.288938856693933,0.591138588508914,,,FALSE,1,FALSE,TRUE,-0.1253220638822,0.1253220638822,TRUE,TRUE,"[grid<= -0.125322, 0.125322 <=grid]","zero_included",FALSE,521,"estimated",,1,1,1,1,"consumption_treatment_robustness"
"consumption_treatment__early_2009__change__state_main__nonzero_mean","consumption_iv__consumption_treatment__early_2009__change__state_main__nonzero_mean","early_2009__change","real_mean_mpce","nss_2009_10_type2","nss_2004_05","change","log","C",0.0543631013902164,0.690874201703153,0.937314396971151,0.00619170845204736,0.937314396971151,0.0067782913580384,23.1085112116065,0.999552875765681,1,"estimated",,521,"estimated",,"ling_distance_nonzero_mean",0.00716609554775643,0.0365303223192571,0.196168418256162,0.844562242204761,521,"estimated",,0.131819108263957,1.85057632997776,0.0712313813424495,0.943243586655507,521,"estimated",,0.0384820483211238,0.844562242204762,,,FALSE,1,FALSE,TRUE,-0.1253220638822,0.1253220638822,TRUE,TRUE,"[grid<= -0.125322, 0.125322 <=grid]","zero_included",FALSE,521,"estimated",,1,1,1,1,"consumption_treatment_robustness"
