"comparison_id","comparison_family","left_round","right_round","district_2001","outcome_id","transform","estimate_left","estimate_right","absolute_change","proportional_change","finite_common","preferred_common","preferred_eligible_left","preferred_eligible_right","n_households_left","n_households_right","n_fsu_left","n_fsu_right","kish_effective_n_left","kish_effective_n_right"
"hces_2022_vs_2023","modern_replication","hces_2022_23","hces_2023_24","pc2001__01__01","bottom40_mean_real_mpce","identity",959.430860647162,1190.21360863104,230.782747983878,0.240541301567274,TRUE,TRUE,TRUE,TRUE,112,144,7,8,77.5305379453003,84.621511270434
"hces_2022_vs_2023","modern_replication","hces_2022_23","hces_2023_24","pc2001__01__02","bottom40_mean_real_mpce","identity",1119.55046495308,1182.55801116823,63.0075462151499,0.056279326557906,TRUE,TRUE,TRUE,TRUE,126,108,7,6,107.813685173979,72.0539923848144
"hces_2022_vs_2023","modern_replication","hces_2022_23","hces_2023_24","pc2001__01__03","bottom40_mean_real_mpce","identity",1393.66044943184,1520.70908611777,127.04863668593,0.0911618297970101,TRUE,TRUE,TRUE,TRUE,730,792,41,44,543.617804493435,349.440451584154
"hces_2022_vs_2023","modern_replication","hces_2022_23","hces_2023_24","pc2001__01__04","bottom40_mean_real_mpce","identity",1318.44276190127,1482.04186616024,163.59910425897,0.124085101747649,TRUE,FALSE,FALSE,TRUE,57,144,4,8,37.9951193302031,84.7972864091779
"hces_2022_vs_2023","modern_replication","hces_2022_23","hces_2023_24","pc2001__01__05","bottom40_mean_real_mpce","identity",2104.57216184379,1805.32142587903,-299.25073596476,-0.142190769881984,TRUE,FALSE,FALSE,TRUE,198,180,11,10,111.065007650966,89.4671860832285
"hces_2022_vs_2023","modern_replication","hces_2022_23","hces_2023_24","pc2001__01__06","bottom40_mean_real_mpce","identity",1522.77859085862,1824.88264779114,302.10405693252,0.198390008072138,TRUE,TRUE,TRUE,TRUE,288,324,16,18,190.249988261245,217.795486981735
"hces_2022_vs_2023","modern_replication","hces_2022_23","hces_2023_24","pc2001__01__09","bottom40_mean_real_mpce","identity",1695.00962203925,1880.21777935445,185.2081573152,0.109266729171943,TRUE,TRUE,TRUE,TRUE,90,144,5,8,62.1545059908925,96.0033295734956
"hces_2022_vs_2023","modern_replication","hces_2022_23","hces_2023_24","pc2001__01__10","bottom40_mean_real_mpce","identity",1298.11797664361,1349.80150577125,51.68352912764,0.0398142002942383,TRUE,TRUE,TRUE,TRUE,144,162,8,9,102.217095686407,104.236684260363
"hces_2022_vs_2023","modern_replication","hces_2022_23","hces_2023_24","pc2001__01__11","bottom40_mean_real_mpce","identity",1284.1598440751,1284.7096901555,0.54984608040013,0.000428175731344527,TRUE,TRUE,TRUE,TRUE,159,288,9,16,107.003969797655,185.848627902441
"hces_2022_vs_2023","modern_replication","hces_2022_23","hces_2023_24","pc2001__01__13","bottom40_mean_real_mpce","identity",1611.63761500943,1660.69278017732,49.05516516789,0.0304380865220765,TRUE,TRUE,TRUE,TRUE,516,540,29,30,254.462968277232,258.074558979452
