"comparison_id","comparison_family","left_round","right_round","outcome_id","common_districts","common_preferred_districts","comparison_districts","comparison_basis","pearson_correlation","spearman_correlation","median_absolute_difference","median_proportional_change","median_households_left","median_households_right","median_kish_effective_n_left","median_kish_effective_n_right","status"
"hces_2022_vs_2023","modern_replication","hces_2022_23","hces_2023_24","mean_log_real_mpce",547,540,540,"preferred_common_support",0.853511438992097,0.841733491693883,0.09868193415064,NA,338.5,324,230.899229820657,232.806476367307,"estimated_preferred_common_support"
"nss_2009_type1_vs_type2","within_survey_design","nss_2009_10_type1","nss_2009_10_type2","mean_log_real_mpce",584,526,526,"preferred_common_support",0.946644859865576,0.936751806573236,0.09416798746265,NA,128,128,44.1925992028336,45.8738646882943,"estimated_preferred_common_support"
"nss_2009_type2_vs_2011_type2","nearby_historical_rounds","nss_2009_10_type2","nss_2011_12_type2","mean_log_real_mpce",582,511,511,"preferred_common_support",0.767923402592611,0.756245773138022,0.1518313344685,NA,144,128,46.0677233096422,50.8863358719966,"estimated_preferred_common_support"
"nss_2011_type2_vs_hces_2022","methodology_break","nss_2011_12_type2","hces_2022_23","mean_log_real_mpce",548,502,502,"preferred_common_support",0.618823073200607,0.600753282627872,0.35895039528716,NA,128,342,50.1651396307134,235.731394137317,"estimated_preferred_common_support"
"nss_2011_type2_vs_hces_2023","methodology_break","nss_2011_12_type2","hces_2023_24","mean_log_real_mpce",547,502,502,"preferred_common_support",0.655524911027908,0.633523049976971,0.41610788355565,NA,128,342,50.0928185739228,237.282605003193,"estimated_preferred_common_support"
"hces_2022_vs_2023","modern_replication","hces_2022_23","hces_2023_24","real_mean_mpce",547,534,534,"preferred_common_support",0.858727829986853,0.84653416365907,190.05731603898,0.0457926149198274,340,324,231.543948936492,234.373946814942,"estimated_preferred_common_support"
"nss_2009_type1_vs_type2","within_survey_design","nss_2009_10_type1","nss_2009_10_type2","real_mean_mpce",584,510,510,"preferred_common_support",0.944584759394404,0.933635948122016,118.1939006084,0.101584442701173,128,128,44.5631046511715,46.0983796697464,"estimated_preferred_common_support"
"nss_2009_type2_vs_2011_type2","nearby_historical_rounds","nss_2009_10_type2","nss_2011_12_type2","real_mean_mpce",582,492,492,"preferred_common_support",0.803930756466335,0.760999731676384,199.013805328319,0.14122417985973,152,128,46.0983796697464,51.0033528432849,"estimated_preferred_common_support"
"nss_2011_type2_vs_hces_2022","methodology_break","nss_2011_12_type2","hces_2022_23","real_mean_mpce",548,490,490,"preferred_common_support",0.641572781937225,0.616159252675618,586.134725572255,0.416339335900209,128,349.5,50.7341330458444,239.675277204388,"estimated_preferred_common_support"
"nss_2011_type2_vs_hces_2023","methodology_break","nss_2011_12_type2","hces_2023_24","real_mean_mpce",547,491,491,"preferred_common_support",0.682163087711477,0.648772985921804,659.69037162381,0.473526471966884,128,342,50.3688094896891,238.058957751686,"estimated_preferred_common_support"
"hces_2022_vs_2023","modern_replication","hces_2022_23","hces_2023_24","weighted_median_real_mpce",547,489,489,"preferred_common_support",0.85960666579918,0.829080862959687,181.73479767113,0.0679056032113955,363,360,245.900532816257,247.374349456989,"estimated_preferred_common_support"
"nss_2009_type1_vs_type2","within_survey_design","nss_2009_10_type1","nss_2009_10_type2","weighted_median_real_mpce",584,512,512,"preferred_common_support",0.904881976419954,0.898247062433481,110.368645327566,0.106147247416232,128,128,44.4516171265833,45.9265037125965,"estimated_preferred_common_support"
"nss_2009_type2_vs_2011_type2","nearby_historical_rounds","nss_2009_10_type2","nss_2011_12_type2","weighted_median_real_mpce",582,496,496,"preferred_common_support",0.752017412786785,0.702411438326931,179.300864688015,0.14766639839905,155.5,152,46.2690811726867,51.1500614588212,"estimated_preferred_common_support"
"nss_2011_type2_vs_hces_2022","methodology_break","nss_2011_12_type2","hces_2022_23","weighted_median_real_mpce",548,471,471,"preferred_common_support",0.598870969572113,0.589103066191046,547.05404802529,0.436025771770166,128,360,51.2532577146428,246.909714836977,"estimated_preferred_common_support"
"nss_2011_type2_vs_hces_2023","methodology_break","nss_2011_12_type2","hces_2023_24","weighted_median_real_mpce",547,469,469,"preferred_common_support",0.626740857992429,0.602950410444853,681.668946629467,0.544747575777147,151,360,51.2909289349706,245.643972980063,"estimated_preferred_common_support"
