"variable","n","mean","sd","min","median","max"
"consumption_0708",573,776.920567678875,279.339250712187,286.106824924683,706.818079134459,2237.62405162436
"consumption_0708_household_weighted",573,854.969678753283,327.665935603671,330.093800806578,771.505001120874,2923.13632837881
"real_consumption_0708",573,1035.33526605696,294.388450965132,439.462785101824,985.999387278059,2945.05674713127
"real_consumption_0708_household_weighted",573,1134.96436124525,350.660745343925,506.44261767019,1067.52557809306,3119.30373105529
"consumption_1718",573,2060.3278963825,805.008845957283,832.126069991673,1911.34622664128,6670.82345379523
"consumption_1718_household_weighted",573,2239.13088953112,975.11984432382,850.527883677194,2045.34762600819,11031.4555049051
"real_consumption_1718",573,1261.97950135393,398.554500210374,561.614320131851,1174.29390025201,4170.06619435746
"real_consumption_1718_household_weighted",573,1365.62881437434,498.697237705946,585.497851834908,1260.13922549633,6753.4119479118
"log_consumption_difference",573,0.965798809818873,0.214983997817509,0.201907405949762,0.965656152440338,1.73995944531268
"real_log_consumption_change",573,0.190575556210197,0.224546839127267,-0.857587842752536,0.199220886718565,0.980546213643053
