"target_unit_2001","academic_year","dise_source_district_count","dise_source_districts","dise_english_enrollment","dise_hindi_enrollment","dise_grade_enrollment","dise_direct_enrollment","dise_management_enrollment","dise_government_enrollment","dise_private_enrollment","dise_government_schools","dise_private_schools","dise_total_schools","dise_total_teachers","dise_single_teacher_schools","dise_girls_toilet_schools","dise_total_enrollment","dise_total_enrollment_source","dise_direct_to_grade_enrollment_ratio","dise_management_to_grade_enrollment_ratio","dise_english_identity_resolved","dise_hindi_identity_resolved","dise_english_count_valid","dise_hindi_count_valid","dise_emi_enrollment_share_total","dise_hindi_enrollment_share_total","dise_english_share_english_hindi","dise_private_enrollment_share","dise_private_school_share","dise_single_teacher_school_share","dise_girls_toilet_school_share","dise_pupils_per_teacher","census_age_6_13_population","census_age_6_13_population_2001","census_age_6_13_population_2011","census_age_6_13_annual_log_growth_2001_2011","census_age_6_13_population_method","dise_emi_gross_enrollment_ratio_age_6_13","dise_elementary_gross_enrollment_ratio_age_6_13"
"pc2001__01__01","2005-06",1,"KUPWARA",92642,0,93542,NA,93542,73853,19689,1275,147,1422,5264,68,83,93542,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,99.0378653439097,0,100,21.0482991597357,10.337552742616,4.78199718706048,5.83684950773558,17.7701367781155,173740.53652967,155237,199377,0.025024452343904,"log_linear_interpolation_2001_2011",53.3220409297973,53.8400547554575
"pc2001__01__02","2005-06",1,"BARAMULA",160824,0,163921,NA,163921,122758,41163,1743,244,1987,8143,107,206,163921,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,98.1106752643041,0,100,25.1114866307551,12.2798188223452,5.38500251635632,10.3673880221439,20.13029595972,NA,265916,NA,NA,"unavailable_without_two_district_anchors",NA,NA
"pc2001__01__03","2005-06",1,"SRINAGAR",134605,NA,134865,NA,134865,49247,85618,694,387,1081,8540,28,381,134865,"grade_i_viii_sum",NA,1,TRUE,FALSE,TRUE,FALSE,99.8072146220294,NA,NA,63.4842249657064,35.800185013876,2.59019426456984,35.2451433857539,15.7921545667447,NA,236368,NA,NA,"unavailable_without_two_district_anchors",NA,NA
"pc2001__01__04","2005-06",1,"BADGAM",87668,77,90368,NA,90368,66284,24084,935,154,1089,5284,42,123,90368,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,97.012216713881,0.0852071529745042,99.9122457120064,26.6510269121813,14.1414141414141,3.85674931129477,11.2947658402204,17.1021953065859,NA,150054,NA,NA,"unavailable_without_two_district_anchors",NA,NA
"pc2001__01__05","2005-06",1,"PULWAMA",90694,0,108081,NA,108081,68517,39564,985,226,1211,5976,48,176,108081,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,83.912991182539,0,100,36.6058789241402,18.6622625928984,3.96366639141206,14.5334434351775,18.085843373494,NA,147850,NA,NA,"unavailable_without_two_district_anchors",NA,NA
"pc2001__01__06","2005-06",1,"ANANTNAG",149519,0,170618,NA,170618,123865,46753,1506,290,1796,8350,32,189,170618,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,87.6337783821168,0,100,27.402149831788,16.1469933184855,1.78173719376392,10.5233853006682,20.4332934131737,282551.137725657,270909,297462,0.00935035146043832,"log_linear_interpolation_2001_2011",52.9175005995465,60.3848214427158
"pc2001__01__07","2005-06",1,"LEH (LADAKH)",13773,NA,13781,NA,13781,9272,4509,302,28,330,1572,16,130,13781,"grade_i_viii_sum",NA,1,TRUE,FALSE,TRUE,FALSE,99.9419490603004,NA,NA,32.7189608881794,8.48484848484848,4.84848484848485,39.3939393939394,8.76653944020356,17223.1090072987,19220,15062,-0.0243776387862986,"log_linear_interpolation_2001_2011",79.9681404452783,80.0145896664765
"pc2001__01__08","2005-06",1,"KARGIL",6018,0,19348,NA,19348,14564,4784,446,57,503,1701,81,70,19348,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,31.1039900764937,0,100,24.7260698780236,11.3320079522863,16.10337972167,13.9165009940358,11.3744855967078,24475.4701596041,25441,23345,-0.00859792174525755,"log_linear_interpolation_2001_2011",24.5878831366945,79.0505754285088
"pc2001__01__09","2005-06",1,"DODA",14249,24984,113001,NA,113001,100355,12646,1768,102,1870,6807,190,26,113001,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,12.6096229236909,22.1095388536385,36.3189151989397,11.1910514066247,5.45454545454545,10.1604278074866,1.3903743315508,16.6007051564566,NA,155669,NA,NA,"unavailable_without_two_district_anchors",NA,NA
"pc2001__01__10","2005-06",1,"UDHAMPUR",25648,69636,135220,NA,135220,104950,30270,1607,207,1814,7553,143,300,135220,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,18.9676083419612,51.4982990681852,26.917425800764,22.3857417541784,11.4112458654906,7.88313120176406,16.5380374862183,17.9028200714948,NA,152890,NA,NA,"unavailable_without_two_district_anchors",NA,NA
"pc2001__01__11","2005-06",1,"PUNCH",19858,764,70527,NA,70527,57185,13342,965,105,1070,3984,45,55,70527,"grade_i_viii_sum",NA,1,TRUE,TRUE,TRUE,TRUE,28.1565925106697,1.08327307272392,96.2952186984774,18.9175776652913,9.81308411214953,4.20560747663551,5.14018691588785,17.7025602409639,88084.7876237717,82793,95014,0.0137680732409319,"log_linear_interpolation_2001_2011",22.5441878622874,80.0671738021727
