"academic_year","district_code_dise","state_code_dise","state_name_dise","district_name_dise","dise_government_enrollment","dise_private_enrollment","dise_management_enrollment","dise_grade_enrollment","dise_direct_enrollment","dise_total_enrollment","dise_total_enrollment_source","dise_direct_to_grade_enrollment_ratio","dise_management_to_grade_enrollment_ratio","dise_management_enrollment_difference","dise_private_enrollment_share","dise_medium_slot_1_enrollment","dise_medium_slot_2_enrollment","dise_medium_slot_3_enrollment","dise_medium_slot_4_enrollment","dise_medium_slot_5_enrollment","dise_medium_classified_enrollment","dise_medium_classification_ratio","dise_medium_classification_difference","dise_government_schools","dise_private_schools","dise_total_schools","dise_single_teacher_schools","dise_girls_toilet_schools","dise_private_school_share","dise_single_teacher_school_share","dise_girls_toilet_school_share","state_key","district_key","dise_medium_identity_complete","dise_english_enrollment","dise_hindi_enrollment","dise_english_identity_resolved","dise_hindi_identity_resolved","dise_emi_enrollment_share_total","dise_hindi_enrollment_share_total","dise_english_share_english_hindi","dise_total_teachers","dise_pupils_per_teacher"
"2005-06","0101","01","JAMMU & KASHMIR","KUPWARA",73853,19689,93542,93542,NA,93542,"grade_i_viii_sum",NA,1,0,21.0482991597357,92642,711,65,0,0,93418,99.8674392251609,-124,1275,147,1422,68,83,10.337552742616,4.78199718706048,5.83684950773558,"jammu and kashmir","kupwara",TRUE,92642,0,TRUE,TRUE,99.0378653439097,0,100,5264,17.7701367781155
"2005-06","0102","01","JAMMU & KASHMIR","BARAMULA",122758,41163,163921,163921,NA,163921,"grade_i_viii_sum",NA,1,0,25.1114866307551,160824,2002,1010,50,0,163886,99.9786482512918,-35,1743,244,1987,107,206,12.2798188223452,5.38500251635632,10.3673880221439,"jammu and kashmir","baramula",TRUE,160824,0,TRUE,TRUE,98.1106752643041,0,100,8143,20.13029595972
"2005-06","0103","01","JAMMU & KASHMIR","SRINAGAR",49247,85618,134865,134865,NA,134865,"grade_i_viii_sum",NA,1,0,63.4842249657064,134605,260,1010,50,0,135925,100.785971156342,1060,694,387,1081,28,381,35.800185013876,2.59019426456984,35.2451433857539,"jammu and kashmir","srinagar",FALSE,134605,NA,TRUE,FALSE,99.8072146220294,NA,NA,8540,15.7921545667447
"2005-06","0104","01","JAMMU & KASHMIR","BADGAM",66284,24084,90368,90368,NA,90368,"grade_i_viii_sum",NA,1,0,26.6510269121813,87668,1327,886,165,77,90123,99.7288863314448,-245,935,154,1089,42,123,14.1414141414141,3.85674931129477,11.2947658402204,"jammu and kashmir","badgam",TRUE,87668,77,TRUE,TRUE,97.012216713881,0.0852071529745042,99.9122457120064,5284,17.1021953065859
"2005-06","0105","01","JAMMU & KASHMIR","PULWAMA",68517,39564,108081,108081,NA,108081,"grade_i_viii_sum",NA,1,0,36.6058789241402,90694,16395,612,165,31,107897,99.8297573116459,-184,985,226,1211,48,176,18.6622625928984,3.96366639141206,14.5334434351775,"jammu and kashmir","pulwama",TRUE,90694,0,TRUE,TRUE,83.912991182539,0,100,5976,18.085843373494
"2005-06","0106","01","JAMMU & KASHMIR","ANANTNAG",123865,46753,170618,170618,NA,170618,"grade_i_viii_sum",NA,1,0,27.402149831788,149519,18380,1942,28,25,169894,99.5756602468673,-724,1506,290,1796,32,189,16.1469933184855,1.78173719376392,10.5233853006682,"jammu and kashmir","anantnag",TRUE,149519,0,TRUE,TRUE,87.6337783821168,0,100,8350,20.4332934131737
"2005-06","0108","01","JAMMU & KASHMIR","KARGIL",14564,4784,19348,19348,NA,19348,"grade_i_viii_sum",NA,1,0,24.7260698780236,13012,6018,280,20,0,19330,99.9069671283854,-18,446,57,503,81,70,11.3320079522863,16.10337972167,13.9165009940358,"jammu and kashmir","kargil",TRUE,6018,0,TRUE,TRUE,31.1039900764937,0,100,1701,11.3744855967078
"2005-06","0109","01","JAMMU & KASHMIR","DODA",100355,12646,113001,113001,NA,113001,"grade_i_viii_sum",NA,1,0,11.1910514066247,73657,24984,14249,40,0,112930,99.9371686976221,-71,1768,102,1870,190,26,5.45454545454545,10.1604278074866,1.3903743315508,"jammu and kashmir","doda",TRUE,14249,24984,TRUE,TRUE,12.6096229236909,22.1095388536385,36.3189151989397,6807,16.6007051564566
"2005-06","0110","01","JAMMU & KASHMIR","UDHAMPUR",104950,30270,135220,135220,NA,135220,"grade_i_viii_sum",NA,1,0,22.3857417541784,69636,39675,25648,235,0,135194,99.9807720751368,-26,1607,207,1814,143,300,11.4112458654906,7.88313120176406,16.5380374862183,"jammu and kashmir","udhampur",TRUE,25648,69636,TRUE,TRUE,18.9676083419612,51.4982990681852,26.917425800764,7553,17.9028200714948
"2005-06","0111","01","JAMMU & KASHMIR","PUNCH",57185,13342,70527,70527,NA,70527,"grade_i_viii_sum",NA,1,0,18.9175776652913,49529,19858,764,319,57,70527,100,0,965,105,1070,45,55,9.81308411214953,4.20560747663551,5.14018691588785,"jammu and kashmir","punch",TRUE,19858,764,TRUE,TRUE,28.1565925106697,1.08327307272392,96.2952186984774,3984,17.7025602409639
