"academic_year","reference_year","estimate","std.error","statistic","p.value","outcome","construction_id","instrument","dynamic_fe"
"2005-06","2007-08",-0.0577481913990016,0.0130921344889788,-4.41090728540982,1.02938389919823e-05,"dise_emi_enrollment_share_total","dyen_noncognate","ling_distance_dyen_noncognate_pct","district_year"
"2006-07","2007-08",-0.0405356443828896,0.00959079316012792,-4.22651637941788,2.3733700333966e-05,"dise_emi_enrollment_share_total","dyen_noncognate","ling_distance_dyen_noncognate_pct","district_year"
"2008-09","2007-08",0.0362357285026271,0.00898638546311555,4.03229180980005,5.52355409470394e-05,"dise_emi_enrollment_share_total","dyen_noncognate","ling_distance_dyen_noncognate_pct","district_year"
"2009-10","2007-08",0.0350001678324058,0.0164161334197435,2.13205917236951,0.0330019824260003,"dise_emi_enrollment_share_total","dyen_noncognate","ling_distance_dyen_noncognate_pct","district_year"
"2010-11","2007-08",0.0479673386596103,0.0179048888610614,2.67900789733061,0.00738406522899138,"dise_emi_enrollment_share_total","dyen_noncognate","ling_distance_dyen_noncognate_pct","district_year"
"2011-12","2007-08",0.0552411656007377,0.018108818752982,3.05051181715765,0.00228451690129427,"dise_emi_enrollment_share_total","dyen_noncognate","ling_distance_dyen_noncognate_pct","district_year"
"2012-13","2007-08",0.0739980487152473,0.0206204128375682,3.58858230910056,0.000332481027975849,"dise_emi_enrollment_share_total","dyen_noncognate","ling_distance_dyen_noncognate_pct","district_year"
"2013-14","2007-08",0.0644231353419572,0.0249677437459148,2.58025458758155,0.00987275010102407,"dise_emi_enrollment_share_total","dyen_noncognate","ling_distance_dyen_noncognate_pct","district_year"
"2014-15","2007-08",0.101483121015625,0.0253684494009868,4.00036751996666,6.32441853791015e-05,"dise_emi_enrollment_share_total","dyen_noncognate","ling_distance_dyen_noncognate_pct","district_year"
"2015-16","2007-08",0.119548214555106,0.0269293439261872,4.439328892779,9.02398253472412e-06,"dise_emi_enrollment_share_total","dyen_noncognate","ling_distance_dyen_noncognate_pct","district_year"
"2005-06","2007-08",-0.0020616914909701,0.0285338439243251,-0.072254249950968,0.942399572734151,"dise_emi_enrollment_share_total","dyen_noncognate","ling_distance_dyen_noncognate_pct","district_state_year"
"2006-07","2007-08",0.0202673724645949,0.0227137090946558,0.892296911091616,0.372233809480085,"dise_emi_enrollment_share_total","dyen_noncognate","ling_distance_dyen_noncognate_pct","district_state_year"
"2008-09","2007-08",0.032147187360491,0.0259480048496337,1.23890786774478,0.215379619656513,"dise_emi_enrollment_share_total","dyen_noncognate","ling_distance_dyen_noncognate_pct","district_state_year"
"2009-10","2007-08",0.0300164648423135,0.033986611526539,0.883184980617283,0.377136335157813,"dise_emi_enrollment_share_total","dyen_noncognate","ling_distance_dyen_noncognate_pct","district_state_year"
"2010-11","2007-08",0.027534440889645,0.0314383662671169,0.875822892821398,0.381126322701367,"dise_emi_enrollment_share_total","dyen_noncognate","ling_distance_dyen_noncognate_pct","district_state_year"
"2011-12","2007-08",0.00539213814469232,0.0363576480436208,0.148308222199164,0.882099526743472,"dise_emi_enrollment_share_total","dyen_noncognate","ling_distance_dyen_noncognate_pct","district_state_year"
"2012-13","2007-08",0.031153335647307,0.0362917711995344,0.858413205462583,0.390664338291845,"dise_emi_enrollment_share_total","dyen_noncognate","ling_distance_dyen_noncognate_pct","district_state_year"
"2013-14","2007-08",0.0191477591083828,0.0297385443744633,0.643870085478194,0.519659681517936,"dise_emi_enrollment_share_total","dyen_noncognate","ling_distance_dyen_noncognate_pct","district_state_year"
"2014-15","2007-08",0.0419534721521067,0.0432662093454565,0.969659066204105,0.332216460486183,"dise_emi_enrollment_share_total","dyen_noncognate","ling_distance_dyen_noncognate_pct","district_state_year"
"2015-16","2007-08",0.0440471483637865,0.0424168826229088,1.03843436009598,0.299067879795916,"dise_emi_enrollment_share_total","dyen_noncognate","ling_distance_dyen_noncognate_pct","district_state_year"
"2005-06","2007-08",-0.385541522830271,0.0675856229219645,-5.70449018832634,1.16691815213121e-08,"dise_emi_enrollment_share_total","glottolog_mean","ling_distance_glottolog_nonhindi_mean","district_year"
"2006-07","2007-08",-0.279280518125666,0.0500402944462589,-5.58111260567424,2.38984849127559e-08,"dise_emi_enrollment_share_total","glottolog_mean","ling_distance_glottolog_nonhindi_mean","district_year"
"2008-09","2007-08",0.209469111408259,0.0424866564280554,4.93023290178088,8.2131640344744e-07,"dise_emi_enrollment_share_total","glottolog_mean","ling_distance_glottolog_nonhindi_mean","district_year"
"2009-10","2007-08",0.234832296961013,0.0814328235851474,2.8837548131371,0.003929645819863,"dise_emi_enrollment_share_total","glottolog_mean","ling_distance_glottolog_nonhindi_mean","district_year"
"2010-11","2007-08",0.390878677241054,0.0809573317437718,4.82820602929672,1.37768519413983e-06,"dise_emi_enrollment_share_total","glottolog_mean","ling_distance_glottolog_nonhindi_mean","district_year"
"2011-12","2007-08",0.419832360068027,0.0799431235839819,5.25163818032434,1.50752374939674e-07,"dise_emi_enrollment_share_total","glottolog_mean","ling_distance_glottolog_nonhindi_mean","district_year"
"2012-13","2007-08",0.619267524040228,0.0898690064955236,6.89077968243784,5.54874185768817e-12,"dise_emi_enrollment_share_total","glottolog_mean","ling_distance_glottolog_nonhindi_mean","district_year"
"2013-14","2007-08",0.723925374586496,0.112170108859478,6.45381717061005,1.09067382663491e-10,"dise_emi_enrollment_share_total","glottolog_mean","ling_distance_glottolog_nonhindi_mean","district_year"
"2014-15","2007-08",0.87730547267963,0.11179262388913,7.84761500499078,4.24023523830434e-15,"dise_emi_enrollment_share_total","glottolog_mean","ling_distance_glottolog_nonhindi_mean","district_year"
"2015-16","2007-08",1.02222290885001,0.116360229445377,8.78498533152065,1.56384942486937e-18,"dise_emi_enrollment_share_total","glottolog_mean","ling_distance_glottolog_nonhindi_mean","district_year"
"2005-06","2007-08",-0.372584163718632,0.210147563111223,-1.77296447411782,0.0762345938158546,"dise_emi_enrollment_share_total","glottolog_mean","ling_distance_glottolog_nonhindi_mean","district_state_year"
"2006-07","2007-08",-0.0510375944121057,0.136451424161372,-0.374034897222817,0.708378353209323,"dise_emi_enrollment_share_total","glottolog_mean","ling_distance_glottolog_nonhindi_mean","district_state_year"
"2008-09","2007-08",0.0540955220037806,0.127011840151243,0.425909284830175,0.670173949038152,"dise_emi_enrollment_share_total","glottolog_mean","ling_distance_glottolog_nonhindi_mean","district_state_year"
"2009-10","2007-08",0.00605354147485956,0.220115057084973,0.0275017145806734,0.97805957232825,"dise_emi_enrollment_share_total","glottolog_mean","ling_distance_glottolog_nonhindi_mean","district_state_year"
"2010-11","2007-08",0.120001120261984,0.241512630591535,0.496873061951526,0.619278568890578,"dise_emi_enrollment_share_total","glottolog_mean","ling_distance_glottolog_nonhindi_mean","district_state_year"
"2011-12","2007-08",0.147656857241513,0.251715158841467,0.586602959953274,0.557470394280376,"dise_emi_enrollment_share_total","glottolog_mean","ling_distance_glottolog_nonhindi_mean","district_state_year"
"2012-13","2007-08",0.286013147426951,0.202552371969878,1.41204541149231,0.157936590428268,"dise_emi_enrollment_share_total","glottolog_mean","ling_distance_glottolog_nonhindi_mean","district_state_year"
"2013-14","2007-08",0.15431218634479,0.208554434161915,0.739913236392698,0.459352642316982,"dise_emi_enrollment_share_total","glottolog_mean","ling_distance_glottolog_nonhindi_mean","district_state_year"
"2014-15","2007-08",0.336263272874203,0.23805242783431,1.41255972868401,0.157785217038692,"dise_emi_enrollment_share_total","glottolog_mean","ling_distance_glottolog_nonhindi_mean","district_state_year"
"2015-16","2007-08",0.379598984146113,0.231394932623428,1.64048097269214,0.100905201487588,"dise_emi_enrollment_share_total","glottolog_mean","ling_distance_glottolog_nonhindi_mean","district_state_year"
"2005-06","2007-08",-0.60608081549964,0.305964889308368,-1.98088354800998,0.0476043344811918,"dise_emi_enrollment_share_total","nonzero_mean","ling_distance_nonzero_mean","district_year"
"2006-07","2007-08",-0.426309275670115,0.228165768666722,-1.86841908039596,0.0617036795648133,"dise_emi_enrollment_share_total","nonzero_mean","ling_distance_nonzero_mean","district_year"
"2008-09","2007-08",0.569109309659017,0.215211359405107,2.64442040249253,0.00818309505400402,"dise_emi_enrollment_share_total","nonzero_mean","ling_distance_nonzero_mean","district_year"
"2009-10","2007-08",0.205803706445267,0.373700090125257,0.550718910386898,0.581826379291739,"dise_emi_enrollment_share_total","nonzero_mean","ling_distance_nonzero_mean","district_year"
"2010-11","2007-08",0.52268105173844,0.40884978827577,1.27841830111427,0.201101974536401,"dise_emi_enrollment_share_total","nonzero_mean","ling_distance_nonzero_mean","district_year"
"2011-12","2007-08",0.637403750096243,0.409472610445107,1.55664563107986,0.119554643626658,"dise_emi_enrollment_share_total","nonzero_mean","ling_distance_nonzero_mean","district_year"
"2012-13","2007-08",0.812047810454503,0.421154971146319,1.92814490173115,0.0538371052654841,"dise_emi_enrollment_share_total","nonzero_mean","ling_distance_nonzero_mean","district_year"
"2013-14","2007-08",0.632183355805095,0.490834647572074,1.28797622362685,0.197754239882056,"dise_emi_enrollment_share_total","nonzero_mean","ling_distance_nonzero_mean","district_year"
"2014-15","2007-08",1.19072619162451,0.496457619319159,2.39844479224122,0.0164648582734709,"dise_emi_enrollment_share_total","nonzero_mean","ling_distance_nonzero_mean","district_year"
"2015-16","2007-08",1.33937186634312,0.525091816972554,2.55073841002768,0.0107494974715918,"dise_emi_enrollment_share_total","nonzero_mean","ling_distance_nonzero_mean","district_year"
