"instrument","dynamic_fe","reference_year","n","n_districts","n_years","joint_distance_year_f","joint_distance_year_p","pre_distance_year_f","pre_distance_year_p","post_distance_year_f","post_distance_year_p","cluster_status","outcome","construction_id","equivalent_construction_ids"
"ling_distance_dyen_noncognate_pct","district_year","2007-08",5341,554,11,6.73759545396576,1.70644076174239e-10,13.0746658492323,2.17401259023321e-06,4.16037459820501,5.69600159307175e-05,"estimated","dise_emi_enrollment_share_total","dyen_noncognate","dyen_noncognate;dyen_noncognate_shastry"
"ling_distance_dyen_noncognate_pct","district_state_year","2007-08",5341,554,11,0.399090220865886,0.947675989006906,0.717956796593259,0.487804143613178,0.436273699408894,0.89987383446621,"estimated","dise_emi_enrollment_share_total","dyen_noncognate","dyen_noncognate;dyen_noncognate_shastry"
"ling_distance_glottolog_nonhindi_mean","district_year","2007-08",5341,554,11,19.7587123631588,3.21802112262884e-36,20.2924842804612,1.67644717686984e-09,12.9131528194854,1.46858383286879e-18,"estimated","dise_emi_enrollment_share_total","glottolog_mean","glottolog_mean;glottolog_mean_shastry"
"ling_distance_glottolog_nonhindi_mean","district_state_year","2007-08",5341,554,11,1.37831088597835,0.183542628437647,1.79481125482321,0.166278748626862,0.961191224838025,0.46451748074232,"estimated","dise_emi_enrollment_share_total","glottolog_mean","glottolog_mean;glottolog_mean_shastry"
"ling_distance_nonzero_mean","district_year","2007-08",5341,554,11,2.43164149215854,0.00690310591220816,2.29615453847471,0.100756431565549,1.911432558532,0.053985264274305,"estimated","dise_emi_enrollment_share_total","nonzero_mean","nonzero_mean;nonzero_mean_hindi_urdu;nonzero_mean_hindi_urdu_separate;nonzero_mean_shastry"
"ling_distance_nonzero_mean","district_state_year","2007-08",5341,554,11,1.76779890223298,0.0609979908311048,1.4942385041873,0.224531709767681,1.51388239631006,0.146676629926185,"estimated","dise_emi_enrollment_share_total","nonzero_mean","nonzero_mean;nonzero_mean_hindi_urdu;nonzero_mean_hindi_urdu_separate;nonzero_mean_shastry"
"ling_distance_nonzero_mean_sensitivity_high","district_year","2007-08",5341,554,11,4.15456131528182,9.58365645487803e-06,2.28294335083958,0.102095080927487,3.3976210887616,0.000673812003437503,"estimated","dise_emi_enrollment_share_total","nonzero_mean_sensitivity_high","nonzero_mean_sensitivity_high"
"ling_distance_nonzero_mean_sensitivity_high","district_state_year","2007-08",5341,554,11,0.553367200545244,0.852686707931405,0.964559525211715,0.381230509680714,0.572913609045846,0.800967911936352,"estimated","dise_emi_enrollment_share_total","nonzero_mean_sensitivity_high","nonzero_mean_sensitivity_high"
"ling_distance_nonzero_mean_sensitivity_low","district_year","2007-08",5341,554,11,2.45681299726376,0.00632108403425505,2.34763752230001,0.0957052499519523,1.93707071057782,0.0504376842143755,"estimated","dise_emi_enrollment_share_total","nonzero_mean_sensitivity_low","nonzero_mean_sensitivity_low"
"ling_distance_nonzero_mean_sensitivity_low","district_state_year","2007-08",5341,554,11,1.61956007092342,0.0945734263903839,1.50143140808958,0.222923545052023,1.37266718984998,0.203107341748577,"estimated","dise_emi_enrollment_share_total","nonzero_mean_sensitivity_low","nonzero_mean_sensitivity_low"
"ling_distance_top3_legacy","district_year","2007-08",5341,554,11,7.16482341045747,2.6286607920891e-11,2.27125549071319,0.103294202304858,6.02921978731338,9.78627914179062e-08,"estimated","dise_emi_enrollment_share_total","top3_legacy","top3_legacy"
"ling_distance_top3_legacy","district_state_year","2007-08",5341,554,11,1.03929620730821,0.406953718689885,2.03689044789645,0.13055493555319,1.11772822110811,0.34747804469366,"estimated","dise_emi_enrollment_share_total","top3_legacy","top3_legacy"
"ling_share_distance_ge3","district_year","2007-08",5341,554,11,3.67499211849273,6.53167345239069e-05,4.04189039291045,0.0176244667691944,2.38310620988501,0.0146535395132996,"estimated","dise_emi_enrollment_share_total","distant_share","distant_share"
"ling_share_distance_ge3","district_state_year","2007-08",5341,554,11,1.54549057397115,0.116758122966681,2.55708594004129,0.0776439502982401,1.74353154582891,0.0834527092372213,"estimated","dise_emi_enrollment_share_total","distant_share","distant_share"
