"instrument","dynamic_fe","reference_year","n","n_districts","n_years","joint_distance_year_f","joint_distance_year_p","pre_distance_year_f","pre_distance_year_p","post_distance_year_f","post_distance_year_p","cluster_status","outcome","construction_id","equivalent_construction_ids"
"ling_distance_dyen_noncognate_pct","district_year","2007-08",3172,328,11,3.5403747217861,0.000113913304234021,8.22852317657892,0.000273382187177717,3.08787558742651,0.00180130796331682,"estimated","dise_emi_gross_enrollment_ratio_age_6_13","dyen_noncognate","dyen_noncognate;dyen_noncognate_shastry"
"ling_distance_dyen_noncognate_pct","district_state_year","2007-08",3172,328,11,0.449297441773883,0.922205536165284,1.48937900634411,0.225711015558316,0.524662433202405,0.838756474089389,"estimated","dise_emi_gross_enrollment_ratio_age_6_13","dyen_noncognate","dyen_noncognate;dyen_noncognate_shastry"
"ling_distance_glottolog_nonhindi_mean","district_year","2007-08",3172,328,11,13.6247552762222,1.01349177944523e-23,19.4523756107402,4.07008835413506e-09,10.4673449068014,1.45713338914571e-14,"estimated","dise_emi_gross_enrollment_ratio_age_6_13","glottolog_mean","glottolog_mean;glottolog_mean_shastry"
"ling_distance_glottolog_nonhindi_mean","district_state_year","2007-08",3172,328,11,1.26801160747603,0.242808152596482,1.09300278135178,0.335367218233151,1.36285886190117,0.207876644578934,"estimated","dise_emi_gross_enrollment_ratio_age_6_13","glottolog_mean","glottolog_mean;glottolog_mean_shastry"
"ling_distance_nonzero_mean","district_year","2007-08",3172,328,11,3.23353028500588,0.000371251804088757,3.42853545609535,0.0325694776457687,2.66592330475197,0.00646421788432866,"estimated","dise_emi_gross_enrollment_ratio_age_6_13","nonzero_mean","nonzero_mean;nonzero_mean_hindi_urdu;nonzero_mean_hindi_urdu_separate;nonzero_mean_shastry"
"ling_distance_nonzero_mean","district_state_year","2007-08",3172,328,11,1.4855911778417,0.138164240203607,0.679673345933294,0.506875347430334,1.82178812213006,0.0685176171061269,"estimated","dise_emi_gross_enrollment_ratio_age_6_13","nonzero_mean","nonzero_mean;nonzero_mean_hindi_urdu;nonzero_mean_hindi_urdu_separate;nonzero_mean_shastry"
"ling_distance_nonzero_mean_sensitivity_high","district_year","2007-08",3172,328,11,4.19750010173728,8.39222126917396e-06,3.64774798549227,0.0261725453459155,3.66213200041758,0.000295190138995959,"estimated","dise_emi_gross_enrollment_ratio_age_6_13","nonzero_mean_sensitivity_high","nonzero_mean_sensitivity_high"
"ling_distance_nonzero_mean_sensitivity_high","district_state_year","2007-08",3172,328,11,1.23025960021669,0.265980885938764,0.407732886675526,0.665200382676025,1.53156835250947,0.140921726889464,"estimated","dise_emi_gross_enrollment_ratio_age_6_13","nonzero_mean_sensitivity_high","nonzero_mean_sensitivity_high"
"ling_distance_nonzero_mean_sensitivity_low","district_year","2007-08",3172,328,11,3.27432034007426,0.000317793515081696,3.46458526722258,0.0314190233959126,2.69895603862609,0.00585997586099733,"estimated","dise_emi_gross_enrollment_ratio_age_6_13","nonzero_mean_sensitivity_low","nonzero_mean_sensitivity_low"
"ling_distance_nonzero_mean_sensitivity_low","district_state_year","2007-08",3172,328,11,1.39352537287707,0.176722553572026,0.661789038658003,0.516017100858293,1.69598350519007,0.0943468163576509,"estimated","dise_emi_gross_enrollment_ratio_age_6_13","nonzero_mean_sensitivity_low","nonzero_mean_sensitivity_low"
"ling_distance_top3_legacy","district_year","2007-08",3172,328,11,8.80170347980006,2.30758880230065e-14,4.96341457433242,0.00705011499820192,5.70192266416516,3.22977183900734e-07,"estimated","dise_emi_gross_enrollment_ratio_age_6_13","top3_legacy","top3_legacy"
"ling_distance_top3_legacy","district_state_year","2007-08",3172,328,11,1.85006713120724,0.0476478137067251,1.43737092343614,0.237746091815059,2.30941057289765,0.0182252121304132,"estimated","dise_emi_gross_enrollment_ratio_age_6_13","top3_legacy","top3_legacy"
"ling_share_distance_ge3","district_year","2007-08",3172,328,11,4.11900447430115,1.15147413760399e-05,4.4051049476103,0.0122988715503303,2.95756702049301,0.00268698129497421,"estimated","dise_emi_gross_enrollment_ratio_age_6_13","distant_share","distant_share"
"ling_share_distance_ge3","district_state_year","2007-08",3172,328,11,1.55524388769643,0.113924834781166,2.31736977996706,0.0987422657584672,1.77144998489291,0.0779704995405748,"estimated","dise_emi_gross_enrollment_ratio_age_6_13","distant_share","distant_share"
