"specification_id","term","estimate","std.error","statistic","p.value","construct_id","treatment","analysis_scope","domain","margin","source_side","paper_role","label"
"unadjusted__nonzero_mean","ling_distance_nonzero_mean",6.93837442090873,1.90531118491108,3.64159643624437,0.000298192863946321,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"unadjusted__distant_share","ling_share_distance_ge3",0.147606295824639,0.0520204008382644,2.8374694051966,0.00472550122088473,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"unadjusted__top3_legacy","ling_distance_top3_legacy",5.81738577591286,1.34997567843516,4.30925228420127,1.96079172070372e-05,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"unadjusted__nonzero_mean_hindi_urdu","ling_distance_nonzero_mean",5.92999056994712,1.71599387981765,3.45571778529728,0.000593976435991193,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"unadjusted__nonzero_mean_shastry","ling_distance_nonzero_mean",6.08109149015004,1.73153925481735,3.51195704817647,0.000483833948557752,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"unadjusted__nonzero_mean_sensitivity_low","ling_distance_nonzero_mean_sensitivity_low",6.06167603261942,1.72500728433688,3.51400025243928,0.000480214553753087,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"unadjusted__nonzero_mean_sensitivity_high","ling_distance_nonzero_mean_sensitivity_high",5.19915621150894,1.37140550543125,3.79111516682588,0.000167694319320415,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"unadjusted__nonzero_mean_hindi_urdu_separate","ling_distance_nonzero_mean",6.20011082358338,1.77376072328975,3.49546065722112,0.000514004776935818,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"unadjusted__distance_shares_all","ling_share_distance_1",-0.0273729168456215,0.0613075271532625,-0.446485417315758,0.655434686858317,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"unadjusted__distance_shares_all","ling_share_distance_2",-0.0140042093860042,0.0706468217289424,-0.198228441751216,0.842944711130986,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"unadjusted__distance_shares_all","ling_share_distance_3",-0.0670880010650789,0.0497462867615353,-1.34860319096123,0.178058347084526,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"unadjusted__distance_shares_all","ling_share_distance_4",0.489626280945438,0.0551197317824647,8.88295833654989,1.09356234200213e-17,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"unadjusted__distance_shares_all","ling_share_distance_5",0.236653966374071,0.0693471603608589,3.41259779265085,0.000694213197371257,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"unadjusted__distance_shares_all_unmapped","ling_share_distance_1",0.0333628480450538,0.0302933692805899,1.10132510306242,0.271272659655284,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"unadjusted__distance_shares_all_unmapped","ling_share_distance_2",0.0297269514174327,0.0202186731875379,1.47027211636001,0.142102312128502,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
