"state_key","district_key","target_unit_2001","n_candidate_targets","bridge_status","bridge_sources"
"andaman and nicobar islands","andamans","pc2001__35__01",1,"deterministic_to_2001","exact_census_2001_identity"
"andaman and nicobar islands","middle and north andamans",NA,0,"unresolved_no_deterministic_lineage",NA
"andaman and nicobar islands","nicobar",NA,0,"unresolved_no_deterministic_lineage",NA
"andaman and nicobar islands","nicobars","pc2001__35__02",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"andaman and nicobar islands","south andamans",NA,0,"unresolved_no_deterministic_lineage",NA
"andhra pradesh","adilabad","pc2001__28__01",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"andhra pradesh","anantapur","pc2001__28__22",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"andhra pradesh","belgaum",NA,0,"unresolved_no_deterministic_lineage",NA
"andhra pradesh","chittoor","pc2001__28__23",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"andhra pradesh","cuddapah","pc2001__28__20",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"andhra pradesh","east godavari","pc2001__28__14",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"andhra pradesh","guntur","pc2001__28__17",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"andhra pradesh","hyderabad","pc2001__28__05",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"andhra pradesh","kadapa",NA,0,"unresolved_no_deterministic_lineage",NA
"andhra pradesh","karimnagar","pc2001__28__03",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"andhra pradesh","khammam","pc2001__28__10",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"andhra pradesh","krishna","pc2001__28__16",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"andhra pradesh","kurnool","pc2001__28__21",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"andhra pradesh","mahbubnagar","pc2001__28__07",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"andhra pradesh","medak","pc2001__28__04",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"andhra pradesh","nalgonda","pc2001__28__08",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"andhra pradesh","nellore","pc2001__28__19",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"andhra pradesh","nizamabad","pc2001__28__02",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"andhra pradesh","prakasam","pc2001__28__18",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"andhra pradesh","rangareddi","pc2001__28__06",1,"deterministic_to_2001","exact_census_2001_identity"
"andhra pradesh","srikakulam","pc2001__28__11",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"andhra pradesh","visakhapatnam","pc2001__28__13",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"andhra pradesh","vizianagaram","pc2001__28__12",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"andhra pradesh","warangal","pc2001__28__09",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"andhra pradesh","west godavari","pc2001__28__15",1,"deterministic_to_2001","exact_census_2001_identity"
"arunachal pradesh","anjaw",NA,0,"unresolved_no_deterministic_lineage",NA
"arunachal pradesh","changlang","pc2001__12__12",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"arunachal pradesh","dibang valley","pc2001__12__10",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"arunachal pradesh","east kameng","pc2001__12__03",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"arunachal pradesh","east siang","pc2001__12__08",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"arunachal pradesh","kra dadi",NA,0,"unresolved_no_deterministic_lineage",NA
"arunachal pradesh","kurung kumey","pc2001__12__05",1,"deterministic_to_2001","reviewed_deterministic_nss_lineage"
"arunachal pradesh","lohit","pc2001__12__11",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"arunachal pradesh","longding",NA,0,"unresolved_no_deterministic_lineage",NA
"arunachal pradesh","lower dibang valley","pc2001__12__10",1,"deterministic_to_2001","reviewed_deterministic_nss_lineage"
"arunachal pradesh","lower subansiri","pc2001__12__05",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"arunachal pradesh","mon",NA,0,"unresolved_no_deterministic_lineage",NA
"arunachal pradesh","namsai",NA,0,"unresolved_no_deterministic_lineage",NA
"arunachal pradesh","papum pare","pc2001__12__04",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"arunachal pradesh","siang",NA,0,"unresolved_no_deterministic_lineage",NA
"arunachal pradesh","tawang","pc2001__12__01",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"arunachal pradesh","tirap","pc2001__12__13",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"arunachal pradesh","upper siang","pc2001__12__09",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"arunachal pradesh","upper subansiri","pc2001__12__06",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"arunachal pradesh","west kameng","pc2001__12__02",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"arunachal pradesh","west siang","pc2001__12__07",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"assam","baksa",NA,0,"unresolved_no_deterministic_lineage",NA
"assam","barpeta","pc2001__18__05",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"assam","bongaigaon","pc2001__18__04",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"assam","cachar","pc2001__18__21",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"assam","chirang",NA,0,"unresolved_no_deterministic_lineage",NA
"assam","darjiling",NA,0,"unresolved_no_deterministic_lineage",NA
"assam","darrang","pc2001__18__08",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"assam","dhemaji","pc2001__18__13",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"assam","dhubri","pc2001__18__02",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"assam","dibrugarh","pc2001__18__15",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"assam","dima hasao","pc2001__18__20",1,"deterministic_to_2001","reviewed_deterministic_nss_lineage"
"assam","goalpara","pc2001__18__03",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"assam","golaghat","pc2001__18__18",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"assam","hailakandi","pc2001__18__23",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"assam","jorhat","pc2001__18__17",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"assam","kamrup","pc2001__18__06",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"assam","kamrup metro",NA,0,"unresolved_no_deterministic_lineage",NA
"assam","kamrup rural",NA,0,"unresolved_no_deterministic_lineage",NA
"assam","karbi anglong","pc2001__18__19",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"assam","karimganj","pc2001__18__22",1,"deterministic_to_2001","exact_census_2001_identity"
"assam","kokrajhar","pc2001__18__01",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"assam","lakhimpur","pc2001__18__12",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"assam","marigaon","pc2001__18__09",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"assam","morigaon",NA,0,"unresolved_no_deterministic_lineage",NA
"assam","nagaon","pc2001__18__10",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"assam","nalbari","pc2001__18__07",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"assam","nc hills",NA,0,"unresolved_no_deterministic_lineage",NA
"assam","north cachar hills","pc2001__18__20",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"assam","sibsagar","pc2001__18__16",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"assam","sonitpur","pc2001__18__11",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"assam","tinsukia","pc2001__18__14",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"assam","udalguri",NA,0,"unresolved_no_deterministic_lineage",NA
"bihar","araria","pc2001__10__07",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"bihar","arwal",NA,0,"unresolved_no_deterministic_lineage",NA
"bihar","aurangabad bihar",NA,0,"unresolved_no_deterministic_lineage",NA
"bihar","banka","pc2001__10__23",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"bihar","begusarai","pc2001__10__20",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"bihar","bhagalpur","pc2001__10__22",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"bihar","bhojpur","pc2001__10__29",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"bihar","buxar","pc2001__10__30",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"bihar","darbhanga","pc2001__10__13",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"bihar","gaya","pc2001__10__35",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"bihar","gopalganj","pc2001__10__15",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
"bihar","jamui","pc2001__10__37",1,"deterministic_to_2001","exact_census_2001_identity;reviewed_deterministic_nss_lineage"
