"bin","instrument","treatment","n","specification_id","construct_id","analysis_scope","domain","margin","source_side","paper_role","label"
1,-2.04153930123345,"dise_emi_enrollment_share_total_0708",52,"unadjusted__nonzero_mean","emi_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
2,-1.89197716147863,"dise_emi_enrollment_share_total_0708",52,"unadjusted__nonzero_mean","emi_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
3,-1.18667493410271,"dise_emi_enrollment_share_total_0708",52,"unadjusted__nonzero_mean","emi_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
4,-0.55274088830761,"dise_emi_enrollment_share_total_0708",52,"unadjusted__nonzero_mean","emi_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
5,-0.0574471783775635,"dise_emi_enrollment_share_total_0708",52,"unadjusted__nonzero_mean","emi_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
6,0.0888558630621287,"dise_emi_enrollment_share_total_0708",52,"unadjusted__nonzero_mean","emi_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
7,0.524405190908824,"dise_emi_enrollment_share_total_0708",52,"unadjusted__nonzero_mean","emi_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
8,1.32565504226639,"dise_emi_enrollment_share_total_0708",52,"unadjusted__nonzero_mean","emi_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
9,1.8548868843939,"dise_emi_enrollment_share_total_0708",52,"unadjusted__nonzero_mean","emi_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
10,1.9365764828687,"dise_emi_enrollment_share_total_0708",52,"unadjusted__nonzero_mean","emi_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
1,-42.1318335302722,"dise_emi_enrollment_share_total_0708",52,"unadjusted__distant_share","emi_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
2,-41.9240135685186,"dise_emi_enrollment_share_total_0708",52,"unadjusted__distant_share","emi_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
3,-41.5032752340923,"dise_emi_enrollment_share_total_0708",52,"unadjusted__distant_share","emi_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
4,-40.314218191582,"dise_emi_enrollment_share_total_0708",52,"unadjusted__distant_share","emi_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
5,-34.2306817219899,"dise_emi_enrollment_share_total_0708",52,"unadjusted__distant_share","emi_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
6,2.7206494447145,"dise_emi_enrollment_share_total_0708",52,"unadjusted__distant_share","emi_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
7,37.3200080244845,"dise_emi_enrollment_share_total_0708",52,"unadjusted__distant_share","emi_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
8,48.3370309126023,"dise_emi_enrollment_share_total_0708",52,"unadjusted__distant_share","emi_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
9,54.548678825881,"dise_emi_enrollment_share_total_0708",52,"unadjusted__distant_share","emi_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
10,57.1776550387729,"dise_emi_enrollment_share_total_0708",52,"unadjusted__distant_share","emi_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
1,-2.17163951268529,"dise_emi_enrollment_share_total_0708",52,"unadjusted__top3_legacy","emi_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
2,-2.13724256897561,"dise_emi_enrollment_share_total_0708",52,"unadjusted__top3_legacy","emi_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
3,-1.78086215129739,"dise_emi_enrollment_share_total_0708",52,"unadjusted__top3_legacy","emi_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
4,-1.23696690334307,"dise_emi_enrollment_share_total_0708",52,"unadjusted__top3_legacy","emi_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
5,-0.822978223026893,"dise_emi_enrollment_share_total_0708",52,"unadjusted__top3_legacy","emi_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
6,0.0361829513111119,"dise_emi_enrollment_share_total_0708",52,"unadjusted__top3_legacy","emi_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
7,0.859851977327877,"dise_emi_enrollment_share_total_0708",52,"unadjusted__top3_legacy","emi_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
8,1.8372272606912,"dise_emi_enrollment_share_total_0708",52,"unadjusted__top3_legacy","emi_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
9,2.59112082921686,"dise_emi_enrollment_share_total_0708",52,"unadjusted__top3_legacy","emi_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
10,2.82530634078119,"dise_emi_enrollment_share_total_0708",52,"unadjusted__top3_legacy","emi_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
1,-2.29095714997972,"dise_emi_enrollment_share_total_0708",52,"unadjusted__nonzero_mean_hindi_urdu","emi_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
2,-1.73726250647333,"dise_emi_enrollment_share_total_0708",52,"unadjusted__nonzero_mean_hindi_urdu","emi_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
3,-1.05546367953955,"dise_emi_enrollment_share_total_0708",52,"unadjusted__nonzero_mean_hindi_urdu","emi_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
4,-0.334233227355314,"dise_emi_enrollment_share_total_0708",52,"unadjusted__nonzero_mean_hindi_urdu","emi_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
5,-0.0634730478863251,"dise_emi_enrollment_share_total_0708",52,"unadjusted__nonzero_mean_hindi_urdu","emi_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
6,0.284597853963976,"dise_emi_enrollment_share_total_0708",52,"unadjusted__nonzero_mean_hindi_urdu","emi_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
7,0.663050632964669,"dise_emi_enrollment_share_total_0708",52,"unadjusted__nonzero_mean_hindi_urdu","emi_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
8,1.23173736571318,"dise_emi_enrollment_share_total_0708",52,"unadjusted__nonzero_mean_hindi_urdu","emi_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
9,1.59301881308656,"dise_emi_enrollment_share_total_0708",52,"unadjusted__nonzero_mean_hindi_urdu","emi_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
10,1.70898494550586,"dise_emi_enrollment_share_total_0708",52,"unadjusted__nonzero_mean_hindi_urdu","emi_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
1,-2.30105183096699,"dise_emi_enrollment_share_total_0708",52,"unadjusted__nonzero_mean_shastry","emi_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
2,-1.72281981721602,"dise_emi_enrollment_share_total_0708",52,"unadjusted__nonzero_mean_shastry","emi_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
3,-1.04460579022427,"dise_emi_enrollment_share_total_0708",52,"unadjusted__nonzero_mean_shastry","emi_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
4,-0.328260806112448,"dise_emi_enrollment_share_total_0708",52,"unadjusted__nonzero_mean_shastry","emi_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
5,-0.0713529159468173,"dise_emi_enrollment_share_total_0708",52,"unadjusted__nonzero_mean_shastry","emi_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
6,0.281115309739686,"dise_emi_enrollment_share_total_0708",52,"unadjusted__nonzero_mean_shastry","emi_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
7,0.65863294149212,"dise_emi_enrollment_share_total_0708",52,"unadjusted__nonzero_mean_shastry","emi_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
8,1.22243516771721,"dise_emi_enrollment_share_total_0708",52,"unadjusted__nonzero_mean_shastry","emi_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
9,1.58689260850119,"dise_emi_enrollment_share_total_0708",52,"unadjusted__nonzero_mean_shastry","emi_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
