"specification_id","adjustment_id","construction_id","instrument","fixed_effect","linear_slope","spearman_rho","isotonic_r_squared","n_bins","share_nondecreasing_bin_steps","n_negative_bin_steps","n_state_slopes","share_negative_state_slopes","n","status","reason","construct_id","treatment","analysis_scope"
"unadjusted__nonzero_mean","unadjusted","nonzero_mean","ling_distance_nonzero_mean","none",6.93822201535466,0.452118597487152,0.248848016328759,10,0.666666666666667,3,25,0.44,520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
"unadjusted__distant_share","unadjusted","distant_share","ling_share_distance_ge3","none",0.147599959510606,0.424269526451293,0.123331397994969,10,0.777777777777778,2,25,0.48,520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
"unadjusted__top3_legacy","unadjusted","top3_legacy","ling_distance_top3_legacy","none",5.81719613785392,0.595929685241618,0.267011210465334,10,0.888888888888889,1,25,0.6,520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
"unadjusted__nonzero_mean_hindi_urdu","unadjusted","nonzero_mean_hindi_urdu","ling_distance_nonzero_mean","none",5.92982561945076,0.460311215306611,0.168722432866267,10,0.777777777777778,2,25,0.28,520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
"unadjusted__nonzero_mean_shastry","unadjusted","nonzero_mean_shastry","ling_distance_nonzero_mean","none",6.08092966202431,0.482215768321856,0.182018459913896,10,0.777777777777778,2,25,0.24,520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
"unadjusted__nonzero_mean_sensitivity_low","unadjusted","nonzero_mean_sensitivity_low","ling_distance_nonzero_mean_sensitivity_low","none",6.06151410788287,0.482692755748129,0.182782857933791,10,0.777777777777778,2,25,0.24,520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
"unadjusted__nonzero_mean_sensitivity_high","unadjusted","nonzero_mean_sensitivity_high","ling_distance_nonzero_mean_sensitivity_high","none",5.19894137553941,0.448018270436253,0.125469358126029,10,0.555555555555556,4,25,0.36,520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
"unadjusted__nonzero_mean_hindi_urdu_separate","unadjusted","nonzero_mean_hindi_urdu_separate","ling_distance_nonzero_mean","none",6.19996477021379,0.469419038019883,0.185119749447969,10,0.666666666666667,3,25,0.36,520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
"unadjusted__glottolog_mean","unadjusted","glottolog_mean","ling_distance_glottolog_nonhindi_mean","none",1.44455167922528,0.594443285771759,0.143321300313113,10,0.666666666666667,3,25,0.28,520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
"unadjusted__glottolog_mean_shastry","unadjusted","glottolog_mean_shastry","ling_distance_glottolog_nonhindi_mean","none",0.997707304846029,0.50900839699282,0.0899944345968706,10,0.666666666666667,3,25,0.28,520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv"
