"specification_id","adjustment_id","construction_id","estimate_2sls","std_error_clustered","p_value_clustered","effective_f","effective_f_critical_value","effective_f_p_value","effective_f_df","reduced_form_joint_f","reduced_form_joint_p","anderson_rubin_f_beta0","anderson_rubin_p_beta0","ar_95_lower","ar_95_upper","ar_95_empty","ar_95_n_components","ar_95_disconnected","ar_95_contains_zero","ar_95_grid_accepted_min","ar_95_grid_accepted_max","ar_95_left_truncated","ar_95_right_truncated","ar_95_components","n","status","reason","construct_id","treatment","analysis_scope","domain","margin","source_side","paper_role","label"
"unadjusted__nonzero_mean","unadjusted","nonzero_mean",-0.00377762890681476,0.00168498648220501,0.025388090914178,13.2868254241676,23.1085112116065,0.314607465591785,1,3.40065684824222,0.0657413357686758,3.40065684824222,0.0657413357686761,-0.00719087954037702,0,FALSE,1,FALSE,TRUE,-0.00719087954037702,0,FALSE,FALSE,"[-0.00719088, 0]",520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"unadjusted__distant_share","unadjusted","distant_share",-0.00430670865387356,0.00271759644720937,0.113633611806323,8.06677554555304,23.1085112116065,0.626300435738722,1,2.72801258368932,0.0992079491425816,2.72801258368932,0.0992079491425817,-0.014381759080754,0.000958783938716942,FALSE,1,FALSE,TRUE,-0.014381759080754,0.000958783938716942,FALSE,FALSE,"[-0.0143818, 0.000958784]",520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"unadjusted__top3_legacy","unadjusted","top3_legacy",-0.00377436460086337,0.00154072993185201,0.0146265293130927,18.6055040042006,23.1085112116065,0.124838941092848,1,3.82499896936157,0.0510305177941225,3.82499896936157,0.0510305177941225,-0.00671148757101855,0,FALSE,1,FALSE,TRUE,-0.00671148757101855,0,FALSE,FALSE,"[-0.00671149, 0]",520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"unadjusted__nonzero_mean_hindi_urdu","unadjusted","nonzero_mean_hindi_urdu",-0.00339804933140719,0.00211494411349523,0.108733995230131,11.988182647255,23.1085112116065,0.382043633257477,1,1.88457272194192,0.170410503858715,1.88457272194191,0.170410503858715,-0.00767027150973548,0.00191756787743387,FALSE,1,FALSE,TRUE,-0.00767027150973548,0.00191756787743387,FALSE,FALSE,"[-0.00767027, 0.00191757]",520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"unadjusted__nonzero_mean_shastry","unadjusted","nonzero_mean_shastry",-0.00337225534291548,0.00207614782469825,0.104925696141807,12.4055506937494,23.1085112116065,0.35947076677615,1,1.96060643938536,0.16204946014591,1.96060643938536,0.16204946014591,-0.00767027150973548,0.00191756787743387,FALSE,1,FALSE,TRUE,-0.00767027150973548,0.00191756787743387,FALSE,FALSE,"[-0.00767027, 0.00191757]",520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"unadjusted__nonzero_mean_sensitivity_low","unadjusted","nonzero_mean_sensitivity_low",-0.00334396933029498,0.00210571128202663,0.112888151117372,12.4199896216676,23.1085112116065,0.358704821565639,1,1.89039334369848,0.16975426966309,1.89039334369848,0.16975426966309,-0.00767027150973548,0.00191756787743387,FALSE,1,FALSE,TRUE,-0.00767027150973548,0.00191756787743387,FALSE,FALSE,"[-0.00767027, 0.00191757]",520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"unadjusted__nonzero_mean_sensitivity_high","unadjusted","nonzero_mean_sensitivity_high",-0.00273340401343656,0.00237765898294988,0.250833024761395,14.4561155698124,23.1085112116065,0.26113759117907,1,1.07984864422161,0.299218095783755,1.07984864422161,0.299218095783755,-0.00719087954037702,0.00335574378550928,FALSE,1,FALSE,TRUE,-0.00719087954037702,0.00335574378550928,FALSE,FALSE,"[-0.00719088, 0.00335574]",520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"unadjusted__nonzero_mean_hindi_urdu_separate","unadjusted","nonzero_mean_hindi_urdu_separate",-0.0035552941901351,0.00201335014547823,0.078010672775042,12.2892815155189,23.1085112116065,0.365675297607737,1,2.16768034750951,0.141548341460617,2.1676803475095,0.141548341460617,-0.00767027150973548,0.00143817590807541,FALSE,1,FALSE,TRUE,-0.00767027150973548,0.00143817590807541,FALSE,FALSE,"[-0.00767027, 0.00143818]",520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"unadjusted__distance_shares_all","unadjusted","distance_shares_all",-0.00114802923919203,0.00136267999633306,0.399908717403596,9.97157355655368,19.8263776564466,0.539708037993825,1.78312980676333,12.8114328318056,9.38524738230636e-12,12.8114328318056,9.38524738230684e-12,NA,NA,TRUE,0,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"unadjusted__distance_shares_all_unmapped","unadjusted","distance_shares_all_unmapped",-0.00173394068839111,0.00123349146461169,0.16040982250156,16.507899551635,21.8531566730405,0.166774025235426,1.22046589697257,17.7915016354333,2.82498303899616e-16,17.7915016354333,2.82498303899598e-16,NA,NA,TRUE,0,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
