"key","panel_key_status","join_key_status"
"01__01","not_in_panel","in_join_map"
"01__01113","not_in_panel","in_join_map"
"01__01114","not_in_panel","in_join_map"
"01__01209","not_in_panel","in_join_map"
"01__01210","not_in_panel","in_join_map"
"01__01212","not_in_panel","in_join_map"
"01__01301","not_in_panel","in_join_map"
"01__01302","not_in_panel","in_join_map"
"01__01303","not_in_panel","in_join_map"
"01__01304","not_in_panel","in_join_map"
"01__01305","not_in_panel","in_join_map"
"01__01306","not_in_panel","in_join_map"
"01__02","not_in_panel","in_join_map"
"01__03","not_in_panel","in_join_map"
"01__04","not_in_panel","in_join_map"
"01__05","not_in_panel","in_join_map"
"01__06","not_in_panel","in_join_map"
"01__07","not_in_panel","in_join_map"
"01__08","not_in_panel","in_join_map"
"01__09","not_in_panel","in_join_map"
"01__10","not_in_panel","in_join_map"
"01__11","not_in_panel","in_join_map"
"01__12","not_in_panel","in_join_map"
"01__13","not_in_panel","in_join_map"
"01__14","not_in_panel","in_join_map"
"01__15","not_in_panel","in_join_map"
"01__16","not_in_panel","in_join_map"
"01__17","not_in_panel","in_join_map"
"01__18","not_in_panel","in_join_map"
"01__19","not_in_panel","in_join_map"
"01__20","not_in_panel","in_join_map"
"01__21","not_in_panel","in_join_map"
"01__22","not_in_panel","in_join_map"
"02__01","not_in_panel","in_join_map"
"02__02","not_in_panel","in_join_map"
"02__02102","not_in_panel","in_join_map"
"02__02104","not_in_panel","in_join_map"
"02__02105","not_in_panel","in_join_map"
"02__02106","not_in_panel","in_join_map"
"02__02107","not_in_panel","in_join_map"
"02__02201","not_in_panel","in_join_map"
"02__02203","not_in_panel","in_join_map"
"02__02208","not_in_panel","in_join_map"
"02__02209","not_in_panel","in_join_map"
"02__02210","not_in_panel","in_join_map"
"02__02211","not_in_panel","in_join_map"
"02__02212","not_in_panel","in_join_map"
"02__03","not_in_panel","in_join_map"
"02__04","not_in_panel","in_join_map"
"02__05","not_in_panel","in_join_map"
"02__06","not_in_panel","in_join_map"
"02__07","not_in_panel","in_join_map"
"02__08","not_in_panel","in_join_map"
