"state_std","district_std","source_year","district_key","source","match_status","possible_false_positive","many_to_many"
"01","01",2001,"2001__01__01","2001","source_key_unmatched",FALSE,FALSE
"01","02",2001,"2001__01__02","2001","source_key_unmatched",FALSE,FALSE
"01","03",2001,"2001__01__03","2001","source_key_unmatched",FALSE,FALSE
"01","04",2001,"2001__01__04","2001","source_key_unmatched",FALSE,FALSE
"01","05",2001,"2001__01__05","2001","source_key_unmatched",FALSE,FALSE
"01","06",2001,"2001__01__06","2001","source_key_unmatched",FALSE,FALSE
"01","07",2001,"2001__01__07","2001","source_key_unmatched",FALSE,FALSE
"01","08",2001,"2001__01__08","2001","source_key_unmatched",FALSE,FALSE
"01","09",2001,"2001__01__09","2001","source_key_unmatched",FALSE,FALSE
"01","10",2001,"2001__01__10","2001","source_key_unmatched",FALSE,FALSE
"01","11",2001,"2001__01__11","2001","source_key_unmatched",FALSE,FALSE
"01","12",2001,"2001__01__12","2001","source_key_unmatched",FALSE,FALSE
"01","13",2001,"2001__01__13","2001","source_key_unmatched",FALSE,FALSE
"01","14",2001,"2001__01__14","2001","source_key_unmatched",FALSE,FALSE
"02","01",2001,"2001__02__01","2001","source_key_unmatched",FALSE,FALSE
"02","02",2001,"2001__02__02","2001","source_key_unmatched",FALSE,FALSE
"02","03",2001,"2001__02__03","2001","source_key_unmatched",FALSE,FALSE
"02","04",2001,"2001__02__04","2001","source_key_unmatched",FALSE,FALSE
"02","05",2001,"2001__02__05","2001","source_key_unmatched",FALSE,FALSE
"02","06",2001,"2001__02__06","2001","source_key_unmatched",FALSE,FALSE
"02","07",2001,"2001__02__07","2001","source_key_unmatched",FALSE,FALSE
"02","08",2001,"2001__02__08","2001","source_key_unmatched",FALSE,FALSE
"02","09",2001,"2001__02__09","2001","source_key_unmatched",FALSE,FALSE
"02","10",2001,"2001__02__10","2001","source_key_unmatched",FALSE,FALSE
"02","11",2001,"2001__02__11","2001","source_key_unmatched",FALSE,FALSE
"02","12",2001,"2001__02__12","2001","source_key_unmatched",FALSE,FALSE
"03","01",2001,"2001__03__01","2001","source_key_unmatched",FALSE,FALSE
"03","02",2001,"2001__03__02","2001","source_key_unmatched",FALSE,FALSE
"03","03",2001,"2001__03__03","2001","source_key_unmatched",FALSE,FALSE
"03","04",2001,"2001__03__04","2001","source_key_unmatched",FALSE,FALSE
"03","05",2001,"2001__03__05","2001","source_key_unmatched",FALSE,FALSE
"03","06",2001,"2001__03__06","2001","source_key_unmatched",FALSE,FALSE
"03","07",2001,"2001__03__07","2001","source_key_unmatched",FALSE,FALSE
"03","08",2001,"2001__03__08","2001","source_key_unmatched",FALSE,FALSE
"03","09",2001,"2001__03__09","2001","source_key_unmatched",FALSE,FALSE
"03","10",2001,"2001__03__10","2001","source_key_unmatched",FALSE,FALSE
"03","11",2001,"2001__03__11","2001","source_key_unmatched",FALSE,FALSE
"03","12",2001,"2001__03__12","2001","source_key_unmatched",FALSE,FALSE
"03","13",2001,"2001__03__13","2001","source_key_unmatched",FALSE,FALSE
"03","14",2001,"2001__03__14","2001","source_key_unmatched",FALSE,FALSE
"03","15",2001,"2001__03__15","2001","source_key_unmatched",FALSE,FALSE
"03","16",2001,"2001__03__16","2001","source_key_unmatched",FALSE,FALSE
"03","17",2001,"2001__03__17","2001","source_key_unmatched",FALSE,FALSE
"04","01",2001,"2001__04__01","2001","source_key_unmatched",FALSE,FALSE
"05","01",2001,"2001__05__01","2001","source_key_unmatched",FALSE,FALSE
"05","02",2001,"2001__05__02","2001","source_key_unmatched",FALSE,FALSE
"05","03",2001,"2001__05__03","2001","source_key_unmatched",FALSE,FALSE
"05","04",2001,"2001__05__04","2001","source_key_unmatched",FALSE,FALSE
"05","05",2001,"2001__05__05","2001","source_key_unmatched",FALSE,FALSE
"05","06",2001,"2001__05__06","2001","source_key_unmatched",FALSE,FALSE
"05","07",2001,"2001__05__07","2001","source_key_unmatched",FALSE,FALSE
"05","08",2001,"2001__05__08","2001","source_key_unmatched",FALSE,FALSE
"05","09",2001,"2001__05__09","2001","source_key_unmatched",FALSE,FALSE
"05","10",2001,"2001__05__10","2001","source_key_unmatched",FALSE,FALSE
"05","11",2001,"2001__05__11","2001","source_key_unmatched",FALSE,FALSE
"05","12",2001,"2001__05__12","2001","source_key_unmatched",FALSE,FALSE
"05","13",2001,"2001__05__13","2001","source_key_unmatched",FALSE,FALSE
"06","01",2001,"2001__06__01","2001","source_key_unmatched",FALSE,FALSE
"06","02",2001,"2001__06__02","2001","source_key_unmatched",FALSE,FALSE
"06","03",2001,"2001__06__03","2001","source_key_unmatched",FALSE,FALSE
"06","04",2001,"2001__06__04","2001","source_key_unmatched",FALSE,FALSE
"06","05",2001,"2001__06__05","2001","source_key_unmatched",FALSE,FALSE
"06","06",2001,"2001__06__06","2001","source_key_unmatched",FALSE,FALSE
"06","07",2001,"2001__06__07","2001","source_key_unmatched",FALSE,FALSE
"06","08",2001,"2001__06__08","2001","source_key_unmatched",FALSE,FALSE
"06","09",2001,"2001__06__09","2001","source_key_unmatched",FALSE,FALSE
"06","10",2001,"2001__06__10","2001","source_key_unmatched",FALSE,FALSE
"06","11",2001,"2001__06__11","2001","source_key_unmatched",FALSE,FALSE
"06","12",2001,"2001__06__12","2001","source_key_unmatched",FALSE,FALSE
"06","13",2001,"2001__06__13","2001","source_key_unmatched",FALSE,FALSE
"06","14",2001,"2001__06__14","2001","source_key_unmatched",FALSE,FALSE
"06","15",2001,"2001__06__15","2001","source_key_unmatched",FALSE,FALSE
"06","16",2001,"2001__06__16","2001","source_key_unmatched",FALSE,FALSE
"06","17",2001,"2001__06__17","2001","source_key_unmatched",FALSE,FALSE
"06","18",2001,"2001__06__18","2001","source_key_unmatched",FALSE,FALSE
"06","19",2001,"2001__06__19","2001","source_key_unmatched",FALSE,FALSE
"07","01",2001,"2001__07__01","2001","source_key_unmatched",FALSE,FALSE
"07","02",2001,"2001__07__02","2001","source_key_unmatched",FALSE,FALSE
"07","03",2001,"2001__07__03","2001","source_key_unmatched",FALSE,FALSE
"07","04",2001,"2001__07__04","2001","source_key_unmatched",FALSE,FALSE
"07","05",2001,"2001__07__05","2001","source_key_unmatched",FALSE,FALSE
"07","06",2001,"2001__07__06","2001","source_key_unmatched",FALSE,FALSE
"07","07",2001,"2001__07__07","2001","source_key_unmatched",FALSE,FALSE
"07","08",2001,"2001__07__08","2001","source_key_unmatched",FALSE,FALSE
"07","09",2001,"2001__07__09","2001","source_key_unmatched",FALSE,FALSE
"08","01",2001,"2001__08__01","2001","source_key_unmatched",FALSE,FALSE
"08","02",2001,"2001__08__02","2001","source_key_unmatched",FALSE,FALSE
"08","03",2001,"2001__08__03","2001","source_key_unmatched",FALSE,FALSE
"08","04",2001,"2001__08__04","2001","source_key_unmatched",FALSE,FALSE
"08","05",2001,"2001__08__05","2001","source_key_unmatched",FALSE,FALSE
"08","06",2001,"2001__08__06","2001","source_key_unmatched",FALSE,FALSE
"08","07",2001,"2001__08__07","2001","source_key_unmatched",FALSE,FALSE
"08","08",2001,"2001__08__08","2001","source_key_unmatched",FALSE,FALSE
"08","09",2001,"2001__08__09","2001","source_key_unmatched",FALSE,FALSE
"08","10",2001,"2001__08__10","2001","source_key_unmatched",FALSE,FALSE
"08","11",2001,"2001__08__11","2001","source_key_unmatched",FALSE,FALSE
"08","12",2001,"2001__08__12","2001","source_key_unmatched",FALSE,FALSE
"08","13",2001,"2001__08__13","2001","source_key_unmatched",FALSE,FALSE
"08","14",2001,"2001__08__14","2001","source_key_unmatched",FALSE,FALSE
"08","15",2001,"2001__08__15","2001","source_key_unmatched",FALSE,FALSE
"08","16",2001,"2001__08__16","2001","source_key_unmatched",FALSE,FALSE
"08","17",2001,"2001__08__17","2001","source_key_unmatched",FALSE,FALSE
"08","18",2001,"2001__08__18","2001","source_key_unmatched",FALSE,FALSE
"08","19",2001,"2001__08__19","2001","source_key_unmatched",FALSE,FALSE
"08","20",2001,"2001__08__20","2001","source_key_unmatched",FALSE,FALSE
"08","21",2001,"2001__08__21","2001","source_key_unmatched",FALSE,FALSE
"08","22",2001,"2001__08__22","2001","source_key_unmatched",FALSE,FALSE
"08","23",2001,"2001__08__23","2001","source_key_unmatched",FALSE,FALSE
"08","24",2001,"2001__08__24","2001","source_key_unmatched",FALSE,FALSE
"08","25",2001,"2001__08__25","2001","source_key_unmatched",FALSE,FALSE
"08","26",2001,"2001__08__26","2001","source_key_unmatched",FALSE,FALSE
"08","27",2001,"2001__08__27","2001","source_key_unmatched",FALSE,FALSE
"08","28",2001,"2001__08__28","2001","source_key_unmatched",FALSE,FALSE
"08","29",2001,"2001__08__29","2001","source_key_unmatched",FALSE,FALSE
"08","30",2001,"2001__08__30","2001","source_key_unmatched",FALSE,FALSE
"08","31",2001,"2001__08__31","2001","source_key_unmatched",FALSE,FALSE
"08","32",2001,"2001__08__32","2001","source_key_unmatched",FALSE,FALSE
"09","01",2001,"2001__09__01","2001","source_key_unmatched",FALSE,FALSE
"09","02",2001,"2001__09__02","2001","source_key_unmatched",FALSE,FALSE
"09","03",2001,"2001__09__03","2001","source_key_unmatched",FALSE,FALSE
"09","04",2001,"2001__09__04","2001","source_key_unmatched",FALSE,FALSE
"09","05",2001,"2001__09__05","2001","source_key_unmatched",FALSE,FALSE
"09","06",2001,"2001__09__06","2001","source_key_unmatched",FALSE,FALSE
"09","07",2001,"2001__09__07","2001","source_key_unmatched",FALSE,FALSE
"09","08",2001,"2001__09__08","2001","source_key_unmatched",FALSE,FALSE
"09","09",2001,"2001__09__09","2001","source_key_unmatched",FALSE,FALSE
"09","10",2001,"2001__09__10","2001","source_key_unmatched",FALSE,FALSE
"09","11",2001,"2001__09__11","2001","source_key_unmatched",FALSE,FALSE
"09","12",2001,"2001__09__12","2001","source_key_unmatched",FALSE,FALSE
"09","13",2001,"2001__09__13","2001","source_key_unmatched",FALSE,FALSE
"09","14",2001,"2001__09__14","2001","source_key_unmatched",FALSE,FALSE
"09","15",2001,"2001__09__15","2001","source_key_unmatched",FALSE,FALSE
"09","16",2001,"2001__09__16","2001","source_key_unmatched",FALSE,FALSE
"09","17",2001,"2001__09__17","2001","source_key_unmatched",FALSE,FALSE
"09","18",2001,"2001__09__18","2001","source_key_unmatched",FALSE,FALSE
"09","19",2001,"2001__09__19","2001","source_key_unmatched",FALSE,FALSE
"09","20",2001,"2001__09__20","2001","source_key_unmatched",FALSE,FALSE
"09","21",2001,"2001__09__21","2001","source_key_unmatched",FALSE,FALSE
"09","22",2001,"2001__09__22","2001","source_key_unmatched",FALSE,FALSE
"09","23",2001,"2001__09__23","2001","source_key_unmatched",FALSE,FALSE
"09","24",2001,"2001__09__24","2001","source_key_unmatched",FALSE,FALSE
"09","25",2001,"2001__09__25","2001","source_key_unmatched",FALSE,FALSE
"09","26",2001,"2001__09__26","2001","source_key_unmatched",FALSE,FALSE
"09","27",2001,"2001__09__27","2001","source_key_unmatched",FALSE,FALSE
"09","28",2001,"2001__09__28","2001","source_key_unmatched",FALSE,FALSE
"09","29",2001,"2001__09__29","2001","source_key_unmatched",FALSE,FALSE
"09","30",2001,"2001__09__30","2001","source_key_unmatched",FALSE,FALSE
"09","31",2001,"2001__09__31","2001","source_key_unmatched",FALSE,FALSE
"09","32",2001,"2001__09__32","2001","source_key_unmatched",FALSE,FALSE
"09","33",2001,"2001__09__33","2001","source_key_unmatched",FALSE,FALSE
"09","34",2001,"2001__09__34","2001","source_key_unmatched",FALSE,FALSE
"09","35",2001,"2001__09__35","2001","source_key_unmatched",FALSE,FALSE
"09","36",2001,"2001__09__36","2001","source_key_unmatched",FALSE,FALSE
"09","37",2001,"2001__09__37","2001","source_key_unmatched",FALSE,FALSE
"09","38",2001,"2001__09__38","2001","source_key_unmatched",FALSE,FALSE
"09","39",2001,"2001__09__39","2001","source_key_unmatched",FALSE,FALSE
"09","40",2001,"2001__09__40","2001","source_key_unmatched",FALSE,FALSE
"09","41",2001,"2001__09__41","2001","source_key_unmatched",FALSE,FALSE
"09","42",2001,"2001__09__42","2001","source_key_unmatched",FALSE,FALSE
"09","43",2001,"2001__09__43","2001","source_key_unmatched",FALSE,FALSE
"09","44",2001,"2001__09__44","2001","source_key_unmatched",FALSE,FALSE
