"year_suffix","year","district_name","district_key","n_districts","n_states","states"
"01",2001,"Aurangabad","aurangabad",2,2,"Bihar; Maharashtra"
"01",2001,"Bilaspur","bilaspur",3,2,"Chhattisgarh; Himachal Pradesh"
"01",2001,"Hamirpur","hamirpur",2,2,"Himachal Pradesh; Uttar Pradesh"
"05",2005,"Aurangabad","aurangabad",2,2,"Bihar; Maharashtra"
"05",2005,"Bilaspur","bilaspur",3,2,"Chhattisgarh; Himachal Pradesh"
"05",2005,"Hamirpur","hamirpur",2,2,"Himachal Pradesh; Uttar Pradesh"
"06",2006,"Aurangabad","aurangabad",2,2,"Bihar; Maharashtra"
"06",2006,"Bilaspur","bilaspur",3,2,"Chhattisgarh; Himachal Pradesh"
"06",2006,"Hamirpur","hamirpur",2,2,"Himachal Pradesh; Uttar Pradesh"
"07",2007,"Aurangabad","aurangabad",2,2,"Bihar; Maharashtra"
"07",2007,"Bijapur","bijapur",2,2,"Chhattisgarh; Karnataka"
"07",2007,"Bilaspur","bilaspur",3,2,"Chhattisgarh; Himachal Pradesh"
"07",2007,"Hamirpur","hamirpur",2,2,"Himachal Pradesh; Uttar Pradesh"
"08",2008,"Aurangabad","aurangabad",2,2,"Bihar; Maharashtra"
"08",2008,"Bijapur","bijapur",2,2,"Chhattisgarh; Karnataka"
"08",2008,"Bilaspur","bilaspur",3,2,"Chhattisgarh; Himachal Pradesh"
"08",2008,"Hamirpur","hamirpur",2,2,"Himachal Pradesh; Uttar Pradesh"
"08",2008,"Pratapgarh","pratapgarh",2,2,"Rajasthan; Uttar Pradesh"
"11",2011,"Aurangabad","aurangabad",2,2,"Bihar; Maharashtra"
"11",2011,"Bilaspur","bilaspur",3,2,"Chhattisgarh; Himachal Pradesh"
"11",2011,"Hamirpur","hamirpur",2,2,"Himachal Pradesh; Uttar Pradesh"
"11",2011,"Pratapgarh","pratapgarh",2,2,"Rajasthan; Uttar Pradesh"
"17",2017,"Aurangabad","aurangabad",2,2,"Bihar; Maharashtra"
"17",2017,"Balrampur","balrampur",2,2,"Chhattisgarh; Uttar Pradesh"
"17",2017,"Bilaspur","bilaspur",2,2,"Chhattisgarh; Himachal Pradesh"
"17",2017,"Hamirpur","hamirpur",2,2,"Himachal Pradesh; Uttar Pradesh"
"17",2017,"Pratapgarh","pratapgarh",2,2,"Rajasthan; Uttar Pradesh"
"18",2018,"Aurangabad","aurangabad",2,2,"Bihar; Maharashtra"
"18",2018,"Balrampur","balrampur",2,2,"Chhattisgarh; Uttar Pradesh"
"18",2018,"Bilaspur","bilaspur",2,2,"Chhattisgarh; Himachal Pradesh"
"18",2018,"Hamirpur","hamirpur",2,2,"Himachal Pradesh; Uttar Pradesh"
"18",2018,"Pratapgarh","pratapgarh",2,2,"Rajasthan; Uttar Pradesh"
"19",2019,"Aurangabad","aurangabad",2,2,"Bihar; Maharashtra"
"19",2019,"Balrampur","balrampur",2,2,"Chhattisgarh; Uttar Pradesh"
"19",2019,"Bilaspur","bilaspur",2,2,"Chhattisgarh; Himachal Pradesh"
"19",2019,"Hamirpur","hamirpur",2,2,"Himachal Pradesh; Uttar Pradesh"
"19",2019,"Pratapgarh","pratapgarh",2,2,"Rajasthan; Uttar Pradesh"
"20",2020,"Aurangabad","aurangabad",2,2,"Bihar; Maharashtra"
"20",2020,"Balrampur","balrampur",2,2,"Chhattisgarh; Uttar Pradesh"
"20",2020,"Bilaspur","bilaspur",2,2,"Chhattisgarh; Himachal Pradesh"
"20",2020,"Hamirpur","hamirpur",2,2,"Himachal Pradesh; Uttar Pradesh"
"20",2020,"Pratapgarh","pratapgarh",2,2,"Rajasthan; Uttar Pradesh"
