"target_unit_2001","census_2011_source_district_count","census_2011_parent_reconstruction_complete","log_nonfarm_employment_2013","log_firms_total_2013","mean_employment_per_firm_2013","female_employment_share_2013","hired_employment_share_2013","private_employment_share_2013","manufacturing_employment_share_2013","services_employment_share_2013","log_nonfarm_employment_2005","log_firms_total_2005","mean_employment_per_firm_2005","female_employment_share_2005","hired_employment_share_2005","private_employment_share_2005","manufacturing_employment_share_2005","services_employment_share_2005","log_nonfarm_employment_change_2013_2005","log_firms_total_change_2013_2005","mean_employment_per_firm_change_2013_2005","female_employment_share_change_2013_2005","hired_employment_share_change_2013_2005","private_employment_share_change_2013_2005","manufacturing_employment_share_change_2013_2005","services_employment_share_change_2013_2005"
"pc2001__01__01",1,TRUE,10.6824683334457,10.0080277318101,1.96293460637723,0.168865435356201,0.583939428702535,0.709670758288402,0.12862223241941,0.868693357806585,10.154596404132,9.51613246360028,1.89357000810194,0.127698471352445,0.555214127348399,0.619744058500914,0.179431327550663,0.804543156093197,0.527871929313699,0.49189526820982,0.06936459827529,0.041166964003756,0.028725301354136,0.089926699787488,-0.050809095131253,0.0641502017133879
"pc2001__01__02",,,,,,,,,,,11.1029552239733,10.4393081821914,1.94186148579454,0.108141094218512,0.49655702382208,0.780734401133093,0.29050582367743,0.699820694019618,,,,,,,,
"pc2001__01__03",,,,,,,,,,,11.5163296641038,10.7758263968811,2.09699059561129,0.102171594861522,0.508745178939815,0.85507419698827,0.25379456054853,0.741003179159068,,,,,,,,
"pc2001__01__04",,,,,,,,,,,10.8600369202738,10.043379921188,2.26292222753554,0.154166826756829,0.555634533369194,0.828850808775502,0.420159834018519,0.576555115841242,,,,,,,,
"pc2001__01__05",,,,,,,,,,,10.7092488774652,9.95327721703864,2.12967984396556,0.097301644031451,0.570563795568263,0.762642959256612,0.301889742673338,0.676264295925661,,,,,,,,
"pc2001__01__06",2,TRUE,11.6867527137285,11.076696979411,1.840533976828,0.168164054292558,0.451258562003614,0.804647644661092,0.23722317939236,0.752422574274068,11.214937131663,10.5705987185452,1.90472647028636,0.130417211138204,0.503132114615188,0.770042165672024,0.289555576511161,0.703466206840808,0.471815582065501,0.5060982608658,-0.06419249345836,0.037746843154354,-0.051873552611574,0.034605478989068,-0.052332397118801,0.04895636743326
"pc2001__01__07",1,TRUE,9.82595835002689,8.95144010094985,2.39771991190569,0.302896044953534,0.583531445861249,0.779987032634536,0.0895288523881565,0.909822779338664,9.49469190433151,8.7528975247753,2.0996997945963,0.210474828805779,0.527202949808112,0.699450673489352,0.103544284746783,0.890360448491233,0.331266445695379,0.19854257617455,0.29802011730939,0.092421216147755,0.056328496053137,0.080536359145184,-0.0140154323586265,0.019462330847431
"pc2001__01__08",1,TRUE,9.30592324186991,8.42704964156327,2.40818559859926,0.221394165227665,0.668908479505589,0.543942561119695,0.0839770971553213,0.915477597018995,8.90463009700501,8.08948247436075,2.25950920245399,0.10711376595167,0.624355145262015,0.558919359218029,0.190062449090415,0.798262286179745,0.401293144864901,0.33756716720252,0.14867639614527,0.114280399275995,0.044553334243574,-0.0149767980983341,-0.106085351935094,0.11721531083925
"pc2001__01__09",,,,,,,,,,,10.1658518170036,9.58314453784479,1.79088028654085,0.122653846153846,0.532538461538462,0.610615384615385,0.150076923076923,0.848384615384615,,,,,,,,
"pc2001__01__10",,,,,,,,,,,10.5457360976625,9.9157125221587,1.87765484540156,0.122793634091806,0.516217282651585,0.746494804682362,0.153255293962909,0.842719978955675,,,,,,,,
"pc2001__01__11",1,TRUE,10.1146799727306,9.44200749423127,1.95946696279845,0.195725215560863,0.580860624215682,0.624782415091284,0.144152532081124,0.853175727644416,9.74490205341876,9.12804512924935,1.85309446254072,0.159371887267827,0.544442491357591,0.591668131481807,0.175953594656354,0.821819886330345,0.36977791931184,0.31396236498192,0.10637250025773,0.036353328293036,0.0364181328580909,0.033114283609477,-0.03180106257523,0.031355841314071
"pc2001__01__12",,,,,,,,,,,10.0982316293286,9.42698283694803,1.95667928174571,0.142633744855967,0.578559670781893,0.640576131687243,0.124814814814815,0.870946502057613,,,,,,,,
"pc2001__01__13",,,,,,,,,,,11.7033391916615,10.8905535664593,2.25417854547487,0.136391816491011,0.555461872287663,0.846232692705104,0.157726803058483,0.837511882620376,,,,,,,,
"pc2001__01__14",,,,,,,,,,,10.4766398781699,9.73890767721833,2.0911877394636,0.141246441356372,0.563745525269893,0.76584829607915,0.163063393184317,0.834822561095921,,,,,,,,
"pc2001__02__01",1,TRUE,10.643709140482,9.90762896503668,2.08773589603147,0.245850028620492,0.574580232780004,0.601817401259302,0.162874451440565,0.835169814920817,10.2802101917786,9.59784515470735,1.97855155094007,0.172075471698113,0.587478559176672,0.579862778730703,0.178559176672384,0.811835334476844,0.3634989487034,0.30978381032933,0.1091843450914,0.073774556922379,-0.012898326396668,0.021954622528599,-0.015684725231819,0.023334480443973
"pc2001__02__02",1,TRUE,12.0365409486646,11.3752483478359,1.93729486561546,0.252855247257304,0.496943345259816,0.76959576333436,0.199902850508258,0.79133000023695,11.5215085249007,10.9278431400422,1.81061286037411,0.168626440086455,0.505700858598878,0.695921159604212,0.154508139834626,0.837451170906784,0.5150324237639,0.4474052077937,0.12668200524135,0.084228807170849,-0.00875751333906205,0.073674603730148,0.045394710673632,-0.046121170669834
"pc2001__02__03",,,,,,,,,,,8.42683075133585,7.48099216286952,2.5749718151071,0.268169877408056,0.658712784588441,0.469570928196147,0.0919439579684764,0.908056042031524,,,,,,,,
"pc2001__02__04",1,TRUE,11.05999131962,10.3899180194674,1.9543805717799,0.285532276330691,0.450515917956462,0.832358122561973,0.127233547250535,0.871885617214043,10.5062722930157,9.74811946530243,2.13433010162364,0.149135288966725,0.569450525394046,0.719160464098074,0.174638791593695,0.82259741681261,0.5537190266043,0.64179855416497,-0.17994952984374,0.136396987363966,-0.118934607437584,0.113197658463899,-0.04740524434316,0.049288200401433
"pc2001__02__05",,,,,,,,,,,11.1299945441666,10.4736475543472,1.92773741200418,0.171824128120142,0.517804241339864,0.65428387058927,0.242234476285454,0.755052356788784,,,,,,,,
"pc2001__02__06",1,TRUE,10.9282200481439,10.253439950714,1.96360112755462,0.273081271197086,0.500798535718772,0.735532147791914,0.175013907082743,0.821558669944551,10.5045468560933,9.85571437106444,1.91330571143861,0.161590965159946,0.520133768262931,0.652229927907678,0.193169046901127,0.803404511937721,0.423673192050599,0.39772557964956,0.0502954161160099,0.11149030603714,-0.019335232544159,0.083302219884236,-0.018155139818384,0.01815415800683
"pc2001__02__07",,,,,,,,,,,10.4993801641918,9.81043981148606,1.99160401690172,0.160664590967955,0.52313118232166,0.734824897363128,0.248202132642658,0.750888601107652,,,,,,,,
"pc2001__02__08",,,,,,,,,,,10.3738973492847,9.73157166845605,1.90089662134078,0.136444569393684,0.520538531221691,0.690032174429138,0.204260769062568,0.787929903476713,,,,,,,,
"pc2001__02__09",1,TRUE,12.055203243086,10.5550833059378,4.48222662357969,0.158472487092423,0.77449532536397,0.910565607702684,0.535141169356714,0.460916786827294,11.3314155786826,9.9713330994312,3.89651467015511,0.135154254745147,0.773132216640088,0.786645244061822,0.382489418592103,0.613709667749787,0.7237876644034,0.583750206506599,0.58571195342458,0.023318232347276,0.00136310872388201,0.123920363640862,0.152651750764611,-0.152792880922493
"pc2001__02__10",1,TRUE,11.2496237612438,10.0482370364223,3.32472420506165,0.22533213621163,0.713471522816879,0.806287491379423,0.430026935238318,0.566446760614696,10.5912452358116,9.60804208946651,2.67300456866434,0.118763353022496,0.68483096644464,0.745079803946211,0.270428553474928,0.687997989191906,0.6583785254322,0.44019494695579,0.65171963639731,0.106568783189134,0.0286405563722389,0.061207687433212,0.15959838176339,-0.12155122857721
"pc2001__02__11",,,,,,,,,,,11.2277868219245,10.2217230780314,2.73481486869863,0.16737375483768,0.685055392267692,0.543203308906651,0.133872404942081,0.848319612719607,,,,,,,,
"pc2001__02__12",1,TRUE,9.81640344562901,8.78538658728416,2.80391557051086,0.245145101461925,0.597152520183286,0.769801440104735,0.231671394283221,0.766146628845734,9.18799250831228,8.20958048347558,2.66022850924918,0.225074138459965,0.655486246037427,0.529399734124144,0.322221086000614,0.676551794662031,0.62841093731673,0.57580610380858,0.14368706126168,0.02007096300196,-0.058333725854141,0.240401705980591,-0.090549691717393,0.0895948341837031
