"target_unit_2001","level","state_code","district_code","state_std","district_std","census_2011_source_district_count","census_2011_source_districts","census_2011_parent_reconstruction_complete","nonfarm_employment","female_employment","hired_employment","private_employment","manufacturing_employment","services_employment","firms_total","harmonized_available","log_nonfarm_employment","log_firms_total","mean_employment_per_firm","female_employment_share","hired_employment_share","private_employment_share","manufacturing_employment_share","services_employment_share"
"pc2001__01__01","district","01","01","jammu and kashmir","kupwara",1,"kupwara",TRUE,43585,7360,25451,30931,5606,37862,22204,TRUE,10.6824683334457,10.0080277318101,1.96293460637723,0.168865435356201,0.583939428702535,0.709670758288402,0.12862223241941,0.868693357806585
"pc2001__01__02","district","01","02","jammu and kashmir","baramula",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__01__03","district","01","03","jammu and kashmir","srinagar",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__01__04","district","01","04","jammu and kashmir","badgam",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__01__05","district","01","05","jammu and kashmir","pulwama",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__01__06","district","01","06","jammu and kashmir","anantnag",2,"anantnag;kulgam",TRUE,118985,20009,53693,95741,28226,89527,64647,TRUE,11.6867527137285,11.076696979411,1.840533976828,0.168164054292558,0.451258562003614,0.804647644661092,0.23722317939236,0.752422574274068
"pc2001__01__07","district","01","07","jammu and kashmir","leh ladakh",1,"leh ladakh",TRUE,18508,5606,10800,14436,1657,16839,7719,TRUE,9.82595835002689,8.95144010094985,2.39771991190569,0.302896044953534,0.583531445861249,0.779987032634536,0.0895288523881565,0.909822779338664
"pc2001__01__08","district","01","08","jammu and kashmir","kargil",1,"kargil",TRUE,11003,2436,7360,5985,924,10073,4569,TRUE,9.30592324186991,8.42704964156327,2.40818559859926,0.221394165227665,0.668908479505589,0.543942561119695,0.0839770971553213,0.915477597018995
"pc2001__01__09","district","01","09","jammu and kashmir","doda",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__01__10","district","01","10","jammu and kashmir","udhampur",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__01__11","district","01","11","jammu and kashmir","punch",1,"punch",TRUE,24703,4835,14349,15434,3561,21076,12607,TRUE,10.1146799727306,9.44200749423127,1.95946696279845,0.195725215560863,0.580860624215682,0.624782415091284,0.144152532081124,0.853175727644416
"pc2001__01__12","district","01","12","jammu and kashmir","rajauri",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__01__13","district","01","13","jammu and kashmir","jammu",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__01__14","district","01","14","jammu and kashmir","kathua",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__02__01","district","02","01","himachal pradesh","chamba",1,"chamba",TRUE,41928,10308,24091,25233,6829,35017,20083,TRUE,10.643709140482,9.90762896503668,2.08773589603147,0.245850028620492,0.574580232780004,0.601817401259302,0.162874451440565,0.835169814920817
"pc2001__02__02","district","02","02","himachal pradesh","kangra",1,"kangra",TRUE,168812,42685,83890,129917,33746,133586,87138,TRUE,12.0365409486646,11.3752483478359,1.93729486561546,0.252855247257304,0.496943345259816,0.76959576333436,0.199902850508258,0.79133000023695
"pc2001__02__03","district","02","03","himachal pradesh","lahul and spiti",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__02__04","district","02","04","himachal pradesh","kullu",1,"kullu",TRUE,63576,18153,28642,52918,8089,55431,32530,TRUE,11.05999131962,10.3899180194674,1.9543805717799,0.285532276330691,0.450515917956462,0.832358122561973,0.127233547250535,0.871885617214043
"pc2001__02__05","district","02","05","himachal pradesh","mandi",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__02__06","district","02","06","himachal pradesh","hamirpur",1,"hamirpur",TRUE,55727,15218,27908,40989,9753,45783,28380,TRUE,10.9282200481439,10.253439950714,1.96360112755462,0.273081271197086,0.500798535718772,0.735532147791914,0.175013907082743,0.821558669944551
"pc2001__02__07","district","02","07","himachal pradesh","una",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__02__08","district","02","08","himachal pradesh","bilaspur",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__02__09","district","02","09","himachal pradesh","solan",1,"solan",TRUE,171992,27256,133207,156610,92040,79274,38372,TRUE,12.055203243086,10.5550833059378,4.48222662357969,0.158472487092423,0.77449532536397,0.910565607702684,0.535141169356714,0.460916786827294
"pc2001__02__10","district","02","10","himachal pradesh","sirmaur",1,"sirmaur",TRUE,76851,17317,54831,61964,33048,43532,23115,TRUE,11.2496237612438,10.0482370364223,3.32472420506165,0.22533213621163,0.713471522816879,0.806287491379423,0.430026935238318,0.566446760614696
"pc2001__02__11","district","02","11","himachal pradesh","shimla",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__02__12","district","02","12","himachal pradesh","kinnaur",1,"kinnaur",TRUE,18332,4494,10947,14112,4247,14045,6538,TRUE,9.81640344562901,8.78538658728416,2.80391557051086,0.245145101461925,0.597152520183286,0.769801440104735,0.231671394283221,0.766146628845734
"pc2001__03__01","district","03","01","punjab","gurdaspur",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__03__02","district","03","02","punjab","amritsar",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__03__03","district","03","03","punjab","kapurthala",1,"kapurthala",TRUE,117442,20214,70171,98042,35427,81960,43860,TRUE,11.6736998736761,10.6887580219719,2.67765617875057,0.172119003422966,0.597494933669386,0.834812077450997,0.301655285162037,0.697876398562695
"pc2001__03__04","district","03","04","punjab","jalandhar",1,"jalandhar",TRUE,324320,54719,175716,302855,103192,220884,129663,TRUE,12.6894859616858,11.7726940558977,2.50125324880652,0.16871916625555,0.54179822397632,0.933815367538234,0.318179575727676,0.681068080907745
"pc2001__03__05","district","03","05","punjab","hoshiarpur",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__03__06","district","03","06","punjab","nawanshahr",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__03__07","district","03","07","punjab","rupnagar",,,,,,,,,,,FALSE,,,,,,,,
