"analysis_id","outcome_id","outcome_variable","mechanism_family","tier","denominator","specification_id","adjustment_id","construction_id","fixed_effect","term","estimate","std.error","statistic","p.value","p_holm_within_spec","n","status","reason"
"economic_census__nonfarm_employment_growth__region_main__nonzero_mean","nonfarm_employment_growth","log_nonfarm_employment_change_2013_2005","local_labor_demand","core","log_nonfarm_employment","region_main__nonzero_mean","region_main","nonzero_mean","region","ling_distance_nonzero_mean",-0.0225517863783307,0.0220289800689425,-1.02373266069296,0.306695856450244,0.920087569350732,354,"estimated",
"economic_census__nonfarm_employment_growth__region_main__glottolog_mean","nonfarm_employment_growth","log_nonfarm_employment_change_2013_2005","local_labor_demand","core","log_nonfarm_employment","region_main__glottolog_mean","region_main","glottolog_mean","region","ling_distance_glottolog_nonhindi_mean",0.00826154752289395,0.00726837179662492,1.13664349514017,0.256494941374294,1,354,"estimated",
"economic_census__nonfarm_employment_growth__region_main__dyen_noncognate","nonfarm_employment_growth","log_nonfarm_employment_change_2013_2005","local_labor_demand","core","log_nonfarm_employment","region_main__dyen_noncognate","region_main","dyen_noncognate","region","ling_distance_dyen_noncognate_pct",0.00142150294547985,0.0010118420173205,1.40486649214686,0.160982054455145,0.64392821782058,354,"estimated",
"economic_census__nonfarm_employment_growth__state_main__nonzero_mean","nonfarm_employment_growth","log_nonfarm_employment_change_2013_2005","local_labor_demand","core","log_nonfarm_employment","state_main__nonzero_mean","state_main","nonzero_mean","state","ling_distance_nonzero_mean",-0.0479673985504916,0.0188340553052211,-2.5468438832286,0.011354904888242,0.068129429329452,354,"estimated",
"economic_census__nonfarm_employment_growth__state_main__glottolog_mean","nonfarm_employment_growth","log_nonfarm_employment_change_2013_2005","local_labor_demand","core","log_nonfarm_employment","state_main__glottolog_mean","state_main","glottolog_mean","state","ling_distance_glottolog_nonhindi_mean",0.00469673679409601,0.00748703712245679,0.627315814958165,0.530915496299763,1,354,"estimated",
"economic_census__nonfarm_employment_growth__state_main__dyen_noncognate","nonfarm_employment_growth","log_nonfarm_employment_change_2013_2005","local_labor_demand","core","log_nonfarm_employment","state_main__dyen_noncognate","state_main","dyen_noncognate","state","ling_distance_dyen_noncognate_pct",-0.000188786993435055,0.000733535741861145,-0.257365773283331,0.797067722234484,0.797505115496256,354,"estimated",
"economic_census__firm_growth__region_main__nonzero_mean","firm_growth","log_firms_total_change_2013_2005","establishment_growth","core","log_establishments","region_main__nonzero_mean","region_main","nonzero_mean","region","ling_distance_nonzero_mean",-0.00515914842198122,0.0266337003436469,-0.193707534267271,0.846521594615476,1,354,"estimated",
"economic_census__firm_growth__region_main__glottolog_mean","firm_growth","log_firms_total_change_2013_2005","establishment_growth","core","log_establishments","region_main__glottolog_mean","region_main","glottolog_mean","region","ling_distance_glottolog_nonhindi_mean",-0.00260122855136103,0.00885565567208788,-0.293736415199592,0.769140143889577,1,354,"estimated",
"economic_census__firm_growth__region_main__dyen_noncognate","firm_growth","log_firms_total_change_2013_2005","establishment_growth","core","log_establishments","region_main__dyen_noncognate","region_main","dyen_noncognate","region","ling_distance_dyen_noncognate_pct",0.000816135357239726,0.00144413468902207,0.565137977394887,0.572355937695114,1,354,"estimated",
"economic_census__firm_growth__state_main__nonzero_mean","firm_growth","log_firms_total_change_2013_2005","establishment_growth","core","log_establishments","state_main__nonzero_mean","state_main","nonzero_mean","state","ling_distance_nonzero_mean",-0.0433795872056167,0.0188148170563117,-2.30560770672306,0.0217945778549524,0.108972889274762,354,"estimated",
"economic_census__firm_growth__state_main__glottolog_mean","firm_growth","log_firms_total_change_2013_2005","establishment_growth","core","log_establishments","state_main__glottolog_mean","state_main","glottolog_mean","state","ling_distance_glottolog_nonhindi_mean",0.00129698587216193,0.00687609676764496,0.188622399595191,0.850512595709733,1,354,"estimated",
"economic_census__firm_growth__state_main__dyen_noncognate","firm_growth","log_firms_total_change_2013_2005","establishment_growth","core","log_establishments","state_main__dyen_noncognate","state_main","dyen_noncognate","state","ling_distance_dyen_noncognate_pct",-0.00116165753484218,0.000874909303093216,-1.32774623693584,0.185241959480826,0.740967837923304,354,"estimated",
"economic_census__hired_employment_share_change__region_main__nonzero_mean","hired_employment_share_change","hired_employment_share_change_2013_2005","employment_formality","core","nonfarm_employment","region_main__nonzero_mean","region_main","nonzero_mean","region","ling_distance_nonzero_mean",-0.00239175157529232,0.00736383069069293,-0.324797198055521,0.745536093323363,1,354,"estimated",
"economic_census__hired_employment_share_change__region_main__glottolog_mean","hired_employment_share_change","hired_employment_share_change_2013_2005","employment_formality","core","nonfarm_employment","region_main__glottolog_mean","region_main","glottolog_mean","region","ling_distance_glottolog_nonhindi_mean",0.000660506570298034,0.00284332511328893,0.232300754919304,0.8164454329672,1,354,"estimated",
"economic_census__hired_employment_share_change__region_main__dyen_noncognate","hired_employment_share_change","hired_employment_share_change_2013_2005","employment_formality","core","nonfarm_employment","region_main__dyen_noncognate","region_main","dyen_noncognate","region","ling_distance_dyen_noncognate_pct",-2.76448617820032e-05,0.000400234943929176,-0.069071584581318,0.944973604727462,1,354,"estimated",
"economic_census__hired_employment_share_change__state_main__nonzero_mean","hired_employment_share_change","hired_employment_share_change_2013_2005","employment_formality","core","nonfarm_employment","state_main__nonzero_mean","state_main","nonzero_mean","state","ling_distance_nonzero_mean",0.0110580138029233,0.00583856215236325,1.89396182045393,0.0591638656359043,0.118327731271809,354,"estimated",
"economic_census__hired_employment_share_change__state_main__glottolog_mean","hired_employment_share_change","hired_employment_share_change_2013_2005","employment_formality","core","nonfarm_employment","state_main__glottolog_mean","state_main","glottolog_mean","state","ling_distance_glottolog_nonhindi_mean",0.000265398856941551,0.00300639194302089,0.0882781959144265,0.929712752725918,1,354,"estimated",
"economic_census__hired_employment_share_change__state_main__dyen_noncognate","hired_employment_share_change","hired_employment_share_change_2013_2005","employment_formality","core","nonfarm_employment","state_main__dyen_noncognate","state_main","dyen_noncognate","state","ling_distance_dyen_noncognate_pct",0.000540542667813731,0.000562523103557671,0.960925274704409,0.337341061187476,0.797505115496256,354,"estimated",
"economic_census__private_employment_share_change__region_main__nonzero_mean","private_employment_share_change","private_employment_share_change_2013_2005","ownership_structure","core","nonfarm_employment","region_main__nonzero_mean","region_main","nonzero_mean","region","ling_distance_nonzero_mean",0.00970843069326406,0.00682813897579906,1.42182675655455,0.156001350930575,0.6240054037223,354,"estimated",
"economic_census__private_employment_share_change__region_main__glottolog_mean","private_employment_share_change","private_employment_share_change_2013_2005","ownership_structure","core","nonfarm_employment","region_main__glottolog_mean","region_main","glottolog_mean","region","ling_distance_glottolog_nonhindi_mean",0.00242403165002766,0.00130780108496999,1.8535170813712,0.0646820582381206,0.362078635655441,354,"estimated",
"economic_census__private_employment_share_change__region_main__dyen_noncognate","private_employment_share_change","private_employment_share_change_2013_2005","ownership_structure","core","nonfarm_employment","region_main__dyen_noncognate","region_main","dyen_noncognate","region","ling_distance_dyen_noncognate_pct",-0.000151224923202817,0.000306547020669299,-0.49331721728249,0.622109779035722,1,354,"estimated",
"economic_census__private_employment_share_change__state_main__nonzero_mean","private_employment_share_change","private_employment_share_change_2013_2005","ownership_structure","core","nonfarm_employment","state_main__nonzero_mean","state_main","nonzero_mean","state","ling_distance_nonzero_mean",0.00260467638590301,0.00563549899144978,0.46219090622762,0.644269681867161,0.644269681867161,354,"estimated",
"economic_census__private_employment_share_change__state_main__glottolog_mean","private_employment_share_change","private_employment_share_change_2013_2005","ownership_structure","core","nonfarm_employment","state_main__glottolog_mean","state_main","glottolog_mean","state","ling_distance_glottolog_nonhindi_mean",0.00155890055479989,0.00122805176046758,1.26940948662159,0.205250291674125,1,354,"estimated",
"economic_census__private_employment_share_change__state_main__dyen_noncognate","private_employment_share_change","private_employment_share_change_2013_2005","ownership_structure","core","nonfarm_employment","state_main__dyen_noncognate","state_main","dyen_noncognate","state","ling_distance_dyen_noncognate_pct",-0.000411976359632454,0.000369577069616609,-1.11472381135504,0.265835038498752,0.797505115496256,354,"estimated",
"economic_census__services_employment_share_change__region_main__nonzero_mean","services_employment_share_change","services_employment_share_change_2013_2005","sectoral_shift","core","nonfarm_employment","region_main__nonzero_mean","region_main","nonzero_mean","region","ling_distance_nonzero_mean",0.0205954722296366,0.0066079187763239,3.11678652943343,0.00198558487061363,0.0119135092236818,354,"estimated",
"economic_census__services_employment_share_change__region_main__glottolog_mean","services_employment_share_change","services_employment_share_change_2013_2005","sectoral_shift","core","nonfarm_employment","region_main__glottolog_mean","region_main","glottolog_mean","region","ling_distance_glottolog_nonhindi_mean",0.00383881536636928,0.00203695653222133,1.88458384145439,0.0603464392759068,0.362078635655441,354,"estimated",
"economic_census__services_employment_share_change__region_main__dyen_noncognate","services_employment_share_change","services_employment_share_change_2013_2005","sectoral_shift","core","nonfarm_employment","region_main__dyen_noncognate","region_main","dyen_noncognate","region","ling_distance_dyen_noncognate_pct",0.000846126059420309,0.000402118121761088,2.10417291246332,0.0361037654655359,0.18051882732768,354,"estimated",
"economic_census__services_employment_share_change__state_main__nonzero_mean","services_employment_share_change","services_employment_share_change_2013_2005","sectoral_shift","core","nonfarm_employment","state_main__nonzero_mean","state_main","nonzero_mean","state","ling_distance_nonzero_mean",0.0183154998143107,0.00845920780102985,2.16515544305235,0.0311408687543862,0.109996613448246,354,"estimated",
"economic_census__services_employment_share_change__state_main__glottolog_mean","services_employment_share_change","services_employment_share_change_2013_2005","sectoral_shift","core","nonfarm_employment","state_main__glottolog_mean","state_main","glottolog_mean","state","ling_distance_glottolog_nonhindi_mean",0.00296267823518985,0.00197410514320855,1.50077023272152,0.134436092248184,0.806616553489104,354,"estimated",
"economic_census__services_employment_share_change__state_main__dyen_noncognate","services_employment_share_change","services_employment_share_change_2013_2005","sectoral_shift","core","nonfarm_employment","state_main__dyen_noncognate","state_main","dyen_noncognate","state","ling_distance_dyen_noncognate_pct",0.00081243976964576,0.000454243024093958,1.78855750457867,0.0746656543092084,0.404724513800579,354,"estimated",
"economic_census__manufacturing_employment_share_change__region_main__nonzero_mean","manufacturing_employment_share_change","manufacturing_employment_share_change_2013_2005","sectoral_shift","secondary","nonfarm_employment","region_main__nonzero_mean","region_main","nonzero_mean","region","ling_distance_nonzero_mean",-0.0179426477974921,0.00623584952309643,-2.87733816074872,0.00426614555264838,0.0213307277632419,354,"estimated",
"economic_census__manufacturing_employment_share_change__region_main__glottolog_mean","manufacturing_employment_share_change","manufacturing_employment_share_change_2013_2005","sectoral_shift","secondary","nonfarm_employment","region_main__glottolog_mean","region_main","glottolog_mean","region","ling_distance_glottolog_nonhindi_mean",-0.00203129286787529,0.00190284997514287,-1.06750027296439,0.286510099095042,1,354,"estimated",
"economic_census__manufacturing_employment_share_change__region_main__dyen_noncognate","manufacturing_employment_share_change","manufacturing_employment_share_change_2013_2005","sectoral_shift","secondary","nonfarm_employment","region_main__dyen_noncognate","region_main","dyen_noncognate","region","ling_distance_dyen_noncognate_pct",-0.000936216098352937,0.000371478637418028,-2.52024209214326,0.0121888428609131,0.0731330571654786,354,"estimated",
