"analysis_id","outcome_id","outcome_variable","mechanism_family","tier","denominator","specification_id","adjustment_id","construction_id","fixed_effect","estimate_2sls","std_error_clustered","p_value_clustered","p_value_clustered_holm_within_spec","effective_f","effective_f_critical_value","effective_f_p_value","effective_f_df","reduced_form_joint_f","reduced_form_joint_p","anderson_rubin_f_beta0","anderson_rubin_p_beta0","anderson_rubin_p_beta0_holm_within_spec","ar_95_lower","ar_95_upper","ar_95_empty","ar_95_n_components","ar_95_disconnected","ar_95_contains_zero","ar_95_grid_accepted_min","ar_95_grid_accepted_max","ar_95_left_truncated","ar_95_right_truncated","ar_95_components","n","status","reason"
"economic_census__nonfarm_employment_growth__region_main__nonzero_mean","nonfarm_employment_growth","log_nonfarm_employment_change_2013_2005","local_labor_demand","core","log_nonfarm_employment","region_main__nonzero_mean","region_main","nonzero_mean","region",-0.028477910272779,0.0694355932560021,0.681968125384002,1,0.205952107852765,23.1085112116065,0.996769707711122,1,1.04802856056948,0.306695856450244,1.04802856056951,0.306695856450238,0.920087569350714,,,FALSE,1,FALSE,TRUE,-0.243097934890636,0.243097934890636,TRUE,TRUE,"[grid<= -0.243098, 0.243098 <=grid]",354,"estimated",
"economic_census__nonfarm_employment_growth__region_main__glottolog_mean","nonfarm_employment_growth","log_nonfarm_employment_change_2013_2005","local_labor_demand","core","log_nonfarm_employment","region_main__glottolog_mean","region_main","glottolog_mean","region",-0.0168294244250669,0.0190549334195154,0.3777547814267,1,2.3032099904734,23.1085112116065,0.949979877068385,1,1.29195843504445,0.256494941374294,1.29195843504443,0.256494941374299,1,,,FALSE,1,FALSE,TRUE,-0.243097934890636,0.243097934890636,TRUE,TRUE,"[grid<= -0.243098, 0.243098 <=grid]",354,"estimated",
"economic_census__nonfarm_employment_growth__region_main__dyen_noncognate","nonfarm_employment_growth","log_nonfarm_employment_change_2013_2005","local_labor_demand","core","log_nonfarm_employment","region_main__dyen_noncognate","region_main","dyen_noncognate","region",-0.018126871622922,0.0189534788651199,0.339562024688072,1,0.89187407036847,23.1085112116065,0.986738794933024,1,1.97364986075703,0.160982054455145,1.97364986075688,0.16098205445516,0.64392821782064,,,FALSE,1,FALSE,TRUE,-0.243097934890636,0.243097934890636,TRUE,TRUE,"[grid<= -0.243098, 0.243098 <=grid]",354,"estimated",
"economic_census__nonfarm_employment_growth__state_main__nonzero_mean","nonfarm_employment_growth","log_nonfarm_employment_change_2013_2005","local_labor_demand","core","log_nonfarm_employment","state_main__nonzero_mean","state_main","nonzero_mean","state",0.0834879860935285,0.0768479554970296,0.278146711986099,1,1.49332619039482,23.1085112116065,0.973831792260177,1,6.48641376553895,0.011354904888242,6.48641376553895,0.011354904888242,0.068129429329452,,,FALSE,2,TRUE,FALSE,-0.243097934890636,0.243097934890636,TRUE,TRUE,"[grid<= -0.243098, -0.0899462] U [0.0170169, 0.243098 <=grid]",354,"estimated",
"economic_census__nonfarm_employment_growth__state_main__glottolog_mean","nonfarm_employment_growth","log_nonfarm_employment_change_2013_2005","local_labor_demand","core","log_nonfarm_employment","state_main__glottolog_mean","state_main","glottolog_mean","state",-0.0166232657569996,0.0284952761854181,0.560070341518041,1,2.63926265363547,23.1085112116065,0.937939475794993,1,0.393525131696627,0.530915496299763,0.393525131696629,0.530915496299762,1,,,FALSE,1,FALSE,TRUE,-0.243097934890636,0.243097934890636,TRUE,TRUE,"[grid<= -0.243098, 0.243098 <=grid]",354,"estimated",
"economic_census__nonfarm_employment_growth__state_main__dyen_noncognate","nonfarm_employment_growth","log_nonfarm_employment_change_2013_2005","local_labor_demand","core","log_nonfarm_employment","state_main__dyen_noncognate","state_main","dyen_noncognate","state",0.0121053114679599,0.0509108601017887,0.81221347205798,1,0.211920271570989,23.1085112116065,0.996698896722529,1,0.0662371412577268,0.797067722234484,0.0662371412577297,0.79706772223448,0.797505115496253,,,FALSE,1,FALSE,TRUE,-0.243097934890636,0.243097934890636,TRUE,TRUE,"[grid<= -0.243098, 0.243098 <=grid]",354,"estimated",
"economic_census__firm_growth__region_main__nonzero_mean","firm_growth","log_firms_total_change_2013_2005","establishment_growth","core","log_establishments","region_main__nonzero_mean","region_main","nonzero_mean","region",-0.00651486154490737,0.0372167684526938,0.861144072434428,1,0.205952107852765,23.1085112116065,0.996769707711122,1,0.0375226088319062,0.846521594615476,0.0375226088319066,0.846521594615475,1,,,FALSE,1,FALSE,TRUE,-0.233797144829256,0.233797144829256,TRUE,TRUE,"[grid<= -0.233797, 0.233797 <=grid]",354,"estimated",
"economic_census__firm_growth__region_main__glottolog_mean","firm_growth","log_firms_total_change_2013_2005","establishment_growth","core","log_establishments","region_main__glottolog_mean","region_main","glottolog_mean","region",0.0052989078857375,0.0175737596322001,0.763201028508382,1,2.3032099904734,23.1085112116065,0.949979877068385,1,0.0862810816143071,0.769140143889577,0.0862810816143087,0.769140143889575,1,,,FALSE,1,FALSE,TRUE,-0.233797144829256,0.233797144829256,TRUE,TRUE,"[grid<= -0.233797, 0.233797 <=grid]",354,"estimated",
"economic_census__firm_growth__region_main__dyen_noncognate","firm_growth","log_firms_total_change_2013_2005","establishment_growth","core","log_establishments","region_main__dyen_noncognate","region_main","dyen_noncognate","region",-0.0104072811770492,0.0181286723552019,0.56629763539122,1,0.89187407036847,23.1085112116065,0.986738794933024,1,0.319380933493984,0.572355937695114,0.319380933493969,0.572355937695123,1,,,FALSE,1,FALSE,TRUE,-0.233797144829256,0.233797144829256,TRUE,TRUE,"[grid<= -0.233797, 0.233797 <=grid]",354,"estimated",
"economic_census__firm_growth__state_main__nonzero_mean","firm_growth","log_firms_total_change_2013_2005","establishment_growth","core","log_establishments","state_main__nonzero_mean","state_main","nonzero_mean","state",0.0755028307310353,0.0732348072125629,0.303361533786047,1,1.49332619039482,23.1085112116065,0.973831792260177,1,5.31582689730076,0.0217945778549524,5.31582689730076,0.0217945778549524,0.108972889274762,,,FALSE,2,TRUE,FALSE,-0.233797144829256,0.233797144829256,TRUE,TRUE,"[grid<= -0.233797, -0.085336] U [0.00935189, 0.233797 <=grid]",354,"estimated",
"economic_census__firm_growth__state_main__glottolog_mean","firm_growth","log_firms_total_change_2013_2005","establishment_growth","core","log_establishments","state_main__glottolog_mean","state_main","glottolog_mean","state",-0.00459045115389945,0.0239256381557504,0.847975329562277,1,2.63926265363547,23.1085112116065,0.937939475794993,1,0.0355784096290478,0.850512595709733,0.0355784096290465,0.850512595709735,1,,,FALSE,1,FALSE,TRUE,-0.233797144829256,0.233797144829256,TRUE,TRUE,"[grid<= -0.233797, 0.233797 <=grid]",354,"estimated",
"economic_census__firm_growth__state_main__dyen_noncognate","firm_growth","log_firms_total_change_2013_2005","establishment_growth","core","log_establishments","state_main__dyen_noncognate","state_main","dyen_noncognate","state",0.0744872621914344,0.166194882194242,0.654328529401223,1,0.211920271570989,23.1085112116065,0.996698896722529,1,1.76291006969729,0.185241959480826,1.76291006969729,0.185241959480826,0.740967837923304,,,FALSE,1,FALSE,TRUE,-0.233797144829256,0.233797144829256,TRUE,TRUE,"[grid<= -0.233797, 0.233797 <=grid]",354,"estimated",
"economic_census__hired_employment_share_change__region_main__nonzero_mean","hired_employment_share_change","hired_employment_share_change_2013_2005","employment_formality","core","nonfarm_employment","region_main__nonzero_mean","region_main","nonzero_mean","region",-0.0030202523921301,0.0100436922138769,0.763820035074993,1,0.205952107852765,23.1085112116065,0.996769707711122,1,0.105493219864717,0.745536093323363,0.105493219864718,0.745536093323362,1,,,FALSE,1,FALSE,TRUE,-0.0492446530896428,0.0492446530896428,TRUE,TRUE,"[grid<= -0.0492447, 0.0492447 <=grid]",354,"estimated",
"economic_census__hired_employment_share_change__region_main__glottolog_mean","hired_employment_share_change","hired_employment_share_change_2013_2005","employment_formality","core","nonfarm_employment","region_main__glottolog_mean","region_main","glottolog_mean","region",-0.00134550402043783,0.0056228945812181,0.811025965371927,1,2.3032099904734,23.1085112116065,0.949979877068385,1,0.0539636407360784,0.8164454329672,0.0539636407360791,0.816445432967199,1,,,FALSE,1,FALSE,TRUE,-0.0492446530896428,0.0492446530896428,TRUE,TRUE,"[grid<= -0.0492447, 0.0492447 <=grid]",354,"estimated",
