"harmonized_region_id","geography_spec_id","harmonized_component_id","vintage","state_code","district_code","unit_id","side"
"geo_component_0001","G1_deterministic_amalgamation","geo_component_0001",1991,"02","16","census1991__02__16","source"
"geo_component_0001","G1_deterministic_amalgamation","geo_component_0001",2001,"28","05","census2001__28__05","target"
"geo_component_0001","G1_deterministic_amalgamation","geo_component_0001",2011,"28","536","census2011__28__536","source"
"geo_component_0002","G1_deterministic_amalgamation","geo_component_0002",1991,"05","36","census1991__05__36","source"
"geo_component_0002","G1_deterministic_amalgamation","geo_component_0002",2001,"20","15","census2001__20__15","target"
"geo_component_0002","G1_deterministic_amalgamation","geo_component_0002",2011,"20","356","census2011__20__356","source"
"geo_component_0003","G1_deterministic_amalgamation","geo_component_0003",1991,"07","19","census1991__07__19","source"
"geo_component_0003","G1_deterministic_amalgamation","geo_component_0003",2001,"24","23","census2001__24__23","target"
"geo_component_0003","G1_deterministic_amalgamation","geo_component_0003",2011,"24","489","census2011__24__489","source"
"geo_component_0004","G1_deterministic_amalgamation","geo_component_0004",1991,"12","01","census1991__12__01","source"
"geo_component_0004","G1_deterministic_amalgamation","geo_component_0004",2001,"32","01","census2001__32__01","target"
"geo_component_0004","G1_deterministic_amalgamation","geo_component_0004",2011,"32","588","census2011__32__588","source"
"geo_component_0005","G1_deterministic_amalgamation","geo_component_0005",1991,"12","02","census1991__12__02","source"
"geo_component_0005","G1_deterministic_amalgamation","geo_component_0005",2001,"32","02","census2001__32__02","target"
"geo_component_0005","G1_deterministic_amalgamation","geo_component_0005",2011,"32","589","census2011__32__589","source"
"geo_component_0006","G1_deterministic_amalgamation","geo_component_0006",1991,"12","03","census1991__12__03","source"
"geo_component_0006","G1_deterministic_amalgamation","geo_component_0006",2001,"32","03","census2001__32__03","target"
"geo_component_0006","G1_deterministic_amalgamation","geo_component_0006",2011,"32","590","census2011__32__590","source"
"geo_component_0007","G1_deterministic_amalgamation","geo_component_0007",1991,"12","04","census1991__12__04","source"
"geo_component_0007","G1_deterministic_amalgamation","geo_component_0007",2001,"32","04","census2001__32__04","target"
"geo_component_0007","G1_deterministic_amalgamation","geo_component_0007",2011,"32","591","census2011__32__591","source"
"geo_component_0008","G1_deterministic_amalgamation","geo_component_0008",1991,"12","05","census1991__12__05","source"
"geo_component_0008","G1_deterministic_amalgamation","geo_component_0008",2001,"32","05","census2001__32__05","target"
"geo_component_0008","G1_deterministic_amalgamation","geo_component_0008",2011,"32","592","census2011__32__592","source"
"geo_component_0009","G1_deterministic_amalgamation","geo_component_0009",1991,"12","08","census1991__12__08","source"
"geo_component_0009","G1_deterministic_amalgamation","geo_component_0009",1991,"12","09","census1991__12__09","source"
"geo_component_0009","G1_deterministic_amalgamation","geo_component_0009",2001,"32","08","census2001__32__08","target"
"geo_component_0009","G1_deterministic_amalgamation","geo_component_0009",2001,"32","09","census2001__32__09","target"
"geo_component_0009","G1_deterministic_amalgamation","geo_component_0009",2011,"32","595","census2011__32__595","source"
"geo_component_0010","G1_deterministic_amalgamation","geo_component_0010",1991,"12","10","census1991__12__10","source"
"geo_component_0010","G1_deterministic_amalgamation","geo_component_0010",2001,"32","10","census2001__32__10","target"
"geo_component_0010","G1_deterministic_amalgamation","geo_component_0010",2011,"32","597","census2011__32__597","source"
"geo_component_0011","G1_deterministic_amalgamation","geo_component_0011",1991,"12","11","census1991__12__11","source"
"geo_component_0011","G1_deterministic_amalgamation","geo_component_0011",2001,"32","11","census2001__32__11","target"
"geo_component_0011","G1_deterministic_amalgamation","geo_component_0011",2011,"32","598","census2011__32__598","source"
"geo_component_0012","G1_deterministic_amalgamation","geo_component_0012",1991,"12","12","census1991__12__12","source"
"geo_component_0012","G1_deterministic_amalgamation","geo_component_0012",2001,"32","12","census2001__32__12","target"
"geo_component_0012","G1_deterministic_amalgamation","geo_component_0012",2011,"32","599","census2011__32__599","source"
"geo_component_0013","G1_deterministic_amalgamation","geo_component_0013",1991,"12","13","census1991__12__13","source"
"geo_component_0013","G1_deterministic_amalgamation","geo_component_0013",2001,"32","13","census2001__32__13","target"
"geo_component_0013","G1_deterministic_amalgamation","geo_component_0013",2011,"32","600","census2011__32__600","source"
"geo_component_0014","G1_deterministic_amalgamation","geo_component_0014",1991,"12","14","census1991__12__14","source"
"geo_component_0014","G1_deterministic_amalgamation","geo_component_0014",2001,"32","14","census2001__32__14","target"
"geo_component_0014","G1_deterministic_amalgamation","geo_component_0014",2011,"32","601","census2011__32__601","source"
"geo_component_0015","G1_deterministic_amalgamation","geo_component_0015",1991,"26","10","census1991__26__10","source"
"geo_component_0015","G1_deterministic_amalgamation","geo_component_0015",2001,"19","17","census2001__19__17","target"
"geo_component_0015","G1_deterministic_amalgamation","geo_component_0015",2011,"19","342","census2011__19__342","source"
"geo_component_0016","G1_deterministic_amalgamation","geo_component_0016",1991,"28","01","census1991__28__01","source"
"geo_component_0016","G1_deterministic_amalgamation","geo_component_0016",2001,"04","01","census2001__04__01","target"
"geo_component_0016","G1_deterministic_amalgamation","geo_component_0016",2011,"04","055","census2011__04__055","source"
"geo_component_0017","G1_deterministic_amalgamation","geo_component_0017",1991,"29","01","census1991__29__01","source"
"geo_component_0017","G1_deterministic_amalgamation","geo_component_0017",2001,"26","01","census2001__26__01","target"
"geo_component_0017","G1_deterministic_amalgamation","geo_component_0017",2011,"26","496","census2011__26__496","source"
"geo_component_0018","G1_deterministic_amalgamation","geo_component_0018",1991,"30","01","census1991__30__01","source"
"geo_component_0018","G1_deterministic_amalgamation","geo_component_0018",2001,"25","02","census2001__25__02","target"
"geo_component_0018","G1_deterministic_amalgamation","geo_component_0018",2011,"25","495","census2011__25__495","source"
