"district_order","district_code","state","district","emi_exposure_all_children_0708","ling_distance_nonzero_mean","region","state_prefix"
1,"01113","Jammu & Kashmir","Jammu",48.3960192416473,1.23149769037605,"Northern","01"
2,"01114","Jammu & Kashmir","Kathus",33.5921008544035,1.08852360186491,"Northern","01"
3,"01209","Jammu & Kashmir","Doda",78.5237035453088,3.4450773447949,"Northern","01"
4,"01210","Jammu & Kashmir","Udhampur",72.6236337161995,1.39358936012059,"Northern","01"
5,"01212","Jammu & Kashmir","Rajauri",13.1705037832309,1.24009399235556,"Northern","01"
6,"01301","Jammu & Kashmir","Kupwara",31.8657493187537,3.68099387465247,"Northern","01"
7,"01302","Jammu & Kashmir","Baramula",39.0896349502222,3.85542927008564,"Northern","01"
8,"01303","Jammu & Kashmir","Srinagar",73.6252335167284,3.84309021403949,"Northern","01"
9,"01304","Jammu & Kashmir","Badgam",50.3440453344655,3.93166236962381,"Northern","01"
10,"01305","Jammu & Kashmir","Pulwama",73.7864106740856,3.86179074779268,"Northern","01"
11,"01306","Jammu & Kashmir","Anantnag",72.0857411304068,3.73270388945244,"Northern","01"
12,"02102","Himachal Pradesh","Kangra",21.4320768227842,2.08700724143244,"Northern","02"
13,"02104","Himachal Pradesh","Kullu",1.77293606029376,3.93093789239834,"Northern","02"
14,"02105","Himachal Pradesh","Mandi",11.914923634052,1.85632898958811,"Northern","02"
15,"02106","Himachal Pradesh","Hamirpur",15.9566958650642,1.41739775114296,"Northern","02"
16,"02107","Himachal Pradesh","Una",13.2443116562273,1.02218667767401,"Northern","02"
17,"02201","Himachal Pradesh","Chamba",9.99246785718507,1.9358135365307,"Northern","02"
18,"02203","Himachal Pradesh","Lahul & Spiti",5.80506231778363,4.44892149348516,"Northern","02"
19,"02208","Himachal Pradesh","Bilaspur",15.5006331251223,1.01556550239184,"Northern","02"
20,"02209","Himachal Pradesh","Solan",14.0781014588688,1.81884674264331,"Northern","02"
21,"02210","Himachal Pradesh","Sirmapur",14.511327515228,1.61570768584628,"Northern","02"
