"specification_id","adjustment_id","adjustment","construction_id","construction","fixed_effect","controls","included_language_controls","excluded_instruments","sequence"
"unadjusted__nonzero_mean","unadjusted","Unadjusted","nonzero_mean","Mean distance among speakers above zero","none","","","ling_distance_nonzero_mean",1
"unadjusted__distant_share","unadjusted","Unadjusted","distant_share","Share speaking languages at distance three or higher","none","","","ling_share_distance_ge3",2
"unadjusted__top3_legacy","unadjusted","Unadjusted","top3_legacy","Legacy top-three weighted mean","none","","","ling_distance_top3_legacy",3
"unadjusted__nonzero_mean_hindi_urdu","unadjusted","Unadjusted","nonzero_mean_hindi_urdu","Nonzero mean with combined Hindi-Urdu share","none","","hindi_urdu_share","ling_distance_nonzero_mean",4
"unadjusted__nonzero_mean_hindi_urdu_separate","unadjusted","Unadjusted","nonzero_mean_hindi_urdu_separate","Nonzero mean with separate Hindi and Urdu shares","none","","hindi_share;urdu_share","ling_distance_nonzero_mean",5
"unadjusted__distance_shares_all","unadjusted","Unadjusted","distance_shares_all","Five distance shares; all-speaker denominator","none","","","ling_share_distance_1;ling_share_distance_2;ling_share_distance_3;ling_share_distance_4;ling_share_distance_5",6
"unadjusted__distance_shares_all_unmapped","unadjusted","Unadjusted","distance_shares_all_unmapped","Five distance shares with unmapped share controlled","none","","ling_unmapped_speaker_share","ling_share_distance_1;ling_share_distance_2;ling_share_distance_3;ling_share_distance_4;ling_share_distance_5",7
"unadjusted__distance_shares_mapped","unadjusted","Unadjusted","distance_shares_mapped","Five distance shares; mapped-speaker denominator","none","","","ling_mapped_share_distance_1;ling_mapped_share_distance_2;ling_mapped_share_distance_3;ling_mapped_share_distance_4;ling_mapped_share_distance_5",8
"region_main__nonzero_mean","region_main","Six-region FE + main controls","nonzero_mean","Mean distance among speakers above zero","region","log_population_2001;urban_share_2001;adult_secondary_plus_share_2001;sc_share_2001;st_share_2001;muslim_share_2001;agricultural_worker_share_2001;dependency_ratio_2001;electricity_access_share_2001;log_population_density_2001","","ling_distance_nonzero_mean",9
"region_main__distant_share","region_main","Six-region FE + main controls","distant_share","Share speaking languages at distance three or higher","region","log_population_2001;urban_share_2001;adult_secondary_plus_share_2001;sc_share_2001;st_share_2001;muslim_share_2001;agricultural_worker_share_2001;dependency_ratio_2001;electricity_access_share_2001;log_population_density_2001","","ling_share_distance_ge3",10
"region_main__top3_legacy","region_main","Six-region FE + main controls","top3_legacy","Legacy top-three weighted mean","region","log_population_2001;urban_share_2001;adult_secondary_plus_share_2001;sc_share_2001;st_share_2001;muslim_share_2001;agricultural_worker_share_2001;dependency_ratio_2001;electricity_access_share_2001;log_population_density_2001","","ling_distance_top3_legacy",11
"region_main__nonzero_mean_hindi_urdu","region_main","Six-region FE + main controls","nonzero_mean_hindi_urdu","Nonzero mean with combined Hindi-Urdu share","region","log_population_2001;urban_share_2001;adult_secondary_plus_share_2001;sc_share_2001;st_share_2001;muslim_share_2001;agricultural_worker_share_2001;dependency_ratio_2001;electricity_access_share_2001;log_population_density_2001","hindi_urdu_share","ling_distance_nonzero_mean",12
"region_main__nonzero_mean_hindi_urdu_separate","region_main","Six-region FE + main controls","nonzero_mean_hindi_urdu_separate","Nonzero mean with separate Hindi and Urdu shares","region","log_population_2001;urban_share_2001;adult_secondary_plus_share_2001;sc_share_2001;st_share_2001;muslim_share_2001;agricultural_worker_share_2001;dependency_ratio_2001;electricity_access_share_2001;log_population_density_2001","hindi_share;urdu_share","ling_distance_nonzero_mean",13
"region_main__distance_shares_all","region_main","Six-region FE + main controls","distance_shares_all","Five distance shares; all-speaker denominator","region","log_population_2001;urban_share_2001;adult_secondary_plus_share_2001;sc_share_2001;st_share_2001;muslim_share_2001;agricultural_worker_share_2001;dependency_ratio_2001;electricity_access_share_2001;log_population_density_2001","","ling_share_distance_1;ling_share_distance_2;ling_share_distance_3;ling_share_distance_4;ling_share_distance_5",14
