"specification_id","sequence","adjustment_id","adjustment","construction_id","construction","fixed_effect","excluded_instruments","included_language_controls","n_excluded_instruments","joint_excluded_f","joint_excluded_p","partial_r_squared","n","n_states","n_regions","minimum_mapped_share","coverage_variable","coverage_sample_n"
"unadjusted__nonzero_mean",1,"unadjusted","Unadjusted","nonzero_mean","Mean distance among speakers above zero","none","ling_distance_nonzero_mean","",1,11.7789497558954,0.000642399653788176,0.142074526222915,573,35,6,0,"ling_mapped_speaker_share",573
"unadjusted__nonzero_mean",1,"unadjusted","Unadjusted","nonzero_mean","Mean distance among speakers above zero","none","ling_distance_nonzero_mean","",1,10.8319804717661,0.00107048242499774,0.124060718819034,486,32,6,90,"ling_mapped_speaker_share",486
"unadjusted__nonzero_mean",1,"unadjusted","Unadjusted","nonzero_mean","Mean distance among speakers above zero","none","ling_distance_nonzero_mean","",1,10.9571121258667,0.00100593594393734,0.128334516621656,461,32,6,95,"ling_mapped_speaker_share",461
"unadjusted__nonzero_mean",1,"unadjusted","Unadjusted","nonzero_mean","Mean distance among speakers above zero","none","ling_distance_nonzero_mean","",1,6.8692157090116,0.00912503519000603,0.143136930422029,378,25,6,99,"ling_mapped_speaker_share",378
"unadjusted__distant_share",2,"unadjusted","Unadjusted","distant_share","Share speaking languages at distance three or higher","none","ling_share_distance_ge3","",1,4.11088287375243,0.0430720423650766,0.0487671542591863,573,35,6,0,"ling_mapped_speaker_share",573
"unadjusted__distant_share",2,"unadjusted","Unadjusted","distant_share","Share speaking languages at distance three or higher","none","ling_share_distance_ge3","",1,5.42833817838737,0.0202228460390118,0.0832903387286757,486,32,6,90,"ling_mapped_speaker_share",486
"unadjusted__distant_share",2,"unadjusted","Unadjusted","distant_share","Share speaking languages at distance three or higher","none","ling_share_distance_ge3","",1,5.4103848850152,0.0204519942774874,0.0866843912642075,461,32,6,95,"ling_mapped_speaker_share",461
"unadjusted__distant_share",2,"unadjusted","Unadjusted","distant_share","Share speaking languages at distance three or higher","none","ling_share_distance_ge3","",1,4.46566310991839,0.0352410243652465,0.0981737136651184,378,25,6,99,"ling_mapped_speaker_share",378
"unadjusted__top3_legacy",3,"unadjusted","Unadjusted","top3_legacy","Legacy top-three weighted mean","none","ling_distance_top3_legacy","",1,16.3136415372708,6.10144959181106e-05,0.18890761376224,573,35,6,0,"ling_mapped_speaker_share",573
"unadjusted__top3_legacy",3,"unadjusted","Unadjusted","top3_legacy","Legacy top-three weighted mean","none","ling_distance_top3_legacy","",1,16.8070168617318,4.85276626005925e-05,0.185583424487795,486,32,6,90,"ling_mapped_speaker_share",486
"unadjusted__top3_legacy",3,"unadjusted","Unadjusted","top3_legacy","Legacy top-three weighted mean","none","ling_distance_top3_legacy","",1,17.4752463637022,3.48665428985004e-05,0.182410754840765,461,32,6,95,"ling_mapped_speaker_share",461
"unadjusted__top3_legacy",3,"unadjusted","Unadjusted","top3_legacy","Legacy top-three weighted mean","none","ling_distance_top3_legacy","",1,15.2532531976326,0.000111445727664446,0.20652805400187,378,25,6,99,"ling_mapped_speaker_share",378
"unadjusted__nonzero_mean_hindi_urdu",4,"unadjusted","Unadjusted","nonzero_mean_hindi_urdu","Nonzero mean with combined Hindi-Urdu share","none","ling_distance_nonzero_mean","hindi_urdu_share",1,9.53612817830097,0.00211269297281531,0.10134092953442,573,35,6,0,"ling_mapped_speaker_share",573
"unadjusted__nonzero_mean_hindi_urdu",4,"unadjusted","Unadjusted","nonzero_mean_hindi_urdu","Nonzero mean with combined Hindi-Urdu share","none","ling_distance_nonzero_mean","hindi_urdu_share",1,7.86379869709902,0.00524661850372056,0.086596667149274,486,32,6,90,"ling_mapped_speaker_share",486
"unadjusted__nonzero_mean_hindi_urdu",4,"unadjusted","Unadjusted","nonzero_mean_hindi_urdu","Nonzero mean with combined Hindi-Urdu share","none","ling_distance_nonzero_mean","hindi_urdu_share",1,7.97316008987832,0.00495458302890034,0.0917318244453945,461,32,6,95,"ling_mapped_speaker_share",461
"unadjusted__nonzero_mean_hindi_urdu",4,"unadjusted","Unadjusted","nonzero_mean_hindi_urdu","Nonzero mean with combined Hindi-Urdu share","none","ling_distance_nonzero_mean","hindi_urdu_share",1,4.67301145772657,0.0312722752027759,0.0998873049535494,378,25,6,99,"ling_mapped_speaker_share",378
"unadjusted__nonzero_mean_shastry",5,"unadjusted","Unadjusted","nonzero_mean_shastry","Nonzero mean with Shastry composition controls","none","ling_distance_nonzero_mean","hindi_urdu_share;native_english_share",1,9.68403111622593,0.00195201058696797,0.108439030621209,573,35,6,0,"ling_mapped_speaker_share",573
"unadjusted__nonzero_mean_shastry",5,"unadjusted","Unadjusted","nonzero_mean_shastry","Nonzero mean with Shastry composition controls","none","ling_distance_nonzero_mean","hindi_urdu_share;native_english_share",1,8.02281990714303,0.00481260777115554,0.096280152275099,486,32,6,90,"ling_mapped_speaker_share",486
"unadjusted__nonzero_mean_shastry",5,"unadjusted","Unadjusted","nonzero_mean_shastry","Nonzero mean with Shastry composition controls","none","ling_distance_nonzero_mean","hindi_urdu_share;native_english_share",1,8.11346929252086,0.00459198450195949,0.103768954343677,461,32,6,95,"ling_mapped_speaker_share",461
"unadjusted__nonzero_mean_shastry",5,"unadjusted","Unadjusted","nonzero_mean_shastry","Nonzero mean with Shastry composition controls","none","ling_distance_nonzero_mean","hindi_urdu_share;native_english_share",1,3.92852335132932,0.048205205187718,0.103077470588925,378,25,6,99,"ling_mapped_speaker_share",378
"unadjusted__nonzero_mean_sensitivity_low",6,"unadjusted","Unadjusted","nonzero_mean_sensitivity_low","Shastry nonzero mean under joint lower-degree adjudication sensitivity","none","ling_distance_nonzero_mean_sensitivity_low","hindi_urdu_share;native_english_share",1,9.816780740352,0.00181825547687646,0.110016431564831,573,35,6,0,"ling_sensitivity_mapped_speaker_share",573
