"mother_tongue_code","mother_tongue","asjp_list_name","nearest_anchor","nearest_degree","nearest_ldnd","runner_up_anchor","runner_up_degree","runner_up_ldnd","margin_ldnd","status"
"006008","Awadhi","AWADHI","Hindi",0,0.608663454909321,"Assamese",3,0.631082761904648,0.0224193069953269,"available"
"006016","Bagheli/Baghel Khandi","BAGHELI",NA,NA,NA,NA,NA,NA,NA,"insufficient_28_item_list"
"006017","Bagri Rajasthani","BAGRI","Punjabi",1,0.571951685500917,"Hindi",0,0.60173319950151,0.0297815140005929,"available"
"006038","Bhadrawahi","BHADRAWAHI",NA,NA,NA,NA,NA,NA,NA,"insufficient_28_item_list"
"006064","Chambeali","CHAMBEALI",NA,NA,NA,NA,NA,NA,NA,"insufficient_28_item_list"
"006074","Churahi","CHURAHI",NA,NA,NA,NA,NA,NA,NA,"insufficient_28_item_list"
"006084","Dhundhari","DHUNDARI","Punjabi",1,0.553899684382408,"Hindi",0,0.575328611799645,0.0214289274172362,"available"
"006095","Garhwali","GARHWALI","Punjabi",1,0.563685323897579,"Hindi",0,0.56960923317863,0.00592390928105102,"available"
"006127","Jaunsari","JAUNSARI",NA,NA,NA,NA,NA,NA,NA,"insufficient_28_item_list"
"006162","Kumauni","KUMAUNI","Hindi",0,0.599127725723211,"Punjabi",1,0.604599664770246,0.00547193904703547,"available"
"006188","Mandeali","MANDEALI",NA,NA,NA,NA,NA,NA,NA,"insufficient_28_item_list"
"006210","Nimadi","NIMADI","Hindi",0,0.627596090265132,"Punjabi",1,0.659393303750831,0.0317972134856986,"available"
"006227","Pangwali","PANGWALI",NA,NA,NA,NA,NA,NA,NA,"insufficient_28_item_list"
"014009","Nepali","NEPALI","Hindi",0,0.613989289510077,"Punjabi",1,0.624323773193389,0.0103344836833124,"available"
"030006","Bhilali","BHILALI","Marathi",2,0.67450475653793,"Gujarati",1,0.691487236703587,0.016982480165657,"available"
"030007","Bhili/Bhilodi","BHILI","Gujarati",1,0.642528675494346,"Marathi",2,0.681377137838507,0.0388484623441611,"available"
"030055","Wagdi","WAGDI",NA,NA,NA,NA,NA,NA,NA,"insufficient_28_item_list"
"045001","Halabi","HALABI","Assamese",3,0.51710531668226,"Marathi",2,0.592053957846655,0.0749486411643954,"available"
"053006","Khandeshi","KHANDESI","Marathi",2,0.553155542956624,"Assamese",3,0.683635954645466,0.130480411688842,"available"
"108005","Shina","SHINA_2","Hindi",0,0.736811600779473,"Punjabi",1,0.74835594101053,0.0115443402310569,"available"
