"state_code_1991","district_code_1991","district_name","mother_tongue","mother_tongue_speakers","monolingual_speakers","bilingual_speakers","english_second_language","english_third_language","hindi_second_language","hindi_third_language","english_acquisition_speakers","hindi_acquisition_speakers","bilingual_share","english_acquisition_share","hindi_acquisition_share","english_minus_hindi_acquisition_share","validation_status","n_language_cells","n_mismatched_cells","absolute_speaker_difference","shastry_distance_1991","distance_mapping_status","st16_exact_validation","hindi_belt_1991","preferred_st_language_sample"
"17","01","AIZAWL","Adi",2,2,0,0,0,0,0,0,0,0,0,0,0,"exact",60,0,0,5,"mapped",TRUE,FALSE,TRUE
"17","01","AIZAWL","Hindi",723,593,130,28,7,0,0,35,0,0.179806362378976,0.0484094052558783,0,0.0484094052558783,"exact",60,0,0,0,"mapped",TRUE,FALSE,TRUE
"17","01","AIZAWL","Kuki",41,29,12,4,2,5,0,6,5,0.292682926829268,0.146341463414634,0.121951219512195,0.024390243902439,"exact",60,0,0,5,"mapped",TRUE,FALSE,TRUE
"17","01","AIZAWL","Gondi",2,1,1,0,0,1,0,0,1,0.5,0,0.5,-0.5,"exact",60,0,0,5,"mapped",TRUE,FALSE,TRUE
"17","01","AIZAWL","Bhotia",2,2,0,0,0,0,0,0,0,0,0,0,0,"exact",60,0,0,5,"mapped",TRUE,FALSE,TRUE
"17","01","AIZAWL","Limbu",1,0,1,0,0,0,1,0,1,1,0,1,-1,"exact",60,0,0,5,"mapped",TRUE,FALSE,TRUE
"17","01","AIZAWL","Assamese",76,49,27,2,2,5,5,4,10,0.355263157894737,0.0526315789473684,0.131578947368421,-0.0789473684210526,"exact",60,0,0,3,"mapped",TRUE,FALSE,TRUE
"17","01","AIZAWL","Mishmi",8,7,1,0,0,1,0,0,1,0.125,0,0.125,-0.125,"exact",60,0,0,5,"mapped",TRUE,FALSE,TRUE
"17","01","AIZAWL","Konyak",1,1,0,0,0,0,0,0,0,0,0,0,0,"exact",60,0,0,5,"mapped",TRUE,FALSE,TRUE
"17","01","AIZAWL","Gangte",2,2,0,0,0,0,0,0,0,0,0,0,0,"exact",60,0,0,5,"mapped",TRUE,FALSE,TRUE
"17","01","AIZAWL","Dogri",12,9,3,0,0,0,0,0,0,0.25,0,0,0,"exact",60,0,0,1,"mapped",TRUE,FALSE,TRUE
"17","01","AIZAWL","Sema",2,0,2,2,0,0,0,2,0,1,1,0,1,"exact",60,0,0,5,"mapped",TRUE,FALSE,TRUE
"17","01","AIZAWL","Dimasa",2,0,2,0,0,2,0,0,2,1,0,1,-1,"exact",60,0,0,5,"mapped",TRUE,FALSE,TRUE
"17","01","AIZAWL","Tulu",35,19,16,4,0,4,3,4,7,0.457142857142857,0.114285714285714,0.2,-0.0857142857142857,"exact",60,0,0,5,"mapped",TRUE,FALSE,TRUE
"17","01","AIZAWL","Kabui",1,1,0,0,0,0,0,0,0,0,0,0,0,"exact",60,0,0,5,"mapped",TRUE,FALSE,TRUE
"17","01","AIZAWL","Lahnda",13,10,3,0,0,2,0,0,2,0.230769230769231,0,0.153846153846154,-0.153846153846154,"exact",60,0,0,NA,"unresolved",TRUE,FALSE,FALSE
"17","01","AIZAWL","Nicobarese",1,0,1,0,0,1,0,0,1,1,0,1,-1,"exact",60,0,0,5,"mapped",TRUE,FALSE,TRUE
"17","01","AIZAWL","Oriya",2,1,1,0,0,1,0,0,1,0.5,0,0.5,-0.5,"exact",60,0,0,3,"mapped",TRUE,FALSE,TRUE
"17","01","AIZAWL","Zou",1,0,1,1,0,0,0,1,0,1,1,0,1,"exact",60,0,0,5,"mapped",TRUE,FALSE,TRUE
"17","01","AIZAWL","Mao",792,476,316,229,18,77,105,247,182,0.398989898989899,0.311868686868687,0.22979797979798,0.082070707070707,"exact",60,0,0,5,"mapped",TRUE,FALSE,TRUE
"17","01","AIZAWL","Vaiphei",1,0,1,0,0,0,0,0,0,1,0,0,0,"exact",60,0,0,5,"mapped",TRUE,FALSE,TRUE
"17","01","AIZAWL","Halam",222,166,56,16,2,3,3,18,6,0.252252252252252,0.0810810810810811,0.027027027027027,0.0540540540540541,"exact",60,0,0,5,"mapped",TRUE,FALSE,TRUE
